epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.7,1.38867,2.66183,1.27578,0.57189,0.13376,0.11421,0.07362,1.48727,2.5127,1.33465,0.00332551,0.00332551,0.00332551
2,196.787,1.38964,2.49146,1.2663,0.53612,0.14006,0.11044,0.06567,1.6152,2.7114,1.39339,0.00665225,0.00665225,0.00665225
3,290.591,1.50915,2.63708,1.33634,0.37493,0.12724,0.07256,0.04394,1.73622,3.3564,1.49538,0.00997239,0.00997239,0.00997239
4,382.273,1.60888,2.73038,1.413,0.38328,0.10154,0.07726,0.04243,1.77727,3.01764,1.56655,0.0099703,0.0099703,0.0099703
5,473.874,1.57252,2.60154,1.39675,0.45489,0.10944,0.09084,0.05372,1.71815,2.8138,1.52546,0.0099604,0.0099604,0.0099604
6,565.988,1.52548,2.46816,1.37088,0.4113,0.13351,0.09915,0.05888,1.73828,2.76783,1.52448,0.0099505,0.0099505,0.0099505
7,657.749,1.49315,2.35481,1.34602,0.45904,0.13036,0.11829,0.06992,1.68377,2.54483,1.47666,0.0099406,0.0099406,0.0099406
8,749.942,1.45312,2.24961,1.32329,0.47627,0.13792,0.12863,0.07722,1.64519,2.50461,1.44967,0.0099307,0.0099307,0.0099307
9,843.217,1.42228,2.16669,1.30879,0.44024,0.13992,0.12262,0.07492,1.67012,2.55955,1.46978,0.0099208,0.0099208,0.0099208
10,935.422,1.39616,2.09513,1.28384,0.3837,0.18925,0.14803,0.08865,1.62857,2.38624,1.43933,0.0099109,0.0099109,0.0099109
11,1028.1,1.37673,2.0197,1.27612,0.36848,0.16823,0.14784,0.08862,1.61171,2.33529,1.43239,0.009901,0.009901,0.009901
12,1119.89,1.33866,1.96562,1.25478,0.41624,0.16722,0.16167,0.10025,1.59179,2.28974,1.40563,0.0098911,0.0098911,0.0098911
13,1213.17,1.33565,1.90766,1.24973,0.38174,0.19097,0.16436,0.09797,1.58952,2.31457,1.42806,0.0098812,0.0098812,0.0098812
14,1305.36,1.30713,1.85256,1.23576,0.35992,0.20503,0.17201,0.10511,1.58379,2.27814,1.39936,0.0098713,0.0098713,0.0098713
15,1398.31,1.28303,1.80885,1.21905,0.33308,0.21526,0.1802,0.1105,1.56383,2.23772,1.38089,0.0098614,0.0098614,0.0098614
16,1491.48,1.26813,1.77916,1.20979,0.31606,0.21125,0.17352,0.10884,1.59277,2.24125,1.40257,0.0098515,0.0098515,0.0098515
17,1583.95,1.2567,1.72252,1.20316,0.4208,0.19202,0.18131,0.11021,1.57038,2.24069,1.39571,0.0098416,0.0098416,0.0098416
18,1676.04,1.23318,1.67737,1.19649,0.41629,0.20873,0.1814,0.11264,1.55878,2.27064,1.38822,0.0098317,0.0098317,0.0098317
19,1769.73,1.23136,1.65744,1.19081,0.41047,0.20783,0.1895,0.11482,1.56477,2.17206,1.38374,0.0098218,0.0098218,0.0098218
20,1862.84,1.21515,1.59954,1.1764,0.39431,0.21015,0.1838,0.11234,1.56723,2.19685,1.38559,0.0098119,0.0098119,0.0098119
21,1955.03,1.20009,1.57463,1.17504,0.42101,0.21612,0.18912,0.11626,1.53931,2.15329,1.37712,0.009802,0.009802,0.009802
22,2048.11,1.18911,1.54808,1.16864,0.38747,0.21046,0.19378,0.1188,1.5527,2.16794,1.38112,0.0097921,0.0097921,0.0097921
23,2141.35,1.18868,1.51603,1.1633,0.3712,0.23333,0.19837,0.12243,1.55304,2.15295,1.38176,0.0097822,0.0097822,0.0097822
24,2234.74,1.1759,1.48317,1.15464,0.3629,0.21152,0.19785,0.12361,1.55179,2.17017,1.37408,0.0097723,0.0097723,0.0097723
25,2329.36,1.16354,1.46924,1.15005,0.40132,0.21336,0.19733,0.12169,1.54154,2.12099,1.36747,0.0097624,0.0097624,0.0097624
26,2421.53,1.14699,1.43443,1.14476,0.46564,0.20517,0.20933,0.13114,1.53232,2.11514,1.36469,0.0097525,0.0097525,0.0097525
27,2514.56,1.1415,1.39696,1.13713,0.39728,0.23033,0.20841,0.12916,1.52972,2.18482,1.35293,0.0097426,0.0097426,0.0097426
28,2606.65,1.12528,1.36205,1.13419,0.40681,0.23332,0.21673,0.1351,1.53808,2.14758,1.37139,0.0097327,0.0097327,0.0097327
29,2708.71,1.12623,1.34558,1.12508,0.34491,0.24755,0.21045,0.13019,1.53412,2.14876,1.36745,0.0097228,0.0097228,0.0097228
30,2801.02,1.12475,1.32915,1.12492,0.39782,0.23427,0.21468,0.13385,1.53199,2.13955,1.36808,0.0097129,0.0097129,0.0097129
31,2896.87,1.11136,1.29648,1.11916,0.40777,0.23042,0.21175,0.12694,1.56535,2.14615,1.40091,0.009703,0.009703,0.009703
32,3002.35,1.09103,1.26519,1.10767,0.38031,0.23814,0.21407,0.1328,1.53351,2.10608,1.3623,0.0096931,0.0096931,0.0096931
33,3095.49,1.10895,1.24997,1.11226,0.41052,0.21542,0.19826,0.12095,1.53738,2.16031,1.36785,0.0096832,0.0096832,0.0096832
34,3191.42,1.08624,1.2357,1.10495,0.36371,0.2438,0.21099,0.13068,1.52128,2.15136,1.35664,0.0096733,0.0096733,0.0096733
35,3294.29,1.07983,1.22161,1.10095,0.30954,0.25354,0.21734,0.13705,1.51645,2.12578,1.34846,0.0096634,0.0096634,0.0096634
36,3393.85,1.06635,1.17627,1.09225,0.36265,0.2567,0.21836,0.13616,1.54212,2.12468,1.37189,0.0096535,0.0096535,0.0096535
37,3486.25,1.06776,1.17767,1.09406,0.35164,0.27012,0.21976,0.13741,1.54142,2.1334,1.37337,0.0096436,0.0096436,0.0096436
38,3579.91,1.05667,1.14723,1.08959,0.35259,0.24128,0.22082,0.13675,1.54847,2.1689,1.38314,0.0096337,0.0096337,0.0096337
39,3672.12,1.05704,1.12951,1.08429,0.39319,0.24474,0.21789,0.13336,1.5358,2.14473,1.35999,0.0096238,0.0096238,0.0096238
