epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.979,0.7767,3.98991,0.98708,0.23351,0.03515,0.02152,0.01251,1.91589,3.98774,1.69729,0.0670254,0.000333076,0.000333076
2,561.826,0.59226,2.39517,0.90073,0.17913,0.04669,0.03499,0.02024,1.98764,3.88053,1.72795,0.0340241,0.00066509,0.00066509
3,832.492,0.55066,1.89824,0.88375,0.22644,0.05574,0.04446,0.02628,2.01794,3.74125,1.73093,0.00102148,0.000995784,0.000995784
4,1100.68,0.5299,1.64406,0.87628,0.22874,0.06654,0.04468,0.0254,2.08845,3.7171,1.77067,0.00099406,0.00099406,0.00099406
5,1367.48,0.50731,1.46125,0.86944,0.21122,0.05048,0.03546,0.0202,2.16998,4.02019,1.8573,0.00099208,0.00099208,0.00099208
6,1634.46,0.49685,1.34648,0.86452,0.15883,0.05524,0.04122,0.02235,2.21094,3.96897,1.86461,0.0009901,0.0009901,0.0009901
7,1901.13,0.48659,1.26643,0.86187,0.23383,0.0433,0.04022,0.02171,2.13912,4.19664,1.83887,0.00098812,0.00098812,0.00098812
8,2168.25,0.47599,1.19674,0.85892,0.16926,0.05002,0.03452,0.01909,2.1668,4.16327,1.83997,0.00098614,0.00098614,0.00098614
9,2435.58,0.46996,1.14582,0.85682,0.22743,0.05543,0.03972,0.02002,2.16704,4.07723,1.79874,0.00098416,0.00098416,0.00098416
10,2702.22,0.46608,1.10096,0.85549,0.21176,0.04978,0.03981,0.02164,2.13916,4.22488,1.87307,0.00098218,0.00098218,0.00098218
11,2969.46,0.45939,1.06443,0.85347,0.24632,0.0464,0.03709,0.01966,2.16673,4.13252,1.82495,0.0009802,0.0009802,0.0009802
12,3236.45,0.45795,1.03493,0.8533,0.19114,0.05376,0.04281,0.02295,2.1314,4.0977,1.81979,0.00097822,0.00097822,0.00097822
13,3502.95,0.45337,1.00269,0.85089,0.21903,0.05057,0.03864,0.02089,2.17149,4.25334,1.82389,0.00097624,0.00097624,0.00097624
14,3769.77,0.45173,0.97809,0.85156,0.15625,0.05548,0.04142,0.02271,2.10816,4.02889,1.79857,0.00097426,0.00097426,0.00097426
15,4036.56,0.44656,0.95617,0.84924,0.17561,0.04736,0.03914,0.02134,2.16473,4.31434,1.83739,0.00097228,0.00097228,0.00097228
16,4302.82,0.44191,0.93429,0.8474,0.214,0.05946,0.04503,0.02498,2.15084,4.09397,1.79335,0.0009703,0.0009703,0.0009703
17,4569.54,0.43898,0.91333,0.84656,0.15974,0.0592,0.04193,0.02243,2.12678,4.06947,1.83752,0.00096832,0.00096832,0.00096832
18,4835.99,0.43866,0.89357,0.84667,0.21679,0.05865,0.04255,0.02281,2.17047,4.24482,1.85247,0.00096634,0.00096634,0.00096634
19,5102.97,0.43901,0.87892,0.84612,0.20968,0.0569,0.0481,0.0255,2.15016,4.22544,1.84254,0.00096436,0.00096436,0.00096436
20,5370.37,0.43499,0.85856,0.84477,0.26351,0.05448,0.04934,0.02642,2.16189,4.12041,1.82686,0.00096238,0.00096238,0.00096238
21,5638.25,0.43163,0.84453,0.84413,0.25537,0.05715,0.04509,0.02446,2.12108,4.10471,1.78166,0.0009604,0.0009604,0.0009604
22,5905.49,0.42998,0.83411,0.84372,0.22656,0.06786,0.05274,0.02911,2.14062,4.06633,1.80748,0.00095842,0.00095842,0.00095842
23,6173.62,0.42661,0.81728,0.84335,0.2174,0.06407,0.05048,0.02668,2.13744,4.06335,1.79822,0.00095644,0.00095644,0.00095644
24,6440.85,0.42845,0.80783,0.84311,0.21571,0.05268,0.04107,0.02165,2.18221,4.37031,1.88619,0.00095446,0.00095446,0.00095446
25,6707.6,0.42723,0.79505,0.84312,0.19812,0.06731,0.04821,0.02613,2.15902,4.17585,1.82821,0.00095248,0.00095248,0.00095248
26,6974.84,0.42625,0.7851,0.84249,0.2274,0.06267,0.04938,0.02728,2.16671,4.30931,1.8508,0.0009505,0.0009505,0.0009505
27,7241.71,0.42208,0.77607,0.84163,0.20963,0.06539,0.04922,0.02556,2.14327,4.14918,1.81118,0.00094852,0.00094852,0.00094852
28,7509.21,0.42035,0.7659,0.84066,0.21241,0.05913,0.04472,0.02255,2.16553,4.20302,1.8417,0.00094654,0.00094654,0.00094654
29,7815.62,0.42024,0.75457,0.8417,0.18479,0.06902,0.0496,0.02552,2.15737,4.18604,1.84212,0.00094456,0.00094456,0.00094456
30,8081.17,0.4184,0.74796,0.84066,0.19744,0.06688,0.04732,0.02478,2.16007,4.19674,1.86232,0.00094258,0.00094258,0.00094258
31,8344.75,0.41428,0.73396,0.83908,0.18808,0.05989,0.04378,0.02344,2.16939,4.26103,1.88174,0.0009406,0.0009406,0.0009406
32,8608.06,0.41411,0.72868,0.83868,0.20949,0.05535,0.04192,0.02216,2.1959,4.38686,1.91132,0.00093862,0.00093862,0.00093862
33,8871.11,0.41478,0.72097,0.83898,0.20875,0.05264,0.04102,0.02179,2.20405,4.40236,1.90103,0.00093664,0.00093664,0.00093664
34,9134.48,0.4132,0.71331,0.83891,0.1926,0.05508,0.0431,0.02269,2.20625,4.41459,1.90549,0.00093466,0.00093466,0.00093466
35,9397.7,0.41054,0.70585,0.83782,0.21503,0.05765,0.04329,0.02173,2.21509,4.38895,1.91338,0.00093268,0.00093268,0.00093268
36,9662.42,0.41089,0.6997,0.83824,0.24443,0.06149,0.04323,0.02231,2.20536,4.34803,1.90246,0.0009307,0.0009307,0.0009307
37,9927.59,0.41089,0.69439,0.83797,0.23348,0.06186,0.04577,0.02432,2.2027,4.35334,1.908,0.00092872,0.00092872,0.00092872
38,10193,0.41057,0.68931,0.83738,0.23299,0.05816,0.04691,0.02495,2.20342,4.38986,1.91572,0.00092674,0.00092674,0.00092674
39,10458,0.40594,0.67634,0.83709,0.23935,0.05769,0.04501,0.02389,2.19883,4.38901,1.92528,0.00092476,0.00092476,0.00092476
40,10724.2,0.40719,0.67507,0.83655,0.22795,0.05938,0.046,0.02414,2.20401,4.3879,1.93291,0.00092278,0.00092278,0.00092278
41,10991.8,0.40834,0.66772,0.83661,0.21157,0.06158,0.04579,0.02422,2.20562,4.39942,1.93861,0.0009208,0.0009208,0.0009208
42,11258.5,0.40465,0.66144,0.83664,0.20768,0.05661,0.04535,0.02414,2.20944,4.42077,1.93995,0.00091882,0.00091882,0.00091882
43,11525.3,0.40566,0.65409,0.83663,0.19573,0.05573,0.04531,0.02381,2.21558,4.44028,1.94188,0.00091684,0.00091684,0.00091684
44,11792.1,0.40294,0.64801,0.8361,0.19063,0.06157,0.04674,0.0242,2.21218,4.42168,1.93919,0.00091486,0.00091486,0.00091486
45,12059.1,0.4045,0.64726,0.83593,0.19253,0.06075,0.04639,0.02445,2.2174,4.42665,1.94307,0.00091288,0.00091288,0.00091288
46,12326.1,0.40312,0.64122,0.83549,0.1861,0.06089,0.04636,0.0244,2.2184,4.43174,1.94268,0.0009109,0.0009109,0.0009109
47,12592.1,0.4017,0.63543,0.83571,0.17874,0.06081,0.04613,0.0244,2.22125,4.43295,1.94646,0.00090892,0.00090892,0.00090892
48,12857.3,0.40131,0.62841,0.83456,0.19136,0.06087,0.0463,0.02441,2.22565,4.43955,1.94908,0.00090694,0.00090694,0.00090694
49,13122.8,0.3992,0.62732,0.83477,0.1898,0.06132,0.04657,0.02452,2.22782,4.44461,1.95175,0.00090496,0.00090496,0.00090496
50,13387.3,0.39835,0.62045,0.83407,0.19147,0.05765,0.04575,0.02441,2.23083,4.44837,1.95417,0.00090298,0.00090298,0.00090298
51,13652.3,0.39874,0.61693,0.83499,0.19219,0.05855,0.04544,0.02431,2.23142,4.4571,1.95377,0.000901,0.000901,0.000901
52,13917.7,0.39675,0.61139,0.83453,0.19199,0.05887,0.04698,0.02449,2.23384,4.46468,1.95583,0.00089902,0.00089902,0.00089902
53,14182.3,0.39693,0.60985,0.8338,0.19192,0.05961,0.04582,0.02433,2.23554,4.46928,1.95735,0.00089704,0.00089704,0.00089704
54,14448,0.39595,0.60739,0.8338,0.18454,0.05773,0.04581,0.02422,2.23627,4.47377,1.95681,0.00089506,0.00089506,0.00089506
55,14712.8,0.39525,0.59883,0.83271,0.17533,0.05846,0.04553,0.02411,2.23851,4.48141,1.96068,0.00089308,0.00089308,0.00089308
56,14977.9,0.39567,0.59648,0.83283,0.17125,0.05635,0.04499,0.02395,2.24281,4.49647,1.96655,0.0008911,0.0008911,0.0008911
57,15243,0.39407,0.59518,0.83305,0.16887,0.05512,0.0451,0.02375,2.24606,4.51244,1.97055,0.00088912,0.00088912,0.00088912
58,15508.2,0.39535,0.59225,0.83288,0.16763,0.055,0.0446,0.02385,2.24754,4.51896,1.97295,0.00088714,0.00088714,0.00088714
59,15773.1,0.39339,0.58693,0.83302,0.17985,0.05383,0.04424,0.02365,2.24855,4.5302,1.97512,0.00088516,0.00088516,0.00088516
60,16038,0.39138,0.58551,0.83196,0.17317,0.05402,0.04408,0.02344,2.24956,4.54308,1.97569,0.00088318,0.00088318,0.00088318
61,16303,0.39113,0.58121,0.83237,0.17424,0.05373,0.04418,0.02357,2.25053,4.5529,1.97531,0.0008812,0.0008812,0.0008812
62,16567.8,0.39143,0.57669,0.83186,0.1776,0.05514,0.04408,0.02352,2.25081,4.55425,1.97523,0.00087922,0.00087922,0.00087922
63,16831.8,0.39294,0.57268,0.83278,0.18492,0.055,0.04373,0.0234,2.25213,4.56229,1.97628,0.00087724,0.00087724,0.00087724
64,17095.5,0.38956,0.56802,0.83181,0.17876,0.05522,0.04321,0.02299,2.25261,4.57166,1.97745,0.00087526,0.00087526,0.00087526
65,17359.2,0.3901,0.56791,0.83147,0.17746,0.05452,0.04358,0.02324,2.25068,4.57067,1.97495,0.00087328,0.00087328,0.00087328
66,17622.3,0.3891,0.5644,0.83105,0.18785,0.05468,0.04382,0.0233,2.25294,4.58102,1.97748,0.0008713,0.0008713,0.0008713
67,17885.2,0.38917,0.55974,0.83129,0.18913,0.05526,0.04356,0.02321,2.2516,4.58286,1.97624,0.00086932,0.00086932,0.00086932
68,18149.2,0.39107,0.55617,0.83179,0.18905,0.05578,0.04382,0.02317,2.25121,4.58372,1.97335,0.00086734,0.00086734,0.00086734
69,18412.2,0.38944,0.55532,0.83223,0.18954,0.05576,0.04386,0.02327,2.25047,4.57899,1.97249,0.00086536,0.00086536,0.00086536
70,18676.4,0.38646,0.5498,0.8303,0.18966,0.05613,0.04435,0.02332,2.24913,4.57226,1.97013,0.00086338,0.00086338,0.00086338
71,18939.7,inf,0.5475,0.83047,0.19047,0.05678,0.04435,0.02326,2.24986,4.57694,1.97049,0.0008614,0.0008614,0.0008614
72,19203.7,0.38391,0.54087,0.82965,0.19065,0.05692,0.04527,0.02353,2.2514,4.57934,1.97039,0.00085942,0.00085942,0.00085942
73,19467.1,0.38463,0.54296,0.83005,0.1912,0.0572,0.04572,0.02346,2.25159,4.58104,1.9701,0.00085744,0.00085744,0.00085744
74,19730.6,0.38656,0.54122,0.83058,0.1984,0.05685,0.04582,0.02347,2.25079,4.58209,1.96855,0.00085546,0.00085546,0.00085546
75,19993.8,0.38501,0.53577,0.82984,0.19737,0.05729,0.04541,0.02317,2.24983,4.5832,1.96757,0.00085348,0.00085348,0.00085348
76,20257.4,0.3872,0.53878,0.8312,0.19415,0.05633,0.04519,0.02304,2.25055,4.58904,1.96777,0.0008515,0.0008515,0.0008515
77,20521.3,0.38354,0.53001,0.82989,0.18652,0.05584,0.04501,0.0228,2.24953,4.59267,1.9679,0.00084952,0.00084952,0.00084952
