epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8858,1.92083,2.94325,1.70625,0.33545,0.15802,0.13712,0.07974,1.71741,2.51895,1.50838,0.0671549,0.000331768,0.000331768
2,110.226,1.61871,2.20366,1.43081,0.42146,0.18196,0.17566,0.10568,1.54888,2.25914,1.36813,0.0341536,0.000663785,0.000663785
3,162.18,1.52894,2.01178,1.35203,0.40688,0.19222,0.19815,0.12212,1.49599,2.17473,1.34139,0.00115098,0.000994481,0.000994481
4,213.395,1.4775,1.92683,1.32367,0.35729,0.25209,0.21338,0.13455,1.47121,2.07559,1.31193,0.00099406,0.00099406,0.00099406
5,264.269,1.43576,1.83264,1.29989,0.42719,0.23345,0.22605,0.14114,1.46369,2.03995,1.31191,0.00099208,0.00099208,0.00099208
6,315.124,1.40426,1.71253,1.27212,0.36972,0.25049,0.22205,0.14076,1.44913,2.06371,1.29787,0.0009901,0.0009901,0.0009901
7,365.162,1.37301,1.64692,1.26264,0.41966,0.25222,0.23674,0.14888,1.43861,2.01134,1.29006,0.00098812,0.00098812,0.00098812
8,416.054,1.35875,1.61893,1.24672,0.35478,0.27124,0.24384,0.15474,1.41357,1.99852,1.28649,0.00098614,0.00098614,0.00098614
9,467.17,1.3571,1.55266,1.24411,0.39911,0.24705,0.23772,0.15159,1.41944,2.01164,1.27902,0.00098416,0.00098416,0.00098416
10,517.063,1.32072,1.50194,1.22628,0.42099,0.26288,0.24851,0.16071,1.42998,1.99937,1.27983,0.00098218,0.00098218,0.00098218
11,567.567,1.29931,1.45974,1.21361,0.43741,0.24739,0.25435,0.16408,1.41467,1.96049,1.27815,0.0009802,0.0009802,0.0009802
12,618.168,1.29911,1.44254,1.21264,0.44642,0.26091,0.24599,0.15877,1.44252,1.99407,1.2867,0.00097822,0.00097822,0.00097822
13,667.987,1.29244,1.40147,1.2061,0.43599,0.25498,0.24544,0.15449,1.42655,1.99028,1.28,0.00097624,0.00097624,0.00097624
14,717.676,1.26544,1.35096,1.19505,0.43353,0.27244,0.25775,0.16526,1.42526,1.97679,1.28198,0.00097426,0.00097426,0.00097426
15,768.312,1.26566,1.3253,1.18989,0.47339,0.25134,0.25553,0.16381,1.42003,1.99095,1.28794,0.00097228,0.00097228,0.00097228
