epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7435,1.96994,3.08159,1.75245,0.24222,0.15283,0.12156,0.06924,1.79092,2.65776,1.57091,0.066989,0.000165884,0.000165884
2,108.032,1.68559,2.32627,1.48621,0.34071,0.18228,0.15938,0.09642,1.60196,2.35009,1.40789,0.0338217,0.000331892,0.000331892
3,159.163,1.57529,2.10299,1.38513,0.39758,0.20047,0.19096,0.11874,1.52439,2.20354,1.36139,0.000653735,0.000497241,0.000497241
4,209.752,1.51047,1.99307,1.34685,0.41953,0.20531,0.20247,0.1265,1.48315,2.12773,1.31882,0.00049703,0.00049703,0.00049703
5,260.477,1.46652,1.89037,1.32092,0.37604,0.2484,0.21795,0.13795,1.45755,2.06793,1.31536,0.00049604,0.00049604,0.00049604
6,311.166,1.43472,1.77291,1.29251,0.3855,0.24783,0.22402,0.14224,1.44605,2.03831,1.30151,0.00049505,0.00049505,0.00049505
7,361.729,1.40284,1.70964,1.27787,0.42308,0.23317,0.23221,0.14655,1.44225,2.00796,1.29501,0.00049406,0.00049406,0.00049406
8,412.186,1.3902,1.68648,1.26494,0.41606,0.25552,0.2376,0.15111,1.42282,1.99712,1.29164,0.00049307,0.00049307,0.00049307
9,462.844,1.38758,1.61796,1.26136,0.38128,0.25826,0.23843,0.15088,1.42375,1.99096,1.2844,0.00049208,0.00049208,0.00049208
10,513.152,1.35208,1.57236,1.24507,0.43812,0.25737,0.24535,0.15655,1.42507,1.9714,1.27993,0.00049109,0.00049109,0.00049109
11,564.071,1.32986,1.5297,1.23255,0.39509,0.25943,0.24355,0.15484,1.42365,1.95966,1.27722,0.0004901,0.0004901,0.0004901
12,614.322,1.33174,1.51667,1.23297,0.44434,0.24548,0.249,0.16118,1.4328,1.96914,1.28103,0.00048911,0.00048911,0.00048911
13,664.919,1.32413,1.47573,1.22419,0.42568,0.25998,0.24498,0.15513,1.4223,1.96772,1.2758,0.00048812,0.00048812,0.00048812
14,715.543,1.29509,1.4327,1.21271,0.40901,0.27124,0.25461,0.16194,1.42258,1.94358,1.27857,0.00048713,0.00048713,0.00048713
15,766.155,1.29835,1.40979,1.20703,0.42977,0.26148,0.25118,0.15994,1.40646,1.95471,1.2702,0.00048614,0.00048614,0.00048614
16,816.723,1.2805,1.38281,1.19706,0.42607,0.26951,0.25571,0.16354,1.41472,1.95752,1.27476,0.00048515,0.00048515,0.00048515
17,867.671,1.27285,1.38542,1.19968,0.37987,0.27814,0.25498,0.16354,1.4109,1.94777,1.27392,0.00048416,0.00048416,0.00048416
18,918.217,1.2552,1.33839,1.19073,0.40845,0.27068,0.26176,0.16616,1.40809,1.93717,1.27079,0.00048317,0.00048317,0.00048317
19,968.853,1.26441,1.33353,1.18484,0.44707,0.2498,0.25418,0.16173,1.39757,1.94812,1.26155,0.00048218,0.00048218,0.00048218
20,1019.16,1.26057,1.3338,1.19059,0.39779,0.27852,0.25057,0.16024,1.40643,1.95066,1.26858,0.00048119,0.00048119,0.00048119
21,1069.53,1.24269,1.29348,1.17576,0.43972,0.25527,0.24936,0.16036,1.40578,1.96814,1.26355,0.0004802,0.0004802,0.0004802
22,1119.81,1.228,1.26706,1.16512,0.39566,0.2726,0.26035,0.16699,1.40296,1.96945,1.26866,0.00047921,0.00047921,0.00047921
23,1170.18,1.2234,1.24239,1.16129,0.39632,0.27671,0.25564,0.16072,1.41065,1.95919,1.27148,0.00047822,0.00047822,0.00047822
24,1220.59,1.21721,1.24037,1.16426,0.39329,0.27316,0.25028,0.15955,1.41899,1.96834,1.27738,0.00047723,0.00047723,0.00047723
25,1271.02,1.20731,1.22619,1.16004,0.39712,0.2755,0.2555,0.16263,1.40748,1.97762,1.27215,0.00047624,0.00047624,0.00047624
26,1321.41,1.21812,1.19924,1.15642,0.39309,0.2772,0.25495,0.16215,1.41208,1.98314,1.27365,0.00047525,0.00047525,0.00047525
