epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4198,1.97043,3.08274,1.75285,0.24814,0.14979,0.12232,0.06966,1.78431,2.65535,1.56969,0.066989,0.000165884,0.000165884
2,64.6119,1.68723,2.328,1.48828,0.34506,0.18333,0.1565,0.09559,1.60159,2.35674,1.40896,0.0338217,0.000331892,0.000331892
3,94.4848,1.57537,2.10247,1.38554,0.376,0.20036,0.18928,0.11768,1.51983,2.19982,1.3547,0.000653735,0.000497241,0.000497241
4,124.106,1.51308,1.99167,1.34758,0.3994,0.21215,0.19799,0.12465,1.48461,2.12974,1.32061,0.00049703,0.00049703,0.00049703
5,153.684,1.4633,1.88636,1.31782,0.39851,0.2375,0.21579,0.13546,1.45824,2.0804,1.31637,0.00049604,0.00049604,0.00049604
6,183.191,1.43261,1.77048,1.29107,0.38019,0.24814,0.22299,0.14154,1.44379,2.04033,1.30198,0.00049505,0.00049505,0.00049505
7,212.935,1.40299,1.7073,1.27877,0.382,0.24964,0.23159,0.14487,1.4351,2.00896,1.28969,0.00049406,0.00049406,0.00049406
8,242.667,1.38977,1.68473,1.26363,0.42747,0.24542,0.23856,0.15173,1.4195,1.98574,1.29111,0.00049307,0.00049307,0.00049307
9,272.277,1.38806,1.61845,1.2601,0.41644,0.2485,0.24382,0.15349,1.4225,1.97721,1.28178,0.00049208,0.00049208,0.00049208
10,301.837,1.35191,1.56996,1.24372,0.44668,0.25657,0.25237,0.1589,1.42976,1.97436,1.28534,0.00049109,0.00049109,0.00049109
11,331.34,1.33098,1.52891,1.23306,0.40044,0.26716,0.2394,0.15331,1.41637,1.94787,1.27325,0.0004901,0.0004901,0.0004901
12,360.699,1.33202,1.51897,1.23141,0.4678,0.2362,0.24889,0.16165,1.42678,1.95649,1.27495,0.00048911,0.00048911,0.00048911
13,390.257,1.32559,1.47882,1.2252,0.41707,0.2627,0.24914,0.15799,1.42148,1.96987,1.27272,0.00048812,0.00048812,0.00048812
14,419.778,1.2933,1.4359,1.21288,0.41123,0.26416,0.25613,0.16201,1.41772,1.93603,1.27593,0.00048713,0.00048713,0.00048713
15,449.324,1.29812,1.40919,1.20804,0.46748,0.24534,0.25143,0.15988,1.40812,1.94373,1.27038,0.00048614,0.00048614,0.00048614
16,478.792,1.27894,1.38456,1.19741,0.39787,0.27615,0.25452,0.1634,1.40798,1.94981,1.26752,0.00048515,0.00048515,0.00048515
17,508.319,1.27194,1.38755,1.19945,0.46248,0.24079,0.25881,0.16709,1.4067,1.94578,1.27004,0.00048416,0.00048416,0.00048416
18,537.854,1.25543,1.34091,1.18992,0.42406,0.26561,0.26011,0.16741,1.40244,1.93925,1.26729,0.00048317,0.00048317,0.00048317
19,567.385,1.26454,1.34002,1.18426,0.41694,0.26468,0.25336,0.16323,1.39627,1.94618,1.26268,0.00048218,0.00048218,0.00048218
20,596.798,1.26084,1.33317,1.19159,0.39623,0.27951,0.25532,0.16293,1.41479,1.93987,1.27362,0.00048119,0.00048119,0.00048119
21,626.193,1.2398,1.28901,1.17488,0.39433,0.27064,0.25817,0.16698,1.4035,1.94626,1.26958,0.0004802,0.0004802,0.0004802
22,655.533,1.22946,1.26628,1.16533,0.39828,0.27157,0.26535,0.17115,1.39906,1.94159,1.26908,0.00047921,0.00047921,0.00047921
23,684.916,1.22381,1.24162,1.16263,0.43279,0.2555,0.26294,0.16599,1.40891,1.94154,1.2673,0.00047822,0.00047822,0.00047822
24,714.153,1.21941,1.23914,1.16391,0.39824,0.2786,0.2604,0.16447,1.41916,1.94651,1.27351,0.00047723,0.00047723,0.00047723
25,743.442,1.20647,1.22519,1.15994,0.37414,0.2845,0.26145,0.16521,1.40939,1.96218,1.27872,0.00047624,0.00047624,0.00047624
26,772.974,1.21431,1.19483,1.15386,0.41012,0.26628,0.26136,0.16498,1.41771,1.97209,1.27919,0.00047525,0.00047525,0.00047525
27,802.374,1.19552,1.19938,1.1539,0.41053,0.27932,0.2703,0.17266,1.40709,1.9529,1.27775,0.00047426,0.00047426,0.00047426
28,831.729,1.19853,1.17791,1.1538,0.43325,0.27954,0.26599,0.16822,1.41573,1.96367,1.27698,0.00047327,0.00047327,0.00047327
29,860.947,1.1854,1.16034,1.14399,0.39022,0.28151,0.26108,0.16562,1.41112,1.96516,1.2745,0.00047228,0.00047228,0.00047228
30,890.235,1.194,1.15252,1.14708,0.43956,0.27138,0.26803,0.1688,1.41515,1.98121,1.27258,0.00047129,0.00047129,0.00047129
31,919.477,1.17193,1.13508,1.13568,0.41426,0.28062,0.26366,0.1641,1.40768,1.99435,1.27804,0.0004703,0.0004703,0.0004703
32,948.683,1.17145,1.1268,1.14213,0.41319,0.28837,0.26319,0.16905,1.40468,1.98394,1.27328,0.00046931,0.00046931,0.00046931
33,977.853,1.17382,1.10208,1.13708,0.41748,0.27609,0.26417,0.16935,1.40651,1.99672,1.27234,0.00046832,0.00046832,0.00046832
34,1007,1.15525,1.08865,1.1311,0.39645,0.28711,0.26577,0.16932,1.42123,1.98172,1.28439,0.00046733,0.00046733,0.00046733
35,1036.19,1.15453,1.08814,1.12572,0.40622,0.27658,0.26566,0.16875,1.42345,1.99062,1.2798,0.00046634,0.00046634,0.00046634
36,1065.31,1.14045,1.06193,1.11688,0.42361,0.27246,0.27281,0.17093,1.4231,1.99966,1.28785,0.00046535,0.00046535,0.00046535
37,1094.48,1.14895,1.0685,1.12395,0.37005,0.30228,0.27329,0.17281,1.41788,1.98229,1.28285,0.00046436,0.00046436,0.00046436
38,1123.78,1.13867,1.04763,1.11986,0.39763,0.26771,0.26204,0.16637,1.42532,2.01528,1.29272,0.00046337,0.00046337,0.00046337
