epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.004,0.97933,4.38161,1.16876,0.32488,0.05379,0.03565,0.02313,1.71225,3.75698,1.53912,0.0670294,0.000333037,0.000333037
2,501.292,0.80686,2.74623,1.06289,0.18437,0.07331,0.04853,0.02991,1.8868,3.60021,1.63515,0.034028,0.000665051,0.000665051
3,740.314,0.73944,2.17717,1.02145,0.17521,0.06972,0.04903,0.0276,1.99378,3.59576,1.67828,0.0010254,0.000995745,0.000995745
4,976.565,0.7038,1.89455,1.0003,0.2273,0.07436,0.06098,0.03736,1.96507,3.65579,1.67434,0.00099406,0.00099406,0.00099406
5,1212.84,0.6709,1.69144,0.98106,0.20637,0.07775,0.06063,0.03315,1.99901,3.76384,1.72735,0.00099208,0.00099208,0.00099208
6,1448.11,0.64681,1.55682,0.96983,0.17244,0.07821,0.05892,0.03421,2.07836,3.85448,1.77069,0.0009901,0.0009901,0.0009901
7,1683.02,0.63199,1.4441,0.95944,0.25098,0.0894,0.06513,0.03615,2.02835,3.72447,1.70992,0.00098812,0.00098812,0.00098812
8,1917.8,0.61464,1.37656,0.95513,0.2412,0.07388,0.05989,0.03324,2.1365,3.69407,1.73917,0.00098614,0.00098614,0.00098614
9,2153.02,0.60868,1.3143,0.95054,0.23595,0.07558,0.06431,0.03573,2.14149,3.787,1.778,0.00098416,0.00098416,0.00098416
10,2387.91,0.59298,1.25536,0.9432,0.24086,0.08998,0.07329,0.04281,2.06814,3.6527,1.70707,0.00098218,0.00098218,0.00098218
11,2623.36,0.5868,1.21519,0.9407,0.2456,0.08355,0.06614,0.03782,2.13648,3.69486,1.77681,0.0009802,0.0009802,0.0009802
12,2858.7,0.58111,1.17787,0.93639,0.24541,0.08815,0.06626,0.03611,2.13601,3.69598,1.77567,0.00097822,0.00097822,0.00097822
13,3093.91,0.57198,1.13525,0.93252,0.28054,0.08311,0.07042,0.03813,2.14639,3.87359,1.79938,0.00097624,0.00097624,0.00097624
14,3328.66,0.56784,1.10945,0.9302,0.2847,0.07692,0.06491,0.03764,2.10505,3.8503,1.75646,0.00097426,0.00097426,0.00097426
15,3563.3,0.56052,1.08663,0.92602,0.24047,0.07397,0.06155,0.03536,2.18759,4.12648,1.8279,0.00097228,0.00097228,0.00097228
16,3797.9,0.5537,1.05683,0.92283,0.24277,0.08965,0.07615,0.04047,2.09582,3.88987,1.77069,0.0009703,0.0009703,0.0009703
17,4033.06,0.55034,1.02844,0.92218,0.26771,0.06718,0.0539,0.02872,2.25406,4.31971,1.90642,0.00096832,0.00096832,0.00096832
18,4268.11,0.54548,1.00963,0.91853,0.2278,0.07331,0.05792,0.03266,2.20423,4.13116,1.84836,0.00096634,0.00096634,0.00096634
19,4502.41,0.54023,0.99074,0.91603,0.29301,0.07327,0.0571,0.03241,2.19384,4.34268,1.88705,0.00096436,0.00096436,0.00096436
20,4737.2,0.53497,0.96673,0.91292,0.30296,0.08549,0.06901,0.03747,2.14495,3.93933,1.8031,0.00096238,0.00096238,0.00096238
21,4971.98,0.53174,0.94867,0.912,0.24287,0.08322,0.06505,0.03525,2.15078,4.06387,1.81973,0.0009604,0.0009604,0.0009604
22,5206.45,0.52561,0.93645,0.91022,0.25709,0.0887,0.06471,0.03544,2.21451,3.94703,1.8539,0.00095842,0.00095842,0.00095842
23,5440.96,0.52719,0.91859,0.90909,0.21694,0.08266,0.06528,0.03676,2.14958,4.00625,1.8239,0.00095644,0.00095644,0.00095644
24,5675.55,0.52461,0.90763,0.90677,0.22281,0.08229,0.06036,0.03448,2.1722,4.111,1.85518,0.00095446,0.00095446,0.00095446
25,5909.54,0.51873,0.8902,0.90393,0.24066,0.08198,0.06321,0.0363,2.19916,4.1416,1.8655,0.00095248,0.00095248,0.00095248
