epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8687,1.81741,2.93487,1.59752,0.27866,0.18598,0.15796,0.0976,1.63347,2.39186,1.43752,0.0670554,0.000232238,0.000232238
2,103.379,1.57744,2.26906,1.40473,0.39578,0.2149,0.19066,0.12179,1.4985,2.15782,1.33933,0.0339545,0.000464649,0.000464649
3,163.292,1.49566,2.07786,1.33466,0.43199,0.22407,0.21112,0.13833,1.44874,2.08759,1.30859,0.000852631,0.000696137,0.000696137
4,242.444,1.44573,1.98757,1.30275,0.40165,0.24452,0.2275,0.14918,1.41521,2.01126,1.28118,0.000695842,0.000695842,0.000695842
5,328.208,1.4158,1.90121,1.29094,0.46914,0.23439,0.23379,0.15551,1.40372,1.98836,1.27221,0.000694456,0.000694456,0.000694456
6,415.719,1.384,1.79333,1.26389,0.41263,0.272,0.2455,0.16231,1.38684,1.95049,1.26274,0.00069307,0.00069307,0.00069307
7,504.392,1.35607,1.72896,1.25187,0.43106,0.27396,0.25098,0.1649,1.38965,1.95524,1.25526,0.000691684,0.000691684,0.000691684
8,593.168,1.34661,1.71026,1.24168,0.39441,0.29459,0.25988,0.17074,1.37683,1.90969,1.25991,0.000690298,0.000690298,0.000690298
9,683.615,1.34538,1.64884,1.23844,0.42891,0.25997,0.2502,0.16491,1.3786,1.93109,1.2516,0.000688912,0.000688912,0.000688912
10,772.948,1.3171,1.6016,1.22384,0.43213,0.26698,0.26085,0.1729,1.37589,1.89307,1.25095,0.000687526,0.000687526,0.000687526
11,862.44,1.29253,1.56001,1.21538,0.35657,0.2964,0.26689,0.17306,1.37669,1.90833,1.25289,0.00068614,0.00068614,0.00068614
12,951.022,1.29097,1.53988,1.2116,0.44346,0.27583,0.26886,0.17644,1.39495,1.92981,1.2651,0.000684754,0.000684754,0.000684754
13,1040.41,1.28504,1.50391,1.20536,0.40022,0.26906,0.26757,0.17441,1.3791,1.89974,1.25224,0.000683368,0.000683368,0.000683368
14,1130.08,1.25328,1.4623,1.193,0.36958,0.30272,0.27702,0.17986,1.37744,1.89037,1.25689,0.000681982,0.000681982,0.000681982
15,1219.52,1.25976,1.44045,1.19124,0.41266,0.28968,0.27738,0.1821,1.37317,1.89062,1.25508,0.000680596,0.000680596,0.000680596
16,1308.66,1.2488,1.40811,1.18465,0.38657,0.28798,0.27386,0.1796,1.37968,1.89668,1.25237,0.00067921,0.00067921,0.00067921
17,1397.07,1.2422,1.41194,1.18447,0.40326,0.27254,0.26747,0.17224,1.37156,1.89681,1.25759,0.000677824,0.000677824,0.000677824
18,1486.34,1.21877,1.36118,1.17438,0.38968,0.28191,0.27082,0.1743,1.38342,1.90045,1.25823,0.000676438,0.000676438,0.000676438
19,1574.54,1.23063,1.34995,1.16812,0.41276,0.28168,0.26658,0.17296,1.37732,1.93258,1.26495,0.000675052,0.000675052,0.000675052
20,1661.35,1.22381,1.34875,1.17421,0.41048,0.29865,0.27076,0.17505,1.37486,1.90885,1.25714,0.000673666,0.000673666,0.000673666
21,1752.82,1.20042,1.29028,1.15729,0.40704,0.29259,0.26805,0.17297,1.38139,1.92943,1.25896,0.00067228,0.00067228,0.00067228
22,1842.11,1.18765,1.26778,1.14762,0.4155,0.28222,0.27192,0.17619,1.38894,1.94134,1.26231,0.000670894,0.000670894,0.000670894
23,1930.37,1.18515,1.24276,1.14473,0.43433,0.29122,0.27218,0.17673,1.37708,1.90916,1.26319,0.000669508,0.000669508,0.000669508
24,2019.48,1.18816,1.24428,1.1472,0.40344,0.2865,0.26879,0.17468,1.3869,1.92192,1.2681,0.000668122,0.000668122,0.000668122
25,2108.5,1.17169,1.21863,1.14075,0.38982,0.28566,0.27405,0.17695,1.38778,1.94506,1.26703,0.000666736,0.000666736,0.000666736
26,2197.08,1.18186,1.19488,1.13997,0.41038,0.29174,0.27752,0.17892,1.40325,1.92279,1.27331,0.00066535,0.00066535,0.00066535
27,2284.85,1.15991,1.19388,1.1349,0.40324,0.28744,0.2738,0.17731,1.39731,1.9612,1.27512,0.000663964,0.000663964,0.000663964
28,2372.84,1.15863,1.17662,1.13189,0.42952,0.27085,0.27406,0.17915,1.39615,1.94988,1.27702,0.000662578,0.000662578,0.000662578
29,2461.25,1.15543,1.15771,1.12798,0.39148,0.28538,0.2717,0.17667,1.38949,1.95598,1.27595,0.000661192,0.000661192,0.000661192
30,2550.92,1.15749,1.14479,1.13045,0.4504,0.27033,0.26541,0.17246,1.39534,1.96703,1.27156,0.000659806,0.000659806,0.000659806
31,2641.01,1.13495,1.1307,1.11884,0.45975,0.27863,0.27495,0.17567,1.40398,1.9857,1.27897,0.00065842,0.00065842,0.00065842
