epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.327,0.86188,3.95944,1.041,0.27643,0.09937,0.05761,0.03724,1.56582,2.99086,1.39259,0.0670219,0.000333113,0.000333113
2,391.349,0.69266,2.43125,0.95191,0.44857,0.14333,0.11885,0.07944,1.50479,2.4507,1.33223,0.0340205,0.000665126,0.000665126
3,577.506,0.65117,1.96616,0.93069,0.4122,0.17096,0.15509,0.1022,1.46425,2.31909,1.30474,0.0010179,0.00099582,0.00099582
4,761.836,0.63051,1.72373,0.92347,0.36542,0.21207,0.17801,0.11743,1.45934,2.22825,1.30673,0.00099406,0.00099406,0.00099406
5,946.447,0.60477,1.54408,0.91168,0.50496,0.20557,0.18862,0.1238,1.4646,2.18014,1.29118,0.00099208,0.00099208,0.00099208
6,1130.72,0.59306,1.43311,0.90811,0.46917,0.22964,0.20051,0.13184,1.4263,2.11809,1.2808,0.0009901,0.0009901,0.0009901
7,1315.1,0.58316,1.35097,0.90273,0.43188,0.22132,0.20586,0.13218,1.43496,2.07533,1.27447,0.00098812,0.00098812,0.00098812
8,1499.25,0.57534,1.28645,0.89983,0.44759,0.23427,0.22096,0.14196,1.43718,2.08615,1.27932,0.00098614,0.00098614,0.00098614
9,1683.97,0.56561,1.22895,0.89643,0.42127,0.22279,0.23141,0.15202,1.42788,2.02005,1.2721,0.00098416,0.00098416,0.00098416
10,1867.49,0.56305,1.19076,0.89554,0.4478,0.23817,0.2405,0.1519,1.44095,2.00881,1.27587,0.00098218,0.00098218,0.00098218
11,2051.14,inf,1.14952,0.89255,0.41961,0.24789,0.24049,0.15519,1.42001,1.98832,1.26317,0.0009802,0.0009802,0.0009802
12,2232.87,0.55357,1.12029,0.89182,0.40541,0.26879,0.23989,0.156,1.41631,1.96525,1.25869,0.00097822,0.00097822,0.00097822
13,2415,0.54542,1.082,0.88931,0.38924,0.27539,0.24957,0.16208,1.41939,1.95505,1.26369,0.00097624,0.00097624,0.00097624
14,2597.48,0.54193,1.05893,0.88714,0.37848,0.25767,0.24565,0.15956,1.42098,1.96705,1.25817,0.00097426,0.00097426,0.00097426
15,2781.74,0.54386,1.03819,0.88719,0.39873,0.26158,0.24731,0.16145,1.3961,1.94258,1.25188,0.00097228,0.00097228,0.00097228
16,2963.7,0.54061,1.01953,0.88774,0.42194,0.24701,0.24346,0.15637,1.4203,1.95564,1.24903,0.0009703,0.0009703,0.0009703
17,3147.96,0.53631,0.99568,0.88594,0.44326,0.25533,0.24885,0.16093,1.41705,1.91668,1.2581,0.00096832,0.00096832,0.00096832
18,3331.93,0.5333,0.97546,0.88477,0.39256,0.27478,0.25154,0.16364,1.4191,1.92198,1.25326,0.00096634,0.00096634,0.00096634
19,3516.23,0.52768,0.95858,0.88121,0.41811,0.2685,0.25512,0.16416,1.41874,1.91992,1.24888,0.00096436,0.00096436,0.00096436
20,3700.38,0.52943,0.94192,0.88224,0.40487,0.27938,0.26138,0.16737,1.40785,1.90612,1.25636,0.00096238,0.00096238,0.00096238
21,3884.8,0.52544,0.92682,0.88037,0.42765,0.2886,0.2628,0.16948,1.41212,1.90624,1.24819,0.0009604,0.0009604,0.0009604
22,4067.07,0.52583,0.91628,0.88137,0.4266,0.28087,0.26387,0.17268,1.41081,1.89648,1.25414,0.00095842,0.00095842,0.00095842
23,4248.81,0.52111,0.89815,0.87865,0.38176,0.29161,0.26203,0.16842,1.41022,1.8998,1.24964,0.00095644,0.00095644,0.00095644
24,4430.31,0.51813,0.88519,0.87775,0.43241,0.28048,0.2658,0.1699,1.41214,1.9132,1.25464,0.00095446,0.00095446,0.00095446
25,4611.89,0.51859,0.87494,0.87816,0.39899,0.29362,0.27159,0.17396,1.41588,1.89882,1.25758,0.00095248,0.00095248,0.00095248
26,4793.6,0.5167,0.86313,0.87749,0.42785,0.26475,0.26883,0.1727,1.41177,1.90294,1.25507,0.0009505,0.0009505,0.0009505
27,4976.15,0.5127,0.84976,0.87514,0.44442,0.26878,0.27248,0.17436,1.41187,1.90476,1.25476,0.00094852,0.00094852,0.00094852
28,5158.7,0.50998,0.84111,0.87533,0.38738,0.29822,0.27114,0.17597,1.40561,1.89886,1.24768,0.00094654,0.00094654,0.00094654
29,5341.67,0.51169,0.82909,0.8742,0.40271,0.29099,0.27225,0.17682,1.40705,1.90518,1.24757,0.00094456,0.00094456,0.00094456
30,5523.84,0.50671,0.82039,0.87298,0.40123,0.29951,0.27522,0.1784,1.40006,1.9032,1.2468,0.00094258,0.00094258,0.00094258
31,5706.17,0.51152,0.81744,0.87518,0.3887,0.30406,0.2797,0.17999,1.39577,1.89551,1.24372,0.0009406,0.0009406,0.0009406
32,5888.49,0.50785,0.80404,0.872,0.42651,0.28653,0.28232,0.17954,1.40221,1.8996,1.24869,0.00093862,0.00093862,0.00093862
33,6070.38,0.50437,0.79581,0.87233,0.41994,0.29804,0.2817,0.17987,1.40086,1.9072,1.24973,0.00093664,0.00093664,0.00093664
34,6252.03,0.50084,0.78575,0.87101,0.41261,0.30398,0.27857,0.17792,1.40302,1.90635,1.25176,0.00093466,0.00093466,0.00093466
35,6433.69,0.50104,0.77794,0.87021,0.41741,0.31034,0.27958,0.17866,1.40402,1.90707,1.25348,0.00093268,0.00093268,0.00093268
