epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.891,0.85394,3.96344,1.02794,0.3761,0.09482,0.06279,0.04102,1.54592,2.96411,1.38544,0.0670219,0.000333113,0.000333113
2,391.082,0.68948,2.40048,0.94727,0.42023,0.14522,0.12335,0.082,1.48567,2.43016,1.32411,0.0340205,0.000665126,0.000665126
3,576.869,0.64777,1.9428,0.92656,0.42917,0.17928,0.16111,0.10583,1.44579,2.28733,1.2897,0.0010179,0.00099582,0.00099582
4,760.886,0.62636,1.71093,0.91918,0.40531,0.18976,0.17411,0.11499,1.45684,2.24996,1.29286,0.00099406,0.00099406,0.00099406
5,944.505,0.60206,1.53217,0.90961,0.41697,0.23227,0.19309,0.12815,1.45843,2.16708,1.28245,0.00099208,0.00099208,0.00099208
6,1127.7,0.59047,1.42543,0.9072,0.46766,0.22483,0.20972,0.13787,1.41587,2.10517,1.27552,0.0009901,0.0009901,0.0009901
7,1310.79,0.57945,1.34133,0.90145,0.44246,0.23818,0.2264,0.14399,1.41436,2.04687,1.26729,0.00098812,0.00098812,0.00098812
8,1494.66,0.57149,1.27891,0.89824,0.42303,0.23541,0.21813,0.14156,1.42893,2.05476,1.27625,0.00098614,0.00098614,0.00098614
9,1677.8,0.56298,1.22255,0.8951,0.46091,0.23821,0.23081,0.14857,1.41827,2.01842,1.27463,0.00098416,0.00098416,0.00098416
10,1861.41,0.56011,1.18412,0.89433,0.42942,0.24731,0.23944,0.15566,1.4106,2.00239,1.26611,0.00098218,0.00098218,0.00098218
11,2045.12,0.55324,1.14377,0.89173,0.41595,0.25069,0.2386,0.15275,1.4053,1.98775,1.26365,0.0009802,0.0009802,0.0009802
12,2228.58,0.5505,1.11538,0.89072,0.45217,0.25284,0.23971,0.15508,1.41101,1.95494,1.26041,0.00097822,0.00097822,0.00097822
13,2410.77,0.54297,1.07833,0.88871,0.39908,0.27972,0.25406,0.16135,1.4077,1.94698,1.25902,0.00097624,0.00097624,0.00097624
14,2593.31,0.53976,1.0565,0.88646,0.44663,0.25041,0.25392,0.16423,1.41827,1.9531,1.26519,0.00097426,0.00097426,0.00097426
15,2777.21,0.54265,1.03414,0.88643,0.40495,0.26508,0.25059,0.16083,1.40796,1.9368,1.25693,0.00097228,0.00097228,0.00097228
16,2960.68,0.53842,1.01587,0.88618,0.3991,0.2689,0.25854,0.16452,1.41231,1.95703,1.26312,0.0009703,0.0009703,0.0009703
17,3144.28,0.53351,0.99293,0.88531,0.41761,0.28159,0.25931,0.16283,1.4114,1.92549,1.26117,0.00096832,0.00096832,0.00096832
18,3327.93,0.53102,0.97197,0.88358,0.44745,0.26588,0.25704,0.1628,1.4198,1.92259,1.26785,0.00096634,0.00096634,0.00096634
19,3510.37,0.52562,0.95533,0.87993,0.43168,0.26085,0.25824,0.16554,1.41822,1.91857,1.26313,0.00096436,0.00096436,0.00096436
20,3692.79,0.52737,0.94228,0.88079,0.44023,0.27573,0.26175,0.16683,1.41641,1.89466,1.2657,0.00096238,0.00096238,0.00096238
21,3876.51,0.52344,0.92465,0.87892,0.46547,0.28262,0.26686,0.16862,1.40307,1.88832,1.25703,0.0009604,0.0009604,0.0009604
22,4060.03,0.52362,0.91398,0.88019,0.45581,0.2762,0.27415,0.17423,1.4062,1.87587,1.262,0.00095842,0.00095842,0.00095842
23,4242.52,0.51869,0.89757,0.87776,0.44251,0.28058,0.26514,0.16992,1.40388,1.88593,1.25503,0.00095644,0.00095644,0.00095644
24,4424.38,0.51646,0.88234,0.87675,0.43888,0.28319,0.26935,0.17174,1.40992,1.89543,1.26533,0.00095446,0.00095446,0.00095446
25,4607.85,0.51631,0.8722,0.87643,0.45659,0.2744,0.26586,0.17045,1.40473,1.89028,1.26037,0.00095248,0.00095248,0.00095248
26,4791.25,0.51545,0.86268,0.87628,0.43388,0.28555,0.27044,0.1722,1.40254,1.89088,1.25716,0.0009505,0.0009505,0.0009505
27,4974.68,0.5107,0.84714,0.8737,0.42769,0.29313,0.2734,0.17503,1.40569,1.88946,1.2585,0.00094852,0.00094852,0.00094852
28,5158.59,0.50799,0.83776,0.8742,0.4296,0.29366,0.27431,0.17542,1.40464,1.88954,1.25865,0.00094654,0.00094654,0.00094654
29,5342.43,0.50978,0.8279,0.87353,0.45082,0.28669,0.27843,0.17686,1.41235,1.89737,1.26066,0.00094456,0.00094456,0.00094456
30,5526.04,0.50403,0.81709,0.87198,0.44009,0.2845,0.28272,0.18101,1.40685,1.88206,1.25834,0.00094258,0.00094258,0.00094258
31,5709.72,0.50971,0.81521,0.87395,0.42847,0.29566,0.28388,0.18086,1.40234,1.88035,1.25426,0.0009406,0.0009406,0.0009406
32,5893.25,0.5056,0.80184,0.87099,0.4132,0.29991,0.27957,0.17905,1.40598,1.88164,1.25624,0.00093862,0.00093862,0.00093862
33,6077.08,0.503,0.79312,0.87148,0.41557,0.30211,0.2823,0.18035,1.40644,1.88155,1.25801,0.00093664,0.00093664,0.00093664
34,6260.68,0.49864,0.78577,0.87054,0.41035,0.30294,0.27879,0.17843,1.4036,1.8878,1.25763,0.00093466,0.00093466,0.00093466
35,6444.38,0.50046,0.77795,0.87007,0.39996,0.30229,0.27697,0.17896,1.40332,1.88949,1.25668,0.00093268,0.00093268,0.00093268
36,6627.94,0.50052,0.77021,0.86938,0.42804,0.29358,0.27815,0.17913,1.40684,1.8887,1.25839,0.0009307,0.0009307,0.0009307
37,6812,0.49988,0.76698,0.8701,0.41802,0.29836,0.27908,0.17857,1.40893,1.88691,1.26051,0.00092872,0.00092872,0.00092872
38,6995.41,0.49568,0.7573,0.86768,0.41381,0.29794,0.27954,0.17937,1.41056,1.88943,1.26211,0.00092674,0.00092674,0.00092674
39,7178.71,0.49552,0.74988,0.86758,0.42706,0.28561,0.27769,0.17897,1.41147,1.89356,1.2626,0.00092476,0.00092476,0.00092476
40,7362.15,0.4942,0.74887,0.86807,0.43765,0.28826,0.27985,0.17927,1.41185,1.89605,1.26187,0.00092278,0.00092278,0.00092278
41,7544.6,0.49104,0.73795,0.86655,0.45758,0.28597,0.27932,0.17918,1.41152,1.89919,1.26155,0.0009208,0.0009208,0.0009208
42,7728.11,0.4925,0.73243,0.86629,0.45188,0.28662,0.27816,0.17905,1.4116,1.89901,1.26234,0.00091882,0.00091882,0.00091882
43,7911.46,0.4932,0.72825,0.86774,0.45667,0.28619,0.27934,0.18037,1.41296,1.8995,1.26325,0.00091684,0.00091684,0.00091684
44,8093.36,0.49043,0.71976,0.8658,0.42962,0.29745,0.27957,0.18016,1.414,1.90372,1.26452,0.00091486,0.00091486,0.00091486
45,8274.69,0.49104,0.71559,0.86553,0.4257,0.30172,0.28079,0.18083,1.4132,1.90503,1.26403,0.00091288,0.00091288,0.00091288
46,8456.03,0.49237,0.71173,0.8667,0.43435,0.29543,0.28111,0.18152,1.41214,1.90749,1.26327,0.0009109,0.0009109,0.0009109
47,8637.56,0.48676,0.7038,0.86435,0.42934,0.30114,0.28254,0.18243,1.4123,1.90787,1.2641,0.00090892,0.00090892,0.00090892
48,8818.97,0.48454,0.69943,0.86373,0.43545,0.29716,0.28386,0.18284,1.4128,1.90846,1.26423,0.00090694,0.00090694,0.00090694
49,9000.88,0.4853,0.69146,0.86426,0.43027,0.304,0.28436,0.18253,1.41272,1.91038,1.26456,0.00090496,0.00090496,0.00090496
50,9184.3,0.48879,0.69271,0.86364,0.44245,0.30516,0.28445,0.18306,1.4126,1.9121,1.2653,0.00090298,0.00090298,0.00090298
51,9368.06,0.48295,0.68605,0.86292,0.43142,0.30697,0.28456,0.1832,1.4125,1.91197,1.26574,0.000901,0.000901,0.000901
52,9551.55,0.48164,0.68063,0.86305,0.43479,0.30526,0.28493,0.18304,1.41347,1.91337,1.26692,0.00089902,0.00089902,0.00089902
53,9734.79,0.48335,0.67549,0.86275,0.44897,0.29876,0.28433,0.18281,1.41468,1.91329,1.26866,0.00089704,0.00089704,0.00089704
54,9918.43,0.48388,0.67415,0.86309,0.42306,0.30423,0.28363,0.18269,1.41502,1.91556,1.26908,0.00089506,0.00089506,0.00089506
55,10100.8,0.48262,0.66829,0.86344,0.42714,0.30057,0.28248,0.18207,1.41584,1.91823,1.2702,0.00089308,0.00089308,0.00089308
56,10282.8,0.47961,0.66188,0.86066,0.43085,0.30264,0.28242,0.18126,1.41518,1.91996,1.26956,0.0008911,0.0008911,0.0008911
57,10464.4,0.4807,0.658,0.86164,0.46224,0.29078,0.28341,0.18181,1.41556,1.92269,1.27053,0.00088912,0.00088912,0.00088912
58,10646.2,0.48184,0.65966,0.86218,0.46127,0.29406,0.28339,0.1815,1.41641,1.9266,1.27168,0.00088714,0.00088714,0.00088714
59,10828.2,0.47945,0.6546,0.86133,0.43889,0.30086,0.28318,0.18156,1.41677,1.92849,1.27218,0.00088516,0.00088516,0.00088516
60,11009.5,0.4762,0.64957,0.86147,0.45707,0.29387,0.28329,0.18186,1.41815,1.93248,1.2734,0.00088318,0.00088318,0.00088318
61,11192.8,0.47778,0.6488,0.86045,0.45641,0.29349,0.28354,0.18188,1.41941,1.93452,1.27461,0.0008812,0.0008812,0.0008812
62,11376,0.47598,0.64018,0.85914,0.45484,0.29395,0.28375,0.18173,1.42078,1.9377,1.27588,0.00087922,0.00087922,0.00087922
63,11559.2,0.47111,0.63297,0.85855,0.45792,0.29488,0.28407,0.18167,1.42239,1.94054,1.27722,0.00087724,0.00087724,0.00087724
64,11742.3,0.4739,0.63241,0.85956,0.45657,0.29384,0.28436,0.18179,1.42343,1.94332,1.27793,0.00087526,0.00087526,0.00087526
65,11925.7,0.4729,0.62893,0.85849,0.45519,0.29413,0.28468,0.18179,1.42354,1.94403,1.2786,0.00087328,0.00087328,0.00087328
66,12109.3,0.47053,0.62245,0.8579,0.45927,0.29085,0.28462,0.18168,1.42251,1.94553,1.27805,0.0008713,0.0008713,0.0008713
67,12292.5,0.47142,0.62307,0.8586,0.45763,0.29141,0.28436,0.18155,1.42364,1.94749,1.27934,0.00086932,0.00086932,0.00086932
68,12475.8,0.47121,0.61919,0.85811,0.4352,0.30153,0.28525,0.18133,1.42439,1.95007,1.2806,0.00086734,0.00086734,0.00086734
69,12659.1,0.46887,0.61605,0.85731,0.42441,0.30671,0.2853,0.18121,1.42506,1.95274,1.28151,0.00086536,0.00086536,0.00086536
70,12841.2,0.46857,0.61207,0.85653,0.43267,0.30648,0.28504,0.18133,1.42581,1.95514,1.28254,0.00086338,0.00086338,0.00086338
71,13022.9,0.47062,0.6129,0.85784,0.43235,0.30561,0.28536,0.18162,1.42555,1.9588,1.28203,0.0008614,0.0008614,0.0008614
72,13204.1,0.46604,0.60601,0.85734,0.43231,0.30605,0.28542,0.18138,1.42629,1.96134,1.28287,0.00085942,0.00085942,0.00085942
73,13386.5,0.46594,0.60288,0.85562,0.43459,0.30374,0.28525,0.18143,1.42732,1.96517,1.28375,0.00085744,0.00085744,0.00085744
74,13567.3,0.46512,0.60399,0.85659,0.45414,0.29161,0.28324,0.18029,1.42771,1.96861,1.28397,0.00085546,0.00085546,0.00085546
75,13748.5,0.46529,0.59839,0.8561,0.4483,0.29125,0.28422,0.18027,1.42809,1.97067,1.28458,0.00085348,0.00085348,0.00085348
76,13929.6,0.46824,0.59699,0.85566,0.44602,0.2962,0.28363,0.18006,1.42877,1.97211,1.28516,0.0008515,0.0008515,0.0008515
77,14111.3,0.46698,0.59369,0.85579,0.44633,0.29869,0.28339,0.18009,1.42941,1.97525,1.28604,0.00084952,0.00084952,0.00084952
78,14292.7,0.46236,0.59246,0.85514,0.4495,0.29875,0.28289,0.17942,1.43016,1.97659,1.2867,0.00084754,0.00084754,0.00084754
79,14473.8,0.46297,0.58842,0.85508,0.45158,0.30089,0.28379,0.17994,1.43091,1.97934,1.28741,0.00084556,0.00084556,0.00084556
80,14654.7,0.46165,0.5835,0.85429,0.45092,0.3016,0.28314,0.17989,1.43178,1.98286,1.28826,0.00084358,0.00084358,0.00084358
81,14836.5,0.45779,0.58266,0.85271,0.45141,0.30104,0.28233,0.1799,1.43169,1.98756,1.28838,0.0008416,0.0008416,0.0008416
82,15018.2,0.46028,0.58137,0.85391,0.44386,0.30182,0.28175,0.17962,1.43255,1.99157,1.28895,0.00083962,0.00083962,0.00083962
83,15200.1,0.46016,0.57714,0.85298,0.45494,0.30162,0.28201,0.17956,1.43343,1.99494,1.28954,0.00083764,0.00083764,0.00083764
84,15381.8,0.45954,0.57542,0.85269,0.45082,0.2997,0.28145,0.17881,1.43434,1.99891,1.29061,0.00083566,0.00083566,0.00083566
85,15563.1,0.45807,0.57158,0.85296,0.44997,0.30046,0.28088,0.17863,1.43424,2.00106,1.29115,0.00083368,0.00083368,0.00083368
86,15744.2,0.46093,0.5712,0.85421,0.44709,0.30046,0.28009,0.17841,1.43449,2.00324,1.2915,0.0008317,0.0008317,0.0008317
