epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.248,3.5991,6.62618,2.42653,0,0,0,0,3.67714,5.41241,2.22227,0.0670254,0.000333076,0.000333076
2,572.67,3.19345,5.74358,1.9366,0.00098,0.00517,0.00122,0.00057,3.66067,5.34323,2.08061,0.0340241,0.00066509,0.00066509
3,848.867,2.72252,5.05356,1.66142,0.00076,0.00303,0.00052,0.00016,3.7474,5.40979,2.03387,0.00102148,0.000995784,0.000995784
4,1122,2.3864,4.55213,1.48446,0.00119,0.00768,0.00101,0.0003,3.83111,5.66598,2.12656,0.00099406,0.00099406,0.00099406
5,1399.87,2.17897,4.20413,1.39065,0.00133,0.00726,0.00126,0.00053,3.83356,5.52003,2.08473,0.00099208,0.00099208,0.00099208
6,1673.08,2.053,3.95293,1.33639,0.00263,0.02228,0.0042,0.00205,3.67165,5.21513,1.98882,0.0009901,0.0009901,0.0009901
7,1947.19,1.9778,3.78863,1.30929,0.74994,0.00414,0.00352,0.00176,3.807,5.44426,2.10052,0.00098812,0.00098812,0.00098812
8,2222.07,1.91964,3.60376,1.28635,0.00259,0.0183,0.00408,0.00168,3.88474,4.95934,1.90125,0.00098614,0.00098614,0.00098614
9,2494.31,1.86323,3.36278,1.26345,0.00301,0.02708,0.00472,0.00132,3.762,4.96636,1.91732,0.00098416,0.00098416,0.00098416
10,2767.72,1.82419,3.19763,1.24826,0.00296,0.01728,0.00362,0.00139,3.79231,5.0477,1.83823,0.00098218,0.00098218,0.00098218
11,3040.97,1.78372,3.07555,1.23226,0.00283,0.01695,0.00299,0.00119,3.73535,5.24843,1.88231,0.0009802,0.0009802,0.0009802
12,3317.49,1.75636,2.98788,1.22143,0.00415,0.03273,0.00627,0.00227,3.76602,4.7079,1.824,0.00097822,0.00097822,0.00097822
13,3593.57,1.71847,2.89523,1.20821,0.16852,0.00576,0.00419,0.00152,3.83663,5.01211,1.87466,0.00097624,0.00097624,0.00097624
14,3867.86,1.70294,2.83148,1.20384,0.00263,0.01719,0.00324,0.00106,3.81358,5.041,1.87341,0.00097426,0.00097426,0.00097426
15,4141.97,1.67208,2.76848,1.1908,0.00805,0.01652,0.00459,0.0018,3.6662,4.81564,1.79101,0.00097228,0.00097228,0.00097228
16,4419.56,1.65397,2.71621,1.18619,0.2178,0.00979,0.00595,0.00207,3.65121,4.82683,1.81586,0.0009703,0.0009703,0.0009703
17,4693.99,1.63314,2.65176,1.18029,0.16478,0.00947,0.00601,0.00223,3.68818,4.9114,1.80007,0.00096832,0.00096832,0.00096832
18,4968.14,1.61394,2.60984,1.17438,0.00409,0.02085,0.00453,0.00165,3.79291,5.10279,1.84143,0.00096634,0.00096634,0.00096634
19,5245.53,1.60141,2.56437,1.16664,0.3087,0.00643,0.00562,0.00228,3.66507,4.96542,1.75461,0.00096436,0.00096436,0.00096436
20,5520.14,1.58048,2.50667,1.15861,0.37804,0.00826,0.00706,0.00258,3.66323,4.84528,1.80272,0.00096238,0.00096238,0.00096238
21,5796.03,1.56611,2.48119,1.15587,0.05442,0.01036,0.00545,0.00215,3.73665,4.92298,1.8201,0.0009604,0.0009604,0.0009604
22,6071.01,1.55391,2.45217,1.15348,0.04319,0.01061,0.00429,0.0017,3.83487,4.99904,1.80237,0.00095842,0.00095842,0.00095842
23,6349.73,1.54466,2.42731,1.15287,0.32338,0.00641,0.00622,0.00254,3.68352,4.80103,1.76851,0.00095644,0.00095644,0.00095644
24,6626.76,1.52764,2.37719,1.14419,0.37964,0.00653,0.0058,0.00256,3.65258,4.9268,1.75343,0.00095446,0.00095446,0.00095446
25,6904.02,1.52961,2.37266,1.14728,0.24405,0.0083,0.00543,0.00221,3.65603,5.06127,1.76162,0.00095248,0.00095248,0.00095248
26,7182.47,1.51401,2.33149,1.13937,0.37568,0.00556,0.00576,0.00232,3.60977,5.00711,1.75175,0.0009505,0.0009505,0.0009505
27,7458.95,1.4928,2.30778,1.13393,0.38918,0.00569,0.00557,0.00227,3.67586,4.95267,1.75797,0.00094852,0.00094852,0.00094852
28,7736.64,1.48888,2.28501,1.13125,0.3744,0.00687,0.00563,0.00237,3.69758,4.95186,1.7801,0.00094654,0.00094654,0.00094654
29,8012.73,1.48457,2.27127,1.13174,0.34843,0.00659,0.0057,0.0024,3.68511,4.93328,1.78519,0.00094456,0.00094456,0.00094456
30,8283.28,1.47911,2.25343,1.12964,0.30312,0.00593,0.00641,0.0024,3.63702,4.95366,1.77882,0.00094258,0.00094258,0.00094258
31,8549.85,1.46103,2.2161,1.12228,0.18535,0.00649,0.0046,0.00198,3.64395,5.10459,1.80534,0.0009406,0.0009406,0.0009406
32,8816.86,1.45324,2.18662,1.11817,0.38845,0.00573,0.00617,0.00243,3.64882,5.00972,1.79003,0.00093862,0.00093862,0.00093862
33,9083.85,1.44924,2.1673,1.11838,0.3876,0.0064,0.00551,0.00228,3.65466,4.97175,1.79118,0.00093664,0.00093664,0.00093664
34,9354.33,1.43901,2.16129,1.11604,0.30529,0.0065,0.00582,0.00239,3.61148,4.93787,1.76223,0.00093466,0.00093466,0.00093466
35,9622.14,1.4395,2.14508,1.11803,0.38079,0.00681,0.00671,0.00278,3.60497,4.88029,1.74188,0.00093268,0.00093268,0.00093268
36,9890.08,1.43163,2.13,1.11465,0.36596,0.00686,0.00698,0.003,3.58763,4.89815,1.73797,0.0009307,0.0009307,0.0009307
37,10164.7,1.42175,2.10848,1.10971,0.36998,0.00681,0.00703,0.00284,3.63028,4.88202,1.74317,0.00092872,0.00092872,0.00092872
38,10441.2,1.42379,2.10242,1.11281,0.34238,0.00605,0.00657,0.00259,3.6142,4.84939,1.74335,0.00092674,0.00092674,0.00092674
39,10717.7,1.40471,2.07237,1.10553,0.33251,0.00657,0.007,0.00278,3.5674,4.87844,1.75993,0.00092476,0.00092476,0.00092476
40,10993.6,1.40811,2.0672,1.10511,0.34276,0.00622,0.00702,0.00287,3.55603,4.94467,1.76887,0.00092278,0.00092278,0.00092278
41,11271.2,1.39919,2.04897,1.10331,0.34331,0.00693,0.00767,0.00318,3.53753,4.94429,1.77123,0.0009208,0.0009208,0.0009208
42,11547.2,1.39021,2.0367,1.10254,0.33184,0.00803,0.00795,0.00335,3.51362,4.96066,1.77886,0.00091882,0.00091882,0.00091882
43,11823.1,1.38221,2.01683,1.09593,0.33989,0.00777,0.00779,0.00332,3.51649,4.96241,1.78457,0.00091684,0.00091684,0.00091684
44,12101.7,1.38262,2.01503,1.10034,0.28628,0.00742,0.00696,0.00323,3.51442,4.94039,1.77695,0.00091486,0.00091486,0.00091486
45,12378,1.37544,1.98824,1.09527,0.36494,0.00727,0.0068,0.00318,3.51057,4.94982,1.78014,0.00091288,0.00091288,0.00091288
46,12654.4,1.37257,1.99015,1.09553,0.35014,0.00781,0.00747,0.00322,3.51327,4.93812,1.7777,0.0009109,0.0009109,0.0009109
47,12931.1,1.36873,1.97435,1.09582,0.33516,0.00756,0.00732,0.00316,3.51272,4.94567,1.77445,0.00090892,0.00090892,0.00090892
48,13209.4,1.36708,1.96702,1.09315,0.35383,0.0063,0.0066,0.00312,3.50608,4.94142,1.76902,0.00090694,0.00090694,0.00090694
49,13485.2,1.3569,1.95682,1.09117,0.35636,0.00718,0.00764,0.00327,3.50374,4.92836,1.76874,0.00090496,0.00090496,0.00090496
50,13762.4,1.35263,1.93913,1.08956,0.35576,0.00717,0.00746,0.00321,3.50578,4.92345,1.76925,0.00090298,0.00090298,0.00090298
51,14041.5,1.35615,1.93905,1.08974,0.35525,0.00645,0.00746,0.00318,3.50744,4.93115,1.76591,0.000901,0.000901,0.000901
52,14317.4,1.34747,1.92648,1.08868,0.35,0.00649,0.00759,0.00319,3.50198,4.93247,1.76263,0.00089902,0.00089902,0.00089902
53,14594.7,1.34265,1.9153,1.08754,0.37227,0.00711,0.00777,0.00332,3.49834,4.9287,1.76106,0.00089704,0.00089704,0.00089704
54,14871.2,1.33931,1.91562,1.08845,0.36655,0.00693,0.00772,0.00337,3.49911,4.93411,1.76,0.00089506,0.00089506,0.00089506
55,15149.5,1.33288,1.89421,1.08303,0.3721,0.00618,0.00754,0.00325,3.49755,4.93679,1.76188,0.00089308,0.00089308,0.00089308
56,15428.2,1.33069,1.87563,1.08262,0.37985,0.00619,0.0074,0.00307,3.4991,4.93397,1.76103,0.0008911,0.0008911,0.0008911
57,15707.2,1.3309,1.88319,1.08321,0.38938,0.0062,0.00736,0.003,3.50557,4.93698,1.7595,0.00088912,0.00088912,0.00088912
58,15987.2,1.31748,1.86029,1.07813,0.37366,0.00612,0.00719,0.00297,3.4993,4.933,1.76032,0.00088714,0.00088714,0.00088714
59,16263.7,1.3211,1.86007,1.08139,0.3809,0.00603,0.00699,0.00282,3.49875,4.93174,1.76146,0.00088516,0.00088516,0.00088516
60,16540.6,1.32304,1.86716,1.08082,0.40297,0.00604,0.00712,0.00293,3.4975,4.93455,1.76298,0.00088318,0.00088318,0.00088318
61,16817.6,1.31192,1.83739,1.07692,0.38879,0.00632,0.00712,0.00297,3.49864,4.93016,1.76263,0.0008812,0.0008812,0.0008812
62,17096.9,1.30917,1.82892,1.07475,0.38903,0.00633,0.00711,0.00298,3.49856,4.92584,1.76283,0.00087922,0.00087922,0.00087922
63,17373.1,1.31145,1.83007,1.07587,0.38895,0.00633,0.0071,0.00292,3.49949,4.92848,1.76385,0.00087724,0.00087724,0.00087724
64,17648.8,1.30207,1.81942,1.07218,0.39756,0.00634,0.00712,0.00301,3.49891,4.93281,1.76331,0.00087526,0.00087526,0.00087526
