epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3395,2.17741,5.10214,1.88238,0.67851,0.03855,0.02012,0.01314,1.55752,3.64532,1.46645,0.0671549,0.000331768,0.000331768
2,114.439,1.54698,3.35157,1.43362,0.6308,0.09052,0.06755,0.04555,1.44447,2.74327,1.34832,0.0341536,0.000663785,0.000663785
3,166.084,1.46541,2.79375,1.34761,0.64969,0.1303,0.09907,0.06769,1.3996,2.45829,1.31596,0.00115098,0.000994481,0.000994481
4,217.155,1.42288,2.53373,1.31151,0.6294,0.15124,0.13094,0.08717,1.38045,2.27351,1.28841,0.00099406,0.00099406,0.00099406
5,267.447,1.38785,2.34233,1.28952,0.61051,0.17534,0.15158,0.10227,1.36438,2.17782,1.28689,0.00099208,0.00099208,0.00099208
6,318.137,1.36189,2.18978,1.26127,0.54286,0.18808,0.15951,0.10664,1.35886,2.15712,1.26977,0.0009901,0.0009901,0.0009901
7,368.331,1.34069,2.08055,1.25459,0.57653,0.20777,0.1842,0.12364,1.34685,2.05055,1.2493,0.00098812,0.00098812,0.00098812
8,418.774,1.32732,2.01783,1.23542,0.55934,0.20524,0.19902,0.1303,1.34645,2.01003,1.26301,0.00098614,0.00098614,0.00098614
9,469.238,1.32798,1.92018,1.23557,0.48189,0.21875,0.20551,0.13571,1.34925,1.97225,1.25606,0.00098416,0.00098416,0.00098416
10,519.765,1.29941,1.85961,1.21921,0.50239,0.22352,0.20335,0.13118,1.34948,1.9878,1.24426,0.00098218,0.00098218,0.00098218
11,569.321,1.27704,1.80143,1.21212,0.44925,0.23453,0.21459,0.14118,1.3463,1.94199,1.25602,0.0009802,0.0009802,0.0009802
12,619.901,1.27499,1.75038,1.20403,0.46635,0.23388,0.21534,0.14243,1.37794,1.95744,1.25384,0.00097822,0.00097822,0.00097822
13,670.209,1.27275,1.70824,1.20055,0.39941,0.26374,0.21983,0.14473,1.35684,1.95041,1.23922,0.00097624,0.00097624,0.00097624
14,720.489,1.24522,1.6477,1.1886,0.49878,0.23255,0.22885,0.14969,1.34409,1.92011,1.23479,0.00097426,0.00097426,0.00097426
15,771.16,1.24566,1.60993,1.18161,0.4858,0.25923,0.23371,0.15165,1.34702,1.90873,1.24305,0.00097228,0.00097228,0.00097228
16,821.572,1.23153,1.54923,1.17118,0.44616,0.2628,0.22975,0.15031,1.35404,1.92953,1.24238,0.0009703,0.0009703,0.0009703
17,871.23,1.22963,1.56267,1.17164,0.39452,0.24859,0.22769,0.14853,1.35251,1.93888,1.24963,0.00096832,0.00096832,0.00096832
18,920.841,1.20651,1.50025,1.16354,0.44267,0.25577,0.23106,0.14833,1.37382,1.9365,1.259,0.00096634,0.00096634,0.00096634
19,970.469,1.21774,1.47965,1.15925,0.43056,0.27279,0.23544,0.15195,1.3763,1.93778,1.25994,0.00096436,0.00096436,0.00096436
20,1020.08,1.21157,1.47025,1.16449,0.41382,0.26867,0.23938,0.15591,1.35817,1.92597,1.25351,0.00096238,0.00096238,0.00096238
