epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5932,1.88365,5.03941,1.63097,0.66968,0.04308,0.0283,0.01852,1.49903,3.60832,1.40055,0.0671549,0.000331768,0.000331768
2,107.919,1.53499,3.38499,1.40941,0.68515,0.09656,0.06942,0.04629,1.43084,2.74165,1.33085,0.0341536,0.000663785,0.000663785
3,158.515,1.46521,2.78501,1.33801,0.68169,0.13014,0.10293,0.0693,1.40853,2.4782,1.30521,0.00115098,0.000994481,0.000994481
4,209.514,1.42441,2.53885,1.30865,0.63555,0.15689,0.13259,0.08823,1.37288,2.2479,1.28528,0.00099406,0.00099406,0.00099406
5,259.818,1.38895,2.33287,1.28719,0.63405,0.16888,0.1539,0.10344,1.37264,2.14304,1.28424,0.00099208,0.00099208,0.00099208
6,309.971,1.36381,2.17922,1.26392,0.58708,0.17873,0.16427,0.10926,1.35812,2.12297,1.26728,0.0009901,0.0009901,0.0009901
7,360.383,1.34125,2.06977,1.25511,0.57967,0.19464,0.17846,0.11893,1.34809,2.06717,1.25437,0.00098812,0.00098812,0.00098812
8,410.473,1.32871,2.0134,1.23672,0.59251,0.19469,0.19117,0.12626,1.34768,2.02101,1.25826,0.00098614,0.00098614,0.00098614
9,461.077,1.33012,1.92634,1.23801,0.51136,0.20784,0.19671,0.1307,1.35409,1.99894,1.26016,0.00098416,0.00098416,0.00098416
10,511.914,1.29861,1.85495,1.2197,0.58125,0.19621,0.20359,0.13478,1.36236,1.97187,1.25044,0.00098218,0.00098218,0.00098218
11,562.556,1.281,1.8032,1.21213,0.49908,0.21887,0.20946,0.13738,1.35925,1.98465,1.25327,0.0009802,0.0009802,0.0009802
12,614.697,1.27715,1.7512,1.20649,0.54386,0.23309,0.22333,0.14774,1.37117,1.96141,1.26701,0.00097822,0.00097822,0.00097822
13,665.338,1.27348,1.7082,1.2034,0.48199,0.22925,0.21942,0.14568,1.36212,1.94153,1.25206,0.00097624,0.00097624,0.00097624
14,714.833,1.24367,1.64899,1.18944,0.47264,0.23741,0.22451,0.14938,1.35408,1.92405,1.25103,0.00097426,0.00097426,0.00097426
15,764.997,1.24921,1.60405,1.18524,0.47964,0.23672,0.22856,0.15001,1.3472,1.93744,1.24801,0.00097228,0.00097228,0.00097228
16,824.243,1.23486,1.55579,1.17388,0.42414,0.26995,0.22615,0.14978,1.37049,1.93561,1.2553,0.0009703,0.0009703,0.0009703
17,874.765,1.22857,1.55842,1.17184,0.41768,0.25853,0.23305,0.15259,1.35342,1.92082,1.25053,0.00096832,0.00096832,0.00096832
18,924.954,1.2054,1.49736,1.16723,0.40489,0.26907,0.23734,0.15549,1.35521,1.90232,1.2586,0.00096634,0.00096634,0.00096634
19,979.55,1.21613,1.47978,1.15694,0.39481,0.26868,0.23225,0.1534,1.35883,1.9545,1.26607,0.00096436,0.00096436,0.00096436
20,1029.27,1.21201,1.47032,1.16793,0.43541,0.24846,0.24097,0.15833,1.35843,1.94814,1.25506,0.00096238,0.00096238,0.00096238
21,1079.72,1.18881,1.40333,1.14759,0.43858,0.26787,0.24474,0.16099,1.35644,1.9383,1.25057,0.0009604,0.0009604,0.0009604
22,1130.96,1.17906,1.3759,1.14443,0.37682,0.26675,0.24689,0.16013,1.36711,1.95661,1.2621,0.00095842,0.00095842,0.00095842
23,1192.71,1.17213,1.33946,1.13625,0.44606,0.23897,0.23891,0.1563,1.36637,1.91599,1.25361,0.00095644,0.00095644,0.00095644
24,1242.39,1.17447,1.33262,1.13926,0.46617,0.24224,0.24514,0.1589,1.36821,1.94256,1.25246,0.00095446,0.00095446,0.00095446
25,1299,1.15537,1.30376,1.13159,0.38455,0.29129,0.24532,0.15945,1.36747,1.95928,1.25021,0.00095248,0.00095248,0.00095248
26,1363.19,1.16869,1.27155,1.12781,0.41931,0.26742,0.251,0.16398,1.36535,1.95555,1.25422,0.0009505,0.0009505,0.0009505
27,1420.19,1.14381,1.27018,1.12494,0.3823,0.27811,0.24618,0.16119,1.36352,1.95685,1.25847,0.00094852,0.00094852,0.00094852
28,1472.42,1.14065,1.2366,1.12217,0.39388,0.28051,0.25032,0.16363,1.37321,1.96642,1.27036,0.00094654,0.00094654,0.00094654
29,1526.72,1.13887,1.21713,1.11757,0.39462,0.27272,0.25494,0.16353,1.3644,1.96886,1.26176,0.00094456,0.00094456,0.00094456
30,1576.21,1.14603,1.20905,1.12425,0.36883,0.28418,0.25681,0.16614,1.38186,1.96168,1.26549,0.00094258,0.00094258,0.00094258
31,1632.9,1.12062,1.17944,1.10847,0.37301,0.28249,0.25945,0.16704,1.37512,1.99207,1.26394,0.0009406,0.0009406,0.0009406
32,1691.16,1.12163,1.17214,1.11857,0.40605,0.27833,0.25586,0.16646,1.37275,1.97801,1.26081,0.00093862,0.00093862,0.00093862
33,1745.55,1.12546,1.14913,1.11089,0.36169,0.28316,0.25499,0.16556,1.37877,1.99407,1.26484,0.00093664,0.00093664,0.00093664
34,1804.87,1.10342,1.13195,1.1017,0.44133,0.24387,0.24787,0.16175,1.37817,2.00054,1.26846,0.00093466,0.00093466,0.00093466
35,1854.69,1.1096,1.12155,1.10199,0.45103,0.23553,0.257,0.16626,1.39081,1.99869,1.27151,0.00093268,0.00093268,0.00093268
36,1914.87,1.09034,1.09093,1.09062,0.43723,0.25958,0.24986,0.16267,1.39218,1.98494,1.2829,0.0009307,0.0009307,0.0009307
37,1964.8,1.09861,1.09257,1.09547,0.39652,0.28133,0.26,0.16601,1.40145,2.0081,1.28841,0.00092872,0.00092872,0.00092872
38,2016.03,1.08484,1.06547,1.09336,0.38367,0.27836,0.25396,0.16178,1.39902,2.01771,1.27663,0.00092674,0.00092674,0.00092674
39,2066.08,1.07176,1.045,1.08797,0.38882,0.25945,0.24796,0.15755,1.39741,2.06093,1.29309,0.00092476,0.00092476,0.00092476
40,2117.97,1.07961,1.04829,1.08859,0.4065,0.28053,0.26601,0.17234,1.3939,2.01503,1.27816,0.00092278,0.00092278,0.00092278
41,2171.41,1.07035,1.01804,1.07953,0.39213,0.27078,0.25583,0.16472,1.38979,2.04475,1.28226,0.0009208,0.0009208,0.0009208
42,2222.86,1.06667,1.01797,1.0809,0.34444,0.28275,0.25374,0.16332,1.40471,2.04469,1.29276,0.00091882,0.00091882,0.00091882
43,2275.66,1.04496,0.98911,1.07246,0.35048,0.27802,0.25275,0.16428,1.41588,2.07282,1.29458,0.00091684,0.00091684,0.00091684
44,2325.43,1.04868,0.99151,1.07523,0.42102,0.27347,0.26203,0.16895,1.4011,2.02998,1.28745,0.00091486,0.00091486,0.00091486
45,2377.93,1.05743,0.97602,1.06846,0.37937,0.27956,0.25503,0.16675,1.40462,2.02971,1.29205,0.00091288,0.00091288,0.00091288
46,2431.76,1.04081,0.97376,1.07171,0.4221,0.26426,0.26092,0.1716,1.40393,2.06737,1.2942,0.0009109,0.0009109,0.0009109
47,2483.9,1.04366,0.95949,1.06991,0.34791,0.28829,0.25536,0.1674,1.41031,2.07587,1.2919,0.00090892,0.00090892,0.00090892
48,2534.18,1.04011,0.96021,1.06653,0.45576,0.24809,0.2576,0.16772,1.41287,2.07002,1.29515,0.00090694,0.00090694,0.00090694
49,2586.19,1.03502,0.9326,1.06359,0.36031,0.28654,0.25385,0.16655,1.40795,2.09628,1.29523,0.00090496,0.00090496,0.00090496
50,2651.8,1.02434,0.93556,1.05717,0.3476,0.26757,0.24762,0.16211,1.41054,2.11174,1.29974,0.00090298,0.00090298,0.00090298
51,2702.08,1.01866,0.90801,1.05284,0.4163,0.26378,0.26146,0.16955,1.40526,2.12407,1.30017,0.000901,0.000901,0.000901
52,2764.11,1.01382,0.91239,1.05988,0.3887,0.26955,0.25922,0.16625,1.41668,2.10473,1.30608,0.00089902,0.00089902,0.00089902
53,2814.55,1.00956,0.89559,1.05524,0.36414,0.29586,0.25568,0.16669,1.41389,2.09511,1.29777,0.00089704,0.00089704,0.00089704
54,2874.47,1.00827,0.89023,1.05677,0.40629,0.25404,0.26205,0.16912,1.42646,2.11377,1.31405,0.00089506,0.00089506,0.00089506
55,2924.79,0.99988,0.8763,1.04963,0.39492,0.28054,0.26425,0.17055,1.4243,2.14243,1.31623,0.00089308,0.00089308,0.00089308
56,2976.92,0.99825,0.87746,1.04756,0.35659,0.2737,0.25408,0.16506,1.42415,2.1192,1.30989,0.0008911,0.0008911,0.0008911
57,3034.56,0.99405,0.86832,1.04766,0.42478,0.25706,0.25651,0.16855,1.42471,2.11988,1.31366,0.00088912,0.00088912,0.00088912
58,3094.85,0.9834,0.85404,1.03803,0.40206,0.281,0.25592,0.16455,1.42121,2.12344,1.30848,0.00088714,0.00088714,0.00088714
59,3146.83,0.98869,0.84571,1.03535,0.40238,0.27116,0.25486,0.16484,1.42232,2.16706,1.31004,0.00088516,0.00088516,0.00088516
60,3206.43,0.98523,0.8479,1.04745,0.35039,0.27869,0.25504,0.164,1.42016,2.11924,1.31452,0.00088318,0.00088318,0.00088318
