epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6011,3.64248,6.52632,2.23076,2e-05,0.00071,1e-05,0,3.743,5.29186,2.28375,0.0671549,0.000331768,0.000331768
2,107.316,3.61166,6.05476,2.11779,0.00011,0.00557,0.0001,3e-05,3.67721,4.84114,2.20894,0.0341536,0.000663785,0.000663785
3,157.972,3.52641,5.48742,2.03861,0.00022,0.01101,0.00045,0.00013,3.62762,4.60171,2.09889,0.00115098,0.000994481,0.000994481
4,208.769,3.49549,5.22689,1.99543,0.34914,0.00104,0.00087,0.00033,3.55017,4.47467,2.13966,0.00099406,0.00099406,0.00099406
5,259.631,3.41558,4.96819,1.94952,0.40447,0.00145,0.00208,0.00068,3.49598,4.34408,2.17213,0.00099208,0.00099208,0.00099208
6,310.008,3.3729,4.82593,1.93869,0.26621,0.00238,0.00223,0.00081,3.46422,4.28867,2.13492,0.0009901,0.0009901,0.0009901
7,360.424,3.3008,4.67624,1.93695,0.34753,0.00403,0.0033,0.00112,3.36335,4.22229,2.18944,0.00098812,0.00098812,0.00098812
8,411.325,3.28809,4.60645,1.91299,0.25666,0.00935,0.00281,0.0011,3.35594,4.15653,2.2074,0.00098614,0.00098614,0.00098614
9,461.429,3.26268,4.47251,1.88845,0.33764,0.00403,0.00263,0.00095,3.32971,4.11476,2.0439,0.00098416,0.00098416,0.00098416
10,511.494,3.22528,4.40432,1.89037,0.39968,0.00467,0.00341,0.00138,3.34213,4.11395,2.00499,0.00098218,0.00098218,0.00098218
11,562.133,3.21343,4.3138,1.88846,0.37196,0.0089,0.0045,0.00176,3.33996,3.92446,1.98274,0.0009802,0.0009802,0.0009802
12,613.074,3.18878,4.24367,1.87445,0.38294,0.00754,0.00388,0.00136,3.31299,4.04364,2.00136,0.00097822,0.00097822,0.00097822
13,662.97,3.14233,4.17212,1.85428,0.35529,0.00657,0.00535,0.0019,3.27823,3.92098,2.01012,0.00097624,0.00097624,0.00097624
14,713.575,3.11971,4.07573,1.8449,0.48871,0.00439,0.00515,0.00217,3.24848,4.27055,2.03809,0.00097426,0.00097426,0.00097426
15,764.186,3.12176,4.02361,1.83625,0.40248,0.00773,0.0069,0.00234,3.28842,3.91664,1.96081,0.00097228,0.00097228,0.00097228
16,814.686,3.1075,3.94078,1.82122,0.39462,0.00537,0.00339,0.00119,3.25045,4.29365,2.11225,0.0009703,0.0009703,0.0009703
17,864.315,3.07429,3.93603,1.81052,0.33565,0.00793,0.00614,0.00229,3.23164,3.97209,1.97335,0.00096832,0.00096832,0.00096832
