epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5977,1.92113,4.35125,1.69749,0.75196,0.05374,0.03568,0.02338,1.4796,3.18254,1.3992,0.0671549,0.000331768,0.000331768
2,108.172,1.49511,3.05189,1.39492,0.7198,0.09569,0.08007,0.05383,1.40272,2.6271,1.31076,0.0341536,0.000663785,0.000663785
3,159.824,1.44078,2.68963,1.33119,0.63407,0.13806,0.10942,0.07362,1.3805,2.40945,1.28249,0.00115098,0.000994481,0.000994481
4,210.745,1.40442,2.47687,1.29394,0.62972,0.15221,0.13548,0.09034,1.36492,2.25807,1.26016,0.00099406,0.00099406,0.00099406
5,261.614,1.37629,2.30291,1.27955,0.63064,0.15973,0.149,0.10243,1.35622,2.18962,1.25705,0.00099208,0.00099208,0.00099208
6,312.598,1.35522,2.15471,1.25122,0.57337,0.19165,0.16832,0.11203,1.34363,2.11606,1.24161,0.0009901,0.0009901,0.0009901
7,363.645,1.33222,2.05598,1.24591,0.5717,0.21524,0.18932,0.12726,1.34264,2.03295,1.23491,0.00098812,0.00098812,0.00098812
8,414.649,1.32176,2.00143,1.22644,0.5235,0.23082,0.19986,0.13345,1.33784,2.01591,1.24141,0.00098614,0.00098614,0.00098614
9,465.705,1.32477,1.90945,1.22952,0.52535,0.21827,0.20426,0.13553,1.3407,1.98048,1.24152,0.00098416,0.00098416,0.00098416
10,516.72,1.29454,1.84985,1.21133,0.48158,0.21937,0.20109,0.13227,1.34142,1.99184,1.22359,0.00098218,0.00098218,0.00098218
11,566.774,1.27292,1.78588,1.20349,0.47226,0.22818,0.21169,0.1411,1.33596,1.96179,1.23919,0.0009802,0.0009802,0.0009802
12,617.661,1.27287,1.74079,1.19759,0.45552,0.25263,0.22219,0.14663,1.3541,1.94738,1.24142,0.00097822,0.00097822,0.00097822
13,668.373,1.26417,1.70423,1.19404,0.5209,0.23127,0.23483,0.15402,1.34999,1.91616,1.23676,0.00097624,0.00097624,0.00097624
14,719.016,1.24152,1.64279,1.18091,0.48387,0.2399,0.23438,0.15496,1.34063,1.9301,1.23073,0.00097426,0.00097426,0.00097426
15,769.476,1.23651,1.60217,1.1726,0.53942,0.23299,0.24232,0.15922,1.33494,1.89703,1.23063,0.00097228,0.00097228,0.00097228
16,820.299,1.23279,1.55178,1.16899,0.46766,0.25623,0.23826,0.15716,1.3602,1.92146,1.23952,0.0009703,0.0009703,0.0009703
17,869.766,1.22238,1.55957,1.16485,0.47547,0.24742,0.25059,0.16322,1.35117,1.90972,1.24245,0.00096832,0.00096832,0.00096832
18,920.117,1.20261,1.49604,1.15813,0.4327,0.26249,0.24299,0.16008,1.34856,1.91484,1.23184,0.00096634,0.00096634,0.00096634
19,969.46,1.21462,1.47352,1.15314,0.45009,0.25409,0.2444,0.15961,1.35002,1.93687,1.24536,0.00096436,0.00096436,0.00096436
20,1018.92,1.20646,1.46142,1.15702,0.44557,0.28037,0.25695,0.1672,1.35997,1.91816,1.24794,0.00096238,0.00096238,0.00096238
