epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.377,1.91025,4.4111,1.68274,0.65892,0.05179,0.03515,0.02321,1.47561,3.22952,1.38961,0.0671549,0.000331768,0.000331768
2,106.743,1.49424,3.07709,1.39328,0.67259,0.09515,0.0721,0.04863,1.41237,2.67858,1.33192,0.0341536,0.000663785,0.000663785
3,157.861,1.44325,2.69033,1.33466,0.58831,0.13276,0.10484,0.07088,1.39564,2.42093,1.31101,0.00115098,0.000994481,0.000994481
4,208.43,1.4115,2.47596,1.30326,0.6227,0.15727,0.13518,0.08993,1.36765,2.22868,1.28165,0.00099406,0.00099406,0.00099406
5,258.883,1.38148,2.3023,1.29187,0.61347,0.17679,0.15381,0.1031,1.36547,2.16567,1.27658,0.00099208,0.00099208,0.00099208
6,309.288,1.36272,2.16027,1.26687,0.5543,0.19958,0.17474,0.11736,1.35275,2.08959,1.26534,0.0009901,0.0009901,0.0009901
7,359.952,1.33787,2.06124,1.25564,0.53487,0.21752,0.18364,0.12161,1.34537,2.08066,1.2554,0.00098812,0.00098812,0.00098812
8,410.379,1.33315,2.01226,1.24109,0.54328,0.20482,0.19753,0.12938,1.34385,2.00155,1.2588,0.00098614,0.00098614,0.00098614
9,461.141,1.32519,1.91235,1.23629,0.53679,0.22153,0.20581,0.13664,1.34808,1.9898,1.2631,0.00098416,0.00098416,0.00098416
10,511.286,1.30048,1.85571,1.2242,0.57307,0.2075,0.21057,0.14137,1.35559,1.9421,1.24914,0.00098218,0.00098218,0.00098218
11,561.326,1.27604,1.78851,1.21614,0.49394,0.23268,0.2143,0.13951,1.35667,1.9668,1.26786,0.0009802,0.0009802,0.0009802
12,609.851,1.27266,1.74468,1.20487,0.474,0.25173,0.23088,0.15332,1.35395,1.95146,1.2528,0.00097822,0.00097822,0.00097822
13,659.035,1.26918,1.70291,1.19991,0.44592,0.25965,0.23308,0.15519,1.36646,1.94407,1.24965,0.00097624,0.00097624,0.00097624
14,707.936,1.23925,1.64419,1.18716,0.48494,0.22773,0.21749,0.1443,1.35302,1.94953,1.24167,0.00097426,0.00097426,0.00097426
15,756.418,1.23889,1.59958,1.17857,0.49827,0.24419,0.23544,0.15599,1.34988,1.90465,1.24755,0.00097228,0.00097228,0.00097228
16,805.474,1.23382,1.56214,1.17295,0.43763,0.26148,0.2288,0.15076,1.35019,1.89695,1.24272,0.0009703,0.0009703,0.0009703
17,853.565,1.2271,1.56041,1.17435,0.4781,0.23713,0.23842,0.1551,1.35584,1.91342,1.25619,0.00096832,0.00096832,0.00096832
18,901.742,1.20582,1.49437,1.1661,0.51091,0.25564,0.23965,0.15739,1.34976,1.87785,1.24853,0.00096634,0.00096634,0.00096634
19,950.701,1.21372,1.47302,1.15742,0.46192,0.26533,0.23933,0.1566,1.3532,1.90848,1.25456,0.00096436,0.00096436,0.00096436
20,998.74,1.21054,1.46104,1.16348,0.50861,0.2473,0.24509,0.15994,1.36024,1.90078,1.25165,0.00096238,0.00096238,0.00096238
21,1047.71,1.18577,1.40554,1.14584,0.40002,0.28067,0.243,0.15772,1.37446,1.9152,1.25636,0.0009604,0.0009604,0.0009604
22,1095.72,1.17952,1.38057,1.14364,0.4144,0.26966,0.25146,0.16545,1.36985,1.94797,1.25982,0.00095842,0.00095842,0.00095842
23,1144.68,1.17267,1.34223,1.13425,0.4289,0.28101,0.25045,0.16368,1.35983,1.90646,1.25356,0.00095644,0.00095644,0.00095644
24,1193.04,1.17215,1.33549,1.13792,0.43009,0.27314,0.25021,0.16437,1.37237,1.92491,1.25267,0.00095446,0.00095446,0.00095446
25,1241.36,1.15391,1.30776,1.1296,0.37899,0.27765,0.25138,0.16465,1.36516,1.924,1.25022,0.00095248,0.00095248,0.00095248
26,1289.66,1.1655,1.27268,1.12634,0.44692,0.28415,0.26934,0.17366,1.36942,1.92073,1.25917,0.0009505,0.0009505,0.0009505
27,1338.69,1.14187,1.26997,1.12186,0.46534,0.25864,0.24966,0.16068,1.372,1.96414,1.26918,0.00094852,0.00094852,0.00094852
28,1387.06,1.13851,1.23611,1.11778,0.44572,0.26881,0.26666,0.17419,1.37,1.93998,1.25565,0.00094654,0.00094654,0.00094654
29,1436.04,1.13906,1.21982,1.11473,0.40843,0.28407,0.25668,0.1636,1.37103,1.96102,1.26346,0.00094456,0.00094456,0.00094456
30,1484.23,1.14269,1.2046,1.11901,0.36269,0.2783,0.25618,0.16764,1.37261,1.93222,1.26327,0.00094258,0.00094258,0.00094258
31,1532.75,1.1166,1.18402,1.10566,0.36392,0.27533,0.25212,0.16332,1.39434,1.95786,1.27272,0.0009406,0.0009406,0.0009406
32,1581.08,1.12105,1.16978,1.1136,0.4218,0.29058,0.26661,0.16955,1.38546,1.9237,1.27114,0.00093862,0.00093862,0.00093862
33,1629.07,1.12109,1.14305,1.10647,0.41848,0.26561,0.25899,0.16895,1.38495,1.97287,1.26846,0.00093664,0.00093664,0.00093664
34,1677.29,1.10294,1.12694,1.09806,0.38955,0.29614,0.25789,0.16604,1.38633,1.94878,1.26943,0.00093466,0.00093466,0.00093466
35,1725.66,1.10619,1.11979,1.09808,0.37836,0.26196,0.25346,0.16305,1.38954,1.98834,1.27008,0.00093268,0.00093268,0.00093268
36,1773.93,1.08792,1.09077,1.08805,0.39978,0.27401,0.25834,0.16809,1.39498,1.97236,1.27884,0.0009307,0.0009307,0.0009307
37,1822.1,1.09823,1.08606,1.0915,0.35247,0.28821,0.25706,0.16542,1.39164,1.97849,1.27415,0.00092872,0.00092872,0.00092872
38,1870.4,1.08052,1.06115,1.09089,0.43948,0.26808,0.25978,0.16713,1.39254,2.00145,1.27531,0.00092674,0.00092674,0.00092674
39,1918.68,1.06815,1.04079,1.08542,0.37422,0.28586,0.26112,0.16982,1.3932,2.01207,1.27268,0.00092476,0.00092476,0.00092476
40,1967.04,1.08186,1.05196,1.08671,0.35319,0.30482,0.27191,0.17365,1.39701,1.99069,1.27669,0.00092278,0.00092278,0.00092278
41,2016.03,1.06831,1.01167,1.07532,0.43599,0.2676,0.26186,0.16694,1.40457,2.00393,1.28167,0.0009208,0.0009208,0.0009208
42,2064.41,1.06644,1.02064,1.07827,0.36446,0.28013,0.26345,0.17277,1.40279,2.0058,1.28027,0.00091882,0.00091882,0.00091882
43,2112.78,1.04444,0.98793,1.07115,0.39189,0.2979,0.26614,0.17281,1.40849,2.0219,1.28362,0.00091684,0.00091684,0.00091684
44,2161.09,1.04566,0.98805,1.06862,0.40698,0.28139,0.25391,0.16533,1.40278,2.01131,1.28006,0.00091486,0.00091486,0.00091486
45,2209.38,1.05162,0.97258,1.06331,0.44117,0.269,0.2686,0.17462,1.39909,2.0349,1.28399,0.00091288,0.00091288,0.00091288
46,2258.38,1.03646,0.96864,1.06858,0.43011,0.27956,0.26108,0.16967,1.4041,2.03763,1.28724,0.0009109,0.0009109,0.0009109
47,2306.66,1.04034,0.96608,1.06662,0.40802,0.28203,0.27407,0.1779,1.40297,2.01735,1.28672,0.00090892,0.00090892,0.00090892
48,2356.01,1.0387,0.95274,1.06372,0.39027,0.28442,0.27378,0.17351,1.42229,2.03114,1.28995,0.00090694,0.00090694,0.00090694
