epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.905,1.70238,3.95828,1.51055,0.59147,0.0601,0.04634,0.03145,1.44996,3.1575,1.35762,0.0671549,0.000331768,0.000331768
2,107.145,1.49149,3.20152,1.3913,0.67914,0.09184,0.07966,0.05473,1.38595,2.65209,1.31215,0.0341536,0.000663785,0.000663785
3,158.971,1.44358,2.77987,1.3278,0.65089,0.13297,0.10813,0.07325,1.38303,2.44553,1.28863,0.00115098,0.000994481,0.000994481
4,210.808,1.40704,2.53087,1.29894,0.62825,0.15844,0.13528,0.09047,1.36405,2.23631,1.26453,0.00099406,0.00099406,0.00099406
5,262.311,1.38149,2.3443,1.28251,0.6212,0.17118,0.15481,0.10427,1.36392,2.16664,1.26535,0.00099208,0.00099208,0.00099208
6,313.715,1.35987,2.19119,1.25463,0.56732,0.18398,0.16951,0.11357,1.34567,2.09486,1.2587,0.0009901,0.0009901,0.0009901
7,365.421,1.33807,2.08452,1.25063,0.54225,0.20641,0.18303,0.12138,1.35045,2.03838,1.25576,0.00098812,0.00098812,0.00098812
8,417.023,1.32757,2.02112,1.23579,0.52826,0.21559,0.19557,0.13128,1.3455,2.00828,1.25439,0.00098614,0.00098614,0.00098614
9,468.632,1.32741,1.92485,1.23314,0.51888,0.21049,0.206,0.13757,1.35016,2.00196,1.257,0.00098416,0.00098416,0.00098416
10,520.255,1.29819,1.8575,1.21565,0.45169,0.24169,0.20317,0.13316,1.34811,1.98861,1.24259,0.00098218,0.00098218,0.00098218
11,571.236,1.27681,1.79161,1.20949,0.44838,0.25514,0.20831,0.13656,1.35119,1.96403,1.25301,0.0009802,0.0009802,0.0009802
12,622.588,1.27559,1.74766,1.20161,0.49997,0.25109,0.21929,0.14404,1.36636,1.93786,1.25432,0.00097822,0.00097822,0.00097822
13,674.438,1.27186,1.71185,1.19839,0.40215,0.26302,0.21874,0.14401,1.35578,1.94152,1.24897,0.00097624,0.00097624,0.00097624
14,725.698,1.23759,1.64724,1.18361,0.5007,0.22918,0.23121,0.15399,1.34925,1.90889,1.24264,0.00097426,0.00097426,0.00097426
