epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7046,1.73287,3.77113,1.49531,0.6177,0.06648,0.05177,0.03524,1.459,3.02784,1.34044,0.0671549,0.000331768,0.000331768
2,106.834,1.50125,3.09668,1.36259,0.66574,0.10542,0.08834,0.05955,1.40093,2.59954,1.30165,0.0341536,0.000663785,0.000663785
3,157.765,1.45233,2.7295,1.31484,0.69088,0.12923,0.11138,0.07538,1.39053,2.42882,1.2832,0.00115098,0.000994481,0.000994481
4,208.336,1.41431,2.51498,1.29998,0.62668,0.15747,0.14176,0.09471,1.37085,2.22143,1.27664,0.00099406,0.00099406,0.00099406
5,258.291,1.38579,2.32963,1.28388,0.57548,0.17621,0.15866,0.10606,1.37467,2.14296,1.27328,0.00099208,0.00099208,0.00099208
6,308.561,1.36582,2.18052,1.26243,0.54504,0.19444,0.17363,0.11439,1.37273,2.10329,1.27499,0.0009901,0.0009901,0.0009901
7,359.234,1.33745,2.08067,1.25133,0.55128,0.21002,0.18295,0.11992,1.35071,2.05923,1.24519,0.00098812,0.00098812,0.00098812
8,410.774,1.32701,2.01267,1.23143,0.55652,0.21069,0.19625,0.12906,1.33674,2.02108,1.25746,0.00098614,0.00098614,0.00098614
9,462.163,1.33001,1.91699,1.23654,0.58279,0.19026,0.20194,0.132,1.34492,1.98144,1.24878,0.00098416,0.00098416,0.00098416
10,512.91,1.30641,1.85991,1.22005,0.53815,0.22632,0.20956,0.13644,1.36348,1.96007,1.24646,0.00098218,0.00098218,0.00098218
11,563.522,1.28147,1.79063,1.21053,0.46893,0.24716,0.22121,0.1461,1.34484,1.94219,1.24357,0.0009802,0.0009802,0.0009802
12,614.579,1.27728,1.74737,1.20371,0.53286,0.24104,0.2321,0.15331,1.36775,1.94853,1.25266,0.00097822,0.00097822,0.00097822
13,665.396,1.27194,1.70561,1.19807,0.48756,0.23462,0.23006,0.1511,1.36123,1.96104,1.24369,0.00097624,0.00097624,0.00097624
14,715.273,1.24426,1.64027,1.18783,0.49691,0.24781,0.2315,0.15442,1.35116,1.91602,1.23394,0.00097426,0.00097426,0.00097426
15,766.587,1.24437,1.59162,1.18107,0.44716,0.26476,0.23751,0.1574,1.3478,1.92317,1.24043,0.00097228,0.00097228,0.00097228
16,817.947,1.23499,1.54969,1.17049,0.42131,0.25681,0.23433,0.15554,1.35596,1.91572,1.24197,0.0009703,0.0009703,0.0009703
17,868.693,1.22871,1.5577,1.17058,0.43323,0.25108,0.23458,0.15428,1.35346,1.9421,1.24858,0.00096832,0.00096832,0.00096832
18,919.254,1.20754,1.49906,1.16535,0.44235,0.26662,0.2435,0.16093,1.36365,1.90874,1.24384,0.00096634,0.00096634,0.00096634
19,971.046,1.21774,1.47319,1.15401,0.42745,0.2511,0.23701,0.15604,1.35967,1.94572,1.25275,0.00096436,0.00096436,0.00096436
20,1022.05,1.21595,1.46976,1.16433,0.4272,0.2641,0.24342,0.15879,1.3572,1.94028,1.24063,0.00096238,0.00096238,0.00096238
21,1073.17,1.19323,1.39725,1.14637,0.41138,0.28186,0.24936,0.1637,1.35707,1.92116,1.24428,0.0009604,0.0009604,0.0009604
22,1124.87,1.18007,1.36825,1.14126,0.41507,0.26582,0.25066,0.16593,1.36367,1.96422,1.24606,0.00095842,0.00095842,0.00095842
23,1176.22,1.1744,1.33697,1.13455,0.43988,0.25039,0.25213,0.16585,1.37192,1.92596,1.25244,0.00095644,0.00095644,0.00095644
24,1228.17,1.17522,1.33153,1.135,0.44915,0.2592,0.25622,0.16846,1.36493,1.92419,1.23592,0.00095446,0.00095446,0.00095446
25,1279.8,1.15696,1.29727,1.12939,0.42723,0.25792,0.24964,0.16125,1.3721,1.96811,1.2433,0.00095248,0.00095248,0.00095248
26,1331.03,1.16788,1.26859,1.12472,0.42031,0.26398,0.26025,0.16794,1.37307,1.93589,1.24947,0.0009505,0.0009505,0.0009505
27,1382.05,1.15036,1.26965,1.12629,0.41232,0.2826,0.25269,0.16708,1.37461,1.95659,1.25717,0.00094852,0.00094852,0.00094852
28,1433.1,1.14193,1.23045,1.12,0.46987,0.24503,0.25111,0.16391,1.38732,1.96202,1.26154,0.00094654,0.00094654,0.00094654
