epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3702,1.56019,3.3014,1.4119,0.68717,0.07978,0.06615,0.0443,1.43111,2.80152,1.33327,0.0671549,0.000331768,0.000331768
2,106.631,1.47401,2.94097,1.35203,0.67509,0.11466,0.0946,0.06399,1.39236,2.5362,1.30161,0.0341536,0.000663785,0.000663785
3,157.889,1.44113,2.66766,1.31276,0.65615,0.14639,0.11403,0.0756,1.39046,2.40445,1.29564,0.00115098,0.000994481,0.000994481
4,208.448,1.40391,2.47835,1.28617,0.59626,0.16506,0.14012,0.09358,1.37108,2.2577,1.27034,0.00099406,0.00099406,0.00099406
5,258.492,1.37666,2.31007,1.27647,0.55389,0.18969,0.15281,0.1023,1.36051,2.16241,1.26388,0.00099208,0.00099208,0.00099208
6,308.727,1.3538,2.15894,1.25086,0.55035,0.19764,0.16624,0.10996,1.35247,2.1554,1.26198,0.0009901,0.0009901,0.0009901
7,358.597,1.33515,2.07219,1.24687,0.56083,0.19477,0.18356,0.12359,1.36328,2.07331,1.25336,0.00098812,0.00098812,0.00098812
8,408.566,1.32582,2.01128,1.23173,0.54792,0.20042,0.19709,0.13081,1.35061,2.0099,1.25723,0.00098614,0.00098614,0.00098614
9,458.426,1.3255,1.91162,1.22851,0.49543,0.21947,0.19898,0.13123,1.35971,2.01018,1.25697,0.00098416,0.00098416,0.00098416
10,508.096,1.29574,1.84053,1.21308,0.50782,0.19912,0.19638,0.12945,1.35534,1.97966,1.24339,0.00098218,0.00098218,0.00098218
11,556.967,1.27288,1.78114,1.20632,0.46901,0.23906,0.21338,0.14054,1.35592,1.95865,1.24763,0.0009802,0.0009802,0.0009802
12,606.456,1.26966,1.73641,1.1995,0.48218,0.23278,0.22202,0.14583,1.37705,1.95639,1.25529,0.00097822,0.00097822,0.00097822
