epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8398,1.96451,3.08442,1.60714,0.5695,0.11857,0.09939,0.06151,1.59444,2.49918,1.37069,0.0671549,0.000331768,0.000331768
2,64.363,1.53601,2.61543,1.35554,0.58222,0.15383,0.12424,0.08242,1.43592,2.32034,1.29171,0.0341536,0.000663785,0.000663785
3,94.2198,1.45828,2.44014,1.30609,0.58518,0.17037,0.13892,0.09263,1.39642,2.24502,1.27912,0.00115098,0.000994481,0.000994481
4,123.866,1.41296,2.32626,1.2813,0.51939,0.17814,0.16084,0.10543,1.36975,2.13569,1.25449,0.00099406,0.00099406,0.00099406
5,153.696,1.3833,2.20846,1.27007,0.55224,0.18489,0.17126,0.11238,1.37939,2.10881,1.26984,0.00099208,0.00099208,0.00099208
6,183.251,1.35787,2.07671,1.24092,0.4703,0.19927,0.17624,0.11634,1.3732,2.10094,1.25706,0.0009901,0.0009901,0.0009901
7,212.675,1.33289,1.98932,1.23843,0.49391,0.22214,0.19186,0.12519,1.37057,2.05991,1.24465,0.00098812,0.00098812,0.00098812
8,242.073,1.32951,1.94888,1.22209,0.53934,0.21779,0.20038,0.13377,1.35344,2.02018,1.24979,0.00098614,0.00098614,0.00098614
9,271.328,1.32787,1.84857,1.22087,0.48023,0.23353,0.20455,0.13498,1.35635,2.01097,1.2439,0.00098416,0.00098416,0.00098416
10,300.634,1.29628,1.79869,1.20568,0.41532,0.24152,0.20734,0.13751,1.36221,1.96257,1.22928,0.00098218,0.00098218,0.00098218
11,329.875,1.27611,1.74221,1.20077,0.44533,0.24848,0.21187,0.14088,1.34814,1.95741,1.24681,0.0009802,0.0009802,0.0009802
12,359.188,1.27237,1.70034,1.19307,0.47113,0.24371,0.22758,0.1498,1.37967,1.95958,1.24527,0.00097822,0.00097822,0.00097822
13,388.913,1.26613,1.65755,1.18481,0.43422,0.26272,0.22654,0.14527,1.36252,1.94356,1.24037,0.00097624,0.00097624,0.00097624
14,418.109,1.23618,1.60425,1.17501,0.46722,0.23598,0.22178,0.14647,1.3693,1.9414,1.24528,0.00097426,0.00097426,0.00097426
15,447.252,1.23982,1.5608,1.1697,0.44263,0.24731,0.22859,0.14922,1.34416,1.92569,1.23832,0.00097228,0.00097228,0.00097228
16,476.41,1.2316,1.51807,1.16237,0.41239,0.27163,0.23445,0.15231,1.36926,1.93873,1.24458,0.0009703,0.0009703,0.0009703
17,505.728,1.22433,1.52763,1.16151,0.38431,0.28182,0.24936,0.16273,1.35525,1.92292,1.24394,0.00096832,0.00096832,0.00096832
18,535.006,1.20713,1.4663,1.15567,0.47573,0.25196,0.24596,0.15905,1.36969,1.90809,1.24313,0.00096634,0.00096634,0.00096634
19,564.365,1.2122,1.44449,1.14603,0.44994,0.28127,0.23835,0.15391,1.37036,1.92483,1.24164,0.00096436,0.00096436,0.00096436
20,593.626,1.20862,1.43225,1.15274,0.4212,0.28564,0.24292,0.15678,1.36751,1.93294,1.24125,0.00096238,0.00096238,0.00096238
21,622.743,1.18595,1.37307,1.13681,0.42793,0.25615,0.24139,0.15817,1.37431,1.95793,1.25691,0.0009604,0.0009604,0.0009604
22,652.166,1.17815,1.34967,1.13055,0.44483,0.25657,0.24855,0.16146,1.37917,1.94632,1.24711,0.00095842,0.00095842,0.00095842
23,681.566,1.17055,1.30927,1.12244,0.47172,0.2463,0.24034,0.15638,1.36911,1.91214,1.24366,0.00095644,0.00095644,0.00095644
24,710.721,1.17298,1.31008,1.12721,0.41302,0.26883,0.24634,0.16175,1.37408,1.93833,1.24157,0.00095446,0.00095446,0.00095446
25,740.875,1.15448,1.27992,1.12275,0.40447,0.27402,0.24895,0.16196,1.37832,1.92932,1.23939,0.00095248,0.00095248,0.00095248
26,770.452,1.16671,1.24834,1.11663,0.4722,0.25824,0.2499,0.16161,1.39128,1.94575,1.25426,0.0009505,0.0009505,0.0009505
27,799.884,1.14299,1.25553,1.11428,0.43852,0.26506,0.24975,0.16142,1.37747,1.94657,1.2517,0.00094852,0.00094852,0.00094852
28,830.28,1.14189,1.2212,1.11246,0.4758,0.25987,0.25533,0.16441,1.38225,1.92724,1.25271,0.00094654,0.00094654,0.00094654
29,862.074,1.13971,1.19863,1.10878,0.42673,0.27634,0.24838,0.16008,1.38199,1.97263,1.25034,0.00094456,0.00094456,0.00094456
30,891.518,1.14522,1.1908,1.10955,0.39147,0.28352,0.2561,0.16815,1.38072,1.92367,1.24884,0.00094258,0.00094258,0.00094258
31,920.907,1.12027,1.16332,1.10121,0.46333,0.25801,0.25001,0.16297,1.3834,1.95566,1.25706,0.0009406,0.0009406,0.0009406
32,950.329,1.11527,1.15325,1.10335,0.44384,0.25778,0.24404,0.15812,1.38992,1.96093,1.25322,0.00093862,0.00093862,0.00093862
33,979.658,1.12011,1.11849,1.09865,0.44846,0.24586,0.24409,0.15707,1.39924,1.99516,1.26053,0.00093664,0.00093664,0.00093664
34,1009.07,1.10041,1.10945,1.08938,0.45506,0.25207,0.24632,0.15994,1.39299,1.98941,1.264,0.00093466,0.00093466,0.00093466
35,1038.32,1.10636,1.10538,1.08989,0.38334,0.27599,0.24794,0.16104,1.39767,1.98957,1.26629,0.00093268,0.00093268,0.00093268
36,1067.89,1.09086,1.07068,1.0819,0.41786,0.27378,0.24842,0.1619,1.41205,1.99412,1.28015,0.0009307,0.0009307,0.0009307
37,1097.19,1.09472,1.06892,1.08345,0.39086,0.28119,0.25628,0.16464,1.41034,1.99109,1.27524,0.00092872,0.00092872,0.00092872
38,1126.53,1.08481,1.05229,1.08457,0.4371,0.26432,0.26065,0.17064,1.40635,2.00169,1.26941,0.00092674,0.00092674,0.00092674
39,1156,1.06754,1.02442,1.07802,0.33591,0.28399,0.23931,0.15238,1.40707,2.03432,1.27787,0.00092476,0.00092476,0.00092476
40,1185.56,1.07712,1.03891,1.07826,0.44069,0.25195,0.25407,0.16602,1.40705,1.99203,1.26933,0.00092278,0.00092278,0.00092278
41,1214.77,1.06443,0.9999,1.06765,0.36103,0.28185,0.25241,0.15932,1.41803,2.05014,1.28428,0.0009208,0.0009208,0.0009208
42,1244.15,1.06335,1.00487,1.07181,0.36944,0.28231,0.25298,0.16058,1.42069,2.03139,1.28091,0.00091882,0.00091882,0.00091882
43,1273.5,1.04133,0.97041,1.06273,0.38371,0.26971,0.25201,0.15947,1.4223,2.06307,1.283,0.00091684,0.00091684,0.00091684
44,1303.12,1.04229,0.97163,1.06036,0.35905,0.29553,0.25335,0.16434,1.4171,2.02312,1.2804,0.00091486,0.00091486,0.00091486
45,1332.71,1.04866,0.95963,1.05537,0.38061,0.2721,0.25384,0.16313,1.41928,2.05925,1.29019,0.00091288,0.00091288,0.00091288
46,1362.08,1.03458,0.95829,1.06069,0.39546,0.26755,0.25463,0.16185,1.4213,2.05887,1.28422,0.0009109,0.0009109,0.0009109
47,1391.41,1.03886,0.945,1.05992,0.38874,0.27778,0.25961,0.1655,1.42071,2.03868,1.28689,0.00090892,0.00090892,0.00090892
48,1420.54,1.03448,0.94613,1.05529,0.41467,0.27926,0.26532,0.16816,1.41111,2.04,1.28487,0.00090694,0.00090694,0.00090694
49,1449.81,1.03121,0.9177,1.05312,0.39458,0.27104,0.2505,0.15941,1.42934,2.06951,1.29399,0.00090496,0.00090496,0.00090496
50,1479.08,1.02188,0.92422,1.05026,0.36084,0.28624,0.25592,0.16654,1.42644,2.03769,1.2921,0.00090298,0.00090298,0.00090298
51,1508.39,1.01475,0.90209,1.04501,0.40401,0.28831,0.26228,0.16551,1.42456,2.02824,1.29224,0.000901,0.000901,0.000901
52,1537.72,1.01064,0.8958,1.04975,0.36054,0.28224,0.25212,0.16218,1.42612,2.05089,1.28989,0.00089902,0.00089902,0.00089902
53,1567,1.00621,0.87944,1.04687,0.3748,0.28266,0.25768,0.16371,1.42669,2.03591,1.28933,0.00089704,0.00089704,0.00089704
54,1596.27,1.00146,0.87997,1.04506,0.37001,0.27652,0.25518,0.16606,1.44406,2.09751,1.30704,0.00089506,0.00089506,0.00089506
55,1625.6,0.9956,0.86525,1.03749,0.39151,0.26938,0.25182,0.16478,1.42697,2.10932,1.29948,0.00089308,0.00089308,0.00089308
56,1655.09,0.99272,0.86699,1.03911,0.40031,0.26706,0.25695,0.16506,1.42378,2.08768,1.30071,0.0008911,0.0008911,0.0008911
57,1684.59,0.99321,0.86251,1.04121,0.3765,0.29575,0.25955,0.16536,1.4284,2.12456,1.29958,0.00088912,0.00088912,0.00088912
58,1713.82,0.98027,0.84338,1.03287,0.39267,0.27596,0.26514,0.16768,1.41416,2.09183,1.28725,0.00088714,0.00088714,0.00088714
59,1743.06,0.98321,0.84157,1.02846,0.38166,0.27552,0.25897,0.16608,1.43695,2.11739,1.30079,0.00088516,0.00088516,0.00088516
60,1772.91,0.97746,0.83896,1.03351,0.37891,0.27513,0.26068,0.16704,1.4342,2.10811,1.31003,0.00088318,0.00088318,0.00088318
61,1802.28,0.98187,0.8344,1.02688,0.4099,0.27643,0.26514,0.16842,1.43986,2.10451,1.30531,0.0008812,0.0008812,0.0008812
62,1831.51,0.96851,0.81569,1.01948,0.38022,0.26735,0.2584,0.16428,1.43542,2.12297,1.31115,0.00087922,0.00087922,0.00087922
63,1860.78,0.97184,0.81912,1.02234,0.38429,0.2861,0.26861,0.16969,1.44385,2.13371,1.31808,0.00087724,0.00087724,0.00087724
64,1890.14,0.97058,0.8151,1.0175,0.42202,0.27097,0.26397,0.16804,1.43069,2.13541,1.30957,0.00087526,0.00087526,0.00087526
65,1919.57,0.95735,0.79898,1.01916,0.37992,0.27873,0.26252,0.1669,1.4329,2.0991,1.30452,0.00087328,0.00087328,0.00087328
66,1949.46,0.95789,0.80502,1.01474,0.35884,0.28649,0.26596,0.16899,1.43668,2.14277,1.314,0.0008713,0.0008713,0.0008713
67,1978.75,0.95978,0.79373,1.02025,0.38277,0.28701,0.26834,0.17246,1.42805,2.13584,1.2997,0.00086932,0.00086932,0.00086932
68,2008.18,0.9527,0.79233,1.00891,0.35352,0.29895,0.26663,0.1691,1.44692,2.14133,1.31418,0.00086734,0.00086734,0.00086734
69,2037.7,0.95285,0.78622,1.01672,0.3426,0.2803,0.25848,0.16433,1.44243,2.15441,1.3182,0.00086536,0.00086536,0.00086536
70,2066.96,0.94868,0.76985,1.01884,0.398,0.27318,0.2584,0.16383,1.44981,2.16527,1.32293,0.00086338,0.00086338,0.00086338
71,2096.19,0.93994,0.7664,1.00841,0.40027,0.26418,0.26138,0.16744,1.43999,2.17203,1.31446,0.0008614,0.0008614,0.0008614
72,2125.38,0.93633,0.76978,1.01361,0.44665,0.25855,0.26232,0.16493,1.44342,2.16514,1.32125,0.00085942,0.00085942,0.00085942
73,2154.57,0.94158,0.76214,1.00584,0.35879,0.2873,0.26287,0.16629,1.44352,2.15897,1.32165,0.00085744,0.00085744,0.00085744
74,2183.7,0.92936,0.74434,1.00724,0.38142,0.28361,0.26956,0.17303,1.43669,2.15331,1.30545,0.00085546,0.00085546,0.00085546
75,2213.05,0.92893,0.75526,1.00411,0.37868,0.28644,0.26237,0.16573,1.45273,2.17759,1.32771,0.00085348,0.00085348,0.00085348
76,2242.31,0.92097,0.75286,0.99819,0.39466,0.28367,0.26728,0.16719,1.44593,2.18768,1.32786,0.0008515,0.0008515,0.0008515
77,2271.56,0.91805,0.7428,0.99873,0.40577,0.28681,0.26624,0.16765,1.44275,2.17461,1.32248,0.00084952,0.00084952,0.00084952
78,2300.87,0.90972,0.7333,0.99437,0.41363,0.27233,0.26438,0.16588,1.45009,2.18357,1.32697,0.00084754,0.00084754,0.00084754
79,2330.42,0.92214,0.73663,1.00055,0.41494,0.27186,0.26432,0.16633,1.45334,2.21367,1.33511,0.00084556,0.00084556,0.00084556
80,2359.8,0.91775,0.73571,0.99965,0.41758,0.27643,0.26256,0.1644,1.45985,2.20423,1.34035,0.00084358,0.00084358,0.00084358
81,2389,0.90408,0.72093,0.99487,0.36427,0.28954,0.2627,0.16467,1.45023,2.20576,1.32649,0.0008416,0.0008416,0.0008416
82,2418.16,0.91006,0.72323,0.99439,0.45504,0.26785,0.27558,0.17115,1.45272,2.19115,1.33559,0.00083962,0.00083962,0.00083962
83,2447.47,0.89754,0.70902,0.99254,0.36386,0.284,0.25878,0.16449,1.45313,2.21431,1.33049,0.00083764,0.00083764,0.00083764
84,2476.68,0.90394,0.71166,0.99528,0.47692,0.25291,0.26425,0.16563,1.44793,2.18637,1.33413,0.00083566,0.00083566,0.00083566
85,2505.99,0.89601,0.70374,0.9884,0.38315,0.28455,0.26621,0.16782,1.45204,2.19541,1.33054,0.00083368,0.00083368,0.00083368
86,2535.16,0.89348,0.69981,0.98782,0.37767,0.28857,0.26889,0.1692,1.45298,2.23869,1.33813,0.0008317,0.0008317,0.0008317
87,2564.49,0.888,0.70873,0.98882,0.36385,0.28444,0.26118,0.16486,1.45698,2.21042,1.33802,0.00082972,0.00082972,0.00082972
88,2593.76,0.88789,0.68874,0.9831,0.4895,0.25756,0.26942,0.16999,1.4523,2.21138,1.33559,0.00082774,0.00082774,0.00082774
89,2623.35,0.89018,0.69252,0.98569,0.44282,0.27353,0.26929,0.17214,1.45235,2.20183,1.33139,0.00082576,0.00082576,0.00082576
90,2652.49,0.88441,0.68978,0.98531,0.40486,0.27816,0.25852,0.16431,1.45862,2.22115,1.33382,0.00082378,0.00082378,0.00082378
91,2681.64,0.87372,0.68179,0.97979,0.35571,0.27489,0.26853,0.168,1.45434,2.24107,1.33276,0.0008218,0.0008218,0.0008218
92,2710.97,0.8747,0.6874,0.98005,0.44679,0.2686,0.26536,0.16641,1.46201,2.22353,1.34132,0.00081982,0.00081982,0.00081982
93,2740.19,0.86457,0.67059,0.97666,0.40345,0.27638,0.26361,0.16679,1.46126,2.2437,1.34792,0.00081784,0.00081784,0.00081784
94,2769.33,0.8711,0.67571,0.98474,0.42604,0.26442,0.26449,0.16872,1.4642,2.23345,1.34878,0.00081586,0.00081586,0.00081586
95,2798.64,0.87386,0.68009,0.98021,0.43232,0.27333,0.26219,0.16705,1.45975,2.23305,1.34353,0.00081388,0.00081388,0.00081388
96,2828.38,0.86818,0.66659,0.97382,0.35909,0.27887,0.26001,0.16313,1.45892,2.27602,1.34393,0.0008119,0.0008119,0.0008119
97,2857.6,0.86249,0.67174,0.97316,0.33715,0.27151,0.26067,0.16542,1.46533,2.24587,1.35124,0.00080992,0.00080992,0.00080992
98,2886.85,0.85521,0.66456,0.9746,0.36765,0.28741,0.26021,0.16636,1.45331,2.24239,1.33911,0.00080794,0.00080794,0.00080794
99,2916.09,0.85688,0.66038,0.97351,0.35216,0.27977,0.2534,0.16206,1.46269,2.25397,1.34737,0.00080596,0.00080596,0.00080596
100,2945.49,0.8534,0.65396,0.97116,0.40131,0.25307,0.25799,0.16392,1.46645,2.26677,1.34412,0.00080398,0.00080398,0.00080398
101,2974.88,0.84248,0.65271,0.97334,0.39104,0.28581,0.26707,0.16816,1.45996,2.23177,1.34769,0.000802,0.000802,0.000802
102,3004,0.84561,0.65674,0.96941,0.40897,0.2556,0.25722,0.16498,1.46272,2.24517,1.34146,0.00080002,0.00080002,0.00080002
103,3033.07,0.84504,0.64649,0.96918,0.4019,0.25967,0.25605,0.16319,1.46335,2.25524,1.35,0.00079804,0.00079804,0.00079804
104,3062.35,0.84905,0.65015,0.97023,0.43735,0.26636,0.26176,0.16445,1.47176,2.25955,1.35167,0.00079606,0.00079606,0.00079606
105,3091.88,0.85194,0.64968,0.97232,0.37523,0.28049,0.26289,0.16634,1.48173,2.26818,1.36503,0.00079408,0.00079408,0.00079408
106,3121.31,0.83178,0.63143,0.96578,0.36052,0.27813,0.26213,0.16555,1.46976,2.30002,1.36022,0.0007921,0.0007921,0.0007921
107,3151.3,0.83427,0.63801,0.96057,0.38401,0.27676,0.25881,0.16419,1.45978,2.25861,1.34892,0.00079012,0.00079012,0.00079012
108,3180.55,0.8323,0.63328,0.96777,0.38866,0.27758,0.26112,0.1672,1.46873,2.28243,1.357,0.00078814,0.00078814,0.00078814
109,3209.94,0.82302,0.63015,0.96148,0.38498,0.28675,0.25831,0.16602,1.46406,2.28392,1.35734,0.00078616,0.00078616,0.00078616
110,3239.28,0.82169,0.6365,0.96423,0.40223,0.26816,0.26257,0.16757,1.46707,2.28992,1.35609,0.00078418,0.00078418,0.00078418
111,3268.48,0.8258,0.62667,0.96029,0.38776,0.27779,0.26206,0.16605,1.46226,2.2603,1.35241,0.0007822,0.0007822,0.0007822
112,3297.69,0.82684,0.63024,0.9623,0.414,0.27071,0.25667,0.16198,1.4778,2.29254,1.35885,0.00078022,0.00078022,0.00078022
113,3326.84,0.8262,0.62466,0.96263,0.45808,0.25478,0.26134,0.16283,1.47764,2.26591,1.36673,0.00077824,0.00077824,0.00077824
114,3356.01,0.81841,0.62443,0.9584,0.40965,0.27637,0.26166,0.16602,1.47108,2.27802,1.36026,0.00077626,0.00077626,0.00077626
115,3385.19,0.80913,0.61368,0.95621,0.42555,0.2714,0.26276,0.16549,1.47567,2.28524,1.36428,0.00077428,0.00077428,0.00077428
116,3414.44,0.81426,0.61348,0.95223,0.38283,0.28594,0.26235,0.16716,1.47703,2.2992,1.36369,0.0007723,0.0007723,0.0007723
117,3443.7,0.81206,0.6183,0.96106,0.48372,0.2465,0.26588,0.16754,1.47878,2.29378,1.36139,0.00077032,0.00077032,0.00077032
118,3473.18,0.81129,0.61088,0.95342,0.413,0.27448,0.27064,0.17108,1.46889,2.30998,1.36091,0.00076834,0.00076834,0.00076834
119,3502.32,0.80512,0.60363,0.95294,0.43235,0.26879,0.26716,0.1694,1.46369,2.28948,1.3559,0.00076636,0.00076636,0.00076636
120,3531.55,0.79564,0.59849,0.94932,0.48175,0.25325,0.26637,0.16878,1.47045,2.27656,1.3642,0.00076438,0.00076438,0.00076438
121,3560.74,0.79967,0.60377,0.95151,0.40218,0.27909,0.26252,0.16668,1.46134,2.30431,1.35683,0.0007624,0.0007624,0.0007624
122,3589.93,0.79646,0.59979,0.94951,0.41609,0.26519,0.26363,0.16601,1.47136,2.31579,1.36965,0.00076042,0.00076042,0.00076042
123,3619.15,0.79809,0.59713,0.95365,0.4203,0.27354,0.27258,0.1719,1.46917,2.33258,1.3602,0.00075844,0.00075844,0.00075844
124,3648.35,0.79062,0.59514,0.94606,0.41275,0.27595,0.26818,0.17066,1.47315,2.32457,1.36602,0.00075646,0.00075646,0.00075646
125,3677.69,0.79832,0.59902,0.94854,0.45896,0.25965,0.26542,0.16994,1.46684,2.32364,1.36044,0.00075448,0.00075448,0.00075448
126,3706.96,0.78573,0.5952,0.94601,0.41883,0.27128,0.26159,0.16566,1.47203,2.32008,1.36752,0.0007525,0.0007525,0.0007525
127,3736.12,0.7901,0.59373,0.94598,0.41691,0.2702,0.26047,0.1667,1.47199,2.33017,1.36769,0.00075052,0.00075052,0.00075052
128,3765.3,0.79729,0.59988,0.95121,0.3788,0.27693,0.26157,0.16629,1.47338,2.32404,1.37416,0.00074854,0.00074854,0.00074854
129,3794.49,0.77962,0.58107,0.94034,0.41309,0.28128,0.26479,0.16725,1.46661,2.32006,1.36696,0.00074656,0.00074656,0.00074656
130,3823.59,0.78973,0.58335,0.94499,0.36518,0.27805,0.25909,0.16447,1.47089,2.33096,1.36819,0.00074458,0.00074458,0.00074458
131,3852.76,0.77335,0.57922,0.94242,0.33383,0.29111,0.26053,0.16596,1.46916,2.33483,1.36984,0.0007426,0.0007426,0.0007426
132,3881.98,0.78803,0.58999,0.94608,0.40615,0.28477,0.26586,0.16905,1.47587,2.3335,1.38015,0.00074062,0.00074062,0.00074062
133,3911.25,0.77718,0.57656,0.93908,0.40581,0.2867,0.26704,0.16935,1.47619,2.32882,1.37368,0.00073864,0.00073864,0.00073864
134,3940.89,0.77355,0.57714,0.9447,0.38958,0.2829,0.26527,0.16803,1.47635,2.30803,1.37603,0.00073666,0.00073666,0.00073666
135,3970.39,0.7766,0.5822,0.93962,0.44808,0.27182,0.26613,0.16912,1.47409,2.34527,1.3708,0.00073468,0.00073468,0.00073468
136,3999.64,0.77695,0.57537,0.93941,0.44095,0.27542,0.26676,0.16951,1.46957,2.36244,1.37051,0.0007327,0.0007327,0.0007327
137,4028.74,0.7711,0.57346,0.93966,0.39076,0.27554,0.2639,0.1695,1.46987,2.35829,1.37265,0.00073072,0.00073072,0.00073072
138,4058.03,0.76569,0.56644,0.93713,0.41209,0.27429,0.26317,0.16784,1.47096,2.34877,1.37191,0.00072874,0.00072874,0.00072874
139,4087.25,0.74857,0.55878,0.93364,0.38191,0.28372,0.26657,0.16928,1.47227,2.36607,1.37356,0.00072676,0.00072676,0.00072676
140,4116.61,0.76918,0.57219,0.93889,0.40568,0.2869,0.26904,0.17167,1.47519,2.35948,1.37563,0.00072478,0.00072478,0.00072478
141,4145.72,0.75534,0.56515,0.93295,0.37962,0.28768,0.2635,0.16803,1.47603,2.37299,1.37418,0.0007228,0.0007228,0.0007228
142,4174.95,0.75895,0.56667,0.93355,0.38443,0.27939,0.26326,0.16701,1.47556,2.36226,1.37649,0.00072082,0.00072082,0.00072082
143,4204.17,0.76088,0.55933,0.93474,0.43826,0.25686,0.25869,0.16409,1.47056,2.36639,1.36985,0.00071884,0.00071884,0.00071884
144,4233.52,0.75815,0.56276,0.93503,0.42037,0.268,0.25912,0.16518,1.47109,2.36567,1.37047,0.00071686,0.00071686,0.00071686
145,4262.76,0.75005,0.55086,0.93022,0.39754,0.27814,0.26402,0.16721,1.46278,2.36443,1.36906,0.00071488,0.00071488,0.00071488
146,4291.99,0.75257,0.56025,0.93248,0.38929,0.27977,0.26421,0.16794,1.47351,2.3507,1.37952,0.0007129,0.0007129,0.0007129
147,4321.29,0.74507,0.55253,0.93152,0.36849,0.28187,0.26835,0.17014,1.47358,2.36459,1.37849,0.00071092,0.00071092,0.00071092
