epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7252,1.96547,3.08507,1.60817,0.54632,0.12101,0.09828,0.06134,1.59357,2.48785,1.37124,0.0671549,0.000331768,0.000331768
2,104.898,1.53739,2.61411,1.3587,0.56638,0.15768,0.12515,0.08309,1.43702,2.30401,1.29137,0.0341536,0.000663785,0.000663785
3,155.078,1.45949,2.44164,1.30301,0.61583,0.16189,0.13831,0.09242,1.39822,2.24136,1.28066,0.00115098,0.000994481,0.000994481
4,205.132,1.41364,2.32811,1.27793,0.54378,0.17037,0.15675,0.10283,1.38227,2.15753,1.25583,0.00099406,0.00099406,0.00099406
5,255.115,1.38173,2.20712,1.26585,0.52434,0.1951,0.16993,0.11311,1.37713,2.11275,1.27066,0.00099208,0.00099208,0.00099208
6,305.14,1.35477,2.07287,1.2382,0.49469,0.19876,0.1863,0.12273,1.35951,2.07496,1.25336,0.0009901,0.0009901,0.0009901
7,354.804,1.33427,1.9897,1.23752,0.53308,0.20159,0.19127,0.1275,1.369,2.04744,1.24127,0.00098812,0.00098812,0.00098812
8,404.771,1.3288,1.94071,1.21835,0.51754,0.21323,0.20583,0.13694,1.36358,2.01127,1.25562,0.00098614,0.00098614,0.00098614
9,454.46,1.32566,1.84194,1.21818,0.52077,0.21277,0.20343,0.13614,1.35606,1.99697,1.2446,0.00098416,0.00098416,0.00098416
10,503.341,1.29942,1.79301,1.20535,0.50968,0.21653,0.21517,0.1435,1.35854,1.9416,1.2375,0.00098218,0.00098218,0.00098218
11,552.822,1.27749,1.73736,1.19596,0.46185,0.23435,0.21522,0.14388,1.35006,1.95682,1.23964,0.0009802,0.0009802,0.0009802
12,602.679,1.27238,1.69881,1.18865,0.43118,0.25862,0.22719,0.1514,1.37433,1.96492,1.2428,0.00097822,0.00097822,0.00097822
13,652.452,1.27019,1.66613,1.18473,0.42506,0.26011,0.22836,0.14879,1.36643,1.92791,1.24144,0.00097624,0.00097624,0.00097624
14,701.264,1.241,1.60727,1.17577,0.47524,0.24507,0.22552,0.1484,1.36998,1.93644,1.24225,0.00097426,0.00097426,0.00097426
15,750.236,1.24248,1.5671,1.16832,0.462,0.24502,0.23395,0.15643,1.35697,1.92403,1.2392,0.00097228,0.00097228,0.00097228
16,800.107,1.23418,1.51918,1.16198,0.46927,0.24881,0.23333,0.15471,1.36381,1.92873,1.23576,0.0009703,0.0009703,0.0009703
17,849.333,1.22687,1.52749,1.15977,0.38239,0.26116,0.24144,0.15713,1.37391,1.94123,1.25132,0.00096832,0.00096832,0.00096832
18,899.104,1.20516,1.46841,1.1567,0.40171,0.27831,0.24101,0.15775,1.36469,1.90626,1.23804,0.00096634,0.00096634,0.00096634
19,948.979,1.21383,1.44927,1.14665,0.4861,0.25457,0.24158,0.15698,1.35683,1.91254,1.23969,0.00096436,0.00096436,0.00096436
20,998.013,1.20971,1.4401,1.15376,0.44696,0.25783,0.24432,0.1607,1.36163,1.93213,1.23764,0.00096238,0.00096238,0.00096238
21,1047.62,1.1882,1.37803,1.13693,0.4616,0.25937,0.24469,0.15842,1.37193,1.96488,1.24899,0.0009604,0.0009604,0.0009604
22,1096.39,1.17466,1.35124,1.12729,0.46021,0.25806,0.24823,0.16127,1.37676,1.95212,1.24475,0.00095842,0.00095842,0.00095842
23,1146.25,1.16954,1.31064,1.12442,0.5041,0.23242,0.24742,0.15913,1.37334,1.92026,1.24508,0.00095644,0.00095644,0.00095644
24,1195.33,1.17206,1.31213,1.12927,0.38136,0.27373,0.23889,0.15412,1.36387,1.93439,1.23411,0.00095446,0.00095446,0.00095446
25,1244.62,1.15353,1.28086,1.12231,0.40165,0.2715,0.24825,0.16079,1.38488,1.95464,1.24012,0.00095248,0.00095248,0.00095248
26,1293.79,1.16357,1.24447,1.11498,0.37931,0.28797,0.24946,0.16112,1.39133,1.95533,1.25416,0.0009505,0.0009505,0.0009505
27,1343.02,1.14227,1.25546,1.11616,0.39884,0.27754,0.25124,0.16294,1.37758,1.94768,1.25634,0.00094852,0.00094852,0.00094852
28,1393.07,1.14297,1.22089,1.11303,0.38287,0.28785,0.24784,0.15976,1.38203,1.95082,1.25383,0.00094654,0.00094654,0.00094654
29,1442.2,1.1415,1.20322,1.11013,0.39397,0.28686,0.25073,0.1618,1.38424,1.96499,1.25283,0.00094456,0.00094456,0.00094456
30,1491.37,1.14405,1.1972,1.11264,0.35684,0.30175,0.26524,0.16944,1.37663,1.92988,1.24597,0.00094258,0.00094258,0.00094258
31,1541.33,1.11506,1.16078,1.09935,0.4086,0.27268,0.25043,0.16081,1.39342,1.95733,1.25987,0.0009406,0.0009406,0.0009406
32,1590.39,1.11302,1.15052,1.10195,0.43142,0.28316,0.25492,0.16422,1.38701,1.98613,1.25682,0.00093862,0.00093862,0.00093862
33,1639.69,1.11764,1.11992,1.09773,0.38464,0.28408,0.25199,0.16142,1.40488,1.98608,1.27192,0.00093664,0.00093664,0.00093664
34,1688.82,1.09865,1.1108,1.09005,0.42404,0.2617,0.2522,0.16404,1.39576,1.9871,1.26908,0.00093466,0.00093466,0.00093466
35,1737.87,1.10681,1.10883,1.0938,0.43699,0.28206,0.26595,0.16936,1.39952,1.99598,1.27444,0.00093268,0.00093268,0.00093268
36,1787.65,1.08736,1.07254,1.08084,0.3647,0.27603,0.25074,0.16047,1.41091,2.00617,1.28018,0.0009307,0.0009307,0.0009307
37,1836.95,1.09362,1.0755,1.08261,0.39241,0.27892,0.25888,0.16633,1.40115,1.99258,1.2718,0.00092872,0.00092872,0.00092872
38,1885.91,1.0815,1.05151,1.08439,0.36362,0.26923,0.24939,0.16191,1.41785,2.03061,1.27785,0.00092674,0.00092674,0.00092674
39,1934.83,1.06844,1.03121,1.07797,0.43141,0.2694,0.2553,0.16411,1.40448,2.04655,1.27196,0.00092476,0.00092476,0.00092476
40,1983.61,1.07783,1.03533,1.0777,0.42623,0.27437,0.25743,0.16826,1.40616,2.01777,1.2695,0.00092278,0.00092278,0.00092278
41,2032.54,1.07046,1.00792,1.0712,0.41223,0.27001,0.25266,0.16086,1.41601,2.02192,1.27409,0.0009208,0.0009208,0.0009208
42,2081.47,1.06459,1.00391,1.0738,0.3868,0.27062,0.25482,0.16397,1.39856,2.04256,1.27335,0.00091882,0.00091882,0.00091882
43,2130.36,1.03932,0.97017,1.06298,0.36152,0.2863,0.26447,0.16772,1.41748,2.05005,1.28182,0.00091684,0.00091684,0.00091684
44,2179.22,1.04646,0.97563,1.06352,0.39615,0.28062,0.26687,0.17078,1.40311,2.02715,1.26927,0.00091486,0.00091486,0.00091486
45,2228.77,1.05447,0.96677,1.06034,0.44405,0.26849,0.26071,0.16813,1.40442,2.03479,1.27328,0.00091288,0.00091288,0.00091288
46,2277.85,1.03156,0.95538,1.05945,0.37647,0.29514,0.26091,0.16614,1.41676,2.03536,1.29325,0.0009109,0.0009109,0.0009109
47,2326.96,1.03841,0.94856,1.05861,0.42541,0.27642,0.26478,0.17016,1.40422,2.03939,1.27663,0.00090892,0.00090892,0.00090892
48,2375.83,1.03431,0.94293,1.05584,0.40807,0.27215,0.26556,0.16786,1.40688,2.06408,1.27643,0.00090694,0.00090694,0.00090694
49,2424.74,1.02895,0.92494,1.05154,0.35995,0.2883,0.26067,0.16531,1.41031,2.07722,1.28081,0.00090496,0.00090496,0.00090496
50,2473.64,1.02188,0.92696,1.04966,0.39856,0.27533,0.26109,0.16722,1.41736,2.04853,1.28581,0.00090298,0.00090298,0.00090298
51,2522.8,1.01674,0.90144,1.04714,0.39964,0.28763,0.26354,0.17031,1.41406,2.05078,1.287,0.000901,0.000901,0.000901
52,2571.84,1.01308,0.89682,1.05033,0.39179,0.26442,0.25793,0.16338,1.42207,2.0547,1.284,0.00089902,0.00089902,0.00089902
53,2621.13,1.00993,0.88785,1.04687,0.40633,0.26903,0.26061,0.16432,1.4273,2.04978,1.2851,0.00089704,0.00089704,0.00089704
54,2670.57,1.00343,0.88308,1.04622,0.38506,0.27497,0.25779,0.16396,1.42972,2.0945,1.30645,0.00089506,0.00089506,0.00089506
55,2719.96,0.99349,0.87007,1.03918,0.40141,0.27164,0.25534,0.16463,1.41408,2.11602,1.28664,0.00089308,0.00089308,0.00089308
56,2769.24,0.99582,0.86582,1.03805,0.44275,0.25133,0.26573,0.16837,1.41906,2.10949,1.28881,0.0008911,0.0008911,0.0008911
57,2818.44,0.9899,0.85959,1.03903,0.4303,0.28152,0.25695,0.16585,1.41745,2.11933,1.28303,0.00088912,0.00088912,0.00088912
58,2867.85,0.98025,0.84129,1.03128,0.41362,0.25944,0.25511,0.16563,1.41925,2.09063,1.28889,0.00088714,0.00088714,0.00088714
59,2917,0.98432,0.84182,1.02801,0.41125,0.27132,0.26053,0.16739,1.42441,2.16017,1.29178,0.00088516,0.00088516,0.00088516
60,2966.29,0.97993,0.84109,1.03389,0.38562,0.28092,0.26573,0.17092,1.42454,2.11058,1.30092,0.00088318,0.00088318,0.00088318
61,3016.28,0.98352,0.83725,1.02699,0.46689,0.25705,0.26258,0.16931,1.42093,2.13064,1.29145,0.0008812,0.0008812,0.0008812
62,3065.7,0.96646,0.81779,1.019,0.38219,0.27372,0.25932,0.16384,1.43185,2.12001,1.30952,0.00087922,0.00087922,0.00087922
63,3114.95,0.96835,0.81477,1.02056,0.37772,0.27228,0.25301,0.16209,1.42475,2.14144,1.2988,0.00087724,0.00087724,0.00087724
64,3164.63,0.97046,0.81174,1.01901,0.47135,0.26812,0.26072,0.16637,1.44195,2.16003,1.31557,0.00087526,0.00087526,0.00087526
65,3213.92,0.9616,0.80524,1.02101,0.41717,0.27992,0.26619,0.1664,1.43062,2.13845,1.30535,0.00087328,0.00087328,0.00087328
66,3263.2,0.95698,0.80074,1.0156,0.37604,0.28118,0.26223,0.16684,1.42999,2.14047,1.30342,0.0008713,0.0008713,0.0008713
67,3313.68,0.957,0.79127,1.02044,0.38058,0.28999,0.26103,0.16515,1.42909,2.12524,1.30113,0.00086932,0.00086932,0.00086932
68,3363.2,0.94983,0.79443,1.01004,0.3736,0.28754,0.26022,0.16592,1.43489,2.12494,1.30857,0.00086734,0.00086734,0.00086734
69,3416.15,0.95316,0.78331,1.01669,0.37893,0.26889,0.25885,0.16627,1.44331,2.13921,1.30389,0.00086536,0.00086536,0.00086536
70,3466.13,0.94765,0.7739,1.01788,0.3975,0.27157,0.26268,0.1662,1.42909,2.16893,1.30016,0.00086338,0.00086338,0.00086338
71,3518.87,0.94041,0.7685,1.00919,0.41722,0.27371,0.26421,0.16901,1.42972,2.17669,1.30633,0.0008614,0.0008614,0.0008614
72,3569.98,0.93782,0.77352,1.01425,0.38328,0.26926,0.26043,0.16622,1.43401,2.19,1.31268,0.00085942,0.00085942,0.00085942
73,3621.46,0.93796,0.76568,1.00441,0.44169,0.25322,0.26152,0.1669,1.44783,2.17636,1.31589,0.00085744,0.00085744,0.00085744
74,3671.29,0.92801,0.74647,1.00476,0.44125,0.26605,0.25858,0.16287,1.43451,2.16772,1.30458,0.00085546,0.00085546,0.00085546
75,3723.7,0.9297,0.75688,1.00572,0.34159,0.28604,0.25775,0.16115,1.44937,2.1886,1.31081,0.00085348,0.00085348,0.00085348
76,3773.53,0.92103,0.74876,0.99759,0.37984,0.27263,0.25883,0.16432,1.44655,2.17851,1.30854,0.0008515,0.0008515,0.0008515
77,3827.38,0.91773,0.74336,0.99891,0.44445,0.25336,0.25381,0.16163,1.44224,2.18779,1.32196,0.00084952,0.00084952,0.00084952
