epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.2253,2.37834,3.97959,1.77428,0.61924,0.0354,0.0292,0.0127,2.35717,3.81185,1.96289,0.0670924,0.0003324,0.0003324
2,174.917,2.21877,3.48446,1.6542,0.70963,0.03287,0.03052,0.01243,2.52593,3.74008,2.05733,0.0340911,0.000664415,0.000664415
3,256.934,2.05998,3.15433,1.5511,0.65053,0.03544,0.03397,0.01434,2.59719,3.77089,2.11521,0.00108848,0.00099511,0.00099511
4,338.644,1.94051,2.90524,1.47589,0.63814,0.03641,0.03922,0.01659,2.60652,3.88806,2.17979,0.00099406,0.00099406,0.00099406
5,420.97,1.83726,2.69586,1.42501,0.57518,0.03429,0.04209,0.01716,2.66435,3.80841,2.22093,0.00099208,0.00099208,0.00099208
6,503.65,1.77375,2.54255,1.37853,0.56185,0.02233,0.03688,0.01481,2.71829,4.04293,2.24476,0.0009901,0.0009901,0.0009901
7,584.324,1.71996,2.42371,1.35361,0.51654,0.02129,0.02893,0.01093,2.81292,4.13192,2.35926,0.00098812,0.00098812,0.00098812
8,665.584,1.66765,2.30364,1.3163,0.52645,0.03336,0.04033,0.01507,2.76741,3.92595,2.28603,0.00098614,0.00098614,0.00098614
9,746.993,1.60469,2.17253,1.27935,0.4716,0.03139,0.03634,0.01375,2.81443,4.09545,2.34499,0.00098416,0.00098416,0.00098416
10,828.561,1.55356,2.06996,1.2516,0.43629,0.04683,0.04427,0.01616,2.75316,3.8484,2.27751,0.00098218,0.00098218,0.00098218
