epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4076,1.74801,3.83257,1.50383,0.56282,0.07157,0.04867,0.03229,1.46444,3.08162,1.33743,0.0671549,0.000331768,0.000331768
2,110.006,1.50005,3.12677,1.36372,0.69605,0.10119,0.0859,0.05779,1.40626,2.61127,1.28601,0.0341536,0.000663785,0.000663785
3,162.368,1.44922,2.73182,1.30448,0.6523,0.12473,0.10622,0.0711,1.3954,2.47331,1.27714,0.00115098,0.000994481,0.000994481
4,214.291,1.40923,2.51486,1.28005,0.63288,0.16122,0.13586,0.09014,1.36602,2.24791,1.25227,0.00099406,0.00099406,0.00099406
5,266.12,1.37988,2.32413,1.26864,0.61597,0.16533,0.15246,0.10222,1.35926,2.18306,1.26238,0.00099208,0.00099208,0.00099208
6,318.014,1.35456,2.16829,1.24418,0.56098,0.19516,0.16559,0.10924,1.35947,2.1438,1.26431,0.0009901,0.0009901,0.0009901
7,369.998,1.33841,2.07805,1.24116,0.55108,0.20571,0.19038,0.12579,1.34458,2.05149,1.2363,0.00098812,0.00098812,0.00098812
8,422.062,1.32599,2.00898,1.22317,0.56263,0.2069,0.19457,0.12947,1.33786,2.00765,1.23514,0.00098614,0.00098614,0.00098614
9,473.74,1.32614,1.91168,1.22201,0.49739,0.21968,0.20489,0.13365,1.342,2.01513,1.23631,0.00098416,0.00098416,0.00098416
10,524.789,1.29344,1.84551,1.20515,0.5366,0.19648,0.21142,0.13755,1.34465,1.98873,1.23006,0.00098218,0.00098218,0.00098218
11,575.214,1.2727,1.79589,1.20017,0.51068,0.21307,0.21702,0.14199,1.35075,1.97029,1.23957,0.0009802,0.0009802,0.0009802
12,625.143,1.27074,1.75115,1.19424,0.46446,0.24498,0.22298,0.14701,1.36319,1.96045,1.24539,0.00097822,0.00097822,0.00097822
13,675.184,1.26624,1.70076,1.18994,0.44511,0.24408,0.22878,0.1489,1.36067,1.96412,1.23912,0.00097624,0.00097624,0.00097624
14,725.11,1.24061,1.6435,1.18034,0.50198,0.2292,0.22904,0.15096,1.37514,1.95914,1.24609,0.00097426,0.00097426,0.00097426
15,775.076,1.23849,1.59771,1.1681,0.42483,0.25216,0.22732,0.15026,1.34262,1.94025,1.22869,0.00097228,0.00097228,0.00097228
16,824.013,1.22717,1.55093,1.16362,0.4731,0.25971,0.23461,0.15175,1.36736,1.94382,1.24446,0.0009703,0.0009703,0.0009703
17,874.285,1.22573,1.55922,1.16494,0.39808,0.27665,0.2384,0.15423,1.35543,1.93658,1.24094,0.00096832,0.00096832,0.00096832
18,924.285,1.20265,1.49489,1.15644,0.41984,0.27808,0.24395,0.15468,1.35416,1.92027,1.24286,0.00096634,0.00096634,0.00096634
19,974.87,1.2099,1.47287,1.15029,0.45212,0.27895,0.25415,0.16333,1.35032,1.90855,1.24114,0.00096436,0.00096436,0.00096436
20,1024.91,1.20801,1.45677,1.15847,0.44837,0.2729,0.24257,0.1556,1.36601,1.92122,1.24854,0.00096238,0.00096238,0.00096238
21,1074.01,1.18412,1.39213,1.13911,0.46204,0.25606,0.24366,0.15908,1.35693,1.92606,1.23939,0.0009604,0.0009604,0.0009604
22,1123.51,1.17276,1.36579,1.13136,0.43136,0.2707,0.25452,0.16523,1.38042,1.96522,1.24669,0.00095842,0.00095842,0.00095842
23,1173.68,1.16986,1.33142,1.12649,0.4478,0.27266,0.25551,0.16216,1.36213,1.93667,1.24063,0.00095644,0.00095644,0.00095644
24,1222.95,1.17008,1.32068,1.12993,0.40917,0.26818,0.25882,0.16805,1.37038,1.92582,1.24033,0.00095446,0.00095446,0.00095446
25,1272.83,1.15537,1.29616,1.12474,0.39674,0.27602,0.25316,0.16314,1.37162,1.9342,1.242,0.00095248,0.00095248,0.00095248
26,1322.18,1.16565,1.26596,1.12017,0.45255,0.268,0.25804,0.16679,1.38184,1.93048,1.26339,0.0009505,0.0009505,0.0009505
27,1371.42,1.14019,1.26051,1.1172,0.40938,0.26276,0.24372,0.15826,1.38361,1.9526,1.26323,0.00094852,0.00094852,0.00094852
