epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.815,0.77343,3.9555,0.99095,0.21627,0.03733,0.0246,0.01479,1.91883,3.9961,1.70415,0.0670254,0.000333076,0.000333076
2,557.901,0.58799,2.38158,0.89957,0.16145,0.05625,0.04198,0.02513,1.9495,3.71752,1.67699,0.0340241,0.00066509,0.00066509
3,820.627,0.54784,1.89446,0.88225,0.22252,0.0401,0.035,0.0204,2.03407,3.81283,1.74788,0.00102148,0.000995784,0.000995784
4,1080.95,0.5275,1.63966,0.87474,0.21448,0.06046,0.04301,0.02513,2.09084,3.7037,1.73499,0.00099406,0.00099406,0.00099406
5,1358.48,0.50582,1.45765,0.86839,0.18924,0.05356,0.0427,0.02539,2.12553,3.83023,1.8248,0.00099208,0.00099208,0.00099208
6,1628.83,0.49467,1.34302,0.86374,0.15956,0.05613,0.03935,0.0212,2.17231,3.88862,1.79297,0.0009901,0.0009901,0.0009901
7,1893.14,0.48435,1.26472,0.86096,0.21979,0.04476,0.03438,0.01881,2.12863,4.13133,1.79933,0.00098812,0.00098812,0.00098812
8,2184.25,0.47407,1.19283,0.85756,0.13307,0.0563,0.04051,0.02342,2.03997,3.91079,1.71271,0.00098614,0.00098614,0.00098614
9,2454.83,0.46729,1.1446,0.85593,0.18107,0.0551,0.04274,0.02113,2.14281,4.09249,1.76957,0.00098416,0.00098416,0.00098416
10,2722.22,0.46415,1.09814,0.85419,0.2045,0.05163,0.03939,0.02143,2.12595,4.07895,1.82204,0.00098218,0.00098218,0.00098218
11,2989.56,0.45748,1.05944,0.85193,0.18098,0.05462,0.04107,0.0227,2.09567,4.13418,1.78339,0.0009802,0.0009802,0.0009802
12,3256.22,0.45622,1.02886,0.85229,0.23917,0.05361,0.04398,0.02266,2.09306,4.11458,1.78753,0.00097822,0.00097822,0.00097822
13,3523.71,0.45117,0.99958,0.84937,0.17942,0.06966,0.04856,0.02513,2.11395,4.03077,1.75188,0.00097624,0.00097624,0.00097624
