epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.243,0.77419,3.99084,0.99236,0.19528,0.03443,0.02765,0.01516,1.91577,3.90343,1.73734,0.0670254,0.000333076,0.000333076
2,567.509,0.59276,2.38261,0.9071,0.2171,0.04439,0.03723,0.02231,1.96203,3.78783,1.71401,0.0340241,0.00066509,0.00066509
3,838.226,0.54855,1.88399,0.88742,0.2271,0.05171,0.03963,0.02372,2.04261,3.689,1.74132,0.00102148,0.000995784,0.000995784
4,1107.23,0.52695,1.62907,0.87912,0.16382,0.05352,0.04073,0.02275,2.10716,3.70128,1.75664,0.00099406,0.00099406,0.00099406
5,1374.13,0.50544,1.45075,0.87233,0.16532,0.04768,0.03599,0.01984,2.14118,3.82683,1.81644,0.00099208,0.00099208,0.00099208
6,1641.86,0.49433,1.33736,0.86767,0.21751,0.06082,0.04666,0.026,2.19599,3.77048,1.83241,0.0009901,0.0009901,0.0009901
7,1909.59,0.48315,1.25873,0.86512,0.25342,0.05164,0.03974,0.02219,2.15003,3.92385,1.80095,0.00098812,0.00098812,0.00098812
8,2177.31,0.47244,1.18883,0.86115,0.20238,0.04956,0.03741,0.02047,2.1179,4.12592,1.82443,0.00098614,0.00098614,0.00098614
9,2444.41,0.46723,1.14466,0.8591,0.20831,0.06987,0.05422,0.02833,2.12193,3.76146,1.72573,0.00098416,0.00098416,0.00098416
10,2712.18,0.46299,1.0959,0.85728,0.19256,0.07178,0.0532,0.02906,2.08833,3.71807,1.71659,0.00098218,0.00098218,0.00098218
11,2981,0.45652,1.05784,0.85491,0.22383,0.06697,0.05313,0.02887,2.04486,3.85333,1.71959,0.0009802,0.0009802,0.0009802
12,3248.27,0.45473,1.02885,0.85517,0.28176,0.05891,0.04963,0.02799,2.07783,3.95837,1.74548,0.00097822,0.00097822,0.00097822
13,3515.93,0.45069,0.99855,0.85235,0.20038,0.06637,0.04554,0.02411,2.14097,3.98204,1.74835,0.00097624,0.00097624,0.00097624
14,3783.34,0.4493,0.97142,0.85301,0.20704,0.05897,0.04374,0.0232,2.09051,3.8683,1.72806,0.00097426,0.00097426,0.00097426
15,4050.05,0.44392,0.95061,0.85026,0.26303,0.05258,0.04356,0.02381,2.18189,4.18771,1.85671,0.00097228,0.00097228,0.00097228
16,4317.72,0.43989,0.92895,0.84854,0.22885,0.05497,0.04583,0.02508,2.11392,4.03441,1.76765,0.0009703,0.0009703,0.0009703
17,4583.94,0.43611,0.90673,0.84791,0.1859,0.06229,0.04868,0.0272,2.1148,3.99121,1.79807,0.00096832,0.00096832,0.00096832
18,4850.74,0.43677,0.89131,0.84798,0.16414,0.055,0.04238,0.0231,2.14213,4.15905,1.79864,0.00096634,0.00096634,0.00096634
19,5117.91,0.43815,0.87546,0.84842,0.21381,0.06645,0.05215,0.02785,2.11639,4.10589,1.80205,0.00096436,0.00096436,0.00096436
20,5384.8,0.43424,0.85576,0.84651,0.22938,0.05961,0.04754,0.02553,2.12525,4.11451,1.81129,0.00096238,0.00096238,0.00096238
21,5651.61,0.43027,0.84327,0.84614,0.21033,0.07271,0.05028,0.02659,2.08638,3.96342,1.76503,0.0009604,0.0009604,0.0009604
22,5917.87,0.42849,0.83225,0.84527,0.18719,0.06715,0.05183,0.02727,2.14835,4.14814,1.80706,0.00095842,0.00095842,0.00095842
23,6184.26,0.42588,0.81335,0.84498,0.24472,0.06755,0.05334,0.02891,2.10484,3.98636,1.75712,0.00095644,0.00095644,0.00095644
24,6451.2,0.42682,0.80141,0.84433,0.19763,0.06494,0.04964,0.02717,2.09356,4.09718,1.78909,0.00095446,0.00095446,0.00095446
25,6718.25,0.42591,0.79188,0.84474,0.17208,0.06683,0.04669,0.02547,2.12755,4.05336,1.78825,0.00095248,0.00095248,0.00095248
26,6985.04,0.42534,0.78364,0.84384,0.19329,0.07085,0.05156,0.0292,2.11767,4.05748,1.78681,0.0009505,0.0009505,0.0009505
27,7252.57,0.42028,0.77159,0.84299,0.20878,0.06678,0.04795,0.02621,2.1184,4.03205,1.76625,0.00094852,0.00094852,0.00094852
28,7519.01,0.42007,0.76372,0.84235,0.21728,0.0671,0.04678,0.02632,2.10511,4.13857,1.75493,0.00094654,0.00094654,0.00094654
29,7785.1,0.41873,0.7526,0.84238,0.20744,0.07043,0.0481,0.02683,2.11196,4.18806,1.7812,0.00094456,0.00094456,0.00094456
30,8057.48,0.4187,0.74975,0.84252,0.21091,0.06801,0.05139,0.02865,2.10525,4.10796,1.78118,0.00094258,0.00094258,0.00094258
31,8321.36,0.41383,0.73267,0.84134,0.24012,0.06131,0.04679,0.02604,2.11484,4.18292,1.8015,0.0009406,0.0009406,0.0009406
32,8586.41,0.41324,0.72704,0.83995,0.21708,0.06027,0.04812,0.02681,2.14283,4.26646,1.83878,0.00093862,0.00093862,0.00093862
33,8852.51,0.41372,0.72175,0.84012,0.26028,0.0584,0.04314,0.02343,2.15573,4.25276,1.84788,0.00093664,0.00093664,0.00093664
34,9118.62,0.41214,0.71128,0.84013,0.23349,0.05785,0.04356,0.02371,2.16154,4.253,1.86823,0.00093466,0.00093466,0.00093466
35,9384.68,0.41061,0.7059,0.8393,0.24325,0.06138,0.046,0.02523,2.1483,4.21056,1.83975,0.00093268,0.00093268,0.00093268
36,9650.41,0.41042,0.6984,0.84003,0.24393,0.06165,0.04613,0.02567,2.12515,4.19692,1.82034,0.0009307,0.0009307,0.0009307
37,9916.46,0.41015,0.69275,0.83912,0.24568,0.06394,0.04587,0.0252,2.13379,4.21743,1.83311,0.00092872,0.00092872,0.00092872
38,10182.4,0.41038,0.68874,0.83833,0.24984,0.06022,0.04901,0.02588,2.14725,4.24542,1.85241,0.00092674,0.00092674,0.00092674
39,10447.8,0.40542,0.67844,0.83803,0.22516,0.06361,0.05144,0.02736,2.14613,4.22657,1.8535,0.00092476,0.00092476,0.00092476
40,10713.4,0.40716,0.67397,0.83823,0.21474,0.0622,0.05232,0.02806,2.14883,4.22157,1.85624,0.00092278,0.00092278,0.00092278
41,10980.1,0.40822,0.66988,0.83814,0.24111,0.06497,0.05439,0.02905,2.14947,4.2105,1.84641,0.0009208,0.0009208,0.0009208
42,11248.3,0.40457,0.66246,0.83803,0.23234,0.0662,0.05525,0.02916,2.15708,4.2296,1.85486,0.00091882,0.00091882,0.00091882
