epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.0159,1.60902,4.57447,1.46249,0.62118,0.06305,0.04176,0.02839,1.44962,3.20691,1.33643,0.0670775,0.000332551,0.000332551
2,117.822,1.52832,3.09367,1.37911,0.67912,0.11696,0.10511,0.07242,1.39061,2.4441,1.27758,0.0340761,0.000664566,0.000664566
3,173.742,1.47163,2.60061,1.32411,0.60995,0.15628,0.13296,0.09053,1.39886,2.32743,1.26054,0.00107351,0.000995261,0.000995261
4,228.703,1.43717,2.35035,1.29314,0.66548,0.16285,0.17064,0.11402,1.35518,2.12172,1.24634,0.00099406,0.00099406,0.00099406
5,284.066,1.41194,2.15734,1.27187,0.54995,0.20274,0.18406,0.12453,1.3355,2.04233,1.22416,0.00099208,0.00099208,0.00099208
6,339.332,1.38269,2.01816,1.25362,0.55248,0.20764,0.1985,0.13433,1.35609,2.01678,1.23317,0.0009901,0.0009901,0.0009901
7,394.372,1.36113,1.91573,1.24378,0.50719,0.234,0.20797,0.14056,1.34978,1.9694,1.23929,0.00098812,0.00098812,0.00098812
8,448.858,1.3474,1.83396,1.23273,0.50144,0.23426,0.22902,0.15087,1.36671,1.96669,1.23739,0.00098614,0.00098614,0.00098614
9,504.005,1.32578,1.73306,1.21938,0.44881,0.24411,0.23171,0.15208,1.36208,1.97547,1.23486,0.00098416,0.00098416,0.00098416
10,559.159,1.31014,1.66289,1.20569,0.48077,0.23913,0.23425,0.154,1.35928,1.94821,1.24422,0.00098218,0.00098218,0.00098218
11,614.193,1.29001,1.58687,1.19371,0.43417,0.23921,0.23395,0.15653,1.38392,1.97621,1.25491,0.0009802,0.0009802,0.0009802
12,669.181,1.26904,1.54324,1.1817,0.47878,0.2408,0.23942,0.15719,1.37207,1.96089,1.24227,0.00097822,0.00097822,0.00097822
13,723.699,1.26501,1.48781,1.17595,0.44319,0.2625,0.2475,0.16268,1.37504,1.9668,1.24615,0.00097624,0.00097624,0.00097624
14,778.574,1.24959,1.43621,1.17019,0.41709,0.26033,0.24293,0.16087,1.36951,1.93773,1.24657,0.00097426,0.00097426,0.00097426
15,833.439,1.23466,1.393,1.15749,0.41373,0.25299,0.24422,0.15954,1.38581,1.98646,1.25617,0.00097228,0.00097228,0.00097228
16,888.118,1.21813,1.36999,1.15219,0.42591,0.25426,0.24561,0.16155,1.39519,1.98088,1.25821,0.0009703,0.0009703,0.0009703
