epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2609,1.5903,4.53147,1.46619,0.62937,0.0629,0.04814,0.03301,1.43841,3.12771,1.36895,0.0670775,0.000332551,0.000332551
2,118.151,1.52882,3.03815,1.40765,0.61118,0.12119,0.10275,0.06911,1.39204,2.43834,1.32627,0.0340761,0.000664566,0.000664566
3,173.584,1.47307,2.58966,1.35778,0.62601,0.15659,0.1388,0.0928,1.37026,2.25661,1.29306,0.00107351,0.000995261,0.000995261
4,228.416,1.44179,2.34403,1.32764,0.55898,0.19179,0.16852,0.11016,1.37282,2.12523,1.2916,0.00099406,0.00099406,0.00099406
5,283.252,1.41828,2.1604,1.3109,0.57226,0.20057,0.18723,0.12317,1.36785,2.06393,1.2793,0.00099208,0.00099208,0.00099208
6,337.956,1.38751,2.02476,1.29015,0.5342,0.20702,0.20329,0.13345,1.37435,2.023,1.2734,0.0009901,0.0009901,0.0009901
7,392.66,1.36523,1.91314,1.2752,0.44739,0.25042,0.20823,0.13628,1.3678,1.99052,1.27835,0.00098812,0.00098812,0.00098812
8,447.136,1.34942,1.83459,1.26477,0.46194,0.25366,0.22948,0.15233,1.3641,1.99351,1.27425,0.00098614,0.00098614,0.00098614
9,501.745,1.32724,1.73325,1.25135,0.47499,0.24719,0.22775,0.14913,1.35525,1.99739,1.26917,0.00098416,0.00098416,0.00098416
10,556.312,1.31647,1.66132,1.23487,0.46652,0.2442,0.23654,0.15222,1.36531,1.95879,1.27292,0.00098218,0.00098218,0.00098218
11,611.172,1.29403,1.59077,1.22449,0.46362,0.25605,0.2353,0.15311,1.37473,1.95779,1.28295,0.0009802,0.0009802,0.0009802
12,665.743,1.27103,1.54309,1.20792,0.4456,0.26105,0.24292,0.15863,1.38316,1.95257,1.28131,0.00097822,0.00097822,0.00097822
13,720.353,1.26968,1.4978,1.20859,0.41417,0.26235,0.25598,0.16405,1.38663,1.9448,1.28917,0.00097624,0.00097624,0.00097624
14,775.062,1.25596,1.44428,1.20089,0.44248,0.2538,0.24643,0.15809,1.37821,1.96403,1.28499,0.00097426,0.00097426,0.00097426
15,830.142,1.23887,1.39075,1.18537,0.44048,0.27217,0.25773,0.16529,1.37609,1.94705,1.28287,0.00097228,0.00097228,0.00097228
16,885.347,1.22474,1.36886,1.17759,0.41633,0.27577,0.24657,0.15807,1.40383,2.00053,1.29645,0.0009703,0.0009703,0.0009703
17,940.593,1.2067,1.31819,1.17371,0.44224,0.27989,0.25751,0.16381,1.39288,1.97948,1.30211,0.00096832,0.00096832,0.00096832
18,995.538,1.19834,1.28467,1.16776,0.40351,0.2708,0.24482,0.15895,1.39646,2.00618,1.29651,0.00096634,0.00096634,0.00096634
19,1050.57,1.19007,1.2519,1.15957,0.32298,0.29153,0.24737,0.15918,1.39445,2.006,1.29088,0.00096436,0.00096436,0.00096436
20,1105.55,1.18604,1.21739,1.15256,0.36238,0.28218,0.25063,0.16106,1.39969,2.01394,1.29848,0.00096238,0.00096238,0.00096238
21,1160.45,1.17229,1.19187,1.15433,0.36678,0.27952,0.25666,0.16357,1.39793,2.00021,1.30268,0.0009604,0.0009604,0.0009604
22,1215.26,1.15984,1.16581,1.14515,0.3795,0.29079,0.25954,0.16038,1.41554,2.03797,1.31762,0.00095842,0.00095842,0.00095842
23,1270.29,1.15913,1.14598,1.13867,0.41111,0.27103,0.25318,0.16165,1.41202,2.09381,1.31246,0.00095644,0.00095644,0.00095644
24,1325.3,1.1457,1.12081,1.13093,0.43057,0.26467,0.25684,0.16087,1.44483,2.03367,1.3298,0.00095446,0.00095446,0.00095446
25,1380.28,1.14088,1.1085,1.1322,0.40022,0.25326,0.24929,0.1592,1.42507,2.08029,1.32474,0.00095248,0.00095248,0.00095248
26,1435.09,1.12962,1.07279,1.12421,0.39474,0.27766,0.25997,0.16496,1.43321,2.05963,1.32411,0.0009505,0.0009505,0.0009505
27,1489.96,1.11436,1.05214,1.11591,0.34432,0.27891,0.25173,0.16105,1.42798,2.07344,1.3225,0.00094852,0.00094852,0.00094852
28,1544.84,1.10574,1.02549,1.11409,0.40917,0.26921,0.25531,0.15924,1.43524,2.11005,1.32585,0.00094654,0.00094654,0.00094654
29,1599.88,1.10419,1.01689,1.10518,0.40178,0.26904,0.25443,0.15849,1.44512,2.08761,1.3242,0.00094456,0.00094456,0.00094456
30,1654.78,1.09645,1.00258,1.10254,0.42507,0.27887,0.25847,0.16257,1.43868,2.08491,1.32721,0.00094258,0.00094258,0.00094258
31,1709.73,1.08541,0.97386,1.09834,0.40658,0.28139,0.24815,0.1576,1.43577,2.10029,1.32793,0.0009406,0.0009406,0.0009406
32,1764.69,1.07654,0.95575,1.09354,0.39967,0.27122,0.24993,0.15674,1.44824,2.11956,1.33703,0.00093862,0.00093862,0.00093862
33,1819.59,1.07658,0.94541,1.08993,0.41918,0.25807,0.25501,0.15732,1.45098,2.12835,1.3367,0.00093664,0.00093664,0.00093664
34,1874.4,1.06034,0.93201,1.08425,0.40333,0.27258,0.25206,0.16018,1.44602,2.12681,1.33698,0.00093466,0.00093466,0.00093466
35,1929.27,1.05591,0.92352,1.08237,0.41887,0.26034,0.25153,0.1585,1.44884,2.12843,1.34234,0.00093268,0.00093268,0.00093268
36,1984.12,1.04137,0.90042,1.07216,0.38926,0.27369,0.25645,0.16045,1.45871,2.15499,1.34627,0.0009307,0.0009307,0.0009307
37,2039.07,1.05152,0.89923,1.08008,0.43865,0.25342,0.25001,0.15791,1.4664,2.17623,1.36133,0.00092872,0.00092872,0.00092872
38,2093.84,1.03033,0.87278,1.07089,0.4169,0.26264,0.24797,0.15505,1.46541,2.16838,1.35655,0.00092674,0.00092674,0.00092674
39,2148.78,1.02547,0.8596,1.06296,0.37107,0.27345,0.2527,0.15819,1.46451,2.15064,1.36124,0.00092476,0.00092476,0.00092476
40,2203.58,1.01112,0.85726,1.05948,0.39768,0.26323,0.25273,0.15709,1.47222,2.1989,1.3686,0.00092278,0.00092278,0.00092278
41,2258.35,1.00519,0.84796,1.06199,0.37765,0.27681,0.25581,0.15661,1.45585,2.18408,1.35742,0.0009208,0.0009208,0.0009208
42,2313.2,1.00479,0.83189,1.05526,0.38252,0.26386,0.24781,0.1543,1.47315,2.20089,1.36744,0.00091882,0.00091882,0.00091882
43,2368.07,1.00371,0.82811,1.05336,0.44028,0.25916,0.25462,0.15745,1.47211,2.22721,1.3675,0.00091684,0.00091684,0.00091684
44,2422.9,0.9947,0.82171,1.04366,0.41413,0.27616,0.26143,0.16219,1.46688,2.18472,1.36224,0.00091486,0.00091486,0.00091486
45,2477.88,0.98739,0.80707,1.04765,0.42184,0.26372,0.2588,0.1588,1.46606,2.20121,1.36627,0.00091288,0.00091288,0.00091288
46,2532.74,0.98609,0.80713,1.04341,0.37224,0.28368,0.25864,0.16128,1.46996,2.20357,1.37342,0.0009109,0.0009109,0.0009109
