epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8153,1.67058,5.09053,1.47862,0.5844,0.03831,0.02774,0.01943,1.46736,3.76364,1.31478,0.0671549,0.000331768,0.000331768
2,107.193,1.63956,3.66075,1.42497,0.74937,0.08284,0.0642,0.04369,1.42652,2.87165,1.28931,0.0341536,0.000663785,0.000663785
3,158.516,1.57396,3.037,1.36013,0.67594,0.11764,0.09876,0.06619,1.41328,2.53782,1.26951,0.00115098,0.000994481,0.000994481
4,209.569,1.53946,2.7321,1.33168,0.63361,0.14026,0.11033,0.07373,1.41228,2.37833,1.25454,0.00099406,0.00099406,0.00099406
5,260.651,1.51138,2.53344,1.31842,0.60312,0.14177,0.1297,0.08736,1.39464,2.26197,1.25412,0.00099208,0.00099208,0.00099208
6,311.458,1.48046,2.36437,1.29081,0.56358,0.18059,0.14938,0.1002,1.38276,2.21877,1.2604,0.0009901,0.0009901,0.0009901
7,362.539,1.44963,2.26542,1.28885,0.563,0.18241,0.15996,0.10663,1.39911,2.14539,1.2506,0.00098812,0.00098812,0.00098812
8,413.415,1.4405,2.1972,1.27094,0.55326,0.19077,0.16644,0.11096,1.3797,2.08735,1.25638,0.00098614,0.00098614,0.00098614
9,464.663,1.43982,2.08721,1.26532,0.45618,0.19836,0.17689,0.11848,1.39724,2.09942,1.25311,0.00098416,0.00098416,0.00098416
10,515.493,1.40916,2.01247,1.24988,0.51194,0.19206,0.17774,0.1187,1.40188,2.09122,1.23708,0.00098218,0.00098218,0.00098218
11,566.364,1.38089,1.93935,1.2376,0.46645,0.22288,0.18871,0.12421,1.39962,2.04363,1.24782,0.0009802,0.0009802,0.0009802
12,617.17,1.38507,1.8887,1.235,0.4658,0.21682,0.19055,0.12544,1.40406,2.08136,1.24761,0.00097822,0.00097822,0.00097822
13,667.823,1.37764,1.85528,1.22828,0.49856,0.2001,0.19367,0.1273,1.40622,2.04975,1.24574,0.00097624,0.00097624,0.00097624
14,718.779,1.3426,1.78116,1.2157,0.4816,0.21672,0.19907,0.12958,1.41456,2.05949,1.2527,0.00097426,0.00097426,0.00097426
15,769.422,1.35103,1.74684,1.21152,0.4271,0.21678,0.20646,0.13587,1.4086,2.05379,1.25549,0.00097228,0.00097228,0.00097228
16,820.168,1.32826,1.68128,1.19771,0.49657,0.22007,0.20359,0.1335,1.41925,2.07155,1.25889,0.0009703,0.0009703,0.0009703
17,870.253,1.32307,1.68484,1.20183,0.43522,0.23714,0.20855,0.13535,1.41514,2.07329,1.2546,0.00096832,0.00096832,0.00096832
18,920.458,1.30432,1.6134,1.19067,0.44395,0.23657,0.21444,0.13936,1.41961,2.05145,1.25273,0.00096634,0.00096634,0.00096634
19,971.045,1.30981,1.59248,1.18236,0.39325,0.2362,0.20938,0.13649,1.41733,2.07943,1.26892,0.00096436,0.00096436,0.00096436
20,1021.2,1.30116,1.57106,1.18793,0.43434,0.24183,0.2227,0.14422,1.41921,2.04738,1.26442,0.00096238,0.00096238,0.00096238
21,1072.13,1.2792,1.51803,1.17201,0.41603,0.24523,0.21561,0.14066,1.42172,2.07954,1.26151,0.0009604,0.0009604,0.0009604
22,1121.98,1.27139,1.48386,1.16769,0.41695,0.23976,0.21813,0.14348,1.42058,2.08323,1.2609,0.00095842,0.00095842,0.00095842
23,1172.08,1.2636,1.43935,1.15704,0.42224,0.23638,0.21718,0.14032,1.43541,2.06972,1.26797,0.00095644,0.00095644,0.00095644
24,1221.91,1.26002,1.43541,1.16127,0.37599,0.26304,0.21696,0.14031,1.43556,2.06177,1.26701,0.00095446,0.00095446,0.00095446
25,1271.75,1.243,1.39779,1.15374,0.37661,0.2342,0.2051,0.13146,1.42939,2.09806,1.26507,0.00095248,0.00095248,0.00095248
26,1321.85,1.24869,1.36997,1.1491,0.4403,0.2251,0.21694,0.13924,1.42935,2.06109,1.26866,0.0009505,0.0009505,0.0009505
27,1371.77,1.23298,1.35841,1.14816,0.40433,0.25863,0.2219,0.14297,1.44204,2.09263,1.28262,0.00094852,0.00094852,0.00094852
28,1421.75,1.22453,1.33085,1.14335,0.40657,0.23906,0.22685,0.14724,1.43903,2.09581,1.27244,0.00094654,0.00094654,0.00094654
29,1472.47,1.22018,1.30581,1.13476,0.44313,0.21282,0.2119,0.1393,1.43526,2.10615,1.27063,0.00094456,0.00094456,0.00094456
30,1522.22,1.21802,1.28204,1.13687,0.36465,0.24763,0.21927,0.14128,1.46824,2.11286,1.28773,0.00094258,0.00094258,0.00094258
31,1572.17,1.19621,1.25328,1.12705,0.37948,0.24779,0.22335,0.14242,1.46416,2.12046,1.28792,0.0009406,0.0009406,0.0009406
32,1621.97,1.19804,1.24664,1.13234,0.40492,0.24739,0.21392,0.13776,1.46622,2.09662,1.29852,0.00093862,0.00093862,0.00093862
33,1672.2,1.19524,1.21568,1.12187,0.35793,0.24332,0.22224,0.14391,1.45659,2.09367,1.29165,0.00093664,0.00093664,0.00093664
34,1722.16,1.17473,1.19578,1.11562,0.3986,0.24915,0.23046,0.14838,1.45312,2.10463,1.28544,0.00093466,0.00093466,0.00093466
35,1772.83,1.17629,1.18656,1.11242,0.43168,0.23501,0.22547,0.14511,1.46624,2.11259,1.29501,0.00093268,0.00093268,0.00093268
36,1823.27,1.16037,1.16295,1.1034,0.37827,0.2377,0.21775,0.13969,1.47206,2.1625,1.30263,0.0009307,0.0009307,0.0009307
37,1873.18,1.17327,1.15794,1.11166,0.41553,0.225,0.21851,0.14114,1.45099,2.14861,1.29199,0.00092872,0.00092872,0.00092872
38,1922.89,1.1485,1.12439,1.10225,0.37382,0.24305,0.2261,0.14327,1.46251,2.15071,1.30073,0.00092674,0.00092674,0.00092674
39,1973.07,1.14087,1.10208,1.10069,0.41588,0.23437,0.22621,0.1455,1.4559,2.16899,1.29454,0.00092476,0.00092476,0.00092476
40,2023.11,1.14785,1.10971,1.10112,0.32892,0.25438,0.21915,0.14042,1.47618,2.20244,1.30109,0.00092278,0.00092278,0.00092278
41,2072.99,1.13427,1.07405,1.08965,0.39666,0.24342,0.23064,0.14489,1.48514,2.15442,1.31575,0.0009208,0.0009208,0.0009208
42,2123.01,1.12836,1.06933,1.09126,0.43704,0.22014,0.22253,0.14133,1.46972,2.18263,1.29827,0.00091882,0.00091882,0.00091882
43,2172.83,1.10876,1.04654,1.08011,0.4227,0.22589,0.22092,0.14075,1.47854,2.20604,1.30183,0.00091684,0.00091684,0.00091684
44,2222.9,1.10782,1.0362,1.07951,0.35277,0.25122,0.22014,0.14016,1.48055,2.20339,1.309,0.00091486,0.00091486,0.00091486
45,2272.9,1.11244,1.01637,1.07457,0.35856,0.25099,0.22029,0.14232,1.4711,2.20794,1.30933,0.00091288,0.00091288,0.00091288
46,2322.53,1.09905,1.01974,1.07866,0.34736,0.25709,0.21725,0.14025,1.47373,2.21657,1.31784,0.0009109,0.0009109,0.0009109
47,2372.41,1.10166,1.01,1.07724,0.32078,0.25718,0.22545,0.14556,1.47176,2.18762,1.30467,0.00090892,0.00090892,0.00090892
48,2422.13,1.09892,1.00167,1.07344,0.37228,0.25151,0.226,0.14398,1.49379,2.20289,1.32153,0.00090694,0.00090694,0.00090694
49,2472.09,1.09352,0.98302,1.06865,0.34857,0.27096,0.23537,0.14899,1.49726,2.26567,1.32458,0.00090496,0.00090496,0.00090496
50,2522.44,1.08349,0.98248,1.06538,0.3543,0.24122,0.21579,0.13928,1.50444,2.25716,1.32877,0.00090298,0.00090298,0.00090298
51,2572.23,1.07814,0.95927,1.064,0.4009,0.23803,0.2205,0.13894,1.48636,2.22007,1.31664,0.000901,0.000901,0.000901
52,2622.17,1.06858,0.95045,1.06655,0.34505,0.25192,0.22727,0.14349,1.49639,2.22381,1.3261,0.00089902,0.00089902,0.00089902
53,2672.15,1.06508,0.93965,1.06057,0.40822,0.24272,0.22703,0.14436,1.50167,2.21133,1.32292,0.00089704,0.00089704,0.00089704
54,2722.08,1.05632,0.92413,1.05973,0.38611,0.23172,0.22331,0.13834,1.50729,2.255,1.33523,0.00089506,0.00089506,0.00089506
55,2772.05,1.05051,0.92173,1.05476,0.32571,0.25716,0.22788,0.14299,1.50598,2.2643,1.33884,0.00089308,0.00089308,0.00089308
56,2821.86,1.04949,0.91811,1.05556,0.37418,0.24019,0.22595,0.141,1.50541,2.25754,1.34203,0.0008911,0.0008911,0.0008911
57,2871.52,1.03977,0.9095,1.05105,0.33713,0.26306,0.22591,0.13914,1.51251,2.27527,1.34486,0.00088912,0.00088912,0.00088912
58,2921.42,1.02904,0.88941,1.04233,0.33109,0.24041,0.22019,0.13709,1.5015,2.26439,1.33604,0.00088714,0.00088714,0.00088714
59,2971.21,1.04155,0.89058,1.04403,0.30138,0.25581,0.21997,0.1357,1.50576,2.29677,1.3418,0.00088516,0.00088516,0.00088516
60,3021,1.03088,0.88869,1.04708,0.26875,0.25528,0.21644,0.13626,1.52309,2.28179,1.34328,0.00088318,0.00088318,0.00088318
61,3070.82,1.03524,0.88399,1.04284,0.35896,0.24817,0.22671,0.14042,1.51376,2.2835,1.34697,0.0008812,0.0008812,0.0008812
62,3120.75,1.01572,0.85838,1.03003,0.36072,0.24313,0.21971,0.13686,1.51799,2.28196,1.34962,0.00087922,0.00087922,0.00087922
63,3170.65,1.01619,0.86051,1.03161,0.36074,0.24398,0.22344,0.13979,1.51543,2.29613,1.34824,0.00087724,0.00087724,0.00087724
64,3220.8,1.01558,0.85153,1.02754,0.40501,0.2288,0.22464,0.1423,1.52028,2.33097,1.36397,0.00087526,0.00087526,0.00087526
65,3270.47,1.01125,0.8463,1.03097,0.33337,0.25412,0.22232,0.13954,1.52195,2.28671,1.35438,0.00087328,0.00087328,0.00087328
66,3320.19,1.00465,0.84275,1.02476,0.34027,0.25855,0.22853,0.14302,1.522,2.28648,1.35097,0.0008713,0.0008713,0.0008713
67,3369.84,0.99652,0.82918,1.02907,0.3259,0.25878,0.22376,0.14155,1.53165,2.29504,1.36001,0.00086932,0.00086932,0.00086932
68,3419.8,0.99933,0.82948,1.02363,0.32611,0.2539,0.21947,0.13713,1.53241,2.32035,1.35588,0.00086734,0.00086734,0.00086734
69,3469.4,0.99843,0.82196,1.02601,0.37759,0.23742,0.22899,0.14067,1.52742,2.29053,1.35733,0.00086536,0.00086536,0.00086536
70,3519.05,0.98978,0.80897,1.02483,0.3157,0.26183,0.2221,0.13584,1.53346,2.30538,1.36406,0.00086338,0.00086338,0.00086338
71,3568.68,0.98244,0.80197,1.01632,0.33862,0.25641,0.22753,0.1431,1.5274,2.33888,1.37101,0.0008614,0.0008614,0.0008614
72,3618.43,0.98077,0.8048,1.02117,0.34088,0.25553,0.22998,0.14186,1.52335,2.34061,1.36783,0.00085942,0.00085942,0.00085942
73,3668.11,0.98653,0.80154,1.01261,0.35651,0.25018,0.22346,0.13586,1.53131,2.33854,1.3655,0.00085744,0.00085744,0.00085744
74,3717.78,0.96915,0.78068,1.01365,0.36678,0.23185,0.22168,0.13943,1.52428,2.32914,1.36529,0.00085546,0.00085546,0.00085546
75,3767.63,0.96431,0.78992,1.01331,0.32911,0.24002,0.21804,0.13598,1.5301,2.35472,1.35898,0.00085348,0.00085348,0.00085348
76,3817.38,0.95741,0.78245,1.00435,0.35205,0.24404,0.22249,0.1389,1.53538,2.35958,1.37088,0.0008515,0.0008515,0.0008515
77,3867.14,0.95554,0.77466,1.00283,0.33255,0.26053,0.21912,0.13654,1.52657,2.32691,1.36718,0.00084952,0.00084952,0.00084952
78,3916.93,0.94736,0.77215,1.00023,0.33491,0.23384,0.22122,0.13885,1.54036,2.36582,1.38206,0.00084754,0.00084754,0.00084754
79,3966.7,0.95835,0.77103,1.00792,0.39489,0.22451,0.2282,0.14471,1.54053,2.36448,1.38159,0.00084556,0.00084556,0.00084556
80,4016.43,0.95876,0.77326,1.00822,0.30692,0.24406,0.2189,0.13564,1.54716,2.39888,1.38291,0.00084358,0.00084358,0.00084358
81,4066.41,0.94054,0.74852,1.00014,0.33286,0.25471,0.21592,0.13548,1.53218,2.36128,1.37772,0.0008416,0.0008416,0.0008416
82,4116.25,0.94267,0.75171,1.00097,0.35914,0.24614,0.22513,0.14119,1.5322,2.37522,1.38101,0.00083962,0.00083962,0.00083962
83,4166.14,0.92946,0.73919,0.99717,0.3735,0.24245,0.22598,0.14101,1.5373,2.38368,1.38534,0.00083764,0.00083764,0.00083764
84,4214.7,0.93877,0.74061,1.00071,0.35109,0.25054,0.22164,0.13851,1.54392,2.4007,1.38209,0.00083566,0.00083566,0.00083566
85,4263.47,0.93256,0.74085,0.99362,0.42478,0.23588,0.2306,0.1427,1.54072,2.34521,1.37921,0.00083368,0.00083368,0.00083368
86,4312.11,0.92983,0.73158,0.99488,0.38284,0.22201,0.21751,0.13855,1.53928,2.39756,1.39101,0.0008317,0.0008317,0.0008317
87,4361.34,0.92318,0.73538,0.99217,0.34072,0.25415,0.22207,0.14068,1.53733,2.37084,1.38226,0.00082972,0.00082972,0.00082972
88,4409.98,0.92318,0.72765,0.98843,0.31909,0.25702,0.22055,0.13965,1.53707,2.39044,1.38268,0.00082774,0.00082774,0.00082774
