epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6108,1.0446,0.90374,1.06157,0.38875,0.25744,0.23831,0.15244,1.52364,2.27445,1.3791,0.0670554,0.000232238,0.000232238
2,107.811,1.02268,0.88752,1.05563,0.38175,0.24914,0.23742,0.15057,1.51689,2.24972,1.37019,0.0339545,0.000464649,0.000464649
3,157.961,1.00828,0.86742,1.04459,0.34888,0.26736,0.23343,0.14886,1.50031,2.28621,1.35476,0.000852631,0.000696137,0.000696137
4,207.249,1.00587,0.8704,1.04426,0.37772,0.24716,0.23547,0.14975,1.50271,2.29385,1.35566,0.000695842,0.000695842,0.000695842
5,257.059,1.00153,0.86795,1.04872,0.40716,0.23017,0.22524,0.14422,1.49968,2.23846,1.36287,0.000694456,0.000694456,0.000694456
6,306.736,0.98363,0.83972,1.0314,0.37658,0.24956,0.2288,0.1462,1.49389,2.26382,1.35785,0.00069307,0.00069307,0.00069307
7,355.548,0.97067,0.8177,1.03085,0.36226,0.25852,0.22924,0.14481,1.4973,2.25279,1.3638,0.000691684,0.000691684,0.000691684
8,404.096,0.96965,0.81821,1.02768,0.38771,0.25874,0.23419,0.14958,1.48299,2.29478,1.35586,0.000690298,0.000690298,0.000690298
9,453.167,0.96565,0.78802,1.0251,0.38686,0.25529,0.23096,0.14762,1.49364,2.29106,1.36259,0.000688912,0.000688912,0.000688912
10,502.222,0.95852,0.7986,1.0213,0.36598,0.23865,0.22969,0.14914,1.49846,2.3077,1.3651,0.000687526,0.000687526,0.000687526
11,551.396,0.94022,0.77562,1.01768,0.39572,0.23453,0.23566,0.15304,1.48269,2.27518,1.34531,0.00068614,0.00068614,0.00068614
12,600.959,0.94028,0.77083,1.01406,0.386,0.25017,0.23585,0.15279,1.50478,2.30787,1.36705,0.000684754,0.000684754,0.000684754
13,649.613,0.93573,0.76334,1.01248,0.37915,0.23942,0.2285,0.14735,1.50059,2.31807,1.35938,0.000683368,0.000683368,0.000683368
14,698.222,0.91992,0.74903,1.00892,0.42216,0.2397,0.23934,0.15084,1.50973,2.31588,1.37253,0.000681982,0.000681982,0.000681982
15,747.365,0.92012,0.74128,1.00418,0.40044,0.24634,0.23635,0.14983,1.50315,2.32138,1.36723,0.000680596,0.000680596,0.000680596
16,796.424,0.91908,0.74176,1.00339,0.40109,0.24785,0.2315,0.14791,1.50088,2.33759,1.37485,0.00067921,0.00067921,0.00067921
17,845.076,0.91542,0.74279,1.00541,0.41042,0.24005,0.2329,0.147,1.50417,2.35908,1.37692,0.000677824,0.000677824,0.000677824
18,893.953,0.90271,0.72728,1.0018,0.37317,0.25673,0.22899,0.14536,1.50839,2.35094,1.37266,0.000676438,0.000676438,0.000676438
19,942.645,0.91231,0.72551,0.99666,0.35718,0.25858,0.23458,0.14822,1.50649,2.3478,1.37641,0.000675052,0.000675052,0.000675052
20,991.521,0.9046,0.72862,1.00045,0.37292,0.25899,0.23389,0.14989,1.50155,2.33711,1.37407,0.000673666,0.000673666,0.000673666
21,1040.34,0.89039,0.71068,0.99268,0.39438,0.25502,0.2343,0.14807,1.49822,2.36153,1.37002,0.00067228,0.00067228,0.00067228
22,1089.22,0.8857,0.70352,0.98897,0.39919,0.24372,0.23326,0.14913,1.50567,2.41511,1.38666,0.000670894,0.000670894,0.000670894
23,1137.76,0.88537,0.6971,0.98771,0.34782,0.27421,0.23175,0.14847,1.50475,2.36554,1.37705,0.000669508,0.000669508,0.000669508
24,1186.53,0.88819,0.70033,0.99096,0.34133,0.26844,0.23575,0.14911,1.51325,2.37091,1.38567,0.000668122,0.000668122,0.000668122
25,1235.09,0.87606,0.69561,0.98785,0.34896,0.26182,0.23377,0.14669,1.50475,2.37824,1.38438,0.000666736,0.000666736,0.000666736
26,1284.14,0.89269,0.6933,0.99007,0.34177,0.27453,0.23718,0.14991,1.50714,2.36701,1.38472,0.00066535,0.00066535,0.00066535
27,1332.84,0.87012,0.68959,0.98721,0.38451,0.25899,0.2379,0.15184,1.50057,2.3763,1.37552,0.000663964,0.000663964,0.000663964
28,1381.74,0.86827,0.67839,0.98387,0.39699,0.26029,0.23984,0.1522,1.50789,2.3405,1.38829,0.000662578,0.000662578,0.000662578
29,1430.74,0.87054,0.67895,0.9833,0.40985,0.25945,0.23876,0.14848,1.50462,2.38181,1.38253,0.000661192,0.000661192,0.000661192
30,1479.93,0.86481,0.67435,0.98035,0.39821,0.27464,0.24392,0.1552,1.50197,2.37524,1.38503,0.000659806,0.000659806,0.000659806
31,1529.35,0.85139,0.66543,0.97316,0.37296,0.27173,0.24078,0.15113,1.50745,2.38238,1.37647,0.00065842,0.00065842,0.00065842
32,1578.66,0.85586,0.67199,0.98113,0.38483,0.25783,0.23948,0.15288,1.50659,2.36571,1.38941,0.000657034,0.000657034,0.000657034
33,1627.7,0.84965,0.65393,0.97552,0.44892,0.23332,0.23954,0.15202,1.51451,2.39021,1.39045,0.000655648,0.000655648,0.000655648
34,1676.5,0.84457,0.65461,0.97283,0.4013,0.24405,0.23262,0.14751,1.5102,2.4005,1.38943,0.000654262,0.000654262,0.000654262
35,1725.52,0.84685,0.65353,0.97429,0.37383,0.25259,0.2355,0.15042,1.50452,2.38745,1.38964,0.000652876,0.000652876,0.000652876
36,1774.39,0.84031,0.64607,0.96931,0.35779,0.2691,0.23808,0.14975,1.51866,2.38853,1.4065,0.00065149,0.00065149,0.00065149
37,1823.42,0.84372,0.64657,0.97249,0.38335,0.24327,0.23574,0.14967,1.51699,2.40014,1.39911,0.000650104,0.000650104,0.000650104
38,1872.45,0.83071,0.63462,0.97002,0.35765,0.26704,0.23487,0.15073,1.51673,2.4247,1.40546,0.000648718,0.000648718,0.000648718
39,1921.64,0.82319,0.63046,0.96816,0.38121,0.25593,0.23392,0.15028,1.50578,2.42634,1.38997,0.000647332,0.000647332,0.000647332
40,1970.77,0.8297,0.6372,0.96802,0.42341,0.24773,0.23489,0.1512,1.50813,2.4185,1.39112,0.000645946,0.000645946,0.000645946
41,2019.82,0.82031,0.62486,0.96054,0.4177,0.25052,0.23697,0.14955,1.53029,2.41819,1.40852,0.00064456,0.00064456,0.00064456
42,2069,0.82069,0.63661,0.96495,0.40097,0.25916,0.23126,0.14865,1.50976,2.40097,1.3935,0.000643174,0.000643174,0.000643174
43,2117.87,0.80734,0.62118,0.96047,0.36919,0.25841,0.23762,0.15198,1.51682,2.42389,1.40065,0.000641788,0.000641788,0.000641788
44,2166.79,0.80994,0.62603,0.95938,0.42404,0.25993,0.23945,0.15143,1.51129,2.42384,1.39365,0.000640402,0.000640402,0.000640402
45,2215.65,0.81471,0.61755,0.95474,0.37153,0.25925,0.23243,0.1484,1.5108,2.41083,1.39776,0.000639016,0.000639016,0.000639016
46,2264.73,0.80573,0.62298,0.96018,0.40445,0.25117,0.24179,0.15414,1.51508,2.41645,1.41728,0.00063763,0.00063763,0.00063763
47,2313.63,0.81148,0.61746,0.96087,0.41059,0.24488,0.24365,0.15504,1.51366,2.42398,1.3981,0.000636244,0.000636244,0.000636244
48,2362.42,0.80622,0.61818,0.95849,0.38998,0.25547,0.24523,0.15807,1.51827,2.40435,1.39672,0.000634858,0.000634858,0.000634858
49,2412.43,0.80654,0.60594,0.95611,0.44094,0.26181,0.24951,0.16054,1.51734,2.41727,1.40526,0.000633472,0.000633472,0.000633472
