epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.3079,1.72722,4.51367,1.49085,0.55854,0.04528,0.02651,0.01663,1.66306,3.57568,1.50257,0.0670924,0.0003324,0.0003324
2,173.383,1.26218,2.96698,1.22424,0.59653,0.06999,0.04949,0.02805,1.92512,3.18575,1.65873,0.0340911,0.000664415,0.000664415
3,255.159,1.0442,2.39293,1.09645,0.51585,0.0664,0.05451,0.02808,2.14748,3.31977,1.8274,0.00108848,0.00099511,0.00099511
4,336.077,0.94042,2.08307,1.04673,0.45317,0.08358,0.05975,0.02931,2.15845,3.15034,1.83715,0.00099406,0.00099406,0.00099406
5,416.453,0.86727,1.86731,1.01553,0.40139,0.08136,0.06542,0.03287,2.16728,3.219,1.86056,0.00099208,0.00099208,0.00099208
6,496.382,0.837,1.72811,0.99578,0.36423,0.07871,0.06599,0.03097,2.18988,3.29142,1.87103,0.0009901,0.0009901,0.0009901
7,575.861,0.80521,1.62814,0.98463,0.38841,0.0859,0.06852,0.0351,2.19238,3.29952,1.90019,0.00098812,0.00098812,0.00098812
8,655.885,0.78241,1.52977,0.97383,0.34133,0.06914,0.06404,0.03147,2.23798,3.45791,1.92528,0.00098614,0.00098614,0.00098614
9,746.25,0.77852,1.45327,0.96776,0.32942,0.08893,0.07771,0.03701,2.19849,3.28362,1.88287,0.00098416,0.00098416,0.00098416
10,826.753,0.74821,1.37645,0.9592,0.33011,0.06801,0.06992,0.03582,2.21852,3.59786,1.95051,0.00098218,0.00098218,0.00098218
11,906.35,0.73597,1.30306,0.95189,0.30593,0.07725,0.06555,0.03277,2.25051,3.4996,1.9519,0.0009802,0.0009802,0.0009802
12,985.214,0.71915,1.24225,0.9459,0.35176,0.07423,0.06703,0.03361,2.24607,3.53322,1.94112,0.00097822,0.00097822,0.00097822
13,1063.93,0.71878,1.20059,0.94303,0.37893,0.05411,0.05784,0.02933,2.31815,3.87739,2.04278,0.00097624,0.00097624,0.00097624
14,1142.81,0.6965,1.1441,0.93564,0.28774,0.08228,0.0696,0.03366,2.27334,3.57618,1.97855,0.00097426,0.00097426,0.00097426
15,1221.24,0.69267,1.10224,0.93101,0.32157,0.06083,0.05683,0.02745,2.33216,3.79492,2.02887,0.00097228,0.00097228,0.00097228
16,1299.42,0.67669,1.06068,0.92772,0.30526,0.06425,0.06811,0.03266,2.32185,3.77393,2.03382,0.0009703,0.0009703,0.0009703
17,1377.55,0.67517,1.02709,0.92481,0.35878,0.05595,0.06282,0.03074,2.29453,3.95348,2.04588,0.00096832,0.00096832,0.00096832
18,1455.84,0.66367,0.98788,0.92113,0.3347,0.07362,0.06684,0.03117,2.31198,3.7532,2.01342,0.00096634,0.00096634,0.00096634
19,1534.28,0.65464,0.95365,0.91587,0.29057,0.06761,0.06582,0.0317,2.29416,3.76452,1.97856,0.00096436,0.00096436,0.00096436
20,1612.34,0.65672,0.9261,0.91403,0.38053,0.05744,0.06488,0.03215,2.30422,3.98194,2.03822,0.00096238,0.00096238,0.00096238
21,1690.48,0.64365,0.8955,0.91101,0.35262,0.06367,0.06211,0.03028,2.31846,3.90704,2.04414,0.0009604,0.0009604,0.0009604
22,1768.9,0.63754,0.87463,0.90812,0.31439,0.06435,0.06647,0.03418,2.29337,3.9369,2.03907,0.00095842,0.00095842,0.00095842
23,1847.17,0.62484,0.84953,0.90624,0.35224,0.06025,0.06655,0.0334,2.28738,3.93292,2.01077,0.00095644,0.00095644,0.00095644
24,1925.45,0.62743,0.82941,0.90325,0.38837,0.05452,0.05483,0.02725,2.35707,4.01916,2.0618,0.00095446,0.00095446,0.00095446
25,2004.02,0.61649,0.80522,0.90192,0.38048,0.06287,0.06882,0.03433,2.30913,3.97661,2.0423,0.00095248,0.00095248,0.00095248
26,2082.38,0.61358,0.7812,0.8987,0.32211,0.06537,0.06858,0.03401,2.30454,3.87762,2.01943,0.0009505,0.0009505,0.0009505
27,2160.74,0.61203,0.76098,0.89742,0.33473,0.05152,0.05817,0.02868,2.3588,4.07771,2.07116,0.00094852,0.00094852,0.00094852
28,2238.9,0.59395,0.74703,0.89465,0.40384,0.05654,0.06128,0.03099,2.31075,3.94566,2.01081,0.00094654,0.00094654,0.00094654
29,2317.54,0.5936,0.73503,0.89302,0.41721,0.05048,0.0664,0.03298,2.36904,4.20253,2.09263,0.00094456,0.00094456,0.00094456
30,2395.75,0.59075,0.73115,0.89154,0.40653,0.05018,0.0624,0.03086,2.34887,4.12943,2.08125,0.00094258,0.00094258,0.00094258
31,2474.17,0.59144,0.71196,0.89072,0.39744,0.05119,0.05803,0.02769,2.36232,4.17775,2.08505,0.0009406,0.0009406,0.0009406
32,2552.95,0.59045,0.69471,0.88651,0.38235,0.05141,0.05938,0.02906,2.34158,4.13841,2.07303,0.00093862,0.00093862,0.00093862
33,2631.48,0.57102,0.68189,0.88463,0.35552,0.0604,0.07279,0.03654,2.30782,4.0017,2.02232,0.00093664,0.00093664,0.00093664
34,2709.98,0.5827,0.67234,0.88602,0.1645,0.08534,0.06847,0.03329,2.30349,4.24901,2.06122,0.00093466,0.00093466,0.00093466
35,2788.39,0.56679,0.65956,0.88204,0.37484,0.05505,0.06277,0.03166,2.30429,4.08758,2.04034,0.00093268,0.00093268,0.00093268
36,2866.88,0.56646,0.65176,0.88178,0.39875,0.05376,0.06412,0.03313,2.28827,4.08362,2.01213,0.0009307,0.0009307,0.0009307
37,2945.56,0.5666,0.64599,0.87931,0.45857,0.04779,0.06343,0.032,2.36176,4.22822,2.08161,0.00092872,0.00092872,0.00092872
38,3024.07,0.56192,0.63164,0.8762,0.28715,0.05898,0.0593,0.0295,2.30208,4.23065,2.02046,0.00092674,0.00092674,0.00092674
39,3102.65,0.55234,0.61921,0.877,0.03495,0.12346,0.05323,0.02782,2.34634,4.36902,2.10353,0.00092476,0.00092476,0.00092476
40,3181.12,0.55738,0.61559,0.87439,0.04029,0.13149,0.06351,0.03228,2.32732,4.35854,2.1118,0.00092278,0.00092278,0.00092278
41,3259.52,0.552,0.60756,0.87424,0.03953,0.11744,0.05865,0.03001,2.37843,4.39845,2.11954,0.0009208,0.0009208,0.0009208
42,3337.98,0.54998,0.5994,0.87399,0.28856,0.05409,0.0624,0.032,2.35421,4.26282,2.084,0.00091882,0.00091882,0.00091882
43,3416.4,0.54658,0.58905,0.87195,0.07355,0.10924,0.06262,0.03415,2.3435,4.31483,2.07476,0.00091684,0.00091684,0.00091684
44,3494.81,0.53726,0.57988,0.87036,0.40294,0.04592,0.06008,0.03164,2.34395,4.29493,2.08217,0.00091486,0.00091486,0.00091486
45,3572.97,0.53341,0.57347,0.86819,0.04124,0.12061,0.0586,0.03126,2.33927,4.37549,2.09572,0.00091288,0.00091288,0.00091288
46,3651.3,0.53469,0.57602,0.86861,0.04017,0.13841,0.06089,0.03265,2.34318,4.37405,2.09198,0.0009109,0.0009109,0.0009109
47,3729.91,0.53417,0.56224,0.86801,0.05001,0.12799,0.06632,0.0338,2.34902,4.37254,2.08165,0.00090892,0.00090892,0.00090892
48,3808.17,0.52918,0.56472,0.86677,0.42596,0.0422,0.05446,0.02774,2.36807,4.39263,2.09358,0.00090694,0.00090694,0.00090694
49,3886.95,0.52601,0.54969,0.86483,0.41783,0.04914,0.0577,0.0293,2.39248,4.32416,2.08793,0.00090496,0.00090496,0.00090496
50,3965.48,0.52861,0.54602,0.86548,0.31133,0.05434,0.05983,0.03081,2.3659,4.4365,2.12993,0.00090298,0.00090298,0.00090298
51,4043.97,0.52761,0.54469,0.86551,0.04194,0.13347,0.06239,0.03192,2.33325,4.37558,2.06845,0.000901,0.000901,0.000901
52,4122.18,0.52217,0.53826,0.86236,0.04726,0.11634,0.06496,0.0334,2.36077,4.45718,2.10053,0.00089902,0.00089902,0.00089902
