epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.1697,1.71196,4.48716,1.507,0.576,0.04116,0.03175,0.02084,1.632,3.52807,1.51826,0.0670924,0.0003324,0.0003324
2,172.288,1.27564,2.95877,1.25619,0.57809,0.06909,0.04831,0.02695,1.96025,3.19429,1.73617,0.0340911,0.000664415,0.000664415
3,253.865,1.05496,2.39334,1.12683,0.50489,0.07374,0.05719,0.02942,2.1149,3.22706,1.88129,0.00108848,0.00099511,0.00099511
4,334.579,0.9502,2.08845,1.07107,0.42968,0.07847,0.06883,0.035,2.10895,3.13623,1.8785,0.00099406,0.00099406,0.00099406
5,414.782,0.87858,1.87664,1.03567,0.38994,0.09615,0.07077,0.03495,2.13286,3.06907,1.87765,0.00099208,0.00099208,0.00099208
6,495.076,0.8446,1.72725,1.01287,0.39617,0.08308,0.06541,0.03258,2.1756,3.23038,1.90428,0.0009901,0.0009901,0.0009901
7,574.774,0.81137,1.62981,1.0004,0.36239,0.07077,0.05959,0.02824,2.27856,3.48162,2.00278,0.00098812,0.00098812,0.00098812
8,654.247,0.78927,1.53326,0.98845,0.33741,0.06884,0.05785,0.02844,2.27526,3.55068,1.99265,0.00098614,0.00098614,0.00098614
9,733.856,0.78403,1.45541,0.98301,0.30961,0.08018,0.0636,0.03122,2.23595,3.37901,1.97187,0.00098416,0.00098416,0.00098416
10,813.055,0.75502,1.3732,0.97344,0.36767,0.06393,0.05827,0.02958,2.26577,3.70453,2.03306,0.00098218,0.00098218,0.00098218
11,892.405,0.74033,1.30772,0.96428,0.29604,0.07101,0.05864,0.02757,2.27975,3.56507,2.0039,0.0009802,0.0009802,0.0009802
12,971.447,0.72496,1.24614,0.95829,0.29856,0.0638,0.05609,0.0272,2.30415,3.56279,2.01927,0.00097822,0.00097822,0.00097822
13,1050.49,0.72454,1.19974,0.95601,0.35721,0.05691,0.05519,0.02681,2.30854,3.82043,2.04957,0.00097624,0.00097624,0.00097624
14,1129.59,0.70176,1.14669,0.94831,0.28505,0.07372,0.06132,0.02905,2.28244,3.61752,2.01585,0.00097426,0.00097426,0.00097426
15,1208.75,0.69721,1.10222,0.94322,0.2872,0.05939,0.05496,0.02661,2.29591,3.79067,2.03778,0.00097228,0.00097228,0.00097228
16,1287.8,0.68313,1.06087,0.93921,0.3554,0.05622,0.0544,0.02636,2.30109,3.87017,2.06548,0.0009703,0.0009703,0.0009703
17,1366.89,0.68073,1.02486,0.93718,0.31325,0.0563,0.05505,0.02663,2.29746,3.83554,2.03775,0.00096832,0.00096832,0.00096832
18,1445.9,0.66631,0.98597,0.9312,0.24991,0.06922,0.06194,0.02968,2.30913,3.68262,2.03288,0.00096634,0.00096634,0.00096634
19,1524.88,0.66122,0.95783,0.92797,0.32091,0.05457,0.05345,0.02581,2.29989,3.85828,2.04402,0.00096436,0.00096436,0.00096436
20,1603.68,0.66089,0.92615,0.92557,0.35008,0.04779,0.0534,0.02589,2.32873,4.04544,2.07467,0.00096238,0.00096238,0.00096238
21,1682.66,0.64744,0.89883,0.92082,0.28187,0.06084,0.05843,0.02805,2.30139,3.84507,2.05347,0.0009604,0.0009604,0.0009604
22,1761.58,0.64148,0.87413,0.91834,0.35687,0.05099,0.05522,0.02731,2.30536,3.9231,2.06191,0.00095842,0.00095842,0.00095842
23,1840.45,0.62946,0.85009,0.91691,0.295,0.0607,0.05816,0.02692,2.32823,3.90517,2.06984,0.00095644,0.00095644,0.00095644
24,1919.44,0.6324,0.82538,0.91372,0.25086,0.05349,0.05586,0.02653,2.32997,3.96632,2.06399,0.00095446,0.00095446,0.00095446
25,1998.39,0.62306,0.81231,0.91359,0.32457,0.0561,0.05949,0.02956,2.30569,3.95596,2.06718,0.00095248,0.00095248,0.00095248
26,2077.65,0.61834,0.78492,0.90949,0.25893,0.05903,0.06388,0.03152,2.28609,3.84694,2.03331,0.0009505,0.0009505,0.0009505
27,2156.69,0.61672,0.76908,0.9069,0.31623,0.05197,0.05546,0.02623,2.34761,4.07072,2.13176,0.00094852,0.00094852,0.00094852
28,2235.67,0.59797,0.75276,0.90439,0.33991,0.04973,0.05459,0.02761,2.34116,4.08669,2.09397,0.00094654,0.00094654,0.00094654
29,2314.53,0.59664,0.74169,0.90153,0.35536,0.05188,0.05212,0.02492,2.38314,4.13759,2.12042,0.00094456,0.00094456,0.00094456
30,2393.54,0.5957,0.72947,0.90096,0.34176,0.04657,0.05203,0.02443,2.31806,4.10724,2.06481,0.00094258,0.00094258,0.00094258
31,2472.68,0.59416,0.70935,0.9004,0.32266,0.04919,0.05341,0.02702,2.3212,4.3325,2.12139,0.0009406,0.0009406,0.0009406
32,2551.68,0.59627,0.69883,0.89626,0.32307,0.0594,0.06151,0.02958,2.32076,4.09625,2.10123,0.00093862,0.00093862,0.00093862
33,2630.69,0.57534,0.68594,0.89347,0.35395,0.05206,0.05768,0.02767,2.36638,4.23744,2.11267,0.00093664,0.00093664,0.00093664
34,2710.59,0.58665,0.67654,0.89444,0.37422,0.04959,0.05974,0.02764,2.36924,4.20063,2.11644,0.00093466,0.00093466,0.00093466
35,2789.74,0.57044,0.66342,0.88952,0.41897,0.05242,0.05728,0.02782,2.34389,4.25408,2.11616,0.00093268,0.00093268,0.00093268
36,2869.06,0.57067,0.65293,0.89042,0.36617,0.05484,0.06206,0.03081,2.33929,4.03116,2.11038,0.0009307,0.0009307,0.0009307
37,2948.43,0.57156,0.6461,0.88822,0.3686,0.05298,0.06265,0.03014,2.33034,4.21622,2.11304,0.00092872,0.00092872,0.00092872
38,3027.97,0.56627,0.63587,0.88455,0.38115,0.04303,0.05141,0.02528,2.36551,4.26368,2.13972,0.00092674,0.00092674,0.00092674
