epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.0144,1.72266,4.5455,1.49131,0.47927,0.04696,0.03077,0.01923,1.64454,3.52152,1.49066,0.0670924,0.0003324,0.0003324
2,170.107,1.27165,2.94531,1.23957,0.59382,0.06381,0.04788,0.02682,1.93413,3.18721,1.69375,0.0340911,0.000664415,0.000664415
3,251.082,1.04459,2.38747,1.10959,0.53776,0.06757,0.05347,0.02741,2.11883,3.22303,1.82833,0.00108848,0.00099511,0.00099511
4,331.349,0.93922,2.08302,1.05116,0.43899,0.07922,0.06838,0.03476,2.13838,3.07851,1.83376,0.00099406,0.00099406,0.00099406
5,411.521,0.8654,1.87009,1.01566,0.36622,0.07753,0.06151,0.0308,2.19538,3.17336,1.86984,0.00099208,0.00099208,0.00099208
6,491.074,0.83161,1.72887,0.99281,0.37238,0.07469,0.06444,0.03191,2.18421,3.27396,1.87925,0.0009901,0.0009901,0.0009901
7,570.362,0.80276,1.63078,0.98215,0.40206,0.06954,0.0607,0.02952,2.25593,3.41463,1.94105,0.00098812,0.00098812,0.00098812
8,650.322,0.78063,1.52994,0.97083,0.34421,0.07207,0.06105,0.03042,2.23514,3.30761,1.90902,0.00098614,0.00098614,0.00098614
9,729.553,0.77678,1.45339,0.9661,0.31549,0.07739,0.06926,0.031,2.27323,3.39631,1.95713,0.00098416,0.00098416,0.00098416
10,808.686,0.74609,1.36997,0.95533,0.36981,0.06869,0.06679,0.03194,2.23968,3.58448,1.95678,0.00098218,0.00098218,0.00098218
11,887.941,0.73165,1.30326,0.94837,0.29768,0.07314,0.06601,0.03285,2.26019,3.55521,1.94745,0.0009802,0.0009802,0.0009802
12,967.517,0.7138,1.23945,0.94098,0.25341,0.08289,0.06632,0.03299,2.24219,3.42612,1.9389,0.00097822,0.00097822,0.00097822
13,1047.46,0.71508,1.19764,0.94039,0.31518,0.05757,0.05685,0.02802,2.32826,3.74107,2.02384,0.00097624,0.00097624,0.00097624
14,1126.81,0.69279,1.14481,0.93302,0.26669,0.06512,0.05721,0.0266,2.3031,3.58464,1.97274,0.00097426,0.00097426,0.00097426
15,1205.8,0.6871,1.09759,0.92742,0.3101,0.05004,0.04907,0.02367,2.35505,3.89626,2.05139,0.00097228,0.00097228,0.00097228
16,1284.95,0.67422,1.05668,0.9247,0.31308,0.05862,0.06155,0.03119,2.28315,3.80045,2.00583,0.0009703,0.0009703,0.0009703
17,1364.24,0.67119,1.02005,0.92194,0.2989,0.05624,0.05308,0.02554,2.29594,3.85159,2.00265,0.00096832,0.00096832,0.00096832
18,1443.46,0.65961,0.98179,0.91793,0.2634,0.06261,0.05888,0.02822,2.31941,3.83774,2.03071,0.00096634,0.00096634,0.00096634
