epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1313,1.76272,1.55651,1.57659,0.356,0.15619,0.14104,0.07725,1.90391,2.92893,1.69105,0.0671549,0.000331768,0.000331768
2,107.846,1.48259,1.13152,1.31788,0.37341,0.17836,0.15816,0.09225,1.73058,2.68633,1.49391,0.0341536,0.000663785,0.000663785
3,171.172,1.37672,1.03153,1.23324,0.42332,0.15202,0.14763,0.08724,1.73971,2.80109,1.49369,0.00115098,0.000994481,0.000994481
4,251.602,1.3488,1.05176,1.21947,0.43025,0.17273,0.16388,0.09825,1.64242,2.62709,1.41046,0.00099406,0.00099406,0.00099406
5,337.844,1.30113,1.0263,1.1965,0.35749,0.18318,0.1649,0.10046,1.65601,2.64665,1.44611,0.00099208,0.00099208,0.00099208
6,428.329,1.26478,0.96709,1.17443,0.37256,0.19687,0.17249,0.10652,1.60627,2.6125,1.41087,0.0009901,0.0009901,0.0009901
7,519.656,1.23188,0.94511,1.16012,0.3974,0.19237,0.1735,0.10916,1.6155,2.63874,1.41684,0.00098812,0.00098812,0.00098812
8,609.498,1.2113,0.91823,1.14261,0.38804,0.19264,0.17821,0.11161,1.58674,2.59729,1.40214,0.00098614,0.00098614,0.00098614
9,702.781,1.19651,0.88173,1.13675,0.41451,0.19042,0.18007,0.11142,1.60596,2.60817,1.4151,0.00098416,0.00098416,0.00098416
10,793.281,1.17738,0.8793,1.12846,0.41029,0.18818,0.1796,0.1101,1.58645,2.6501,1.39846,0.00098218,0.00098218,0.00098218
11,885.337,1.14805,0.84329,1.11747,0.35212,0.19365,0.18067,0.11165,1.6006,2.61018,1.40695,0.0009802,0.0009802,0.0009802
12,976.903,1.1392,0.81528,1.10622,0.36159,0.20939,0.18307,0.11401,1.62143,2.68397,1.42423,0.00097822,0.00097822,0.00097822
13,1069.39,1.13615,0.82429,1.10614,0.40658,0.19245,0.18332,0.11329,1.58941,2.63124,1.39828,0.00097624,0.00097624,0.00097624
14,1160.39,1.10287,0.78814,1.09173,0.44001,0.19322,0.18614,0.11483,1.61412,2.65232,1.41251,0.00097426,0.00097426,0.00097426
15,1252.16,1.10586,0.78582,1.08626,0.39414,0.21527,0.1938,0.12019,1.58981,2.63607,1.39938,0.00097228,0.00097228,0.00097228
16,1343.92,1.08525,0.76047,1.0793,0.42738,0.19582,0.18523,0.11372,1.6132,2.70823,1.42986,0.0009703,0.0009703,0.0009703
17,1435.43,1.08085,0.77253,1.07766,0.43017,0.19746,0.18807,0.11649,1.61706,2.69072,1.42005,0.00096832,0.00096832,0.00096832
18,1527.19,1.06581,0.74987,1.07387,0.43362,0.19577,0.19092,0.11835,1.61082,2.66874,1.42784,0.00096634,0.00096634,0.00096634
