epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1404,1.81233,1.64597,1.6218,0.41368,0.13904,0.13253,0.07153,1.96913,3.0291,1.77702,0.066989,0.000165884,0.000165884
2,110.159,1.54159,1.17683,1.37201,0.42883,0.15442,0.14923,0.08383,1.80228,2.76068,1.5643,0.0338217,0.000331892,0.000331892
3,161.439,1.42065,1.05143,1.26366,0.40422,0.16938,0.16217,0.09538,1.73031,2.68048,1.49506,0.000653735,0.000497241,0.000497241
4,212.345,1.36955,1.03215,1.23592,0.36465,0.17934,0.15847,0.09496,1.67047,2.66366,1.44699,0.00049703,0.00049703,0.00049703
5,262.732,1.31556,0.98928,1.20815,0.39634,0.18826,0.16831,0.10268,1.65977,2.63326,1.45138,0.00049604,0.00049604,0.00049604
6,313.24,1.27968,0.93041,1.1825,0.45305,0.17593,0.17272,0.10659,1.63463,2.62529,1.43584,0.00049505,0.00049505,0.00049505
7,364.087,1.24268,0.90362,1.16756,0.41617,0.18529,0.17304,0.10645,1.65595,2.70586,1.44436,0.00049406,0.00049406,0.00049406
8,414.527,1.223,0.88283,1.15479,0.41003,0.17857,0.17387,0.10837,1.6105,2.6416,1.41852,0.00049307,0.00049307,0.00049307
9,465.052,1.20107,0.84311,1.13914,0.40137,0.1903,0.17942,0.11005,1.62868,2.64401,1.42854,0.00049208,0.00049208,0.00049208
10,515.462,1.1876,0.83883,1.13582,0.43209,0.19052,0.18367,0.11374,1.61827,2.64515,1.4207,0.00049109,0.00049109,0.00049109
11,566.187,1.15168,0.80802,1.11922,0.38625,0.1866,0.17455,0.10866,1.62696,2.6574,1.42796,0.0004901,0.0004901,0.0004901
12,617.048,1.14972,0.78529,1.11206,0.39754,0.19199,0.18821,0.1155,1.62969,2.67578,1.4257,0.00048911,0.00048911,0.00048911
13,667.808,1.14204,0.79717,1.11021,0.3866,0.19669,0.18236,0.11447,1.60995,2.64958,1.4202,0.00048812,0.00048812,0.00048812
14,717.234,1.111,0.7611,1.09626,0.43282,0.18821,0.1861,0.11302,1.62573,2.65744,1.42863,0.00048713,0.00048713,0.00048713
15,767.113,1.11399,0.75717,1.09008,0.34052,0.21143,0.19131,0.11781,1.61489,2.67395,1.42224,0.00048614,0.00048614,0.00048614
16,816.876,1.09418,0.74074,1.08086,0.33654,0.20736,0.18259,0.11205,1.62605,2.69162,1.43922,0.00048515,0.00048515,0.00048515
17,866.357,1.09026,0.7463,1.08281,0.36572,0.20045,0.1834,0.11273,1.62517,2.71329,1.43418,0.00048416,0.00048416,0.00048416
18,915.688,1.07561,0.73261,1.07931,0.36811,0.1998,0.18083,0.1141,1.62252,2.69881,1.43148,0.00048317,0.00048317,0.00048317
19,965.173,1.07406,0.72395,1.06736,0.41409,0.18751,0.18358,0.11492,1.61993,2.68968,1.42613,0.00048218,0.00048218,0.00048218
20,1014.72,1.06433,0.71558,1.06938,0.37073,0.19522,0.18025,0.11481,1.61384,2.73793,1.4337,0.00048119,0.00048119,0.00048119
21,1064.01,1.04478,0.69606,1.05661,0.43975,0.19449,0.18205,0.11398,1.62377,2.7195,1.43579,0.0004802,0.0004802,0.0004802
22,1113.45,1.02702,0.68811,1.04857,0.41016,0.19805,0.18845,0.11715,1.62894,2.72773,1.44878,0.00047921,0.00047921,0.00047921
23,1162.63,1.02761,0.67468,1.04739,0.45478,0.18636,0.18703,0.116,1.62991,2.71469,1.44694,0.00047822,0.00047822,0.00047822
24,1212.05,1.02764,0.67997,1.04951,0.42397,0.19398,0.18483,0.11535,1.63932,2.75093,1.44936,0.00047723,0.00047723,0.00047723
25,1261.35,1.01252,0.67151,1.04341,0.40018,0.2103,0.19174,0.11895,1.62125,2.72864,1.44597,0.00047624,0.00047624,0.00047624
26,1310.84,1.01263,0.65833,1.03921,0.40957,0.20134,0.19585,0.12076,1.63065,2.76136,1.45139,0.00047525,0.00047525,0.00047525
