epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0267,1.8119,1.64371,1.62151,0.36399,0.14983,0.13419,0.07293,1.96049,3.02446,1.7692,0.066989,0.000165884,0.000165884
2,62.8385,1.54176,1.17746,1.37088,0.35737,0.16387,0.15121,0.08488,1.79748,2.77151,1.55615,0.0338217,0.000331892,0.000331892
3,92.2733,1.41876,1.04886,1.25949,0.37636,0.1728,0.16164,0.0958,1.73222,2.70167,1.48588,0.000653735,0.000497241,0.000497241
4,121.417,1.36944,1.03071,1.23164,0.4044,0.18181,0.16337,0.09792,1.67671,2.65279,1.45046,0.00049703,0.00049703,0.00049703
5,150.461,1.31574,0.98811,1.20528,0.44274,0.18244,0.17095,0.10167,1.66322,2.64445,1.44933,0.00049604,0.00049604,0.00049604
6,179.632,1.28138,0.9321,1.1797,0.37942,0.17955,0.16827,0.10378,1.63652,2.66063,1.42681,0.00049505,0.00049505,0.00049505
7,208.712,1.24505,0.90392,1.16705,0.44113,0.17958,0.18114,0.10828,1.64703,2.67551,1.42895,0.00049406,0.00049406,0.00049406
8,237.897,1.22305,0.8795,1.14956,0.44588,0.17857,0.17936,0.11103,1.61556,2.63992,1.41448,0.00049307,0.00049307,0.00049307
9,267.039,1.2066,0.84322,1.14032,0.40142,0.1882,0.18274,0.11129,1.63132,2.64852,1.42627,0.00049208,0.00049208,0.00049208
10,296.159,1.18851,0.83868,1.1346,0.435,0.1904,0.18779,0.11402,1.61737,2.63991,1.41854,0.00049109,0.00049109,0.00049109
11,325.392,1.1553,0.80732,1.12082,0.40229,0.18549,0.18256,0.11172,1.61256,2.66406,1.41279,0.0004901,0.0004901,0.0004901
12,354.549,1.15264,0.78388,1.11263,0.4001,0.19431,0.18928,0.11443,1.6217,2.66547,1.42008,0.00048911,0.00048911,0.00048911
13,383.799,1.14156,0.79487,1.10792,0.37421,0.19325,0.18656,0.11491,1.60818,2.6546,1.40919,0.00048812,0.00048812,0.00048812
14,413.026,1.11226,0.76363,1.09624,0.41682,0.19304,0.18818,0.11602,1.61678,2.65714,1.41661,0.00048713,0.00048713,0.00048713
15,442.265,1.11584,0.75554,1.08949,0.38642,0.20402,0.19201,0.11669,1.61844,2.67342,1.41523,0.00048614,0.00048614,0.00048614
16,471.488,1.09354,0.73938,1.08051,0.36973,0.19744,0.18559,0.11444,1.62005,2.71343,1.43214,0.00048515,0.00048515,0.00048515
17,500.543,1.08932,0.74559,1.08155,0.3816,0.19487,0.18121,0.11222,1.62735,2.73214,1.43455,0.00048416,0.00048416,0.00048416
18,529.477,1.07755,0.72968,1.08033,0.40135,0.20476,0.18827,0.11844,1.62521,2.68608,1.43787,0.00048317,0.00048317,0.00048317
19,558.601,1.075,0.72292,1.06991,0.35963,0.20269,0.18611,0.11685,1.60886,2.6916,1.41697,0.00048218,0.00048218,0.00048218
20,587.648,1.06385,0.71792,1.06868,0.39988,0.20234,0.18564,0.1146,1.61988,2.74065,1.43197,0.00048119,0.00048119,0.00048119
21,616.895,1.04405,0.69401,1.05487,0.40258,0.19426,0.18864,0.11554,1.61122,2.73216,1.4299,0.0004802,0.0004802,0.0004802
22,646.13,1.0298,0.68851,1.048,0.41432,0.19758,0.18717,0.11655,1.63131,2.73846,1.44609,0.00047921,0.00047921,0.00047921
23,675.321,1.02685,0.67646,1.04672,0.41639,0.2083,0.18735,0.11696,1.62047,2.71537,1.44389,0.00047822,0.00047822,0.00047822
24,704.488,1.02492,0.67779,1.05081,0.38791,0.20377,0.18772,0.11581,1.62614,2.75996,1.43647,0.00047723,0.00047723,0.00047723
25,733.692,1.0113,0.67319,1.04318,0.44338,0.19555,0.19338,0.12059,1.61903,2.74307,1.4439,0.00047624,0.00047624,0.00047624
26,763.127,1.01397,0.65775,1.03867,0.40957,0.20618,0.19024,0.11744,1.6248,2.77152,1.43801,0.00047525,0.00047525,0.00047525
27,792.369,0.99773,0.66319,1.03871,0.3386,0.2103,0.18805,0.11553,1.61754,2.76716,1.4442,0.00047426,0.00047426,0.00047426
28,821.755,0.99424,0.6541,1.03552,0.38148,0.20483,0.1945,0.12148,1.62911,2.73305,1.4509,0.00047327,0.00047327,0.00047327
29,851.216,0.99008,0.64413,1.02823,0.35322,0.22261,0.19537,0.12134,1.61977,2.74628,1.44637,0.00047228,0.00047228,0.00047228
30,880.427,0.98132,0.64172,1.02444,0.39187,0.20455,0.193,0.1202,1.62053,2.77543,1.45297,0.00047129,0.00047129,0.00047129
31,909.658,0.96522,0.63409,1.01902,0.40633,0.20524,0.19194,0.11893,1.61964,2.75886,1.45055,0.0004703,0.0004703,0.0004703
32,938.887,0.96662,0.63733,1.0221,0.43279,0.20409,0.19527,0.11966,1.62416,2.76339,1.45262,0.00046931,0.00046931,0.00046931
33,968.112,0.96348,0.62495,1.01837,0.35526,0.21227,0.19434,0.12016,1.62032,2.76311,1.45149,0.00046832,0.00046832,0.00046832
