epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4241,1.82215,2.83556,1.54067,0.53199,0.14734,0.1285,0.08022,1.56224,2.32296,1.37781,0.0670554,0.000232238,0.000232238
2,104.908,1.53351,2.43742,1.3543,0.48815,0.18441,0.14933,0.09723,1.44573,2.19104,1.29931,0.0339545,0.000464649,0.000464649
3,155.279,1.46846,2.31024,1.30254,0.49647,0.19355,0.161,0.10639,1.40302,2.14705,1.27658,0.000852631,0.000696137,0.000696137
4,205.222,1.41989,2.23558,1.27487,0.52525,0.19384,0.17346,0.11542,1.37549,2.10022,1.24019,0.000695842,0.000695842,0.000695842
5,255.393,1.38929,2.13386,1.25681,0.52342,0.20139,0.18068,0.12096,1.35862,2.05637,1.23665,0.000694456,0.000694456,0.000694456
6,305.136,1.35954,2.02529,1.23309,0.52102,0.22086,0.18879,0.12569,1.35456,2.02271,1.23584,0.00069307,0.00069307,0.00069307
7,355.357,1.33927,1.95935,1.22912,0.53643,0.24235,0.20618,0.13947,1.35783,2.00196,1.22979,0.000691684,0.000691684,0.000691684
8,405.4,1.32849,1.92167,1.21552,0.50055,0.22458,0.21003,0.13717,1.34722,1.96727,1.22965,0.000690298,0.000690298,0.000690298
9,454.643,1.32809,1.83994,1.21243,0.50758,0.22207,0.20963,0.14008,1.34496,1.96952,1.22478,0.000688912,0.000688912,0.000688912
10,504.762,1.29913,1.78243,1.19645,0.45515,0.24835,0.21605,0.14498,1.34422,1.94443,1.2136,0.000687526,0.000687526,0.000687526
11,554.422,1.27761,1.73718,1.1919,0.47804,0.25103,0.21941,0.14647,1.33858,1.93794,1.22617,0.00068614,0.00068614,0.00068614
12,604.235,1.27317,1.7048,1.1836,0.45368,0.23746,0.2272,0.15353,1.3713,1.94548,1.23181,0.000684754,0.000684754,0.000684754
13,654.16,1.27322,1.66872,1.18168,0.46388,0.24118,0.22772,0.15085,1.35266,1.93267,1.22587,0.000683368,0.000683368,0.000683368
14,703.092,1.24267,1.61478,1.17264,0.42717,0.26421,0.2342,0.15596,1.35816,1.92415,1.22367,0.000681982,0.000681982,0.000681982
15,753.038,1.24536,1.57967,1.16865,0.45145,0.25925,0.23551,0.15673,1.34297,1.89155,1.21738,0.000680596,0.000680596,0.000680596
16,803.595,1.23074,1.53471,1.15715,0.43874,0.25702,0.24357,0.16188,1.3647,1.92739,1.22958,0.00067921,0.00067921,0.00067921
17,854.211,1.22902,1.54888,1.15852,0.4069,0.26033,0.24265,0.15846,1.35195,1.93474,1.2282,0.000677824,0.000677824,0.000677824
18,903.452,1.20974,1.4857,1.15076,0.45643,0.26958,0.24575,0.16102,1.35209,1.90913,1.2199,0.000676438,0.000676438,0.000676438
19,952.516,1.21913,1.47333,1.14699,0.35939,0.29358,0.25694,0.16664,1.34442,1.91431,1.22929,0.000675052,0.000675052,0.000675052
20,1002.62,1.21578,1.46291,1.15477,0.42943,0.28677,0.25124,0.16543,1.34702,1.9221,1.23199,0.000673666,0.000673666,0.000673666
21,1052.63,1.19215,1.40651,1.13704,0.43103,0.26841,0.25034,0.16487,1.35463,1.93973,1.22963,0.00067228,0.00067228,0.00067228
22,1102.35,1.18379,1.38048,1.13339,0.41626,0.26984,0.24996,0.16446,1.36527,1.94622,1.2317,0.000670894,0.000670894,0.000670894
23,1152.08,1.17593,1.34199,1.1252,0.42144,0.27371,0.24893,0.16293,1.35159,1.91749,1.22994,0.000669508,0.000669508,0.000669508
24,1202.07,1.17619,1.3376,1.12819,0.39707,0.28291,0.24874,0.16278,1.35719,1.92125,1.22548,0.000668122,0.000668122,0.000668122
25,1251.73,1.16186,1.31165,1.12201,0.38951,0.27424,0.24727,0.16141,1.36,1.94556,1.23,0.000666736,0.000666736,0.000666736
26,1301.45,1.17328,1.27972,1.11731,0.37719,0.29394,0.25627,0.16678,1.36716,1.94163,1.23951,0.00066535,0.00066535,0.00066535
27,1351.94,1.15022,1.28606,1.11919,0.44161,0.2606,0.2569,0.16906,1.35746,1.9548,1.23688,0.000663964,0.000663964,0.000663964
28,1402.37,1.1473,1.26132,1.11523,0.36767,0.29036,0.25063,0.16445,1.35682,1.95767,1.23825,0.000662578,0.000662578,0.000662578
29,1452.14,1.14426,1.23167,1.10922,0.39882,0.29386,0.25084,0.1622,1.37077,1.96211,1.23754,0.000661192,0.000661192,0.000661192
30,1502.03,1.14976,1.2266,1.11522,0.3789,0.28572,0.25735,0.16563,1.36191,1.93474,1.23882,0.000659806,0.000659806,0.000659806
31,1551.72,1.12834,1.20111,1.10379,0.37658,0.27632,0.25995,0.16945,1.37199,1.99521,1.2376,0.00065842,0.00065842,0.00065842
32,1602.12,1.12745,1.19506,1.11011,0.38279,0.29186,0.25988,0.16778,1.37348,1.9604,1.24208,0.000657034,0.000657034,0.000657034
33,1651.78,1.13026,1.16269,1.10156,0.41952,0.27469,0.26191,0.16907,1.36334,1.96487,1.23719,0.000655648,0.000655648,0.000655648
34,1701.6,1.10891,1.15262,1.09521,0.37883,0.28748,0.25872,0.16703,1.36326,1.99532,1.24242,0.000654262,0.000654262,0.000654262
35,1751.93,1.11474,1.14499,1.09319,0.44857,0.26845,0.25976,0.16788,1.36952,2.00023,1.23649,0.000652876,0.000652876,0.000652876
36,1801.83,1.09718,1.11996,1.08573,0.37128,0.29538,0.2647,0.17128,1.37532,1.98443,1.25058,0.00065149,0.00065149,0.00065149
37,1852.28,1.10676,1.11236,1.08868,0.40174,0.26672,0.26115,0.17038,1.37763,1.96521,1.25011,0.000650104,0.000650104,0.000650104
38,1901.82,1.09498,1.09105,1.09022,0.39267,0.28731,0.25854,0.16894,1.38166,1.99074,1.24996,0.000648718,0.000648718,0.000648718
39,1951.23,1.0786,1.07415,1.08361,0.39158,0.2861,0.26552,0.17119,1.38218,2.00192,1.24377,0.000647332,0.000647332,0.000647332
40,2001.72,1.0916,1.07954,1.0855,0.34051,0.28953,0.26072,0.17226,1.38058,1.98487,1.25362,0.000645946,0.000645946,0.000645946
41,2052.13,1.08147,1.04474,1.07594,0.3951,0.2781,0.25787,0.1672,1.38607,1.99856,1.2522,0.00064456,0.00064456,0.00064456
42,2101.71,1.07462,1.04602,1.07456,0.35257,0.28678,0.25676,0.16713,1.38963,2.00476,1.25239,0.000643174,0.000643174,0.000643174
43,2154.03,1.05699,1.0149,1.07012,0.40542,0.25441,0.25823,0.16843,1.39329,2.02011,1.2515,0.000641788,0.000641788,0.000641788
44,2204.15,1.05588,1.01618,1.06824,0.40828,0.26808,0.25793,0.16997,1.39796,2.01055,1.26466,0.000640402,0.000640402,0.000640402
45,2255.73,1.06666,1.0062,1.06331,0.34429,0.28314,0.25988,0.16877,1.39562,2.02664,1.26707,0.000639016,0.000639016,0.000639016
46,2306.45,1.04689,1.00661,1.06503,0.38669,0.28027,0.25929,0.16905,1.38866,2.01683,1.2588,0.00063763,0.00063763,0.00063763
47,2355.94,1.05144,0.98965,1.064,0.35934,0.29617,0.2658,0.17251,1.39851,2.00021,1.25787,0.000636244,0.000636244,0.000636244
48,2406.38,1.04948,0.98692,1.06197,0.41079,0.2745,0.25953,0.16685,1.40316,2.00289,1.26921,0.000634858,0.000634858,0.000634858
49,2456.23,1.04858,0.96688,1.05949,0.41812,0.27376,0.26045,0.16948,1.39719,2.04178,1.26314,0.000633472,0.000633472,0.000633472
50,2509.27,1.03456,0.9679,1.05405,0.42523,0.2775,0.26247,0.16894,1.38703,2.04595,1.25697,0.000632086,0.000632086,0.000632086
51,2558.91,1.02814,0.94656,1.05018,0.41404,0.27149,0.25771,0.16671,1.39613,2.00754,1.2597,0.0006307,0.0006307,0.0006307
52,2608.32,1.028,0.94203,1.05863,0.37048,0.28453,0.268,0.17133,1.40643,2.02162,1.27067,0.000629314,0.000629314,0.000629314
53,2657.56,1.01996,0.92909,1.05328,0.38253,0.29142,0.26983,0.17354,1.39803,2.01614,1.26072,0.000627928,0.000627928,0.000627928
54,2707.9,1.01853,0.92301,1.05092,0.37453,0.28832,0.26677,0.17243,1.40884,2.06045,1.27657,0.000626542,0.000626542,0.000626542
55,2757.25,1.01298,0.90993,1.04876,0.34385,0.30121,0.26343,0.16929,1.41498,2.06526,1.27597,0.000625156,0.000625156,0.000625156
56,2806.7,1.01127,0.91326,1.04748,0.41888,0.26852,0.26987,0.17491,1.39991,2.0426,1.27155,0.00062377,0.00062377,0.00062377
57,2857.12,1.00729,0.90133,1.04841,0.38753,0.28489,0.26947,0.17381,1.40785,2.03785,1.27339,0.000622384,0.000622384,0.000622384
58,2907.38,0.99594,0.89114,1.0394,0.41274,0.27109,0.26291,0.16668,1.40656,2.07228,1.27566,0.000620998,0.000620998,0.000620998
59,2957.21,1.00295,0.8833,1.03644,0.35204,0.27705,0.25959,0.1699,1.40338,2.08669,1.27379,0.000619612,0.000619612,0.000619612
