epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.2113,1.72605,4.57214,1.50178,0.51896,0.04826,0.03343,0.0218,1.63994,3.51074,1.50486,0.0670924,0.0003324,0.0003324
2,175.177,1.27199,2.99309,1.24552,0.6433,0.06606,0.05076,0.02895,1.92588,3.17391,1.65894,0.0340911,0.000664415,0.000664415
3,256.583,1.04814,2.42457,1.1117,0.5526,0.07182,0.05662,0.03011,2.09775,3.15881,1.77031,0.00108848,0.00099511,0.00099511
4,337.748,0.94312,2.10514,1.05422,0.44127,0.07946,0.06337,0.03289,2.12809,3.10488,1.80837,0.00099406,0.00099406,0.00099406
5,419.576,0.8721,1.88473,1.02178,0.40942,0.08589,0.07101,0.03615,2.12795,3.08171,1.85228,0.00099208,0.00099208,0.00099208
6,502.663,0.83781,1.73349,0.99961,0.39056,0.08531,0.06876,0.03372,2.18032,3.18527,1.85681,0.0009901,0.0009901,0.0009901
7,584.471,0.80627,1.63608,0.98835,0.31207,0.08281,0.0611,0.0302,2.22075,3.34966,1.94003,0.00098812,0.00098812,0.00098812
8,665.145,0.78317,1.53608,0.978,0.36029,0.06988,0.05866,0.02886,2.24952,3.41714,1.93641,0.00098614,0.00098614,0.00098614
9,746.533,0.77976,1.46311,0.97241,0.35254,0.07425,0.06697,0.03239,2.19166,3.39164,1.92407,0.00098416,0.00098416,0.00098416
10,827.711,0.74864,1.37236,0.96243,0.37249,0.06651,0.06378,0.03147,2.24338,3.63088,1.97349,0.00098218,0.00098218,0.00098218
11,908.918,0.73616,1.30446,0.95537,0.29805,0.07704,0.05822,0.02809,2.26071,3.50949,1.95098,0.0009802,0.0009802,0.0009802
12,990.172,0.71997,1.24802,0.94947,0.31545,0.07051,0.06138,0.02846,2.24967,3.38272,1.90844,0.00097822,0.00097822,0.00097822
13,1071.23,0.71867,1.20012,0.94667,0.31537,0.0626,0.05721,0.02717,2.28131,3.65231,1.97612,0.00097624,0.00097624,0.00097624
14,1152.31,0.69588,1.14142,0.93807,0.29512,0.07171,0.06699,0.0306,2.24382,3.48845,1.94777,0.00097426,0.00097426,0.00097426
15,1233.35,0.69323,1.10096,0.93467,0.29962,0.06241,0.0546,0.02708,2.27327,3.77106,2.00894,0.00097228,0.00097228,0.00097228
16,1315.61,0.67727,1.06004,0.93094,0.31421,0.05874,0.05971,0.02936,2.24993,3.75238,2.00928,0.0009703,0.0009703,0.0009703
17,1396.24,0.6758,1.02667,0.9289,0.28117,0.0617,0.0577,0.0284,2.26563,3.69095,1.97363,0.00096832,0.00096832,0.00096832
18,1476.73,0.66333,0.98214,0.92271,0.30173,0.05752,0.05595,0.02662,2.29675,3.87234,2.03943,0.00096634,0.00096634,0.00096634
19,1557.94,0.65501,0.95556,0.91954,0.3006,0.06025,0.05585,0.02737,2.27994,3.78908,1.99675,0.00096436,0.00096436,0.00096436
20,1638.63,0.65691,0.92552,0.91801,0.32111,0.04972,0.05694,0.02834,2.27779,3.8864,2.0059,0.00096238,0.00096238,0.00096238
21,1719.13,0.64226,0.89262,0.91283,0.3071,0.05176,0.05649,0.02735,2.3,4.03169,2.03275,0.0009604,0.0009604,0.0009604
22,1799.86,0.63497,0.86825,0.90998,0.31582,0.05478,0.05704,0.02916,2.26477,3.92844,2.01827,0.00095842,0.00095842,0.00095842
23,1880.82,0.62577,0.8487,0.9103,0.35116,0.05873,0.06276,0.03013,2.32002,3.87797,2.01412,0.00095644,0.00095644,0.00095644
24,1961.4,0.62746,0.82673,0.90692,0.32622,0.04696,0.0551,0.02711,2.30296,4.00698,2.03685,0.00095446,0.00095446,0.00095446
25,2041.53,0.61747,0.80579,0.90546,0.40477,0.05109,0.05638,0.02799,2.35367,4.1,2.08928,0.00095248,0.00095248,0.00095248
26,2122.25,0.61314,0.77712,0.9019,0.31311,0.05279,0.05837,0.02879,2.31365,3.98134,2.03446,0.0009505,0.0009505,0.0009505
27,2202.99,0.61244,0.7613,0.90017,0.29418,0.05473,0.05313,0.02598,2.32495,3.9652,2.02934,0.00094852,0.00094852,0.00094852
28,2283.79,0.59462,0.7498,0.89764,0.304,0.04644,0.05111,0.02664,2.31596,4.08928,2.04271,0.00094654,0.00094654,0.00094654
29,2364.92,0.59264,0.73459,0.89423,0.34767,0.0544,0.05549,0.0268,2.34697,4.10673,2.05926,0.00094456,0.00094456,0.00094456
30,2446.44,0.59059,0.72977,0.8941,0.3158,0.0536,0.0593,0.02877,2.32234,4.00177,2.02558,0.00094258,0.00094258,0.00094258
31,2527.33,0.59034,0.70946,0.89319,0.34102,0.0509,0.05736,0.02731,2.3094,4.0899,2.0301,0.0009406,0.0009406,0.0009406
32,2608.15,0.59105,0.69265,0.88879,0.3519,0.04651,0.0523,0.02627,2.31763,4.10816,2.05585,0.00093862,0.00093862,0.00093862
33,2688.82,0.57076,0.68504,0.88747,0.37537,0.04783,0.05888,0.02854,2.33742,4.17643,2.09638,0.00093664,0.00093664,0.00093664
34,2769.34,0.58183,0.67096,0.88774,0.37906,0.04319,0.05256,0.02693,2.32769,4.21524,2.06235,0.00093466,0.00093466,0.00093466
35,2850.36,0.56538,0.65791,0.88404,0.37728,0.05394,0.05449,0.02708,2.30221,4.01787,2.01378,0.00093268,0.00093268,0.00093268
36,2930.73,0.56709,0.6512,0.8846,0.34296,0.05368,0.06062,0.02926,2.35163,4.05714,2.07208,0.0009307,0.0009307,0.0009307
37,3011.46,0.56638,0.64275,0.88208,0.39492,0.05338,0.06052,0.0297,2.34701,4.11222,2.08327,0.00092872,0.00092872,0.00092872
38,3092.5,0.56157,0.63004,0.8775,0.35232,0.05178,0.06061,0.02996,2.3188,4.16838,2.05986,0.00092674,0.00092674,0.00092674
39,3173.38,0.55388,0.61861,0.87991,0.37517,0.04512,0.05544,0.02739,2.3585,4.29506,2.10951,0.00092476,0.00092476,0.00092476
