epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.2275,1.69261,4.29373,1.47205,0.63218,0.06757,0.04488,0.02943,1.57535,3.17633,1.43163,0.0670579,0.000332749,0.000332749
2,154.305,1.35345,2.83961,1.26897,0.61296,0.1187,0.09459,0.06017,1.56093,2.58233,1.38602,0.0340566,0.000664763,0.000664763
3,227.018,1.18244,2.3579,1.16796,0.52866,0.15221,0.1313,0.08229,1.54896,2.3832,1.36793,0.00105394,0.000995458,0.000995458
4,299.208,1.1014,2.08061,1.12217,0.44628,0.19724,0.15787,0.10066,1.47695,2.2047,1.31885,0.00099406,0.00099406,0.00099406
5,371.535,1.03981,1.87914,1.09063,0.46187,0.19781,0.1714,0.10884,1.45713,2.14673,1.29412,0.00099208,0.00099208,0.00099208
6,443.955,1.00562,1.75749,1.07205,0.41581,0.21457,0.18482,0.11839,1.44077,2.09844,1.29056,0.0009901,0.0009901,0.0009901
7,516.895,0.97866,1.64803,1.05845,0.41416,0.22389,0.19611,0.12618,1.43865,2.08853,1.28091,0.00098812,0.00098812,0.00098812
8,589.893,0.95048,1.5498,1.04421,0.41152,0.21837,0.20046,0.12604,1.46216,2.101,1.29565,0.00098614,0.00098614,0.00098614
9,662.912,0.93723,1.47233,1.03739,0.38599,0.23536,0.21053,0.13144,1.44737,2.06285,1.27234,0.00098416,0.00098416,0.00098416
10,735.87,0.91911,1.39879,1.0292,0.42756,0.22867,0.20288,0.12878,1.45227,2.09564,1.28697,0.00098218,0.00098218,0.00098218
11,808.606,0.89062,1.33511,1.01536,0.39522,0.24289,0.21623,0.13869,1.43241,2.06739,1.27494,0.0009802,0.0009802,0.0009802
12,881.285,0.88628,1.28614,1.01389,0.39116,0.23269,0.21223,0.13507,1.44794,2.07346,1.2807,0.00097822,0.00097822,0.00097822
13,954.173,0.87149,1.21092,1.00093,0.40625,0.23534,0.21447,0.13399,1.43579,2.07327,1.26556,0.00097624,0.00097624,0.00097624
14,1027.27,0.87278,1.18042,1.0034,0.41974,0.22434,0.21588,0.13723,1.46538,2.07016,1.26954,0.00097426,0.00097426,0.00097426
15,1100.21,0.84757,1.12667,0.99413,0.37842,0.26099,0.22984,0.14396,1.45955,2.0685,1.28966,0.00097228,0.00097228,0.00097228
16,1173,0.83231,1.09715,0.99025,0.39634,0.2313,0.22144,0.14271,1.46559,2.09519,1.29078,0.0009703,0.0009703,0.0009703
17,1245.95,0.82897,1.05612,0.98516,0.35033,0.23782,0.22164,0.13972,1.46173,2.11385,1.28424,0.00096832,0.00096832,0.00096832
18,1318.78,0.82205,1.03264,0.9855,0.37578,0.23836,0.21958,0.13796,1.45667,2.11851,1.27521,0.00096634,0.00096634,0.00096634
19,1391.84,0.8146,0.99384,0.97819,0.36605,0.234,0.21455,0.13551,1.48307,2.11516,1.29664,0.00096436,0.00096436,0.00096436
20,1464.67,0.80327,0.97225,0.97295,0.34008,0.25561,0.22137,0.14009,1.47091,2.13333,1.29294,0.00096238,0.00096238,0.00096238
21,1537.27,0.7948,0.93944,0.97053,0.40002,0.21951,0.21814,0.13861,1.46763,2.1226,1.28266,0.0009604,0.0009604,0.0009604
22,1609.92,0.79289,0.91731,0.96727,0.35093,0.24283,0.21609,0.13582,1.47497,2.14389,1.2892,0.00095842,0.00095842,0.00095842
23,1682.73,0.78908,0.89456,0.967,0.41593,0.24003,0.23022,0.14682,1.46433,2.14191,1.27717,0.00095644,0.00095644,0.00095644
24,1755.71,0.77517,0.86905,0.95937,0.42789,0.23431,0.22526,0.14089,1.45797,2.1567,1.27476,0.00095446,0.00095446,0.00095446
25,1828.55,0.77707,0.85544,0.95829,0.38895,0.23681,0.22409,0.14056,1.48804,2.16635,1.29513,0.00095248,0.00095248,0.00095248
26,1901.62,0.76501,0.83256,0.95314,0.37287,0.25117,0.22699,0.14131,1.48286,2.16005,1.29001,0.0009505,0.0009505,0.0009505
27,1974.5,0.76035,0.81329,0.95386,0.40337,0.23106,0.22907,0.14476,1.48045,2.17128,1.29467,0.00094852,0.00094852,0.00094852
28,2047.39,0.75927,0.80081,0.95101,0.38587,0.25891,0.23283,0.14494,1.48082,2.1885,1.29052,0.00094654,0.00094654,0.00094654
29,2120.62,0.75433,0.78413,0.94871,0.38251,0.25334,0.22564,0.14361,1.46926,2.19869,1.28691,0.00094456,0.00094456,0.00094456
30,2193.63,0.74682,0.76797,0.94373,0.38158,0.24684,0.22526,0.1417,1.48594,2.20625,1.28933,0.00094258,0.00094258,0.00094258
31,2266.48,0.73976,0.75076,0.94147,0.37558,0.23828,0.2199,0.13695,1.4936,2.24802,1.30357,0.0009406,0.0009406,0.0009406
32,2339.3,0.74111,0.74432,0.94093,0.43546,0.23813,0.23061,0.14263,1.48367,2.17816,1.29492,0.00093862,0.00093862,0.00093862
33,2412.4,0.73641,0.73158,0.93768,0.40663,0.24537,0.2371,0.14733,1.48581,2.21096,1.29183,0.00093664,0.00093664,0.00093664
34,2485.46,0.7345,0.72566,0.93726,0.41398,0.24423,0.23317,0.14629,1.4829,2.23413,1.29097,0.00093466,0.00093466,0.00093466
35,2558.32,0.73087,0.71711,0.93791,0.39969,0.24996,0.22878,0.14485,1.48454,2.22637,1.29432,0.00093268,0.00093268,0.00093268
36,2631.07,0.72154,0.69946,0.9322,0.37864,0.24513,0.2245,0.14402,1.48822,2.22392,1.29684,0.0009307,0.0009307,0.0009307
37,2704.1,0.7184,0.69366,0.93281,0.39532,0.24504,0.22712,0.14403,1.48036,2.24124,1.30331,0.00092872,0.00092872,0.00092872
38,2776.93,0.71637,0.68487,0.9294,0.37559,0.24858,0.23102,0.14709,1.49266,2.2503,1.30487,0.00092674,0.00092674,0.00092674
39,2849.74,0.71262,0.67666,0.92849,0.35421,0.2479,0.21904,0.14019,1.49537,2.26143,1.303,0.00092476,0.00092476,0.00092476
40,2922.59,0.70749,0.66139,0.92492,0.39489,0.22814,0.21933,0.13685,1.48843,2.26568,1.3037,0.00092278,0.00092278,0.00092278
41,2995.26,0.70524,0.65895,0.92624,0.34842,0.24509,0.22098,0.13628,1.50233,2.29123,1.32016,0.0009208,0.0009208,0.0009208
42,3067.96,0.68917,0.64476,0.92218,0.45995,0.21338,0.22799,0.14164,1.49601,2.28702,1.30939,0.00091882,0.00091882,0.00091882
43,3140.64,0.69505,0.64817,0.92436,0.42335,0.23552,0.2297,0.14351,1.49739,2.26682,1.31348,0.00091684,0.00091684,0.00091684
44,3213.36,0.69043,0.63339,0.91981,0.45226,0.23014,0.22947,0.1423,1.49629,2.26293,1.31651,0.00091486,0.00091486,0.00091486
