epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.6173,1.67652,4.26232,1.4864,0.57091,0.07146,0.05106,0.03316,1.57409,3.09191,1.46555,0.0670579,0.000332749,0.000332749
2,157.133,1.36117,2.81047,1.30479,0.64092,0.12122,0.09672,0.06088,1.55499,2.54121,1.42937,0.0340566,0.000664763,0.000664763
3,231.238,1.19625,2.35823,1.20298,0.54562,0.13972,0.12905,0.0825,1.54461,2.3937,1.39667,0.00105394,0.000995458,0.000995458
4,304.52,1.11139,2.09175,1.14546,0.46189,0.18787,0.1559,0.10055,1.47687,2.23547,1.34352,0.00099406,0.00099406,0.00099406
5,378.161,1.04484,1.89066,1.10886,0.47818,0.19452,0.17424,0.11147,1.46632,2.14256,1.32591,0.00099208,0.00099208,0.00099208
6,451.459,1.01219,1.76585,1.08873,0.42267,0.22107,0.18625,0.11736,1.46391,2.12096,1.32386,0.0009901,0.0009901,0.0009901
7,524.997,0.98559,1.65094,1.0737,0.44852,0.21261,0.19566,0.12575,1.43906,2.08107,1.30275,0.00098812,0.00098812,0.00098812
8,598.279,0.95487,1.5518,1.05792,0.45136,0.2319,0.21597,0.13902,1.45269,2.06962,1.30837,0.00098614,0.00098614,0.00098614
9,671.696,0.93959,1.47384,1.04877,0.42248,0.23158,0.20899,0.13157,1.44481,2.06156,1.29255,0.00098416,0.00098416,0.00098416
10,745.007,0.92399,1.40403,1.0418,0.43811,0.23214,0.21181,0.13493,1.43611,2.07687,1.29567,0.00098218,0.00098218,0.00098218
11,818.154,0.89425,1.33779,1.0276,0.39958,0.23423,0.21274,0.1351,1.45673,2.09695,1.29857,0.0009802,0.0009802,0.0009802
12,891.121,0.89305,1.28977,1.02878,0.3993,0.23237,0.21941,0.13922,1.44664,2.10561,1.30171,0.00097822,0.00097822,0.00097822
13,964.538,0.87655,1.2162,1.01538,0.41099,0.24297,0.22556,0.14117,1.44375,2.07157,1.29149,0.00097624,0.00097624,0.00097624
14,1037.74,0.87498,1.18144,1.0158,0.40538,0.23235,0.22842,0.14316,1.46443,2.09995,1.305,0.00097426,0.00097426,0.00097426
15,1110.96,0.85507,1.13123,1.00782,0.37668,0.2389,0.21722,0.13631,1.4655,2.11109,1.31795,0.00097228,0.00097228,0.00097228
16,1184.08,0.83831,1.09758,1.00281,0.36646,0.23856,0.22192,0.14265,1.46116,2.10787,1.30592,0.0009703,0.0009703,0.0009703
17,1257.12,0.83475,1.05755,0.99729,0.35885,0.25348,0.22467,0.14407,1.45975,2.14601,1.29731,0.00096832,0.00096832,0.00096832
18,1330.21,0.82679,1.03432,0.9982,0.35008,0.25468,0.22628,0.14219,1.46473,2.12802,1.30543,0.00096634,0.00096634,0.00096634
19,1403.46,0.81901,0.99416,0.98968,0.35206,0.23338,0.21648,0.13576,1.48296,2.13233,1.31447,0.00096436,0.00096436,0.00096436
20,1476.29,0.8075,0.97413,0.98368,0.38082,0.23306,0.21691,0.1379,1.46424,2.16009,1.30963,0.00096238,0.00096238,0.00096238
