epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,334.802,0.83841,2.56055,1.00292,0.37737,0.22655,0.22537,0.14193,1.54246,2.33338,1.37247,0.0670219,0.000333113,0.000333113
2,653.193,0.65025,1.66984,0.91643,0.36786,0.26445,0.24669,0.15344,1.54918,2.27787,1.37962,0.0340205,0.000665126,0.000665126
3,965.918,0.6085,1.447,0.89913,0.38945,0.23934,0.23754,0.14845,1.55387,2.27547,1.38772,0.0010179,0.00099582,0.00099582
4,1275.12,0.59274,1.3484,0.89516,0.29525,0.27109,0.23402,0.1429,1.54652,2.24188,1.37629,0.00099406,0.00099406,0.00099406
5,1584.83,0.5724,1.24087,0.88749,0.37129,0.2542,0.23305,0.14229,1.52689,2.22009,1.35832,0.00099208,0.00099208,0.00099208
6,1908.57,0.5623,1.17473,0.8851,0.40402,0.25346,0.22989,0.14188,1.52987,2.20135,1.36295,0.0009901,0.0009901,0.0009901
7,2218.53,0.5536,1.11937,0.88128,0.40379,0.261,0.23687,0.14906,1.51906,2.2219,1.35111,0.00098812,0.00098812,0.00098812
8,2535.97,0.54753,1.07954,0.87955,0.34762,0.27279,0.2407,0.14993,1.5398,2.18177,1.36702,0.00098614,0.00098614,0.00098614
9,2846.42,0.53944,1.0423,0.87682,0.36837,0.27172,0.25073,0.1579,1.52912,2.20997,1.36392,0.00098416,0.00098416,0.00098416
10,3157.82,0.53596,1.01248,0.87581,0.40942,0.24612,0.2444,0.1541,1.51264,2.21849,1.34485,0.00098218,0.00098218,0.00098218
11,3486.18,0.53007,0.98609,0.87408,0.35744,0.28659,0.24679,0.15115,1.53068,2.18801,1.37036,0.0009802,0.0009802,0.0009802
12,3798.76,0.52756,0.96233,0.87326,0.3803,0.25843,0.25245,0.15742,1.51871,2.23031,1.36012,0.00097822,0.00097822,0.00097822
13,4124.71,0.52169,0.93907,0.8714,0.36843,0.27951,0.24312,0.15382,1.50083,2.22333,1.3466,0.00097624,0.00097624,0.00097624
14,4436.48,0.51779,0.92238,0.86962,0.42068,0.25401,0.25227,0.15862,1.51082,2.22915,1.34822,0.00097426,0.00097426,0.00097426
15,4749.15,0.52017,0.90354,0.86938,0.4275,0.2686,0.2538,0.16016,1.51299,2.20667,1.34472,0.00097228,0.00097228,0.00097228
16,5062.9,0.51625,0.88899,0.86944,0.34805,0.29757,0.26412,0.16379,1.5144,2.20395,1.34339,0.0009703,0.0009703,0.0009703
17,5373.68,0.51161,0.87064,0.8685,0.37153,0.28342,0.25644,0.15984,1.51479,2.20241,1.36839,0.00096832,0.00096832,0.00096832
18,5683.89,0.51046,0.86005,0.86793,0.43866,0.26856,0.25524,0.15868,1.51961,2.19186,1.35166,0.00096634,0.00096634,0.00096634
19,5994.62,0.50576,0.84704,0.86523,0.3753,0.29625,0.26474,0.16659,1.51474,2.17158,1.35701,0.00096436,0.00096436,0.00096436
20,6304.81,0.50713,0.83475,0.86525,0.40364,0.27691,0.26399,0.16654,1.50513,2.18129,1.34754,0.00096238,0.00096238,0.00096238
21,6614.32,0.50448,0.82382,0.86429,0.3372,0.28992,0.2606,0.16686,1.50315,2.17792,1.35139,0.0009604,0.0009604,0.0009604
22,6923.24,0.50313,0.81278,0.86426,0.36382,0.30476,0.27354,0.17263,1.48942,2.16292,1.34223,0.00095842,0.00095842,0.00095842
23,7232.84,0.49954,0.80194,0.86326,0.36384,0.27825,0.25521,0.164,1.4942,2.17778,1.34524,0.00095644,0.00095644,0.00095644
24,7541.94,0.49841,0.79298,0.86306,0.44102,0.25738,0.26207,0.16369,1.49888,2.16539,1.3555,0.00095446,0.00095446,0.00095446
25,7850.91,0.49868,0.78486,0.86296,0.44565,0.27462,0.26437,0.16664,1.49355,2.17935,1.34804,0.00095248,0.00095248,0.00095248
26,8159.89,0.49612,0.77437,0.8618,0.4425,0.2593,0.25872,0.16408,1.49461,2.18702,1.34393,0.0009505,0.0009505,0.0009505
27,8469.08,0.4929,0.76278,0.86086,0.41857,0.25887,0.25715,0.16516,1.49829,2.1844,1.35045,0.00094852,0.00094852,0.00094852
28,8797.13,0.4894,0.75515,0.86134,0.42338,0.25311,0.26002,0.1659,1.49833,2.1861,1.35319,0.00094654,0.00094654,0.00094654
29,9106.93,0.49127,0.74793,0.86009,0.4047,0.27169,0.2661,0.17115,1.49818,2.20116,1.35433,0.00094456,0.00094456,0.00094456
30,9416.65,0.4876,0.74271,0.85898,0.45814,0.2596,0.2652,0.16879,1.49905,2.19073,1.35271,0.00094258,0.00094258,0.00094258
31,9725.97,0.49014,0.73662,0.85997,0.41369,0.27467,0.26667,0.17056,1.49724,2.19452,1.35017,0.0009406,0.0009406,0.0009406
32,10034.6,0.48746,0.72774,0.85782,0.4917,0.25226,0.26851,0.17212,1.49262,2.20331,1.34653,0.00093862,0.00093862,0.00093862
33,10343.3,0.48541,0.72274,0.8588,0.44862,0.26481,0.27137,0.17399,1.49129,2.19513,1.34737,0.00093664,0.00093664,0.00093664
34,10652.6,0.48158,0.71576,0.85752,0.45618,0.26732,0.26673,0.17095,1.49346,2.18607,1.35201,0.00093466,0.00093466,0.00093466
35,10961.8,0.48308,0.70843,0.85723,0.45203,0.26882,0.26786,0.1717,1.49129,2.16947,1.34816,0.00093268,0.00093268,0.00093268
36,11270.3,0.48254,0.70403,0.85672,0.44835,0.2786,0.26835,0.17267,1.48957,2.16495,1.34815,0.0009307,0.0009307,0.0009307
37,11578.6,0.48177,0.69938,0.85692,0.48536,0.26737,0.26822,0.17203,1.48895,2.1674,1.34756,0.00092872,0.00092872,0.00092872
38,11901.3,0.47862,0.69061,0.85538,0.46361,0.26627,0.26811,0.17138,1.48749,2.17223,1.34656,0.00092674,0.00092674,0.00092674
39,12211.1,0.47817,0.68742,0.85472,0.46466,0.26637,0.26867,0.17183,1.48737,2.17066,1.34737,0.00092476,0.00092476,0.00092476
40,12519.9,0.47695,0.68514,0.856,0.45588,0.26934,0.26967,0.17202,1.4871,2.16931,1.34776,0.00092278,0.00092278,0.00092278
41,12828.8,0.47446,0.67605,0.85455,0.45314,0.27126,0.26994,0.1722,1.48646,2.17468,1.34867,0.0009208,0.0009208,0.0009208
42,13138,0.47502,0.67341,0.85449,0.43275,0.27612,0.27133,0.17334,1.48549,2.17256,1.35033,0.00091882,0.00091882,0.00091882
43,13447.2,0.47582,0.66838,0.85603,0.43443,0.27343,0.27135,0.17313,1.48406,2.17348,1.35007,0.00091684,0.00091684,0.00091684
44,13757,0.47408,0.66472,0.85406,0.42052,0.28056,0.2722,0.17332,1.48459,2.17499,1.35113,0.00091486,0.00091486,0.00091486
45,14066.1,0.47389,0.65978,0.85359,0.4414,0.27602,0.273,0.17428,1.48465,2.17439,1.35137,0.00091288,0.00091288,0.00091288
46,14376.3,0.47493,0.65621,0.8546,0.43649,0.28416,0.27629,0.17524,1.48475,2.17295,1.35173,0.0009109,0.0009109,0.0009109
47,14686.3,0.46885,0.64789,0.85219,0.4389,0.28311,0.27713,0.17537,1.48489,2.17277,1.35144,0.00090892,0.00090892,0.00090892
48,14996.3,0.4676,0.6474,0.85243,0.43326,0.28505,0.2781,0.17593,1.4856,2.17216,1.35182,0.00090694,0.00090694,0.00090694
49,15307.1,0.46809,0.63944,0.8527,0.43218,0.28502,0.27884,0.17625,1.48663,2.17396,1.35307,0.00090496,0.00090496,0.00090496
50,15617.6,0.47186,0.63986,0.85241,0.42855,0.28666,0.27889,0.17603,1.48643,2.17614,1.35316,0.00090298,0.00090298,0.00090298
51,15926.9,0.46675,0.63906,0.85162,0.40747,0.29081,0.27934,0.17706,1.48508,2.17744,1.35185,0.000901,0.000901,0.000901
52,16237.2,0.46628,0.63256,0.85193,0.41979,0.28649,0.27969,0.17681,1.48339,2.17947,1.35068,0.00089902,0.00089902,0.00089902
53,16547,0.46674,0.62813,0.85191,0.40922,0.28562,0.27986,0.17689,1.48426,2.18252,1.35178,0.00089704,0.00089704,0.00089704
54,16857.5,0.46657,0.62561,0.85187,0.41149,0.28889,0.27974,0.17691,1.48442,2.18296,1.35274,0.00089506,0.00089506,0.00089506
55,17167.4,0.46484,0.62022,0.85136,0.45316,0.27553,0.27972,0.17733,1.48436,2.1844,1.35344,0.00089308,0.00089308,0.00089308
56,17478.6,0.46421,0.61795,0.84996,0.4469,0.27775,0.27969,0.1774,1.48306,2.18529,1.35309,0.0008911,0.0008911,0.0008911
57,17789.8,0.46265,0.61275,0.85071,0.4433,0.27785,0.27972,0.1779,1.48256,2.1868,1.35263,0.00088912,0.00088912,0.00088912
58,18100.4,0.46464,0.61324,0.85119,0.45694,0.27798,0.2784,0.17718,1.48323,2.19003,1.35272,0.00088714,0.00088714,0.00088714
59,18409.7,0.46375,0.60885,0.85082,0.42604,0.28397,0.27878,0.17751,1.4842,2.18939,1.35297,0.00088516,0.00088516,0.00088516
60,18719.2,0.46013,0.60738,0.85041,0.41485,0.28581,0.27831,0.17759,1.48493,2.19288,1.35314,0.00088318,0.00088318,0.00088318
61,19029.2,0.46115,0.60517,0.84929,0.42083,0.28756,0.27974,0.1785,1.48533,2.19385,1.35328,0.0008812,0.0008812,0.0008812
62,19339.5,0.45997,0.60021,0.84863,0.40619,0.28987,0.28068,0.17918,1.48554,2.19397,1.3534,0.00087922,0.00087922,0.00087922
63,19649.5,0.45489,0.59268,0.84811,0.39782,0.29039,0.2791,0.17793,1.48673,2.19528,1.35498,0.00087724,0.00087724,0.00087724
64,19959.6,0.45855,0.59081,0.84981,0.403,0.29046,0.2789,0.17853,1.48606,2.1966,1.3548,0.00087526,0.00087526,0.00087526
65,20269.6,0.45774,0.59056,0.84858,0.39693,0.29268,0.28029,0.17862,1.48533,2.19786,1.3545,0.00087328,0.00087328,0.00087328
66,20579,0.45418,0.58576,0.84729,0.4047,0.2926,0.28354,0.18118,1.48475,2.20033,1.35429,0.0008713,0.0008713,0.0008713
67,20888.9,0.45509,0.58315,0.84757,0.40874,0.2911,0.28349,0.18094,1.48492,2.20304,1.3547,0.00086932,0.00086932,0.00086932
68,21199,0.45497,0.58352,0.84777,0.41542,0.28628,0.28266,0.18022,1.48452,2.20475,1.35517,0.00086734,0.00086734,0.00086734
69,21509.2,0.45311,0.57764,0.8474,0.41757,0.28543,0.28274,0.17987,1.48368,2.20544,1.3549,0.00086536,0.00086536,0.00086536
70,21818.6,0.45291,0.57592,0.84684,0.4004,0.28978,0.27873,0.17679,1.4843,2.20862,1.35543,0.00086338,0.00086338,0.00086338
71,22127.9,0.45571,0.57682,0.84837,0.40887,0.28998,0.28204,0.1797,1.48473,2.21217,1.35587,0.0008614,0.0008614,0.0008614
