epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.233,0.93743,2.99178,1.04632,0.36267,0.23058,0.22207,0.13908,1.54609,2.39884,1.39105,0.0667887,9.99338e-05,9.99338e-05
2,467.608,0.75431,2.11854,0.9578,0.36579,0.24626,0.23503,0.14909,1.54633,2.25759,1.3775,0.0335549,0.000199538,0.000199538
3,686.345,0.69102,1.80089,0.92976,0.37335,0.25569,0.23794,0.14888,1.53187,2.21982,1.37509,0.000320821,0.000298746,0.000298746
4,903.753,0.65533,1.62623,0.91437,0.43355,0.25239,0.25015,0.1575,1.52659,2.21069,1.36216,0.000298218,0.000298218,0.000298218
5,1120,0.6281,1.50246,0.90299,0.37112,0.26579,0.24575,0.15463,1.52874,2.23029,1.36984,0.000297624,0.000297624,0.000297624
6,1336.31,0.61594,1.42553,0.89901,0.40067,0.25025,0.2466,0.15591,1.5229,2.21121,1.36629,0.00029703,0.00029703,0.00029703
7,1553.16,0.60603,1.3726,0.89457,0.42009,0.25502,0.25183,0.15871,1.50628,2.23071,1.35486,0.000296436,0.000296436,0.000296436
8,1770.03,0.60014,1.32699,0.89165,0.42475,0.25113,0.24783,0.15714,1.51572,2.23149,1.35257,0.000295842,0.000295842,0.000295842
9,1988.25,0.5908,1.28914,0.88876,0.44415,0.25587,0.25393,0.15938,1.51722,2.24448,1.36608,0.000295248,0.000295248,0.000295248
10,2205.82,0.58774,1.25633,0.88807,0.42863,0.25143,0.24911,0.15674,1.51455,2.23587,1.36399,0.000294654,0.000294654,0.000294654
11,2422.38,0.58177,1.23149,0.88594,0.40503,0.26618,0.25622,0.16297,1.50592,2.23116,1.36201,0.00029406,0.00029406,0.00029406
12,2639.91,0.57855,1.20961,0.8846,0.40412,0.26166,0.25678,0.16068,1.5179,2.25829,1.3654,0.000293466,0.000293466,0.000293466
13,2856.74,0.57227,1.18523,0.88221,0.37026,0.28281,0.25288,0.15966,1.51839,2.23577,1.36545,0.000292872,0.000292872,0.000292872
14,3073.83,0.56842,1.16772,0.88025,0.42061,0.27203,0.2611,0.16422,1.51679,2.26752,1.36372,0.000292278,0.000292278,0.000292278
15,3291.83,0.5704,1.14779,0.88016,0.38152,0.27157,0.2528,0.15922,1.51479,2.27896,1.37083,0.000291684,0.000291684,0.000291684
16,3508.11,0.56608,1.13002,0.88019,0.40709,0.2725,0.2559,0.16054,1.51799,2.2573,1.37189,0.00029109,0.00029109,0.00029109
17,3724.26,0.56074,1.11141,0.87862,0.41896,0.26978,0.25222,0.15848,1.52259,2.28776,1.38095,0.000290496,0.000290496,0.000290496
18,3941.3,0.56044,1.09792,0.87837,0.36478,0.27523,0.2542,0.15826,1.52157,2.2724,1.37542,0.000289902,0.000289902,0.000289902
19,4159.38,0.5561,1.09194,0.87598,0.40652,0.2685,0.25942,0.16386,1.51368,2.28791,1.36881,0.000289308,0.000289308,0.000289308
20,4376.34,0.55614,1.07401,0.87542,0.40291,0.26594,0.25794,0.16341,1.52021,2.28012,1.37541,0.000288714,0.000288714,0.000288714
21,4592.55,0.55386,1.0635,0.87438,0.41815,0.26716,0.2572,0.16093,1.51498,2.27163,1.36887,0.00028812,0.00028812,0.00028812
22,4809.33,0.55246,1.05225,0.87431,0.45539,0.26332,0.25992,0.16438,1.51525,2.29225,1.37235,0.000287526,0.000287526,0.000287526
23,5026.65,0.54954,1.04289,0.87345,0.41617,0.26511,0.25878,0.16452,1.51307,2.28378,1.37211,0.000286932,0.000286932,0.000286932
24,5243.52,0.54736,1.0322,0.87292,0.40128,0.27619,0.26144,0.16488,1.51239,2.27604,1.37219,0.000286338,0.000286338,0.000286338
25,5461.36,0.54758,1.02143,0.8729,0.40664,0.27645,0.26059,0.16549,1.51966,2.28828,1.37799,0.000285744,0.000285744,0.000285744
26,5678.44,0.5451,1.01207,0.87147,0.43571,0.26323,0.25628,0.16161,1.5171,2.28882,1.37705,0.00028515,0.00028515,0.00028515
27,5895,0.54309,1.00454,0.87054,0.43855,0.25784,0.26111,0.16452,1.51799,2.29997,1.37372,0.000284556,0.000284556,0.000284556
28,6110.98,0.53964,0.99462,0.87143,0.4206,0.25962,0.25871,0.1647,1.51268,2.30006,1.37251,0.000283962,0.000283962,0.000283962
29,6326.96,0.54165,0.98809,0.87006,0.40947,0.26752,0.25864,0.1649,1.51777,2.29751,1.37461,0.000283368,0.000283368,0.000283368
30,6543.29,0.53806,0.97966,0.86912,0.38186,0.27588,0.25639,0.16308,1.5191,2.30911,1.37763,0.000282774,0.000282774,0.000282774
31,6759.61,0.53948,0.97199,0.87046,0.36852,0.28025,0.25769,0.16404,1.51587,2.31019,1.3747,0.00028218,0.00028218,0.00028218
32,6976.21,0.53773,0.96616,0.86773,0.43869,0.27083,0.25942,0.16537,1.51402,2.30636,1.3717,0.000281586,0.000281586,0.000281586
33,7191.92,0.53538,0.95803,0.86888,0.43298,0.26464,0.26144,0.16766,1.51194,2.29987,1.36951,0.000280992,0.000280992,0.000280992
34,7445.36,0.53298,0.95295,0.86849,0.42586,0.26865,0.26517,0.16945,1.51316,2.29961,1.36944,0.000280398,0.000280398,0.000280398
35,7654.65,0.53439,0.94707,0.8678,0.42096,0.26929,0.2621,0.16672,1.51522,2.29748,1.37158,0.000279804,0.000279804,0.000279804
36,7863.89,0.53281,0.93779,0.86696,0.41752,0.26979,0.25967,0.16566,1.51651,2.29612,1.37336,0.00027921,0.00027921,0.00027921
