epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.283,0.88274,2.78032,1.02242,0.33111,0.2498,0.22289,0.13963,1.53927,2.37321,1.38272,0.0668553,0.000166556,0.000166556
2,390.607,0.68514,1.85355,0.93111,0.36519,0.26077,0.24012,0.15131,1.53904,2.27174,1.37252,0.033688,0.000332563,0.000332563
3,574.278,0.62607,1.55149,0.90626,0.32742,0.2801,0.24691,0.15532,1.54015,2.23912,1.37967,0.000519985,0.00049791,0.00049791
4,757.363,0.59673,1.39452,0.89589,0.38401,0.26772,0.25433,0.15894,1.52908,2.2327,1.36403,0.00049703,0.00049703,0.00049703
5,938.982,0.57123,1.27452,0.88603,0.38684,0.25908,0.24666,0.1537,1.52497,2.23421,1.36892,0.00049604,0.00049604,0.00049604
6,1119.71,0.55981,1.19992,0.88301,0.41055,0.26229,0.24776,0.15435,1.53055,2.25909,1.37293,0.00049505,0.00049505,0.00049505
7,1301.38,0.54968,1.14286,0.87837,0.35854,0.27905,0.25453,0.15892,1.52064,2.2301,1.3623,0.00049406,0.00049406,0.00049406
8,1483.61,0.54215,1.1008,0.87576,0.41169,0.26991,0.25945,0.16187,1.53112,2.22629,1.36741,0.00049307,0.00049307,0.00049307
9,1664.55,0.53356,1.06298,0.87327,0.35528,0.27556,0.25156,0.15857,1.52502,2.27104,1.37342,0.00049208,0.00049208,0.00049208
10,1846.79,0.52896,1.03194,0.87194,0.34414,0.28085,0.24773,0.15449,1.5244,2.26157,1.36415,0.00049109,0.00049109,0.00049109
11,2028.97,0.52275,1.00332,0.86986,0.38952,0.25877,0.25893,0.16211,1.51917,2.25644,1.37484,0.0004901,0.0004901,0.0004901
12,2211.91,0.51988,0.98055,0.86942,0.42429,0.25599,0.25444,0.16229,1.52222,2.2718,1.36562,0.00048911,0.00048911,0.00048911
13,2395.01,0.51302,0.95525,0.8669,0.4639,0.24575,0.26066,0.16325,1.51944,2.26482,1.3666,0.00048812,0.00048812,0.00048812
14,2578.25,0.5092,0.93933,0.86502,0.37007,0.28476,0.2566,0.16257,1.52797,2.26159,1.37098,0.00048713,0.00048713,0.00048713
15,2761.5,0.51155,0.91953,0.86519,0.37459,0.27988,0.26086,0.16439,1.52716,2.25797,1.37417,0.00048614,0.00048614,0.00048614
16,2944.61,0.50756,0.90567,0.8654,0.41947,0.26459,0.25751,0.1607,1.51841,2.29648,1.3698,0.00048515,0.00048515,0.00048515
17,3126.52,0.50228,0.88627,0.86393,0.43246,0.26632,0.26261,0.1653,1.50787,2.26945,1.36767,0.00048416,0.00048416,0.00048416
18,3308.03,0.50132,0.87447,0.86356,0.37588,0.27482,0.26423,0.16573,1.515,2.27328,1.36182,0.00048317,0.00048317,0.00048317
19,3491.43,0.49637,0.86353,0.86081,0.4241,0.26104,0.26055,0.16418,1.51698,2.25116,1.3679,0.00048218,0.00048218,0.00048218
