epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.831,1.2894,0.96369,1.21933,0.4069,0.26766,0.2591,0.16152,1.51555,2.24108,1.33693,0.0670579,0.000332749,0.000332749
2,261.968,1.21736,0.92137,1.14677,0.43104,0.23248,0.23833,0.14636,1.57051,2.29753,1.36825,0.0340566,0.000664763,0.000664763
3,384.011,1.08659,0.89513,1.07608,0.39193,0.23905,0.22729,0.13504,1.62931,2.37227,1.40301,0.00105394,0.000995458,0.000995458
4,504.992,1.00672,0.87112,1.03762,0.37593,0.2319,0.221,0.13226,1.66342,2.44304,1.43424,0.00099406,0.00099406,0.00099406
5,626.055,0.94478,0.82536,1.01064,0.36306,0.22951,0.21533,0.12945,1.6415,2.47865,1.42845,0.00099208,0.00099208,0.00099208
6,746.968,0.91133,0.79696,0.99698,0.47338,0.22029,0.21949,0.13228,1.62887,2.43651,1.43482,0.0009901,0.0009901,0.0009901
7,867.381,0.88339,0.76082,0.98342,0.42709,0.2191,0.22491,0.13316,1.65687,2.53752,1.45218,0.00098812,0.00098812,0.00098812
8,988.079,0.85473,0.7397,0.9718,0.39257,0.22738,0.21092,0.13051,1.62455,2.49655,1.42173,0.00098614,0.00098614,0.00098614
9,1108.84,0.83593,0.71741,0.96335,0.43085,0.22196,0.21857,0.13272,1.63565,2.51673,1.42437,0.00098416,0.00098416,0.00098416
10,1229.28,0.82076,0.69942,0.9581,0.38681,0.22498,0.21729,0.13523,1.6424,2.51231,1.44563,0.00098218,0.00098218,0.00098218
11,1349.87,0.79901,0.68518,0.94954,0.3855,0.22688,0.21379,0.1333,1.63761,2.54897,1.43527,0.0009802,0.0009802,0.0009802
12,1469.87,0.78999,0.66724,0.94755,0.48134,0.2078,0.21364,0.13162,1.64601,2.62863,1.44495,0.00097822,0.00097822,0.00097822
13,1590.64,0.77868,0.65175,0.93918,0.42799,0.22389,0.21128,0.12811,1.64318,2.52088,1.44161,0.00097624,0.00097624,0.00097624
14,1710.86,0.77509,0.64984,0.93929,0.45468,0.2206,0.21892,0.12965,1.66907,2.62202,1.44839,0.00097426,0.00097426,0.00097426
15,1831.54,0.75834,0.63563,0.93313,0.37014,0.23601,0.21944,0.13432,1.64519,2.55394,1.4348,0.00097228,0.00097228,0.00097228
16,1951.49,0.74536,0.62776,0.93156,0.37521,0.22975,0.21769,0.12994,1.64981,2.58915,1.45418,0.0009703,0.0009703,0.0009703
17,2071.7,0.73903,0.61569,0.92647,0.41229,0.22953,0.2129,0.12928,1.6641,2.58054,1.4575,0.00096832,0.00096832,0.00096832
18,2191.55,0.73485,0.61332,0.92833,0.41798,0.21241,0.21895,0.13519,1.63304,2.58595,1.43646,0.00096634,0.00096634,0.00096634
19,2311.42,0.72927,0.60502,0.92277,0.43872,0.22376,0.215,0.13082,1.65182,2.56027,1.45058,0.00096436,0.00096436,0.00096436
20,2431.44,0.71643,0.59601,0.91832,0.44608,0.21747,0.22061,0.13598,1.64094,2.58624,1.43331,0.00096238,0.00096238,0.00096238
21,2551.55,0.7106,0.58761,0.91766,0.46805,0.20907,0.21914,0.13427,1.63228,2.5996,1.43904,0.0009604,0.0009604,0.0009604
22,2671.4,0.70815,0.58266,0.91432,0.46946,0.21676,0.22072,0.13639,1.61393,2.52061,1.41585,0.00095842,0.00095842,0.00095842
23,2791.48,0.70107,0.57385,0.9132,0.41789,0.22023,0.21611,0.13373,1.61538,2.56121,1.42674,0.00095644,0.00095644,0.00095644
24,2912.05,0.69388,0.56784,0.91002,0.40419,0.23993,0.224,0.14041,1.61198,2.57599,1.42641,0.00095446,0.00095446,0.00095446
25,3032.4,0.69314,0.5651,0.90842,0.47532,0.21659,0.22705,0.13787,1.61259,2.56912,1.42087,0.00095248,0.00095248,0.00095248
