epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.352,1.30222,0.98831,1.23539,0.46641,0.27039,0.26736,0.16654,1.49825,2.20914,1.33425,0.066825,9.98246e-05,9.98246e-05
2,201.779,1.2777,0.95903,1.19345,0.398,0.27873,0.26368,0.16465,1.50233,2.17815,1.31799,0.0335912,0.000199429,0.000199429
3,291.61,1.24339,0.93624,1.16843,0.42353,0.26404,0.25471,0.15665,1.5212,2.20783,1.33033,0.000357117,0.000298637,0.000298637
4,379.982,1.21754,0.91355,1.14175,0.39197,0.25562,0.24435,0.15198,1.53441,2.23417,1.33612,0.000298218,0.000298218,0.000298218
5,468.336,1.17882,0.88574,1.11724,0.37396,0.26392,0.24803,0.15281,1.55814,2.25061,1.3603,0.000297624,0.000297624,0.000297624
6,556.601,1.15486,0.86762,1.10262,0.37951,0.26261,0.24568,0.15097,1.56538,2.28333,1.36939,0.00029703,0.00029703,0.00029703
7,644.558,1.12564,0.84478,1.08417,0.49299,0.22445,0.24208,0.14755,1.57331,2.29982,1.37306,0.000296436,0.000296436,0.000296436
8,732.102,1.10606,0.83022,1.07314,0.4528,0.22566,0.24451,0.14914,1.57265,2.30804,1.37537,0.000295842,0.000295842,0.000295842
9,820.488,1.08413,0.81192,1.06059,0.37705,0.25534,0.24271,0.14764,1.57644,2.30709,1.37806,0.000295248,0.000295248,0.000295248
10,908.843,1.06915,0.79653,1.05387,0.44333,0.23629,0.24209,0.14749,1.58543,2.34615,1.39286,0.000294654,0.000294654,0.000294654
11,996.966,1.05875,0.79493,1.04665,0.37787,0.2638,0.24306,0.14593,1.60359,2.35701,1.39779,0.00029406,0.00029406,0.00029406
12,1085.16,1.04201,0.77369,1.04059,0.40604,0.23647,0.23561,0.14285,1.61036,2.34794,1.39795,0.000293466,0.000293466,0.000293466
13,1173.16,1.03693,0.76348,1.03152,0.36291,0.26283,0.24008,0.1427,1.60504,2.34147,1.39846,0.000292872,0.000292872,0.000292872
14,1262.28,1.02816,0.75971,1.0313,0.37737,0.25089,0.23831,0.14244,1.62968,2.38318,1.42047,0.000292278,0.000292278,0.000292278
15,1350.83,1.01778,0.74939,1.02348,0.41112,0.2364,0.23718,0.14292,1.62763,2.36529,1.41883,0.000291684,0.000291684,0.000291684
16,1439.45,1.00398,0.74514,1.02079,0.3433,0.25943,0.23569,0.14065,1.62918,2.39261,1.41573,0.00029109,0.00029109,0.00029109
