epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.8824,1.29684,0.97155,1.23056,0.45633,0.27014,0.26368,0.16387,1.50731,2.23959,1.33981,0.0668915,0.000166374,0.000166374
2,155.504,1.25388,0.93115,1.17498,0.41368,0.25926,0.25217,0.15671,1.52396,2.23826,1.33464,0.0337242,0.000332382,0.000332382
3,228.612,1.16456,0.90634,1.11786,0.39891,0.25081,0.23901,0.14709,1.57854,2.30544,1.37815,0.000556208,0.000497729,0.000497729
4,301.428,1.06062,0.86617,1.06202,0.47119,0.2214,0.23233,0.14371,1.61316,2.38624,1.4019,0.00049703,0.00049703,0.00049703
5,374.309,0.98305,0.81578,1.02637,0.36093,0.24259,0.22438,0.13798,1.61681,2.4301,1.4134,0.00049604,0.00049604,0.00049604
6,447.189,0.94589,0.78667,1.00981,0.3779,0.23054,0.2248,0.13847,1.6186,2.43995,1.41812,0.00049505,0.00049505,0.00049505
7,520.19,0.9112,0.7524,0.9937,0.41879,0.22946,0.22499,0.13646,1.62713,2.48753,1.42803,0.00049406,0.00049406,0.00049406
8,593.157,0.88189,0.73025,0.98145,0.39803,0.22602,0.2212,0.13638,1.61998,2.50817,1.42628,0.00049307,0.00049307,0.00049307
9,666.093,0.85992,0.70864,0.97191,0.48473,0.21428,0.22802,0.13938,1.63164,2.50635,1.43458,0.00049208,0.00049208,0.00049208
10,738.978,0.84235,0.69236,0.96543,0.43461,0.23113,0.23166,0.14057,1.63176,2.53232,1.43728,0.00049109,0.00049109,0.00049109
11,811.912,0.8217,0.68009,0.95779,0.47485,0.22843,0.22473,0.13684,1.64559,2.53304,1.45243,0.0004901,0.0004901,0.0004901
12,884.596,0.81186,0.66223,0.95439,0.39976,0.22898,0.22593,0.13955,1.63213,2.52876,1.43778,0.00048911,0.00048911,0.00048911
13,956.777,0.80094,0.64763,0.94686,0.40675,0.23275,0.22299,0.13389,1.65036,2.55472,1.45207,0.00048812,0.00048812,0.00048812
14,1029.29,0.79288,0.6442,0.94595,0.43293,0.22478,0.22499,0.13491,1.66174,2.56148,1.46127,0.00048713,0.00048713,0.00048713
15,1101.85,0.77685,0.63149,0.93897,0.44677,0.22059,0.22809,0.13712,1.64678,2.54651,1.44984,0.00048614,0.00048614,0.00048614
16,1174.69,0.7629,0.62373,0.93624,0.37664,0.24077,0.22641,0.13763,1.64095,2.58014,1.44883,0.00048515,0.00048515,0.00048515
