epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.783,0.88163,0.61956,0.96648,0.40325,0.26621,0.26326,0.16755,1.50331,2.37903,1.38972,0.0670579,0.000332749,0.000332749
2,260.307,0.86387,0.60186,0.95766,0.38152,0.27509,0.25926,0.16482,1.51424,2.36011,1.3897,0.0340566,0.000664763,0.000664763
3,383.181,0.85631,0.60678,0.95464,0.40783,0.25474,0.25417,0.15945,1.53047,2.39364,1.39995,0.00105394,0.000995458,0.000995458
4,505.94,0.86226,0.62528,0.9543,0.36,0.26409,0.24172,0.15106,1.53608,2.4138,1.4017,0.00099406,0.00099406,0.00099406
5,628.313,0.83413,0.6144,0.94368,0.409,0.24659,0.23718,0.14684,1.56693,2.52192,1.438,0.00099208,0.00099208,0.00099208
6,750.208,0.81898,0.61027,0.94048,0.44897,0.24446,0.24469,0.15342,1.56367,2.47487,1.41969,0.0009901,0.0009901,0.0009901
7,892.567,0.80012,0.59396,0.93174,0.41064,0.24039,0.23367,0.14592,1.56699,2.5078,1.42126,0.00098812,0.00098812,0.00098812
8,1017.61,0.78009,0.58581,0.92475,0.36677,0.25107,0.23813,0.1496,1.55923,2.49142,1.41268,0.00098614,0.00098614,0.00098614
9,1141.86,0.76835,0.57591,0.92245,0.34398,0.25996,0.24168,0.15071,1.56621,2.54525,1.40876,0.00098416,0.00098416,0.00098416
10,1264.56,0.75443,0.56759,0.91743,0.47394,0.23168,0.24615,0.15488,1.57583,2.55889,1.43737,0.00098218,0.00098218,0.00098218
11,1385.32,0.74191,0.5622,0.914,0.42937,0.2343,0.24466,0.15201,1.582,2.53118,1.43042,0.0009802,0.0009802,0.0009802
12,1513.74,0.73229,0.55079,0.91277,0.40722,0.22393,0.22433,0.13849,1.59361,2.6158,1.43817,0.00097822,0.00097822,0.00097822
13,1641.84,0.72259,0.53902,0.90542,0.38011,0.25481,0.23995,0.14966,1.57731,2.58746,1.43175,0.00097624,0.00097624,0.00097624
14,1779.58,0.72205,0.54177,0.90849,0.36416,0.26488,0.24707,0.1527,1.5922,2.60064,1.43805,0.00097426,0.00097426,0.00097426
15,1928.98,0.71063,0.53648,0.90447,0.34263,0.2542,0.24407,0.14885,1.58357,2.56048,1.44137,0.00097228,0.00097228,0.00097228
16,2052.99,0.70053,0.52957,0.90306,0.45086,0.23357,0.23903,0.14905,1.59606,2.61115,1.44497,0.0009703,0.0009703,0.0009703
17,2176.69,0.69394,0.5247,0.89895,0.40151,0.24661,0.23773,0.14899,1.58276,2.59581,1.43092,0.00096832,0.00096832,0.00096832
18,2301.21,0.68875,0.52261,0.90118,0.37317,0.26533,0.24704,0.15229,1.58612,2.61734,1.43264,0.00096634,0.00096634,0.00096634
19,2423.35,0.68532,0.51804,0.89716,0.37639,0.25453,0.23736,0.14681,1.59027,2.63165,1.44288,0.00096436,0.00096436,0.00096436
20,2544.86,0.67309,0.50987,0.89337,0.42408,0.24628,0.24346,0.14932,1.5901,2.65182,1.42984,0.00096238,0.00096238,0.00096238
21,2666.51,0.67072,0.50727,0.89446,0.4585,0.21639,0.22486,0.13956,1.61845,2.63278,1.45238,0.0009604,0.0009604,0.0009604
22,2787.85,0.66626,0.50369,0.89151,0.41491,0.25315,0.23886,0.14745,1.58173,2.58791,1.43242,0.00095842,0.00095842,0.00095842
23,2909.43,0.66258,0.49683,0.89125,0.51503,0.22063,0.24533,0.1523,1.58575,2.57218,1.43169,0.00095644,0.00095644,0.00095644
24,3030.8,0.65602,0.49268,0.8878,0.40905,0.2569,0.24171,0.14716,1.59992,2.65534,1.44513,0.00095446,0.00095446,0.00095446
25,3152.15,0.65514,0.49149,0.8865,0.45524,0.24035,0.24604,0.15264,1.59803,2.61294,1.44657,0.00095248,0.00095248,0.00095248
26,3273.34,0.65136,0.48717,0.88565,0.47651,0.22647,0.23875,0.1504,1.60136,2.63844,1.45534,0.0009505,0.0009505,0.0009505
