epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.9229,0.8903,0.63246,0.97082,0.41047,0.27537,0.2712,0.17254,1.49695,2.34352,1.3861,0.066825,9.98246e-05,9.98246e-05
2,188.652,0.87899,0.61864,0.96577,0.42931,0.26768,0.26738,0.17078,1.5002,2.32778,1.37904,0.0335912,0.000199429,0.000199429
3,276.37,0.86364,0.60846,0.95973,0.40878,0.27526,0.26347,0.16599,1.50594,2.33203,1.37536,0.000357117,0.000298637,0.000298637
4,362.575,0.85798,0.59837,0.95483,0.37324,0.28023,0.26258,0.16494,1.50817,2.36097,1.37704,0.000298218,0.000298218,0.000298218
5,451.091,0.84301,0.58614,0.94702,0.41397,0.26534,0.26017,0.16198,1.51399,2.38871,1.38881,0.000297624,0.000297624,0.000297624
6,537.228,0.83594,0.5821,0.94551,0.42235,0.25213,0.26077,0.16435,1.50965,2.38816,1.38929,0.00029703,0.00029703,0.00029703
7,623.512,0.82899,0.57326,0.9409,0.44053,0.24745,0.25489,0.16064,1.50927,2.39801,1.38615,0.000296436,0.000296436,0.000296436
8,709.51,0.81981,0.56612,0.93664,0.41938,0.25162,0.25808,0.16332,1.50683,2.40529,1.3864,0.000295842,0.000295842,0.000295842
9,795.83,0.81311,0.56126,0.93462,0.38512,0.28081,0.26053,0.16293,1.5054,2.39384,1.38783,0.000295248,0.000295248,0.000295248
10,881.826,0.80424,0.55598,0.93162,0.35831,0.27979,0.26241,0.1652,1.51409,2.43184,1.39478,0.000294654,0.000294654,0.000294654
11,967.759,0.80471,0.55626,0.93173,0.35737,0.27306,0.25615,0.16119,1.5154,2.43379,1.39592,0.00029406,0.00029406,0.00029406
12,1053.7,0.79384,0.54473,0.92879,0.36957,0.27778,0.25612,0.16019,1.52253,2.44095,1.40254,0.000293466,0.000293466,0.000293466
13,1141.22,0.79323,0.54215,0.92496,0.41251,0.25516,0.25614,0.15901,1.51777,2.44082,1.40566,0.000292872,0.000292872,0.000292872
14,1227.28,0.79138,0.54303,0.92695,0.41968,0.24154,0.25635,0.15927,1.51614,2.44259,1.40186,0.000292278,0.000292278,0.000292278
15,1317.38,0.78342,0.53934,0.9236,0.44326,0.25359,0.25837,0.16025,1.52275,2.45336,1.40576,0.000291684,0.000291684,0.000291684
16,1403.7,0.77969,0.53616,0.92393,0.46893,0.23697,0.25519,0.15867,1.52938,2.4751,1.40515,0.00029109,0.00029109,0.00029109
17,1489.47,0.77045,0.52906,0.91879,0.42628,0.25898,0.25224,0.15578,1.52189,2.47807,1.41108,0.000290496,0.000290496,0.000290496
18,1575.65,0.77052,0.53105,0.92289,0.41706,0.25989,0.25389,0.15841,1.51599,2.50137,1.40584,0.000289902,0.000289902,0.000289902
19,1664.78,0.77121,0.52893,0.91843,0.3595,0.27165,0.2513,0.15697,1.53258,2.49498,1.41,0.000289308,0.000289308,0.000289308
20,1751.26,0.7589,0.5227,0.91559,0.37051,0.27438,0.25353,0.15884,1.53164,2.49778,1.41799,0.000288714,0.000288714,0.000288714
21,1837.16,0.75825,0.52026,0.91578,0.35301,0.2673,0.2536,0.15826,1.53462,2.4988,1.41496,0.00028812,0.00028812,0.00028812
22,1923.89,0.75443,0.51912,0.91303,0.40059,0.24887,0.25323,0.15771,1.52934,2.49442,1.41597,0.000287526,0.000287526,0.000287526
23,2009.83,0.74915,0.5132,0.91301,0.39259,0.26309,0.25649,0.16143,1.52261,2.49594,1.41169,0.000286932,0.000286932,0.000286932
24,2095.68,0.75121,0.51411,0.91188,0.51077,0.22798,0.25362,0.15948,1.53013,2.49384,1.41209,0.000286338,0.000286338,0.000286338
25,2181.74,0.74784,0.51414,0.91003,0.48264,0.23041,0.25426,0.15968,1.53022,2.5058,1.41788,0.000285744,0.000285744,0.000285744
26,2267.76,0.74855,0.51218,0.90991,0.42861,0.25039,0.25455,0.15851,1.53996,2.51561,1.42432,0.00028515,0.00028515,0.00028515
27,2354.89,0.74389,0.50864,0.91082,0.36941,0.25439,0.25059,0.15601,1.53489,2.51014,1.42032,0.000284556,0.000284556,0.000284556
28,2441.2,0.73752,0.50471,0.90707,0.47535,0.24444,0.24926,0.15448,1.53976,2.51037,1.43326,0.000283962,0.000283962,0.000283962
29,2527.02,0.73503,0.50221,0.90627,0.4233,0.25562,0.2573,0.15972,1.53585,2.52235,1.42673,0.000283368,0.000283368,0.000283368
30,2612.85,0.73773,0.50447,0.90536,0.40563,0.26071,0.25132,0.15733,1.53744,2.52933,1.4224,0.000282774,0.000282774,0.000282774
31,2698.76,0.73038,0.49912,0.90389,0.41248,0.24723,0.2506,0.15719,1.5415,2.52432,1.42856,0.00028218,0.00028218,0.00028218
32,2784.31,0.73177,0.5002,0.90338,0.39993,0.26046,0.24999,0.15467,1.53227,2.52752,1.4195,0.000281586,0.000281586,0.000281586
33,2870.62,0.73359,0.50191,0.90273,0.38117,0.26494,0.24823,0.15354,1.54012,2.50808,1.42312,0.000280992,0.000280992,0.000280992
34,2956.53,0.72715,0.49718,0.90226,0.37381,0.26496,0.24941,0.15399,1.53805,2.52241,1.42446,0.000280398,0.000280398,0.000280398
35,3043.31,0.72566,0.49769,0.90357,0.43095,0.25149,0.2482,0.1539,1.54518,2.52748,1.43177,0.000279804,0.000279804,0.000279804
36,3130.23,0.72604,0.49574,0.90168,0.44167,0.25002,0.24939,0.15342,1.54435,2.53817,1.43586,0.00027921,0.00027921,0.00027921
37,3216.04,0.71838,0.49194,0.90181,0.44346,0.24531,0.24936,0.15376,1.54274,2.53356,1.43156,0.000278616,0.000278616,0.000278616
38,3301.9,0.71942,0.49285,0.8997,0.5057,0.23597,0.2527,0.15665,1.53722,2.53037,1.42771,0.000278022,0.000278022,0.000278022
39,3387.63,0.71318,0.48862,0.89779,0.49691,0.23763,0.25063,0.1552,1.54192,2.54058,1.43364,0.000277428,0.000277428,0.000277428
40,3473.42,0.71542,0.48618,0.89689,0.39363,0.2577,0.2514,0.15531,1.53845,2.5295,1.427,0.000276834,0.000276834,0.000276834
41,3558.87,0.71444,0.48897,0.89932,0.47581,0.24996,0.25189,0.15613,1.5417,2.53914,1.42866,0.00027624,0.00027624,0.00027624
42,3644.68,0.70591,0.48397,0.89757,0.47393,0.24707,0.25281,0.15745,1.54016,2.54189,1.43234,0.000275646,0.000275646,0.000275646
43,3731.95,0.70714,0.48513,0.89829,0.41595,0.25378,0.25163,0.15543,1.54625,2.55205,1.43521,0.000275052,0.000275052,0.000275052
44,3817.83,0.70607,0.48201,0.89616,0.39532,0.26682,0.25063,0.15479,1.54469,2.55532,1.43008,0.000274458,0.000274458,0.000274458
45,3904.35,0.70541,0.48232,0.89532,0.42643,0.25462,0.25214,0.15339,1.55044,2.56499,1.43477,0.000273864,0.000273864,0.000273864
46,3990.11,0.70187,0.48024,0.89605,0.4063,0.26184,0.24953,0.1543,1.55024,2.55375,1.43475,0.00027327,0.00027327,0.00027327
47,4079.94,0.70316,0.48153,0.89375,0.41158,0.25859,0.25257,0.1545,1.54453,2.55052,1.43097,0.000272676,0.000272676,0.000272676
48,4166.3,0.70367,0.48083,0.89349,0.41295,0.2585,0.25103,0.15523,1.54496,2.56741,1.43266,0.000272082,0.000272082,0.000272082
49,4251.93,0.70008,0.47781,0.89354,0.44867,0.23944,0.25088,0.15388,1.54943,2.57662,1.43849,0.000271488,0.000271488,0.000271488
50,4338.57,0.69184,0.47296,0.89206,0.47124,0.23903,0.25077,0.15542,1.54553,2.57111,1.43259,0.000270894,0.000270894,0.000270894
51,4424.25,0.69337,0.47598,0.89245,0.43955,0.24808,0.2488,0.15554,1.54415,2.55147,1.4345,0.0002703,0.0002703,0.0002703
52,4509.88,0.69363,0.47475,0.89186,0.44327,0.24591,0.25193,0.15737,1.54952,2.54508,1.43939,0.000269706,0.000269706,0.000269706
53,4596.3,0.68868,0.47384,0.89128,0.39796,0.25749,0.25191,0.15687,1.54293,2.55505,1.43371,0.000269112,0.000269112,0.000269112
54,4682.97,0.68972,0.47393,0.8897,0.42685,0.24844,0.25027,0.15593,1.54555,2.54407,1.4377,0.000268518,0.000268518,0.000268518
55,4768.99,0.68726,0.47005,0.89119,0.40273,0.25946,0.24778,0.15381,1.545,2.56409,1.43932,0.000267924,0.000267924,0.000267924
56,4855.73,0.69006,0.47134,0.88972,0.38758,0.263,0.24891,0.15437,1.54733,2.56312,1.43904,0.00026733,0.00026733,0.00026733
57,4941.76,0.69101,0.4735,0.89146,0.38748,0.26577,0.24927,0.15436,1.5477,2.56893,1.44197,0.000266736,0.000266736,0.000266736
58,5032.9,0.68576,0.46785,0.88977,0.40404,0.252,0.2476,0.15413,1.544,2.56104,1.43751,0.000266142,0.000266142,0.000266142
59,5118.79,0.68329,0.4669,0.88826,0.39697,0.26113,0.24817,0.15437,1.54715,2.57422,1.43882,0.000265548,0.000265548,0.000265548
60,5204.74,0.68513,0.46672,0.88809,0.4093,0.25261,0.24785,0.15466,1.54696,2.58032,1.44054,0.000264954,0.000264954,0.000264954
61,5290.45,0.68371,0.46867,0.88792,0.40804,0.25481,0.25051,0.15653,1.54593,2.58033,1.43687,0.00026436,0.00026436,0.00026436
62,5380.5,0.67872,0.46437,0.88829,0.47041,0.23787,0.24877,0.15431,1.54698,2.58046,1.44179,0.000263766,0.000263766,0.000263766
63,5466.35,0.68003,0.4635,0.88763,0.4709,0.24003,0.24936,0.1547,1.54858,2.57681,1.44272,0.000263172,0.000263172,0.000263172
64,5552.26,0.67568,0.46099,0.88641,0.4657,0.24564,0.251,0.15525,1.54827,2.57623,1.44069,0.000262578,0.000262578,0.000262578
65,5637.98,0.6736,0.45993,0.8866,0.47389,0.2438,0.25295,0.15632,1.5513,2.57896,1.44394,0.000261984,0.000261984,0.000261984
66,5723.76,0.67489,0.45888,0.88487,0.42033,0.25632,0.25112,0.15576,1.55288,2.58373,1.44667,0.00026139,0.00026139,0.00026139
67,5809.32,0.67602,0.46079,0.88668,0.45847,0.24877,0.25415,0.15628,1.54997,2.5804,1.4419,0.000260796,0.000260796,0.000260796
68,5896.74,0.67182,0.45813,0.88565,0.43938,0.2531,0.25311,0.15631,1.54933,2.58619,1.4407,0.000260202,0.000260202,0.000260202
69,5982.84,0.67102,0.4571,0.88345,0.43339,0.25126,0.25284,0.15659,1.55056,2.58481,1.44287,0.000259608,0.000259608,0.000259608
70,6068.88,0.66945,0.45638,0.88428,0.43605,0.24988,0.2536,0.15751,1.54928,2.58672,1.44065,0.000259014,0.000259014,0.000259014
71,6154.64,0.66731,0.45489,0.88271,0.41408,0.26058,0.25172,0.15639,1.54822,2.58833,1.44108,0.00025842,0.00025842,0.00025842
72,6240.86,0.67018,0.45719,0.88348,0.41754,0.25533,0.25119,0.15559,1.55329,2.59068,1.44644,0.000257826,0.000257826,0.000257826
