epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.1386,0.88443,0.62252,0.96819,0.41287,0.27347,0.26977,0.17119,1.49969,2.37851,1.38948,0.0668915,0.000166374,0.000166374
2,154.347,0.86756,0.60315,0.9605,0.40861,0.26879,0.26564,0.16874,1.50868,2.35952,1.38743,0.0337242,0.000332382,0.000332382
3,226.371,0.85024,0.59479,0.95353,0.42883,0.25672,0.26212,0.16553,1.51083,2.37995,1.38579,0.000556208,0.000497729,0.000497729
4,298.607,0.84492,0.5905,0.94852,0.39963,0.26053,0.25043,0.15787,1.52262,2.40994,1.39365,0.00049703,0.00049703,0.00049703
5,371.044,0.82247,0.57689,0.93878,0.387,0.27721,0.25685,0.1601,1.53846,2.47021,1.41616,0.00049604,0.00049604,0.00049604
6,443.622,0.80859,0.57229,0.93483,0.39889,0.24855,0.24663,0.15324,1.54326,2.491,1.42296,0.00049505,0.00049505,0.00049505
7,515.875,0.79137,0.56047,0.92771,0.40952,0.25259,0.24627,0.15377,1.54377,2.51749,1.41299,0.00049406,0.00049406,0.00049406
8,588.223,0.77388,0.5523,0.92148,0.37631,0.2456,0.25276,0.15974,1.53649,2.50506,1.40688,0.00049307,0.00049307,0.00049307
9,660.517,0.7622,0.54535,0.91772,0.37756,0.25011,0.2459,0.15322,1.54624,2.53045,1.40841,0.00049208,0.00049208,0.00049208
10,732.868,0.74786,0.5382,0.9129,0.48948,0.23358,0.25367,0.15977,1.54854,2.57191,1.42503,0.00049109,0.00049109,0.00049109
11,805.515,0.73834,0.5353,0.91054,0.40511,0.24313,0.25222,0.15815,1.55401,2.53977,1.41754,0.0004901,0.0004901,0.0004901
12,878.026,0.72617,0.52316,0.90747,0.41968,0.23833,0.2545,0.16024,1.56835,2.55601,1.42623,0.00048911,0.00048911,0.00048911
13,950.332,0.71988,0.51682,0.9028,0.40904,0.2471,0.24352,0.15463,1.55818,2.53193,1.42702,0.00048812,0.00048812,0.00048812
14,1022.68,0.71607,0.51718,0.9043,0.44348,0.2291,0.2438,0.15282,1.57054,2.59167,1.43074,0.00048713,0.00048713,0.00048713
15,1095.2,0.70566,0.51301,0.90019,0.44333,0.23483,0.24588,0.15335,1.56826,2.5399,1.43044,0.00048614,0.00048614,0.00048614
16,1167.4,0.69698,0.50736,0.89955,0.37624,0.24816,0.24366,0.1543,1.56099,2.58757,1.41955,0.00048515,0.00048515,0.00048515
17,1239.76,0.6874,0.50005,0.8949,0.48018,0.21728,0.23785,0.14962,1.57105,2.61021,1.43495,0.00048416,0.00048416,0.00048416
18,1312.19,0.68408,0.50135,0.89742,0.42763,0.24063,0.24553,0.15472,1.55826,2.60548,1.42809,0.00048317,0.00048317,0.00048317
19,1384.67,0.68075,0.4971,0.89341,0.36845,0.2491,0.23821,0.15029,1.57783,2.59422,1.44628,0.00048218,0.00048218,0.00048218
20,1457.02,0.66902,0.48997,0.89017,0.48138,0.21917,0.24186,0.15218,1.57953,2.6608,1.44789,0.00048119,0.00048119,0.00048119
21,1529.3,0.66678,0.48772,0.89122,0.38621,0.24745,0.24199,0.15148,1.58008,2.6245,1.44897,0.0004802,0.0004802,0.0004802
22,1602.01,0.66108,0.48599,0.8877,0.41557,0.24329,0.24535,0.15323,1.56926,2.60877,1.4424,0.00047921,0.00047921,0.00047921
23,1674.19,0.65774,0.47927,0.88809,0.36452,0.25389,0.24705,0.15492,1.57002,2.59582,1.43567,0.00047822,0.00047822,0.00047822
24,1746.61,0.65323,0.47703,0.885,0.39992,0.24215,0.24459,0.15201,1.57005,2.61002,1.44284,0.00047723,0.00047723,0.00047723
25,1819.11,0.65083,0.47653,0.88345,0.37196,0.25697,0.23994,0.15114,1.56871,2.61083,1.44007,0.00047624,0.00047624,0.00047624
26,1891.51,0.64854,0.47371,0.88271,0.39053,0.24817,0.2411,0.15105,1.57804,2.66393,1.44612,0.00047525,0.00047525,0.00047525
27,1963.66,0.64113,0.46898,0.88315,0.44936,0.22751,0.24071,0.15097,1.57194,2.64971,1.43692,0.00047426,0.00047426,0.00047426
