epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.025,1.13513,1.15774,1.10652,0.40559,0.25104,0.24876,0.1565,1.49837,2.28099,1.37092,0.0670579,0.000332749,0.000332749
2,252.78,0.9977,0.98155,1.03781,0.41796,0.24275,0.23479,0.14855,1.5432,2.35958,1.39091,0.0340566,0.000664763,0.000664763
3,373.775,0.89712,0.91211,0.99745,0.39523,0.24426,0.23172,0.14489,1.5807,2.43182,1.42204,0.00105394,0.000995458,0.000995458
4,494.371,0.84514,0.88335,0.97683,0.36245,0.22798,0.21923,0.13601,1.57336,2.44185,1.40271,0.00099406,0.00099406,0.00099406
5,614.415,0.79936,0.82436,0.95704,0.4017,0.22972,0.21959,0.13521,1.57879,2.46587,1.41662,0.00099208,0.00099208,0.00099208
6,734.148,0.77658,0.78966,0.94955,0.4137,0.21588,0.21356,0.13377,1.58984,2.49524,1.42028,0.0009901,0.0009901,0.0009901
7,870.275,0.7523,0.74644,0.93986,0.39192,0.21914,0.2153,0.13181,1.57101,2.49476,1.41246,0.00098812,0.00098812,0.00098812
8,992.381,0.73322,0.72121,0.93147,0.36707,0.22994,0.22204,0.13772,1.57752,2.5008,1.41225,0.00098614,0.00098614,0.00098614
9,1113.76,0.72175,0.70122,0.9282,0.31543,0.24179,0.21197,0.13202,1.5692,2.5022,1.40172,0.00098416,0.00098416,0.00098416
10,1234.91,0.71081,0.68311,0.92377,0.36473,0.24151,0.22005,0.1372,1.58456,2.55443,1.41317,0.00098218,0.00098218,0.00098218
11,1355.29,0.69127,0.66815,0.91653,0.35756,0.22174,0.21436,0.13364,1.57752,2.53021,1.4124,0.0009802,0.0009802,0.0009802
12,1475.83,0.68675,0.64857,0.91541,0.37447,0.2324,0.22616,0.13815,1.58305,2.55103,1.41565,0.00097822,0.00097822,0.00097822
13,1621.16,0.67648,0.62785,0.90938,0.42817,0.21298,0.21477,0.13269,1.58388,2.5065,1.41432,0.00097624,0.00097624,0.00097624
14,1743.22,0.6764,0.62512,0.91054,0.37585,0.2404,0.22643,0.14168,1.58616,2.53763,1.40891,0.00097426,0.00097426,0.00097426
