epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.1585,1.1724,1.2996,1.12893,0.40713,0.27154,0.25725,0.16307,1.47976,2.2289,1.35627,0.066825,9.98246e-05,9.98246e-05
2,188.876,1.09335,1.14072,1.08323,0.3944,0.27127,0.24816,0.15689,1.48135,2.24302,1.34922,0.0335912,0.000199429,0.000199429
3,275.45,1.03607,1.06638,1.05819,0.43714,0.25747,0.24724,0.15612,1.494,2.28842,1.3575,0.000357117,0.000298637,0.000298637
4,361.238,1.00076,1.00578,1.03908,0.39084,0.25723,0.24709,0.1565,1.50757,2.32176,1.36172,0.000298218,0.000298218,0.000298218
5,447.196,0.9638,0.95324,1.01858,0.45477,0.23495,0.24877,0.15708,1.51675,2.33261,1.37489,0.000297624,0.000297624,0.000297624
6,533.051,0.94472,0.91823,1.01035,0.48108,0.23994,0.24428,0.15527,1.5122,2.36871,1.37173,0.00029703,0.00029703,0.00029703
7,619.443,0.9216,0.87972,0.99785,0.44631,0.23565,0.24231,0.15408,1.51567,2.37371,1.37382,0.000296436,0.000296436,0.000296436
8,705.841,0.90732,0.8546,0.99114,0.4071,0.2489,0.24632,0.15626,1.51294,2.38801,1.37165,0.000295842,0.000295842,0.000295842
9,791.968,0.897,0.8363,0.9871,0.44049,0.23054,0.2402,0.15174,1.52189,2.38956,1.37968,0.000295248,0.000295248,0.000295248
10,878.053,0.882,0.8119,0.97975,0.47828,0.23223,0.24355,0.15376,1.52352,2.41742,1.38425,0.000294654,0.000294654,0.000294654
11,964.123,0.87215,0.80703,0.97589,0.45904,0.22934,0.24359,0.15343,1.53202,2.43027,1.39028,0.00029406,0.00029406,0.00029406
12,1049.81,0.85973,0.78064,0.97144,0.41041,0.24245,0.24095,0.15262,1.53877,2.45722,1.3977,0.000293466,0.000293466,0.000293466
13,1136.11,0.85808,0.76975,0.96601,0.45644,0.23815,0.24342,0.15398,1.53002,2.43187,1.3904,0.000292872,0.000292872,0.000292872
14,1222.13,0.84897,0.75874,0.96464,0.42445,0.23957,0.24333,0.15445,1.53843,2.46363,1.3959,0.000292278,0.000292278,0.000292278
15,1308.69,0.84077,0.74934,0.96125,0.41482,0.24446,0.24755,0.15624,1.54273,2.45934,1.40471,0.000291684,0.000291684,0.000291684
16,1395.66,0.82946,0.74068,0.95888,0.43266,0.23676,0.24406,0.15362,1.5399,2.46807,1.39379,0.00029109,0.00029109,0.00029109
17,1482.98,0.82519,0.72787,0.95417,0.43819,0.24109,0.24665,0.15502,1.53302,2.45914,1.39858,0.000290496,0.000290496,0.000290496
18,1569.03,0.82034,0.72596,0.95677,0.39694,0.25385,0.24769,0.15546,1.53469,2.46449,1.40219,0.000289902,0.000289902,0.000289902
19,1655.21,0.81924,0.71645,0.95224,0.40573,0.24519,0.24745,0.15416,1.54481,2.48391,1.4079,0.000289308,0.000289308,0.000289308
20,1741.32,0.80584,0.70237,0.94696,0.41485,0.2407,0.24354,0.15417,1.5358,2.50518,1.4023,0.000288714,0.000288714,0.000288714
21,1827.28,0.80337,0.6972,0.94665,0.43419,0.24522,0.24019,0.15052,1.54686,2.47165,1.41104,0.00028812,0.00028812,0.00028812
22,1913.12,0.80048,0.69076,0.94438,0.48816,0.22994,0.24018,0.15018,1.54271,2.46297,1.4072,0.000287526,0.000287526,0.000287526
23,2000.06,0.79367,0.68046,0.94242,0.40701,0.24945,0.24174,0.15192,1.54543,2.49289,1.40771,0.000286932,0.000286932,0.000286932
24,2085.89,0.79402,0.67759,0.94099,0.38862,0.25188,0.24458,0.15384,1.5469,2.49669,1.4036,0.000286338,0.000286338,0.000286338
25,2171.55,0.79247,0.67389,0.93852,0.46755,0.23342,0.24374,0.15232,1.54425,2.4897,1.40526,0.000285744,0.000285744,0.000285744
26,2257.52,0.78807,0.67127,0.93796,0.41344,0.25681,0.24395,0.15416,1.54925,2.51014,1.40802,0.00028515,0.00028515,0.00028515
27,2343.33,0.78303,0.66253,0.93816,0.40618,0.24966,0.24268,0.15225,1.55051,2.4946,1.41052,0.000284556,0.000284556,0.000284556
28,2429.05,0.77801,0.65406,0.93479,0.3724,0.25686,0.24414,0.15331,1.55412,2.52256,1.41639,0.000283962,0.000283962,0.000283962
29,2515.41,0.77382,0.64938,0.93213,0.4751,0.22887,0.24019,0.15173,1.54908,2.51828,1.41583,0.000283368,0.000283368,0.000283368
30,2601.76,0.77309,0.64798,0.93014,0.41592,0.24249,0.24096,0.15181,1.55285,2.51961,1.41575,0.000282774,0.000282774,0.000282774
31,2688.02,0.7694,0.63971,0.9299,0.4125,0.24799,0.2366,0.14759,1.55464,2.51543,1.41582,0.00028218,0.00028218,0.00028218
32,2773.81,0.76588,0.63532,0.92646,0.40212,0.24968,0.24059,0.15154,1.54773,2.52631,1.41563,0.000281586,0.000281586,0.000281586
33,2859.68,0.76998,0.63645,0.9265,0.3715,0.24612,0.23294,0.14776,1.55567,2.52244,1.41629,0.000280992,0.000280992,0.000280992
34,2947.35,0.76299,0.63229,0.92563,0.38231,0.24903,0.23927,0.1509,1.54965,2.51755,1.41096,0.000280398,0.000280398,0.000280398
35,3033.75,0.76036,0.63055,0.92683,0.389,0.2471,0.23828,0.15103,1.55421,2.50557,1.41815,0.000279804,0.000279804,0.000279804
36,3120.02,0.75934,0.62663,0.92423,0.47872,0.22547,0.23819,0.15013,1.55304,2.5085,1.41569,0.00027921,0.00027921,0.00027921
37,3206.45,0.7523,0.61951,0.92374,0.4236,0.24294,0.23735,0.14908,1.55608,2.50703,1.42184,0.000278616,0.000278616,0.000278616
38,3292.46,0.75287,0.62037,0.9219,0.40833,0.24581,0.23713,0.14971,1.55151,2.53379,1.41478,0.000278022,0.000278022,0.000278022
39,3380.06,0.74527,0.61245,0.91949,0.41281,0.23363,0.23881,0.15191,1.55215,2.53746,1.4174,0.000277428,0.000277428,0.000277428
40,3466.07,0.74705,0.6077,0.91841,0.38761,0.25176,0.24029,0.15184,1.55792,2.54105,1.41841,0.000276834,0.000276834,0.000276834
41,3554.18,0.74378,0.61095,0.91949,0.40852,0.26956,0.25082,0.15874,1.5595,2.51399,1.42485,0.00027624,0.00027624,0.00027624
42,3646.65,0.73646,0.6037,0.91953,0.37881,0.2658,0.24431,0.15622,1.55419,2.52319,1.42081,0.000275646,0.000275646,0.000275646
43,3732.3,0.73626,0.6034,0.91818,0.45535,0.23734,0.24351,0.15344,1.55459,2.51511,1.42141,0.000275052,0.000275052,0.000275052
