epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.8868,1.15615,1.19132,1.11821,0.44812,0.25183,0.25079,0.15897,1.48836,2.27433,1.36776,0.0668915,0.000166374,0.000166374
2,156.249,1.04615,1.02144,1.05849,0.40815,0.2505,0.24075,0.15298,1.51769,2.29906,1.38031,0.0337242,0.000332382,0.000332382
3,229.807,0.94881,0.94016,1.01863,0.43439,0.23581,0.24141,0.15384,1.54249,2.37736,1.39133,0.000556208,0.000497729,0.000497729
4,302.63,0.87812,0.88113,0.98929,0.43283,0.21877,0.22669,0.14533,1.54795,2.41735,1.39134,0.00049703,0.00049703,0.00049703
5,375.746,0.82474,0.81626,0.96521,0.39398,0.2303,0.22917,0.14433,1.5681,2.47381,1.41387,0.00049604,0.00049604,0.00049604
6,448.676,0.79747,0.78291,0.95593,0.48021,0.21069,0.22601,0.14129,1.56581,2.49598,1.40701,0.00049505,0.00049505,0.00049505
7,521.689,0.76969,0.74218,0.94374,0.43024,0.21664,0.22379,0.13892,1.56591,2.50785,1.4172,0.00049406,0.00049406,0.00049406
8,594.84,0.75002,0.71492,0.93579,0.44714,0.22086,0.23005,0.14505,1.5491,2.50338,1.39466,0.00049307,0.00049307,0.00049307
9,668.056,0.7348,0.69456,0.93033,0.37832,0.23556,0.22483,0.13896,1.56536,2.50444,1.40581,0.00049208,0.00049208,0.00049208
10,741.163,0.72312,0.67434,0.92626,0.41338,0.22976,0.2294,0.14292,1.57141,2.52566,1.4182,0.00049109,0.00049109,0.00049109
11,814.127,0.70464,0.66066,0.92002,0.37029,0.23,0.22052,0.13859,1.5829,2.52783,1.41889,0.0004901,0.0004901,0.0004901
12,887.119,0.69497,0.64039,0.91679,0.39299,0.22704,0.22355,0.14112,1.56824,2.55242,1.41245,0.00048911,0.00048911,0.00048911
13,959.308,0.68874,0.62471,0.91127,0.44281,0.22483,0.22502,0.14015,1.56093,2.54069,1.41393,0.00048812,0.00048812,0.00048812
14,1032,0.68325,0.61851,0.91159,0.40558,0.2352,0.23078,0.14317,1.5724,2.55125,1.41843,0.00048713,0.00048713,0.00048713
15,1104.95,0.67051,0.60993,0.90698,0.42598,0.22691,0.22524,0.14237,1.56468,2.58121,1.41421,0.00048614,0.00048614,0.00048614
16,1177.59,0.65828,0.60025,0.90556,0.39458,0.23949,0.22789,0.14388,1.5731,2.60814,1.4267,0.00048515,0.00048515,0.00048515
17,1250.44,0.65342,0.58907,0.90098,0.43137,0.23339,0.22759,0.14141,1.56327,2.54406,1.41041,0.00048416,0.00048416,0.00048416
18,1323.49,0.64902,0.58638,0.90276,0.37324,0.23651,0.22886,0.14348,1.56445,2.53996,1.41299,0.00048317,0.00048317,0.00048317
19,1396.7,0.64672,0.57659,0.89867,0.42593,0.22437,0.22883,0.14484,1.56026,2.53085,1.40921,0.00048218,0.00048218,0.00048218
20,1469.7,0.63532,0.56706,0.89452,0.38827,0.23747,0.22743,0.14176,1.56087,2.57001,1.41241,0.00048119,0.00048119,0.00048119
21,1542.25,0.62906,0.56082,0.89438,0.40622,0.2415,0.23096,0.14549,1.56992,2.55678,1.42034,0.0004802,0.0004802,0.0004802
22,1615.12,0.62609,0.55396,0.89158,0.44284,0.21835,0.22454,0.14176,1.56764,2.54465,1.42739,0.00047921,0.00047921,0.00047921
23,1688.07,0.62312,0.54786,0.89146,0.41116,0.22408,0.22737,0.14192,1.56506,2.55299,1.4132,0.00047822,0.00047822,0.00047822
24,1761.1,0.61896,0.54148,0.88847,0.40977,0.22476,0.22688,0.14165,1.55977,2.5521,1.41652,0.00047723,0.00047723,0.00047723
25,1834.13,0.61598,0.53797,0.88713,0.42036,0.23257,0.23602,0.14547,1.5704,2.58248,1.42682,0.00047624,0.00047624,0.00047624
26,1906.85,0.61103,0.53515,0.88623,0.3628,0.24337,0.22657,0.1415,1.57361,2.59177,1.42684,0.00047525,0.00047525,0.00047525
27,1979.41,0.60653,0.52628,0.88609,0.38541,0.24038,0.22507,0.14143,1.56474,2.61214,1.42215,0.00047426,0.00047426,0.00047426
28,2052.48,0.60403,0.52251,0.88415,0.44829,0.22151,0.23225,0.14697,1.55259,2.60156,1.41674,0.00047327,0.00047327,0.00047327
29,2125.61,0.60096,0.51702,0.88236,0.38682,0.23691,0.23127,0.14473,1.56303,2.60666,1.42125,0.00047228,0.00047228,0.00047228
30,2198.7,0.59742,0.51665,0.8803,0.38886,0.2347,0.22456,0.14165,1.56384,2.60917,1.42359,0.00047129,0.00047129,0.00047129
31,2271.79,0.59288,0.50777,0.87953,0.40254,0.24309,0.22916,0.14362,1.57983,2.59196,1.43173,0.0004703,0.0004703,0.0004703
32,2344.7,0.59328,0.50688,0.87824,0.41909,0.24294,0.2388,0.15044,1.56042,2.58816,1.41826,0.00046931,0.00046931,0.00046931
33,2418.01,0.5935,0.50491,0.87739,0.42399,0.2393,0.23513,0.14978,1.56546,2.56424,1.42541,0.00046832,0.00046832,0.00046832
34,2491.14,0.58923,0.50092,0.87719,0.35658,0.25556,0.23458,0.14849,1.55081,2.57445,1.41177,0.00046733,0.00046733,0.00046733
35,2564.23,0.58674,0.49972,0.87833,0.38936,0.24643,0.23335,0.14817,1.56868,2.58659,1.42404,0.00046634,0.00046634,0.00046634
36,2637.07,0.58215,0.49625,0.87481,0.42716,0.23786,0.23114,0.14588,1.57053,2.59278,1.43139,0.00046535,0.00046535,0.00046535
37,2710.17,0.57796,0.49069,0.87574,0.39787,0.24787,0.238,0.15013,1.56815,2.59534,1.42825,0.00046436,0.00046436,0.00046436
38,2783.13,0.57742,0.48985,0.87402,0.40513,0.24225,0.23246,0.14643,1.56129,2.59474,1.425,0.00046337,0.00046337,0.00046337
39,2856.09,0.57287,0.48536,0.87217,0.36869,0.24031,0.23298,0.1459,1.56178,2.58105,1.42256,0.00046238,0.00046238,0.00046238
