epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8833,1.56966,4.91404,1.4433,0.5285,0.03994,0.02164,0.01448,1.46815,3.76092,1.35481,0.0671549,0.000331768,0.000331768
2,107.375,1.51927,3.47654,1.38891,0.67693,0.09351,0.07149,0.04873,1.42569,2.75868,1.31679,0.0341536,0.000663785,0.000663785
3,158.723,1.46783,2.83454,1.32755,0.66165,0.12446,0.10845,0.07417,1.39451,2.43497,1.28651,0.00115098,0.000994481,0.000994481
4,210.577,1.42293,2.56458,1.28817,0.61636,0.1624,0.13495,0.09179,1.37513,2.24253,1.25805,0.00099406,0.00099406,0.00099406
5,261.198,1.38765,2.35107,1.2667,0.61223,0.1836,0.15484,0.104,1.36983,2.18495,1.25068,0.00099208,0.00099208,0.00099208
6,312.056,1.36685,2.19195,1.2458,0.61021,0.19111,0.17399,0.11527,1.35905,2.12988,1.23831,0.0009901,0.0009901,0.0009901
7,362.849,1.33981,2.08338,1.23848,0.58291,0.2112,0.18754,0.12586,1.35726,2.05367,1.23245,0.00098812,0.00098812,0.00098812
8,413.778,1.33332,2.01884,1.22652,0.60599,0.21173,0.19896,0.13363,1.34621,1.99435,1.24817,0.00098614,0.00098614,0.00098614
9,465.011,1.33175,1.92686,1.22117,0.525,0.2005,0.20212,0.13251,1.35649,1.99485,1.2421,0.00098416,0.00098416,0.00098416
10,514.787,1.2984,1.84924,1.20678,0.47452,0.23538,0.20991,0.13837,1.36146,1.95285,1.23251,0.00098218,0.00098218,0.00098218
11,565.236,1.28194,1.80148,1.20319,0.47199,0.22316,0.21561,0.14186,1.34624,1.95448,1.23831,0.0009802,0.0009802,0.0009802
12,615.741,1.28043,1.75389,1.19542,0.54137,0.22928,0.22169,0.14619,1.37309,1.94709,1.25167,0.00097822,0.00097822,0.00097822
13,666.396,1.26944,1.71057,1.18642,0.47396,0.22227,0.21701,0.14255,1.36875,1.96152,1.24184,0.00097624,0.00097624,0.00097624
14,716.115,1.24167,1.64292,1.17903,0.48219,0.23511,0.22883,0.15075,1.35486,1.90593,1.23234,0.00097426,0.00097426,0.00097426
15,766.029,1.24756,1.60707,1.17308,0.46695,0.24978,0.24167,0.16113,1.34527,1.89643,1.2319,0.00097228,0.00097228,0.00097228
16,816.632,1.23621,1.56102,1.16543,0.49617,0.2478,0.24044,0.15687,1.36177,1.93509,1.24096,0.0009703,0.0009703,0.0009703
17,866.189,1.22652,1.56678,1.16332,0.49583,0.22665,0.23341,0.15336,1.35192,1.94948,1.24024,0.00096832,0.00096832,0.00096832
18,915.674,1.20793,1.49629,1.15553,0.48954,0.25092,0.24604,0.16158,1.34999,1.91755,1.2342,0.00096634,0.00096634,0.00096634
19,965.962,1.21565,1.47453,1.14873,0.49276,0.25257,0.24117,0.15796,1.34813,1.94301,1.23994,0.00096436,0.00096436,0.00096436
20,1015.55,1.21341,1.46203,1.15557,0.46605,0.24945,0.23526,0.15373,1.35928,1.94731,1.23348,0.00096238,0.00096238,0.00096238
21,1064.88,1.18881,1.40294,1.13821,0.40694,0.27289,0.25058,0.16315,1.36609,1.93953,1.25288,0.0009604,0.0009604,0.0009604
22,1115.3,1.17623,1.37532,1.13081,0.43795,0.27515,0.25545,0.16911,1.38073,1.94118,1.24869,0.00095842,0.00095842,0.00095842
23,1165.54,1.17478,1.34316,1.12889,0.4746,0.25295,0.2499,0.16559,1.36553,1.91174,1.24365,0.00095644,0.00095644,0.00095644
24,1215.08,1.17288,1.33706,1.13015,0.45104,0.26116,0.25287,0.16593,1.37923,1.92158,1.24376,0.00095446,0.00095446,0.00095446
25,1264.38,1.15483,1.30926,1.12239,0.46003,0.24571,0.24694,0.1565,1.37757,1.97694,1.25686,0.00095248,0.00095248,0.00095248
26,1313.78,1.16917,1.2711,1.11901,0.44289,0.25645,0.25536,0.16605,1.38129,1.93412,1.26047,0.0009505,0.0009505,0.0009505
27,1362.86,1.14411,1.27121,1.11804,0.4124,0.26394,0.25617,0.16749,1.37882,1.93667,1.26391,0.00094852,0.00094852,0.00094852
