epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7155,1.54783,4.89317,1.44083,0.54985,0.0403,0.02742,0.01861,1.45655,3.63657,1.37497,0.0671549,0.000331768,0.000331768
2,105.188,1.51314,3.41934,1.40982,0.66645,0.0976,0.07511,0.05084,1.41949,2.75416,1.34795,0.0341536,0.000663785,0.000663785
3,155.599,1.46385,2.80617,1.35516,0.62524,0.12657,0.10689,0.07178,1.39559,2.45534,1.31755,0.00115098,0.000994481,0.000994481
4,205.648,1.41802,2.54885,1.32361,0.67501,0.15036,0.13773,0.09094,1.38321,2.24178,1.29636,0.00099406,0.00099406,0.00099406
5,255.078,1.39189,2.33639,1.30581,0.59324,0.17849,0.15559,0.10503,1.39086,2.19111,1.30534,0.00099208,0.00099208,0.00099208
6,304.53,1.36792,2.18571,1.28001,0.59577,0.17876,0.16964,0.11103,1.36185,2.13748,1.28439,0.0009901,0.0009901,0.0009901
7,354.138,1.34337,2.07901,1.27375,0.55027,0.20549,0.18581,0.12162,1.34857,2.07783,1.26933,0.00098812,0.00098812,0.00098812
8,403.554,1.33536,2.01881,1.25534,0.5269,0.21435,0.19791,0.12883,1.35473,2.01389,1.28717,0.00098614,0.00098614,0.00098614
9,453.012,1.33529,1.93028,1.25458,0.53108,0.22539,0.20562,0.1356,1.36542,2.02935,1.28686,0.00098416,0.00098416,0.00098416
10,502.465,1.3046,1.85316,1.23893,0.50873,0.23077,0.20771,0.13599,1.35383,1.98514,1.26712,0.00098218,0.00098218,0.00098218
11,551.639,1.27891,1.7998,1.23213,0.47371,0.24178,0.21499,0.14172,1.35392,1.97736,1.27495,0.0009802,0.0009802,0.0009802
12,600.983,1.27962,1.7534,1.22613,0.49152,0.24536,0.22364,0.1462,1.38831,1.99159,1.30175,0.00097822,0.00097822,0.00097822
13,650.667,1.27678,1.70793,1.22169,0.47481,0.24716,0.22356,0.14796,1.35442,1.95447,1.26362,0.00097624,0.00097624,0.00097624
14,699.841,1.24368,1.64718,1.20886,0.5064,0.23854,0.22504,0.1492,1.37133,1.94131,1.28575,0.00097426,0.00097426,0.00097426
15,749.25,1.2489,1.61265,1.20282,0.50807,0.23372,0.22776,0.14883,1.36341,1.94314,1.28137,0.00097228,0.00097228,0.00097228
16,797.965,1.23649,1.55916,1.19564,0.50104,0.24016,0.23279,0.15175,1.36055,1.93601,1.27457,0.0009703,0.0009703,0.0009703
17,847.763,1.2307,1.55843,1.19582,0.4583,0.25875,0.23776,0.15402,1.35926,1.92809,1.27795,0.00096832,0.00096832,0.00096832
18,897.839,1.21213,1.49679,1.18804,0.53531,0.23524,0.24042,0.1563,1.35872,1.9206,1.27791,0.00096634,0.00096634,0.00096634
19,947.936,1.22311,1.48012,1.1811,0.43162,0.28364,0.24149,0.15687,1.36469,1.93895,1.28522,0.00096436,0.00096436,0.00096436
20,998.019,1.22,1.46439,1.1896,0.45103,0.25739,0.23506,0.15286,1.36699,1.93436,1.27758,0.00096238,0.00096238,0.00096238
21,1046.99,1.19251,1.40439,1.16864,0.44429,0.2541,0.23688,0.15529,1.36235,1.9837,1.27212,0.0009604,0.0009604,0.0009604
22,1095.92,1.17882,1.37643,1.16094,0.45639,0.25867,0.24779,0.16242,1.38667,1.96804,1.28315,0.00095842,0.00095842,0.00095842
23,1145.4,1.17987,1.34132,1.15772,0.41713,0.27328,0.2517,0.16295,1.36486,1.95021,1.27423,0.00095644,0.00095644,0.00095644
24,1194.63,1.17715,1.33739,1.16042,0.47302,0.26122,0.25098,0.16585,1.37499,1.9418,1.27338,0.00095446,0.00095446,0.00095446
25,1243.97,1.1624,1.30565,1.15138,0.40698,0.27074,0.25104,0.16369,1.38293,1.96948,1.27838,0.00095248,0.00095248,0.00095248
26,1292.75,1.17141,1.26898,1.1493,0.4023,0.2766,0.25393,0.16034,1.38426,1.96586,1.2898,0.0009505,0.0009505,0.0009505
27,1341.22,1.14953,1.27501,1.14722,0.4571,0.28329,0.25798,0.16861,1.38129,1.9492,1.28954,0.00094852,0.00094852,0.00094852
28,1390.64,1.14776,1.24147,1.14382,0.42869,0.27022,0.25362,0.16188,1.38579,1.95953,1.28976,0.00094654,0.00094654,0.00094654
29,1439.37,1.14363,1.21489,1.13664,0.38268,0.28903,0.25504,0.1627,1.37244,1.99538,1.28577,0.00094456,0.00094456,0.00094456
30,1488.16,1.14718,1.20254,1.13928,0.36568,0.28784,0.25729,0.1656,1.3885,1.96435,1.29406,0.00094258,0.00094258,0.00094258
31,1537.18,1.12367,1.18435,1.12798,0.39169,0.27642,0.25451,0.16117,1.40161,2.01172,1.29823,0.0009406,0.0009406,0.0009406
32,1586.31,1.11986,1.17108,1.13251,0.35952,0.30046,0.25169,0.15932,1.3946,1.98814,1.29542,0.00093862,0.00093862,0.00093862
33,1635.56,1.12848,1.14132,1.12827,0.38594,0.29261,0.24998,0.1616,1.39216,1.99802,1.29579,0.00093664,0.00093664,0.00093664
34,1684.95,1.105,1.12945,1.11889,0.37819,0.2796,0.25553,0.16442,1.3862,1.99433,1.30151,0.00093466,0.00093466,0.00093466
35,1734.35,1.10791,1.12151,1.11699,0.39294,0.27786,0.24942,0.15835,1.39656,2.00577,1.30142,0.00093268,0.00093268,0.00093268
36,1783.76,1.09492,1.08625,1.10665,0.41209,0.28868,0.26457,0.16894,1.39419,1.98256,1.30202,0.0009307,0.0009307,0.0009307
37,1833.87,1.10537,1.09243,1.11454,0.41102,0.2682,0.25237,0.16155,1.39905,1.9935,1.30132,0.00092872,0.00092872,0.00092872
38,1883.26,1.08759,1.06725,1.11416,0.40711,0.27286,0.2542,0.16184,1.39955,1.99641,1.29882,0.00092674,0.00092674,0.00092674
39,1932.78,1.07429,1.04371,1.1052,0.37184,0.28856,0.25738,0.1611,1.4098,2.00609,1.31305,0.00092476,0.00092476,0.00092476
40,1982.03,1.08507,1.05305,1.1066,0.39485,0.28812,0.25658,0.16258,1.41073,2.00419,1.30861,0.00092278,0.00092278,0.00092278
41,2031.6,1.07131,1.01802,1.09487,0.37414,0.28349,0.25442,0.16067,1.41177,2.03719,1.30963,0.0009208,0.0009208,0.0009208
42,2081.17,1.06793,1.01515,1.0975,0.31415,0.29823,0.25023,0.15874,1.41116,2.03831,1.31617,0.00091882,0.00091882,0.00091882
43,2130.55,1.04894,0.98889,1.09126,0.33318,0.29939,0.26223,0.16627,1.42226,2.00956,1.32304,0.00091684,0.00091684,0.00091684
44,2179.98,1.04764,0.98486,1.08403,0.39077,0.2923,0.25436,0.16042,1.41903,2.0224,1.31751,0.00091486,0.00091486,0.00091486
45,2229.48,1.05833,0.97101,1.08189,0.39818,0.28967,0.2614,0.16454,1.40962,2.03209,1.32257,0.00091288,0.00091288,0.00091288
46,2278.85,1.0428,0.97013,1.08644,0.46147,0.27363,0.25209,0.16115,1.41176,2.03103,1.31921,0.0009109,0.0009109,0.0009109
