epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.03,1.55629,4.94065,1.42207,0.38699,0.0448,0.02637,0.01768,1.44823,3.62812,1.32904,0.0671549,0.000331768,0.000331768
2,107.745,1.51526,3.41464,1.37226,0.68371,0.0909,0.07436,0.05031,1.40377,2.73375,1.30037,0.0341536,0.000663785,0.000663785
3,159.609,1.4643,2.81262,1.31959,0.65039,0.12733,0.10433,0.07043,1.38684,2.4525,1.28163,0.00115098,0.000994481,0.000994481
4,209.607,1.41852,2.56735,1.29438,0.68479,0.13168,0.13196,0.0888,1.3745,2.25699,1.2712,0.00099406,0.00099406,0.00099406
5,259.583,1.38953,2.35216,1.27414,0.592,0.17898,0.15011,0.09968,1.37282,2.19429,1.26708,0.00099208,0.00099208,0.00099208
6,309.498,1.36224,2.20929,1.25529,0.56768,0.19318,0.16449,0.10817,1.3658,2.13578,1.26159,0.0009901,0.0009901,0.0009901
7,359.477,1.33703,2.09015,1.24378,0.59054,0.19692,0.18482,0.12311,1.35414,2.06712,1.24508,0.00098812,0.00098812,0.00098812
8,409.376,1.32895,2.03084,1.22641,0.51,0.2322,0.20021,0.13133,1.34793,2.01226,1.2523,0.00098614,0.00098614,0.00098614
9,459.551,1.32795,1.93254,1.22631,0.53131,0.22787,0.20595,0.13532,1.35471,2.02498,1.24875,0.00098416,0.00098416,0.00098416
10,509.554,1.30289,1.85923,1.21098,0.55044,0.22299,0.21323,0.14219,1.35125,1.96433,1.23607,0.00098218,0.00098218,0.00098218
11,559.503,1.2772,1.8033,1.19919,0.49623,0.23324,0.21563,0.14334,1.34257,1.96573,1.23877,0.0009802,0.0009802,0.0009802
12,609.493,1.27415,1.75784,1.19524,0.49684,0.22874,0.22453,0.14995,1.38903,1.97472,1.2648,0.00097822,0.00097822,0.00097822
13,660.273,1.27245,1.71134,1.19092,0.47077,0.25395,0.2332,0.15465,1.36225,1.94748,1.24097,0.00097624,0.00097624,0.00097624
14,710.938,1.23971,1.65194,1.17711,0.51857,0.2367,0.22184,0.14552,1.36672,1.96968,1.24451,0.00097426,0.00097426,0.00097426
15,760.176,1.24082,1.60581,1.17294,0.47897,0.23972,0.23085,0.15261,1.34834,1.91702,1.23863,0.00097228,0.00097228,0.00097228
16,809.501,1.23352,1.55876,1.16986,0.49003,0.25518,0.24166,0.15904,1.35145,1.9338,1.24378,0.0009703,0.0009703,0.0009703
17,860.045,1.22803,1.56505,1.17149,0.43943,0.28049,0.24541,0.16143,1.3523,1.92752,1.24706,0.00096832,0.00096832,0.00096832
18,910.267,1.20512,1.49283,1.16059,0.45382,0.2809,0.24559,0.1601,1.37189,1.92294,1.2577,0.00096634,0.00096634,0.00096634
19,959.867,1.21765,1.47626,1.15676,0.44182,0.26919,0.2502,0.16344,1.3486,1.92617,1.24992,0.00096436,0.00096436,0.00096436
20,1009.92,1.21129,1.46509,1.16022,0.44713,0.28706,0.25707,0.16653,1.35505,1.91685,1.24651,0.00096238,0.00096238,0.00096238
21,1059.87,1.19074,1.40592,1.14468,0.48616,0.27201,0.25038,0.16307,1.35338,1.93069,1.24125,0.0009604,0.0009604,0.0009604
22,1109.37,1.17997,1.37685,1.1378,0.39903,0.29297,0.25603,0.16793,1.36328,1.93831,1.24749,0.00095842,0.00095842,0.00095842
23,1159.73,1.17213,1.34112,1.13371,0.41398,0.28492,0.2549,0.16614,1.35689,1.91384,1.24392,0.00095644,0.00095644,0.00095644
24,1208.75,1.16966,1.32619,1.1343,0.43815,0.26703,0.25683,0.16578,1.36505,1.9446,1.24794,0.00095446,0.00095446,0.00095446
25,1257.95,1.15566,1.30936,1.1281,0.49483,0.25325,0.25519,0.16687,1.37021,1.94677,1.25061,0.00095248,0.00095248,0.00095248
26,1307.24,1.16623,1.27354,1.12162,0.39846,0.27952,0.25387,0.16452,1.37368,1.95118,1.24671,0.0009505,0.0009505,0.0009505
27,1356.48,1.14773,1.26379,1.12342,0.40361,0.30024,0.26262,0.17066,1.3638,1.95938,1.25957,0.00094852,0.00094852,0.00094852
28,1406.35,1.14088,1.2323,1.11726,0.38512,0.28414,0.26087,0.16892,1.37186,1.94938,1.25518,0.00094654,0.00094654,0.00094654
29,1455.53,1.13931,1.21286,1.11246,0.37241,0.30263,0.2605,0.17024,1.36866,1.94284,1.2587,0.00094456,0.00094456,0.00094456
30,1504.86,1.14331,1.20315,1.11662,0.40981,0.28405,0.26714,0.17499,1.37156,1.92988,1.25823,0.00094258,0.00094258,0.00094258
31,1554.97,1.11858,1.1763,1.10243,0.40639,0.2985,0.27083,0.17605,1.38706,1.96636,1.26506,0.0009406,0.0009406,0.0009406
32,1605.44,1.11896,1.1669,1.10712,0.36804,0.26739,0.25501,0.16539,1.38778,1.97701,1.262,0.00093862,0.00093862,0.00093862
33,1654.87,1.12189,1.13737,1.10306,0.38239,0.28672,0.26072,0.17057,1.38428,1.98867,1.26193,0.00093664,0.00093664,0.00093664
34,1704.12,1.10305,1.12642,1.09669,0.40616,0.27834,0.26026,0.16904,1.37975,2.00791,1.27153,0.00093466,0.00093466,0.00093466
35,1753.57,1.10455,1.1126,1.09538,0.4066,0.2889,0.26545,0.17462,1.3899,1.99248,1.26909,0.00093268,0.00093268,0.00093268
36,1802.92,1.08897,1.07945,1.0836,0.40792,0.29695,0.27008,0.17511,1.38904,1.98024,1.27437,0.0009307,0.0009307,0.0009307
37,1852.46,1.09548,1.08671,1.08845,0.39933,0.27468,0.26616,0.17453,1.39185,1.95454,1.26796,0.00092872,0.00092872,0.00092872
38,1901.63,1.08266,1.05842,1.08712,0.40342,0.27169,0.25956,0.16673,1.39336,2.01117,1.268,0.00092674,0.00092674,0.00092674
39,1951.07,1.06689,1.02955,1.07714,0.38132,0.28347,0.26275,0.16975,1.40435,2.01568,1.28094,0.00092476,0.00092476,0.00092476
40,2000.41,1.08396,1.04514,1.0857,0.37655,0.29769,0.26435,0.16795,1.40013,1.99942,1.27449,0.00092278,0.00092278,0.00092278
41,2050.17,1.06667,1.00944,1.07339,0.35867,0.28237,0.2576,0.16174,1.40151,2.01391,1.28102,0.0009208,0.0009208,0.0009208
42,2099.8,1.06347,1.01193,1.07478,0.38102,0.27622,0.26142,0.16678,1.39348,2.01556,1.2808,0.00091882,0.00091882,0.00091882
43,2149.35,1.04486,0.97645,1.06805,0.38399,0.27833,0.27021,0.17422,1.39903,2.0189,1.2787,0.00091684,0.00091684,0.00091684
44,2198.96,1.04626,0.98497,1.06672,0.36603,0.30129,0.27198,0.17592,1.40257,2.03283,1.27713,0.00091486,0.00091486,0.00091486
45,2249.37,1.05164,0.96502,1.05826,0.33261,0.30361,0.26108,0.16944,1.40592,2.04539,1.27799,0.00091288,0.00091288,0.00091288
46,2299.14,1.03531,0.95735,1.06152,0.36956,0.29115,0.26224,0.16717,1.40601,2.03057,1.28029,0.0009109,0.0009109,0.0009109
47,2348.91,1.03856,0.95152,1.0617,0.34591,0.29352,0.26666,0.17321,1.4001,2.00753,1.28461,0.00090892,0.00090892,0.00090892
48,2398.58,1.03723,0.94957,1.06063,0.3798,0.28141,0.25686,0.1628,1.41872,2.04788,1.28855,0.00090694,0.00090694,0.00090694
49,2447.93,1.03057,0.92685,1.05578,0.37683,0.28378,0.26378,0.16806,1.40581,2.06155,1.28504,0.00090496,0.00090496,0.00090496
50,2497.69,1.02098,0.93328,1.05078,0.37332,0.2768,0.25509,0.16502,1.40818,2.07056,1.28323,0.00090298,0.00090298,0.00090298
51,2547.3,1.01346,0.90288,1.04687,0.41049,0.28065,0.26741,0.17315,1.4077,2.06194,1.29111,0.000901,0.000901,0.000901
52,2597.04,1.01348,0.90149,1.05425,0.36672,0.28145,0.26554,0.16914,1.42183,2.03087,1.29164,0.00089902,0.00089902,0.00089902
53,2646.54,1.01218,0.89518,1.04868,0.36074,0.29473,0.26,0.16436,1.41446,2.0614,1.28452,0.00089704,0.00089704,0.00089704
54,2696.42,1.00683,0.8826,1.04805,0.33983,0.30867,0.2683,0.17304,1.41461,2.07575,1.28877,0.00089506,0.00089506,0.00089506
55,2746.24,0.99598,0.86736,1.042,0.36056,0.28047,0.26449,0.17126,1.42619,2.1082,1.31127,0.00089308,0.00089308,0.00089308
56,2796.07,0.9947,0.86764,1.04329,0.38856,0.28096,0.26432,0.16663,1.41357,2.07901,1.29506,0.0008911,0.0008911,0.0008911
57,2846.27,0.99152,0.8635,1.04359,0.38921,0.29272,0.2672,0.17193,1.41108,2.09583,1.29059,0.00088912,0.00088912,0.00088912
58,2896.15,0.98077,0.84989,1.03505,0.40832,0.2932,0.2677,0.17163,1.41525,2.09881,1.29671,0.00088714,0.00088714,0.00088714
