epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3286,1.59164,4.37249,1.38901,0.54315,0.06271,0.03708,0.02453,1.52519,3.29864,1.39516,0.0670924,0.0003324,0.0003324
2,167.719,1.35863,2.85584,1.24419,0.63518,0.09862,0.07903,0.05058,1.6799,2.7947,1.46357,0.0340911,0.000664415,0.000664415
3,247.703,1.13236,2.31078,1.11698,0.52644,0.1233,0.09948,0.05932,1.78548,2.72381,1.54928,0.00108848,0.00099511,0.00099511
4,344.584,1.01184,1.98284,1.06096,0.45291,0.12697,0.10289,0.05916,1.87154,2.73994,1.60546,0.00099406,0.00099406,0.00099406
5,425.421,0.93493,1.75645,1.02599,0.45604,0.12243,0.10696,0.06065,1.90662,2.70428,1.63557,0.00099208,0.00099208,0.00099208
6,505.547,0.89574,1.60272,1.00128,0.33694,0.12902,0.10308,0.05566,1.97865,2.86926,1.69125,0.0009901,0.0009901,0.0009901
7,584.705,0.86064,1.50082,0.99111,0.36982,0.12123,0.09886,0.05468,2.00291,3.06408,1.72643,0.00098812,0.00098812,0.00098812
8,663.673,0.83201,1.38925,0.9768,0.30642,0.1181,0.1017,0.05552,1.98465,3.08031,1.71677,0.00098614,0.00098614,0.00098614
9,742.921,0.82448,1.3102,0.97009,0.29213,0.13566,0.11431,0.0613,1.97704,2.89418,1.68507,0.00098416,0.00098416,0.00098416
10,822.78,0.79431,1.22471,0.96146,0.348,0.10263,0.09662,0.05379,2.0123,3.35218,1.76046,0.00098218,0.00098218,0.00098218
11,901.886,0.77883,1.15764,0.95203,0.3005,0.10512,0.08744,0.04672,2.06697,3.26298,1.77169,0.0009802,0.0009802,0.0009802
12,981.069,0.75989,1.0966,0.94486,0.2845,0.10571,0.09098,0.04854,2.03265,3.20689,1.75107,0.00097822,0.00097822,0.00097822
13,1059.78,0.75839,1.05652,0.94196,0.29026,0.11325,0.09635,0.0517,2.02422,3.20121,1.72931,0.00097624,0.00097624,0.00097624
14,1138.39,0.73551,1.00129,0.93589,0.30679,0.10779,0.09259,0.04983,2.08297,3.38968,1.81793,0.00097426,0.00097426,0.00097426
15,1217.13,0.72546,0.961,0.92876,0.30981,0.09787,0.09106,0.04802,2.09869,3.35898,1.81233,0.00097228,0.00097228,0.00097228
16,1295.76,0.71177,0.9257,0.92611,0.31941,0.09988,0.0926,0.04772,2.10519,3.37302,1.81393,0.0009703,0.0009703,0.0009703
17,1374.12,0.70842,0.89429,0.92412,0.2791,0.10083,0.09874,0.05316,2.06476,3.36863,1.77071,0.00096832,0.00096832,0.00096832
18,1452.37,0.69463,0.85746,0.91839,0.23608,0.11355,0.09383,0.05029,2.05503,3.29845,1.76252,0.00096634,0.00096634,0.00096634
19,1531.18,0.68532,0.83602,0.91414,0.25865,0.10191,0.09555,0.05091,2.03252,3.40227,1.77161,0.00096436,0.00096436,0.00096436
20,1609.56,0.68462,0.81025,0.91045,0.34765,0.08886,0.08784,0.04803,2.09661,3.60061,1.84529,0.00096238,0.00096238,0.00096238
21,1687.62,0.67128,0.78332,0.90838,0.28678,0.10317,0.09374,0.05125,2.04724,3.40421,1.77686,0.0009604,0.0009604,0.0009604
22,1766.05,0.66377,0.75934,0.90462,0.32834,0.09987,0.09444,0.05049,2.05275,3.37504,1.76638,0.00095842,0.00095842,0.00095842
23,1844.48,0.65033,0.74351,0.90238,0.2663,0.086,0.07987,0.04305,2.10447,3.57358,1.83405,0.00095644,0.00095644,0.00095644
24,1922.73,0.65352,0.72504,0.89913,0.34793,0.08622,0.08484,0.04356,2.12045,3.6876,1.82911,0.00095446,0.00095446,0.00095446
25,2000.79,0.641,0.70679,0.89814,0.33667,0.08915,0.0891,0.0478,2.05027,3.72361,1.82614,0.00095248,0.00095248,0.00095248
26,2079.19,0.63829,0.68971,0.89515,0.27268,0.09441,0.09001,0.04745,2.06762,3.57258,1.78951,0.0009505,0.0009505,0.0009505
27,2157.72,0.63458,0.67065,0.8927,0.28899,0.09851,0.09307,0.04956,2.05956,3.45976,1.79848,0.00094852,0.00094852,0.00094852
28,2236.16,0.61513,0.65968,0.89035,0.26528,0.09324,0.08897,0.0474,2.05951,3.58034,1.81,0.00094654,0.00094654,0.00094654
29,2314.67,0.61358,0.64901,0.88812,0.34064,0.08678,0.08709,0.04665,2.1026,3.62141,1.8283,0.00094456,0.00094456,0.00094456
30,2392.85,0.61213,0.64564,0.88674,0.33133,0.10145,0.09484,0.05017,2.06998,3.56065,1.80636,0.00094258,0.00094258,0.00094258
31,2471.12,0.60965,0.63153,0.88468,0.30776,0.0873,0.08806,0.04692,2.09823,3.6694,1.82716,0.0009406,0.0009406,0.0009406
32,2549.63,0.61241,0.61961,0.88171,0.32872,0.09018,0.0918,0.0496,2.09268,3.64997,1.83137,0.00093862,0.00093862,0.00093862
33,2628.1,0.59151,0.60786,0.87947,0.30685,0.10041,0.09828,0.05069,2.0851,3.52299,1.81699,0.00093664,0.00093664,0.00093664
34,2706.59,0.59743,0.59744,0.87864,0.31055,0.08104,0.08754,0.04544,2.07639,3.74184,1.82745,0.00093466,0.00093466,0.00093466
35,2785.01,0.58478,0.58968,0.87656,0.2779,0.08453,0.08147,0.04213,2.12008,3.80952,1.86542,0.00093268,0.00093268,0.00093268
36,2863.45,0.58394,0.58258,0.87601,0.34289,0.08506,0.08828,0.04708,2.08474,3.77862,1.83839,0.0009307,0.0009307,0.0009307
37,2941.76,0.58463,0.57595,0.8743,0.34603,0.08377,0.08706,0.046,2.10036,3.76982,1.85179,0.00092872,0.00092872,0.00092872
38,3020.09,0.57949,0.56753,0.87165,0.33515,0.08084,0.08679,0.04587,2.10325,3.78784,1.87186,0.00092674,0.00092674,0.00092674
39,3098.34,0.57144,0.55968,0.87254,0.31441,0.08102,0.08329,0.04399,2.1368,3.8327,1.87227,0.00092476,0.00092476,0.00092476
40,3176.95,0.57594,0.55245,0.86948,0.34559,0.0825,0.08532,0.04495,2.06835,3.77757,1.82865,0.00092278,0.00092278,0.00092278
41,3255.35,0.56543,0.54638,0.86838,0.35134,0.07117,0.07612,0.0407,2.10037,3.91807,1.84673,0.0009208,0.0009208,0.0009208
42,3333.64,0.56557,0.54388,0.86793,0.37174,0.07881,0.08627,0.04535,2.10188,3.83655,1.85478,0.00091882,0.00091882,0.00091882
43,3411.94,0.55997,0.53189,0.86643,0.33677,0.07153,0.0798,0.04255,2.11163,3.97003,1.85256,0.00091684,0.00091684,0.00091684
44,3490.14,0.55177,0.52546,0.86464,0.33203,0.07075,0.07614,0.04143,2.10447,3.95181,1.8599,0.00091486,0.00091486,0.00091486
45,3568.4,0.5472,0.51958,0.86246,0.32658,0.06568,0.08514,0.04717,2.12058,4.02612,1.88173,0.00091288,0.00091288,0.00091288
46,3646.51,0.55108,0.52001,0.86391,0.37093,0.07128,0.08527,0.04507,2.12431,4.00496,1.88136,0.0009109,0.0009109,0.0009109
47,3724.79,0.54758,0.51076,0.86199,0.36418,0.07307,0.08175,0.04299,2.14226,4.02737,1.89827,0.00090892,0.00090892,0.00090892
48,3802.96,0.54447,0.50872,0.86186,0.36842,0.0791,0.08537,0.04499,2.07064,3.89361,1.8242,0.00090694,0.00090694,0.00090694
49,3881.33,0.53977,0.49957,0.85935,0.40488,0.06855,0.0854,0.04485,2.09758,4.03632,1.85535,0.00090496,0.00090496,0.00090496
50,3959.51,0.54112,0.49632,0.85988,0.32946,0.06954,0.08583,0.0462,2.09848,4.05316,1.87194,0.00090298,0.00090298,0.00090298
51,4038.36,0.53873,0.49411,0.85954,0.38434,0.07462,0.08806,0.04702,2.09312,4.01077,1.85992,0.000901,0.000901,0.000901
52,4116.6,0.53274,0.48907,0.85661,0.44247,0.07237,0.08954,0.04778,2.10393,4.07507,1.87696,0.00089902,0.00089902,0.00089902
53,4194.78,0.53018,0.48974,0.85632,0.34395,0.07038,0.089,0.04631,2.09548,4.0785,1.88019,0.00089704,0.00089704,0.00089704
54,4273,0.532,0.48311,0.85777,0.39302,0.07867,0.09161,0.04925,2.10214,3.98923,1.86076,0.00089506,0.00089506,0.00089506
55,4351.27,0.52535,0.48252,0.85641,0.40567,0.07799,0.09246,0.04791,2.09107,4.00372,1.85537,0.00089308,0.00089308,0.00089308
