epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.3137,1.57868,4.3362,1.40396,0.59243,0.05854,0.04493,0.0299,1.50835,3.20241,1.41222,0.0670924,0.0003324,0.0003324
2,172.123,1.36653,2.81328,1.27939,0.58367,0.09596,0.07761,0.04836,1.65516,2.7705,1.51362,0.0340911,0.000664415,0.000664415
3,254.12,1.14487,2.29598,1.15247,0.5108,0.11756,0.09319,0.05484,1.79803,2.79631,1.61632,0.00108848,0.00099511,0.00099511
4,335.921,1.02474,1.98006,1.08831,0.41727,0.13973,0.10733,0.06033,1.84526,2.66435,1.63828,0.00099406,0.00099406,0.00099406
5,429.11,0.9459,1.75724,1.049,0.36431,0.13739,0.10865,0.05912,1.90076,2.72495,1.66854,0.00099208,0.00099208,0.00099208
6,510.238,0.90698,1.60171,1.02354,0.39791,0.13089,0.10137,0.056,1.95589,2.81581,1.70278,0.0009901,0.0009901,0.0009901
7,591.11,0.8686,1.49959,1.00924,0.33493,0.12301,0.09998,0.05516,1.95584,2.97225,1.7269,0.00098812,0.00098812,0.00098812
8,672.123,0.83993,1.38456,0.99292,0.33827,0.12514,0.09812,0.05406,1.97691,3.01537,1.73195,0.00098614,0.00098614,0.00098614
9,752.672,0.83058,1.302,0.9856,0.32343,0.13348,0.10425,0.05673,1.97915,2.93197,1.74042,0.00098416,0.00098416,0.00098416
10,833.313,0.80299,1.22346,0.97644,0.31698,0.10678,0.09279,0.05206,2.00062,3.17445,1.79287,0.00098218,0.00098218,0.00098218
11,913.327,0.78648,1.15146,0.96637,0.28427,0.12433,0.0995,0.05519,2.04507,3.1441,1.77782,0.0009802,0.0009802,0.0009802
12,993.663,0.76753,1.0946,0.95938,0.31337,0.11332,0.0948,0.04966,2.03997,3.19528,1.78508,0.00097822,0.00097822,0.00097822
13,1074.15,0.76545,1.05582,0.95639,0.28851,0.09335,0.08565,0.04532,2.06703,3.42176,1.8419,0.00097624,0.00097624,0.00097624
14,1154.26,0.73975,1.00319,0.94845,0.29901,0.11457,0.09439,0.05184,2.07027,3.25002,1.82155,0.00097426,0.00097426,0.00097426
15,1234.6,0.73064,0.95896,0.94095,0.23985,0.1085,0.08666,0.04774,2.08783,3.29111,1.82153,0.00097228,0.00097228,0.00097228
16,1314.86,inf,0.92647,0.93672,0.25533,0.11079,0.09236,0.04953,2.06342,3.27428,1.80173,0.0009703,0.0009703,0.0009703
17,1394.95,0.71227,0.8921,0.93436,0.26261,0.10657,0.09118,0.04861,2.05953,3.30783,1.82432,0.00096832,0.00096832,0.00096832
18,1474.9,0.69711,0.85869,0.92727,0.25216,0.1052,0.08849,0.04765,2.02946,3.28253,1.77488,0.00096634,0.00096634,0.00096634
19,1555.13,0.68934,0.83273,0.92408,0.27715,0.09216,0.08428,0.04546,2.04381,3.4849,1.81691,0.00096436,0.00096436,0.00096436
20,1635.26,0.68788,0.80857,0.91985,0.30407,0.09639,0.08878,0.04731,2.09887,3.44584,1.83794,0.00096238,0.00096238,0.00096238
21,1715.47,0.67422,0.78391,0.9172,0.3022,0.10096,0.09422,0.05165,2.05342,3.46208,1.81004,0.0009604,0.0009604,0.0009604
22,1795.66,0.66687,0.76087,0.91281,0.31794,0.10274,0.09474,0.05167,2.04392,3.43853,1.80762,0.00095842,0.00095842,0.00095842
23,1876.54,0.65423,0.74545,0.90991,0.30526,0.09078,0.08158,0.04395,2.08309,3.52904,1.83923,0.00095644,0.00095644,0.00095644
