epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2378,1.58878,4.40346,1.38524,0.49437,0.06593,0.04502,0.03006,1.48216,3.17925,1.36513,0.0670924,0.0003324,0.0003324
2,173.571,1.3655,2.82503,1.25546,0.63889,0.09454,0.07635,0.04778,1.66329,2.78147,1.48086,0.0340911,0.000664415,0.000664415
3,255.427,1.1354,2.29804,1.1278,0.5642,0.11308,0.09115,0.05285,1.81254,2.75859,1.5927,0.00108848,0.00099511,0.00099511
4,336.855,1.01431,1.98089,1.06743,0.44336,0.1181,0.09403,0.05399,1.87822,2.76756,1.62771,0.00099406,0.00099406,0.00099406
5,418.321,0.93379,1.75914,1.02761,0.37638,0.13513,0.10628,0.05803,1.92999,2.74761,1.64843,0.00099208,0.00099208,0.00099208
6,499.81,0.89415,1.60066,1.00143,0.37528,0.13076,0.10415,0.0546,1.97524,2.79485,1.69684,0.0009901,0.0009901,0.0009901
7,580.536,0.85777,1.50154,0.98919,0.33834,0.11843,0.0951,0.05189,1.99818,3.01264,1.73058,0.00098812,0.00098812,0.00098812
8,661.521,0.8281,1.39184,0.9737,0.33322,0.11768,0.10088,0.0567,1.98957,3.02458,1.71324,0.00098614,0.00098614,0.00098614
9,742.383,0.82064,1.30842,0.96754,0.32763,0.1184,0.10903,0.06069,1.96925,2.95548,1.69274,0.00098416,0.00098416,0.00098416
10,823.652,0.79265,1.22232,0.95866,0.35269,0.10474,0.09462,0.0518,1.99329,3.24375,1.738,0.00098218,0.00098218,0.00098218
11,904.589,0.77537,1.15716,0.94989,0.28281,0.11866,0.09817,0.05196,2.02837,3.15751,1.76462,0.0009802,0.0009802,0.0009802
12,985.356,0.75689,1.0905,0.9424,0.29286,0.12186,0.10281,0.05605,2.00929,3.15229,1.72972,0.00097822,0.00097822,0.00097822
13,1066.49,0.75634,1.05108,0.94054,0.30303,0.10581,0.09059,0.04949,2.07553,3.28394,1.77902,0.00097624,0.00097624,0.00097624
14,1147.25,0.73083,0.99842,0.93198,0.26853,0.10597,0.08797,0.04881,2.06351,3.40991,1.81458,0.00097426,0.00097426,0.00097426
