epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8303,1.63805,2.13482,1.41966,0.34162,0.22061,0.1874,0.11545,1.50895,2.14884,1.33264,0.0671549,0.000331768,0.000331768
2,109.273,1.43805,1.87869,1.28703,0.40344,0.2307,0.20251,0.12865,1.44154,2.08054,1.28951,0.0341536,0.000663785,0.000663785
3,159.852,1.39196,1.78525,1.24682,0.42142,0.23141,0.20503,0.13332,1.41372,2.08917,1.27074,0.00115098,0.000994481,0.000994481
4,210.734,1.36462,1.80017,1.23415,0.4042,0.22856,0.20964,0.13655,1.4073,2.057,1.26554,0.00099406,0.00099406,0.00099406
5,261.539,1.3473,1.75235,1.2314,0.40909,0.24097,0.22007,0.14327,1.39139,2.04231,1.25023,0.00099208,0.00099208,0.00099208
6,311.885,1.31895,1.66636,1.20776,0.40083,0.25668,0.22589,0.14586,1.40114,2.0403,1.25908,0.0009901,0.0009901,0.0009901
7,362.506,1.30458,1.62761,1.20538,0.46069,0.23374,0.22329,0.14507,1.37999,2.02242,1.24039,0.00098812,0.00098812,0.00098812
8,412.333,1.2881,1.58996,1.19191,0.43984,0.24263,0.23516,0.152,1.37129,1.99924,1.25181,0.00098614,0.00098614,0.00098614
9,463.452,1.28768,1.52202,1.18988,0.45284,0.23629,0.22909,0.1478,1.38626,2.00675,1.24592,0.00098416,0.00098416,0.00098416
10,513.399,1.26151,1.49785,1.17865,0.37211,0.26642,0.23385,0.15017,1.37821,2.01816,1.25124,0.00098218,0.00098218,0.00098218
11,563.486,1.2398,1.45085,1.17256,0.42027,0.26139,0.23885,0.15393,1.36647,1.98871,1.24284,0.0009802,0.0009802,0.0009802
12,613.845,1.23364,1.43036,1.16442,0.42679,0.26164,0.23703,0.15207,1.3958,2.02275,1.25989,0.00097822,0.00097822,0.00097822
13,664.457,1.22905,1.39978,1.1604,0.3813,0.26197,0.24296,0.15516,1.3905,1.97142,1.24738,0.00097624,0.00097624,0.00097624
14,715.301,1.20625,1.36011,1.15343,0.38965,0.26271,0.23846,0.15463,1.38087,1.96349,1.24472,0.00097426,0.00097426,0.00097426
15,764.837,1.20908,1.32826,1.14864,0.45153,0.24156,0.24028,0.15523,1.37948,2.00349,1.25129,0.00097228,0.00097228,0.00097228
16,814.616,1.19566,1.30825,1.13997,0.44285,0.2655,0.24029,0.15471,1.40015,1.97984,1.25591,0.0009703,0.0009703,0.0009703
17,864.36,1.18922,1.308,1.13934,0.39363,0.26604,0.24281,0.15727,1.3746,2.01803,1.24716,0.00096832,0.00096832,0.00096832
18,915.198,1.17041,1.26297,1.13233,0.40597,0.26405,0.24833,0.15959,1.38943,2.00622,1.26223,0.00096634,0.00096634,0.00096634
19,965.568,1.17578,1.25257,1.12712,0.46432,0.26159,0.24666,0.15715,1.38616,2.02665,1.25968,0.00096436,0.00096436,0.00096436
20,1015.24,1.17532,1.24336,1.13219,0.42078,0.2629,0.24448,0.15498,1.40251,2.02663,1.25959,0.00096238,0.00096238,0.00096238
21,1065.17,1.15665,1.19585,1.11867,0.41364,0.25657,0.23671,0.1538,1.40073,2.01356,1.25874,0.0009604,0.0009604,0.0009604
22,1115.1,1.14546,1.17152,1.11182,0.40772,0.2581,0.25278,0.16091,1.40555,2.05,1.26191,0.00095842,0.00095842,0.00095842
23,1169.55,1.14087,1.15048,1.11165,0.39761,0.2614,0.24532,0.15739,1.38755,2.01615,1.25669,0.00095644,0.00095644,0.00095644
24,1220.2,1.13789,1.14517,1.11226,0.39993,0.27565,0.24689,0.15688,1.39995,2.01268,1.25641,0.00095446,0.00095446,0.00095446
25,1270.56,1.12462,1.13507,1.10579,0.40577,0.25491,0.23935,0.15249,1.40551,2.07097,1.26135,0.00095248,0.00095248,0.00095248
26,1321.21,1.13294,1.09968,1.10194,0.31914,0.27758,0.24832,0.15454,1.41081,2.06888,1.27447,0.0009505,0.0009505,0.0009505
27,1371.77,1.11443,1.1011,1.10025,0.3488,0.26781,0.24928,0.15998,1.40391,2.06476,1.27647,0.00094852,0.00094852,0.00094852
28,1422.47,1.11131,1.07959,1.09678,0.40117,0.26344,0.2565,0.16387,1.40846,2.05219,1.27573,0.00094654,0.00094654,0.00094654
29,1473.54,1.10468,1.06379,1.08881,0.40999,0.25163,0.24924,0.15961,1.39678,2.05898,1.25916,0.00094456,0.00094456,0.00094456
30,1524.65,1.11032,1.05483,1.09321,0.32631,0.28378,0.24556,0.15588,1.40925,2.07221,1.2712,0.00094258,0.00094258,0.00094258
31,1575.24,1.08898,1.03547,1.08341,0.40787,0.2539,0.2558,0.15915,1.4077,2.06888,1.27021,0.0009406,0.0009406,0.0009406
32,1626.95,1.08741,1.03177,1.08651,0.38488,0.27935,0.25937,0.16578,1.39856,2.05877,1.2643,0.00093862,0.00093862,0.00093862
33,1678.92,1.08743,1.00771,1.07925,0.36803,0.27509,0.25255,0.16001,1.41681,2.08194,1.27457,0.00093664,0.00093664,0.00093664
34,1729.93,1.07547,0.99871,1.07606,0.44061,0.25915,0.25571,0.16359,1.4086,2.08471,1.27831,0.00093466,0.00093466,0.00093466
