epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.9729,1.67853,2.18989,1.44842,0.34442,0.21066,0.17604,0.10726,1.57127,2.21337,1.38052,0.066989,0.000165884,0.000165884
2,108.019,1.47251,1.92147,1.31022,0.42499,0.21348,0.19656,0.12264,1.46639,2.09707,1.30616,0.0338217,0.000331892,0.000331892
3,159.478,1.41261,1.80183,1.26051,0.37235,0.24467,0.20856,0.13489,1.42951,2.05482,1.27926,0.000653735,0.000497241,0.000497241
4,210.815,1.37664,1.78298,1.24016,0.42661,0.24234,0.22342,0.14479,1.39624,2.02175,1.25889,0.00049703,0.00049703,0.00049703
5,262.101,1.35261,1.72866,1.23258,0.38971,0.24946,0.22015,0.14173,1.37771,2.00603,1.24375,0.00049604,0.00049604,0.00049604
6,313.349,1.32547,1.65447,1.20925,0.41802,0.24031,0.22231,0.14507,1.38028,2.00968,1.2512,0.00049505,0.00049505,0.00049505
7,364.531,1.3039,1.61516,1.20557,0.4079,0.25116,0.22333,0.14695,1.36945,1.99813,1.23835,0.00049406,0.00049406,0.00049406
8,416.091,1.29448,1.59303,1.19352,0.41916,0.25279,0.23594,0.15408,1.3671,1.98781,1.24506,0.00049307,0.00049307,0.00049307
9,467.618,1.29456,1.53721,1.19213,0.46131,0.22937,0.23512,0.15209,1.36989,1.96364,1.2351,0.00049208,0.00049208,0.00049208
10,518.747,1.2656,1.50965,1.17971,0.40691,0.2523,0.24004,0.15364,1.37022,1.99059,1.23847,0.00049109,0.00049109,0.00049109
11,569.919,1.24855,1.47067,1.17666,0.46851,0.24804,0.24505,0.1591,1.37096,1.95789,1.24294,0.0004901,0.0004901,0.0004901
12,621.115,1.2447,1.45383,1.16921,0.44585,0.25245,0.23764,0.15481,1.38359,1.97859,1.25151,0.00048911,0.00048911,0.00048911
13,672.271,1.2441,1.43546,1.16698,0.41156,0.25655,0.24493,0.15789,1.38498,1.95924,1.24887,0.00048812,0.00048812,0.00048812
14,723.266,1.2183,1.4005,1.1584,0.44255,0.26474,0.24548,0.16139,1.36767,1.94998,1.23982,0.00048713,0.00048713,0.00048713
15,774.303,1.21713,1.37385,1.15299,0.44905,0.26447,0.2428,0.15775,1.37433,1.98306,1.24224,0.00048614,0.00048614,0.00048614
16,825.605,1.20884,1.35257,1.14649,0.41242,0.25537,0.241,0.15556,1.39125,1.96799,1.25398,0.00048515,0.00048515,0.00048515
17,876.646,1.20592,1.35161,1.14685,0.43873,0.2459,0.24165,0.15875,1.37211,1.98675,1.2493,0.00048416,0.00048416,0.00048416
18,927.659,1.18807,1.31198,1.1413,0.42856,0.26219,0.23988,0.15711,1.38992,1.97738,1.24998,0.00048317,0.00048317,0.00048317
19,978.53,1.19062,1.3054,1.13215,0.44292,0.26314,0.24537,0.16034,1.37659,1.98134,1.24715,0.00048218,0.00048218,0.00048218
20,1029.58,1.18862,1.29913,1.13964,0.39206,0.28342,0.24553,0.16131,1.38096,1.97217,1.2507,0.00048119,0.00048119,0.00048119
21,1080.61,1.17285,1.25184,1.12885,0.41672,0.25761,0.23374,0.15314,1.3795,1.99376,1.24435,0.0004802,0.0004802,0.0004802
22,1131.69,1.16094,1.23298,1.12133,0.37087,0.26717,0.24402,0.1605,1.37962,2,1.2477,0.00047921,0.00047921,0.00047921
23,1182.83,1.15995,1.21025,1.1191,0.38319,0.27013,0.24518,0.15947,1.38306,1.97983,1.25409,0.00047822,0.00047822,0.00047822
24,1234.05,1.16113,1.21399,1.12274,0.35309,0.28451,0.24141,0.15819,1.38666,1.98106,1.24854,0.00047723,0.00047723,0.00047723
25,1285.01,1.13977,1.19599,1.11124,0.43937,0.25337,0.24636,0.15966,1.38995,1.99702,1.25262,0.00047624,0.00047624,0.00047624
26,1336.36,1.15061,1.16433,1.10803,0.42228,0.25453,0.24805,0.15997,1.40387,1.99558,1.25923,0.00047525,0.00047525,0.00047525
