epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2646,1.67741,2.18781,1.44779,0.39716,0.19648,0.17599,0.10699,1.57241,2.21526,1.38175,0.066989,0.000165884,0.000165884
2,63.4741,1.4735,1.92044,1.30999,0.37217,0.2271,0.19896,0.12532,1.46441,2.09574,1.30375,0.0338217,0.000331892,0.000331892
3,92.9878,1.41251,1.80112,1.26104,0.41726,0.23217,0.21064,0.13662,1.41957,2.05213,1.27766,0.000653735,0.000497241,0.000497241
4,122.301,1.37557,1.77869,1.24041,0.37875,0.25598,0.22139,0.14285,1.40238,2.0328,1.261,0.00049703,0.00049703,0.00049703
5,151.615,1.35366,1.73093,1.23541,0.36193,0.2581,0.22077,0.14315,1.38507,2.0139,1.24941,0.00049604,0.00049604,0.00049604
6,181.04,1.32656,1.6546,1.21227,0.41855,0.25068,0.23275,0.14966,1.3789,1.99989,1.2488,0.00049505,0.00049505,0.00049505
7,210.392,1.30595,1.61418,1.20722,0.42474,0.26195,0.23309,0.15102,1.37423,2.00105,1.24453,0.00049406,0.00049406,0.00049406
8,239.774,1.29356,1.59091,1.19225,0.47377,0.23752,0.24013,0.15589,1.36749,1.98755,1.24442,0.00049307,0.00049307,0.00049307
9,269.151,1.29336,1.53478,1.19056,0.40119,0.24743,0.2355,0.15034,1.37007,1.97252,1.23792,0.00049208,0.00049208,0.00049208
10,298.488,1.26841,1.5094,1.18108,0.41412,0.24459,0.23723,0.15243,1.36822,1.99148,1.23671,0.00049109,0.00049109,0.00049109
11,327.728,1.24898,1.46717,1.17537,0.40496,0.27033,0.24219,0.15824,1.36982,1.97682,1.24077,0.0004901,0.0004901,0.0004901
12,357.052,1.24653,1.45522,1.17055,0.41113,0.2625,0.24113,0.15776,1.38274,1.98224,1.24818,0.00048911,0.00048911,0.00048911
13,386.268,1.24353,1.43344,1.16648,0.39518,0.26329,0.24338,0.15629,1.38744,1.96552,1.24651,0.00048812,0.00048812,0.00048812
14,415.566,1.21697,1.40256,1.15913,0.46347,0.26036,0.23958,0.15609,1.37519,1.95591,1.24647,0.00048713,0.00048713,0.00048713
15,444.728,1.21836,1.37042,1.15507,0.45381,0.25633,0.24116,0.15613,1.38029,1.98023,1.24917,0.00048614,0.00048614,0.00048614
16,474.042,1.2078,1.34813,1.14563,0.45649,0.26244,0.24227,0.15601,1.39606,1.96616,1.25616,0.00048515,0.00048515,0.00048515
17,503.25,1.20486,1.35263,1.14796,0.41136,0.26255,0.24363,0.15816,1.37598,1.97795,1.25065,0.00048416,0.00048416,0.00048416
18,532.55,1.18735,1.3097,1.14001,0.42621,0.24686,0.23163,0.15055,1.39018,1.9806,1.25518,0.00048317,0.00048317,0.00048317
19,561.861,1.19305,1.30444,1.13457,0.43657,0.24477,0.24694,0.16058,1.37913,1.99102,1.25122,0.00048218,0.00048218,0.00048218
20,591.38,1.19132,1.30013,1.14127,0.43536,0.25745,0.24435,0.16048,1.37948,1.9812,1.2472,0.00048119,0.00048119,0.00048119
21,620.552,1.17649,1.25159,1.12983,0.38694,0.27027,0.24189,0.15678,1.37899,1.99554,1.24738,0.0004802,0.0004802,0.0004802
22,649.717,1.16209,1.23365,1.12107,0.40969,0.25847,0.24005,0.15745,1.38632,2.01608,1.2493,0.00047921,0.00047921,0.00047921
23,678.872,1.16055,1.2109,1.11907,0.42157,0.26363,0.246,0.15987,1.38274,1.98397,1.25102,0.00047822,0.00047822,0.00047822
24,708.019,1.16079,1.21545,1.1231,0.40998,0.26258,0.24552,0.15819,1.39032,1.98896,1.25341,0.00047723,0.00047723,0.00047723
25,737.176,1.14699,1.1973,1.11499,0.39765,0.27463,0.24599,0.15995,1.38428,1.98373,1.2506,0.00047624,0.00047624,0.00047624
26,766.331,1.15295,1.16471,1.10963,0.38256,0.2616,0.24912,0.16056,1.39632,1.99968,1.25882,0.00047525,0.00047525,0.00047525
27,795.783,1.13212,1.17187,1.10947,0.45292,0.2446,0.24576,0.15956,1.37458,2.02524,1.25789,0.00047426,0.00047426,0.00047426
28,825.008,1.13175,1.15009,1.10844,0.40326,0.27093,0.24586,0.15897,1.38399,2.03806,1.25605,0.00047327,0.00047327,0.00047327
29,854.383,1.12926,1.13626,1.10201,0.46723,0.24474,0.24147,0.15492,1.38859,2.01901,1.25878,0.00047228,0.00047228,0.00047228
30,883.849,1.13689,1.13266,1.10847,0.35881,0.2752,0.24391,0.15714,1.38132,2.02996,1.25435,0.00047129,0.00047129,0.00047129
31,913.315,1.11231,1.10782,1.095,0.37487,0.27844,0.25133,0.16255,1.3777,2.02288,1.25658,0.0004703,0.0004703,0.0004703
32,942.799,1.10922,1.11279,1.09969,0.40881,0.2617,0.24795,0.1603,1.37753,2.00256,1.25132,0.00046931,0.00046931,0.00046931
33,972.251,1.11562,1.0815,1.0954,0.41058,0.25688,0.24828,0.15913,1.39135,2.02158,1.26063,0.00046832,0.00046832,0.00046832
34,1001.6,1.09727,1.07012,1.08837,0.42371,0.25351,0.25045,0.16156,1.39433,2.03484,1.26508,0.00046733,0.00046733,0.00046733
35,1031,1.10624,1.07225,1.09105,0.39665,0.26925,0.24873,0.16115,1.39574,2.04149,1.26836,0.00046634,0.00046634,0.00046634
