epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.8294,1.58882,4.16773,1.39303,0.61375,0.07777,0.05555,0.03758,1.46907,2.9616,1.35747,0.0670579,0.000332749,0.000332749
2,156.072,1.40147,2.70363,1.26548,0.65863,0.13375,0.11613,0.07508,1.49435,2.43625,1.33373,0.0340566,0.000664763,0.000664763
3,229.356,1.23709,2.25189,1.17245,0.58461,0.17222,0.15119,0.0952,1.50804,2.27637,1.33129,0.00105394,0.000995458,0.000995458
4,302.01,1.15124,1.95865,1.1234,0.46944,0.20526,0.18601,0.11786,1.46485,2.13176,1.30708,0.00099406,0.00099406,0.00099406
5,375.019,1.08057,1.74803,1.08905,0.43986,0.22791,0.19856,0.12448,1.48509,2.10251,1.31504,0.00099208,0.00099208,0.00099208
6,447.682,1.04451,1.61003,1.07342,0.40025,0.23857,0.20106,0.12846,1.47161,2.05107,1.31586,0.0009901,0.0009901,0.0009901
7,520.326,1.01407,1.48952,1.05584,0.40561,0.23857,0.21775,0.13856,1.46429,2.04624,1.29354,0.00098812,0.00098812,0.00098812
8,592.623,0.97687,1.38005,1.03884,0.45719,0.22314,0.22532,0.14445,1.46532,2.02477,1.29058,0.00098614,0.00098614,0.00098614
9,665.116,0.95786,1.30302,1.02986,0.40146,0.23187,0.22417,0.14354,1.4627,2.05268,1.28677,0.00098416,0.00098416,0.00098416
10,737.378,0.93442,1.22616,1.01783,0.40095,0.24908,0.22472,0.14383,1.45339,2.03638,1.28504,0.00098218,0.00098218,0.00098218
11,809.458,0.9095,1.15955,1.00599,0.44534,0.23639,0.22552,0.1427,1.44291,2.05906,1.27714,0.0009802,0.0009802,0.0009802
12,881.49,0.899,1.10921,1.00435,0.43498,0.23639,0.22655,0.14373,1.44047,2.06589,1.26896,0.00097822,0.00097822,0.00097822
13,953.251,0.88196,1.03994,0.99014,0.37894,0.25087,0.22703,0.14473,1.43934,2.05425,1.27442,0.00097624,0.00097624,0.00097624
14,1025.11,0.87977,1.00819,0.99189,0.44522,0.23837,0.23772,0.15148,1.46554,2.08403,1.28901,0.00097426,0.00097426,0.00097426
15,1096.92,0.85896,0.96814,0.98289,0.41564,0.23937,0.23098,0.14726,1.45548,2.0934,1.28449,0.00097228,0.00097228,0.00097228
16,1168.69,0.84202,0.93705,0.97824,0.39247,0.25012,0.22497,0.14204,1.48117,2.0889,1.29088,0.0009703,0.0009703,0.0009703
17,1240.45,0.83348,0.9011,0.97088,0.34011,0.26354,0.23212,0.14505,1.44683,2.12481,1.27838,0.00096832,0.00096832,0.00096832
18,1312.06,0.82583,0.8785,0.97169,0.37215,0.24574,0.23677,0.15022,1.45292,2.11252,1.29131,0.00096634,0.00096634,0.00096634
19,1383.92,0.81825,0.84789,0.96473,0.44746,0.21827,0.2284,0.14461,1.4726,2.11087,1.28923,0.00096436,0.00096436,0.00096436
20,1455.64,0.80399,0.83006,0.959,0.42317,0.2427,0.23309,0.14713,1.45698,2.13388,1.29392,0.00096238,0.00096238,0.00096238
21,1527.94,0.79632,0.79963,0.95795,0.37639,0.24905,0.22684,0.14261,1.46019,2.14538,1.28682,0.0009604,0.0009604,0.0009604
22,1599.8,0.79016,0.78472,0.95216,0.40507,0.24369,0.23047,0.14597,1.46292,2.13623,1.28462,0.00095842,0.00095842,0.00095842
23,1671.45,0.78606,0.76555,0.95296,0.37471,0.24592,0.23242,0.14613,1.46094,2.14173,1.28611,0.00095644,0.00095644,0.00095644
24,1743.21,0.7729,0.74136,0.94443,0.38431,0.24074,0.22872,0.14699,1.46571,2.14577,1.28926,0.00095446,0.00095446,0.00095446
25,1815.02,0.77259,0.73471,0.94337,0.3362,0.25447,0.23326,0.14962,1.47373,2.16186,1.29578,0.00095248,0.00095248,0.00095248
26,1886.9,0.76358,0.71525,0.94017,0.40386,0.25056,0.24196,0.15628,1.47625,2.15332,1.2997,0.0009505,0.0009505,0.0009505
27,1958.69,0.75441,0.70023,0.9385,0.43514,0.23755,0.23545,0.15086,1.48185,2.17266,1.3009,0.00094852,0.00094852,0.00094852
28,2030.46,0.75196,0.69111,0.93481,0.43807,0.22362,0.22766,0.14575,1.49021,2.20895,1.31491,0.00094654,0.00094654,0.00094654
29,2102.46,0.74508,0.67861,0.93197,0.432,0.22542,0.22924,0.14769,1.48144,2.19713,1.31083,0.00094456,0.00094456,0.00094456
30,2174.73,0.73729,0.66414,0.92744,0.39319,0.24269,0.23469,0.14767,1.49315,2.23767,1.30811,0.00094258,0.00094258,0.00094258
31,2246.62,0.73,0.65182,0.92567,0.38929,0.24256,0.23443,0.14873,1.49781,2.24,1.32137,0.0009406,0.0009406,0.0009406
32,2318.33,0.72958,0.64796,0.92483,0.41043,0.25499,0.23898,0.15159,1.49322,2.22104,1.31575,0.00093862,0.00093862,0.00093862
33,2390.09,0.7276,0.63641,0.92139,0.45969,0.23457,0.2371,0.1503,1.49702,2.21875,1.31888,0.00093664,0.00093664,0.00093664
34,2461.71,0.72539,0.63243,0.9217,0.40267,0.26251,0.24088,0.15068,1.49311,2.23852,1.31613,0.00093466,0.00093466,0.00093466
35,2533.51,0.7171,0.62342,0.92099,0.42364,0.24464,0.2354,0.15243,1.4784,2.23131,1.30799,0.00093268,0.00093268,0.00093268
36,2605.23,0.70965,0.61274,0.91597,0.32364,0.2603,0.23475,0.14974,1.48476,2.23113,1.31864,0.0009307,0.0009307,0.0009307
37,2677.12,0.70385,0.60535,0.91494,0.36586,0.25533,0.23612,0.148,1.48979,2.25564,1.31889,0.00092872,0.00092872,0.00092872
38,2748.7,0.70085,0.5982,0.91263,0.34393,0.25793,0.23458,0.14847,1.49376,2.27224,1.33038,0.00092674,0.00092674,0.00092674
39,2820.33,0.69837,0.59558,0.91116,0.35569,0.2587,0.2399,0.15243,1.49486,2.26125,1.32422,0.00092476,0.00092476,0.00092476
40,2891.95,0.69161,0.57936,0.90757,0.35209,0.26457,0.23396,0.14769,1.50286,2.27127,1.32884,0.00092278,0.00092278,0.00092278
41,2963.66,0.68991,0.57957,0.9096,0.40975,0.24388,0.23642,0.14996,1.51151,2.27204,1.33497,0.0009208,0.0009208,0.0009208
42,3035.23,0.6756,0.56931,0.906,0.4499,0.2327,0.23904,0.15062,1.51355,2.28674,1.33831,0.00091882,0.00091882,0.00091882
43,3106.77,0.67863,0.56883,0.9075,0.39164,0.25615,0.24145,0.15295,1.49227,2.28191,1.32675,0.00091684,0.00091684,0.00091684
44,3178.71,0.67537,0.55832,0.90412,0.4262,0.23556,0.23632,0.14937,1.5,2.28269,1.33202,0.00091486,0.00091486,0.00091486
45,3250.28,0.67956,0.55899,0.90417,0.3644,0.27061,0.23745,0.15042,1.49683,2.27321,1.33193,0.00091288,0.00091288,0.00091288
46,3322.4,0.67258,0.55248,0.90384,0.40048,0.2646,0.23706,0.15005,1.50046,2.29401,1.32903,0.0009109,0.0009109,0.0009109
47,3394.67,0.66917,0.54559,0.89917,0.41696,0.24827,0.24399,0.15487,1.50494,2.30535,1.3375,0.00090892,0.00090892,0.00090892
48,3466.61,0.66134,0.54314,0.89692,0.42259,0.26078,0.24259,0.15344,1.50145,2.29926,1.33306,0.00090694,0.00090694,0.00090694
49,3538.27,0.6552,0.53609,0.89557,0.40928,0.26101,0.24113,0.15292,1.49895,2.30357,1.33123,0.00090496,0.00090496,0.00090496
50,3609.9,0.65426,0.52988,0.89555,0.40063,0.2515,0.24095,0.1545,1.50202,2.30955,1.32769,0.00090298,0.00090298,0.00090298
51,3681.56,0.65083,0.52935,0.89446,0.43603,0.24681,0.24137,0.15141,1.50223,2.3257,1.33549,0.000901,0.000901,0.000901
52,3753.16,0.64442,0.51979,0.89099,0.42516,0.25141,0.24306,0.15383,1.50794,2.32879,1.33531,0.00089902,0.00089902,0.00089902
53,3824.73,0.64722,0.52285,0.89307,0.44756,0.24904,0.24421,0.15531,1.50267,2.32641,1.33787,0.00089704,0.00089704,0.00089704
54,3896.24,0.64336,0.51722,0.88981,0.41714,0.24506,0.24302,0.15368,1.50132,2.33307,1.33234,0.00089506,0.00089506,0.00089506
55,3967.85,0.63945,0.5112,0.89055,0.43146,0.2529,0.2454,0.15545,1.51552,2.35109,1.3424,0.00089308,0.00089308,0.00089308
56,4039.61,0.63917,0.50774,0.88904,0.37187,0.25994,0.24503,0.15295,1.51284,2.35913,1.34228,0.0008911,0.0008911,0.0008911
57,4111.39,0.63737,0.50707,0.88921,0.40244,0.26378,0.24277,0.15098,1.50327,2.35249,1.33868,0.00088912,0.00088912,0.00088912
