epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.9661,1.58529,4.19244,1.38567,0.56199,0.08686,0.06279,0.04218,1.4466,2.85815,1.33617,0.0670579,0.000332749,0.000332749
2,155.686,1.39529,2.68649,1.26028,0.64128,0.14059,0.11665,0.07643,1.48029,2.40636,1.32798,0.0340566,0.000664763,0.000664763
3,228.499,1.22858,2.23032,1.16279,0.53825,0.15919,0.14478,0.0921,1.49992,2.25464,1.3104,0.00105394,0.000995458,0.000995458
4,300.72,1.14462,1.94412,1.1149,0.54861,0.205,0.18586,0.11977,1.45757,2.11921,1.3084,0.00099406,0.00099406,0.00099406
5,372.958,1.07426,1.73059,1.08091,0.49244,0.21957,0.19731,0.12588,1.4583,2.07971,1.28785,0.00099208,0.00099208,0.00099208
6,445.088,1.03547,1.59781,1.06282,0.46115,0.21838,0.20666,0.1309,1.44993,2.0259,1.2802,0.0009901,0.0009901,0.0009901
7,517.16,1.00229,1.47458,1.04557,0.42775,0.22466,0.21827,0.13694,1.44687,2.03953,1.27896,0.00098812,0.00098812,0.00098812
8,589.356,0.96954,1.37065,1.03001,0.44055,0.24243,0.22386,0.14045,1.44381,2.03299,1.26059,0.00098614,0.00098614,0.00098614
9,661.459,0.95114,1.29599,1.02214,0.42704,0.24453,0.21679,0.13923,1.44941,2.0405,1.2736,0.00098416,0.00098416,0.00098416
10,733.839,0.93074,1.22246,1.01278,0.38682,0.25108,0.22595,0.14204,1.43747,2.04419,1.2716,0.00098218,0.00098218,0.00098218
11,805.803,0.90517,1.15672,1.00054,0.38856,0.25095,0.22443,0.14288,1.44196,2.05814,1.27045,0.0009802,0.0009802,0.0009802
12,877.592,0.89698,1.1034,0.99915,0.40695,0.22917,0.21795,0.13853,1.44451,2.07594,1.25925,0.00097822,0.00097822,0.00097822
13,949.473,0.87982,1.04279,0.98605,0.39516,0.25318,0.23016,0.14445,1.4506,2.09675,1.26653,0.00097624,0.00097624,0.00097624
14,1021.5,0.87386,1.00681,0.9849,0.44053,0.2413,0.22777,0.14451,1.46207,2.08764,1.27731,0.00097426,0.00097426,0.00097426
15,1093.33,0.8554,0.9644,0.97811,0.37178,0.24729,0.23188,0.14717,1.46327,2.08109,1.28503,0.00097228,0.00097228,0.00097228
