epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.1304,1.23125,4.26996,1.22616,0.46117,0.02999,0.01883,0.01175,1.6795,4.07696,1.61508,0.0670924,0.0003324,0.0003324
2,173.199,0.94151,2.75613,1.07526,0.58364,0.04257,0.03735,0.0213,1.89833,3.69363,1.71618,0.0340911,0.000664415,0.000664415
3,255.088,0.80603,2.26056,0.99654,0.57425,0.04291,0.03905,0.02173,2.04052,3.84747,1.83348,0.00108848,0.00099511,0.00099511
4,357.861,0.73273,1.98335,0.96208,0.48342,0.05974,0.0585,0.03017,2.05051,3.5476,1.84892,0.00099406,0.00099406,0.00099406
5,439.713,0.6884,1.79044,0.94548,0.4898,0.05035,0.05598,0.02983,2.06581,3.64947,1.89103,0.00099208,0.00099208,0.00099208
6,519.903,0.66639,1.65473,0.93223,0.39721,0.05021,0.05501,0.02771,2.14096,3.71584,1.89867,0.0009901,0.0009901,0.0009901
7,599.67,0.6466,1.56142,0.92623,0.43361,0.04556,0.05078,0.02653,2.12014,3.81071,1.93169,0.00098812,0.00098812,0.00098812
8,679.065,0.62994,1.45963,0.91844,0.42627,0.04857,0.05623,0.02851,2.12251,3.74647,1.92242,0.00098614,0.00098614,0.00098614
9,758.976,0.62774,1.38764,0.91513,0.42215,0.05214,0.06399,0.03249,2.11295,3.70124,1.88603,0.00098416,0.00098416,0.00098416
10,839.712,0.60737,1.30023,0.9099,0.47155,0.04604,0.05753,0.02861,2.11365,3.86993,1.88555,0.00098218,0.00098218,0.00098218
11,919.446,0.59831,1.23382,0.90316,0.37153,0.04414,0.05266,0.02681,2.11022,3.85205,1.89201,0.0009802,0.0009802,0.0009802
12,999.535,0.58543,1.17482,0.89979,0.35753,0.05113,0.05497,0.02794,2.10965,3.71355,1.85516,0.00097822,0.00097822,0.00097822
13,1078.86,0.58489,1.12102,0.89782,0.48863,0.04493,0.05488,0.0281,2.13445,3.95968,1.89958,0.00097624,0.00097624,0.00097624
14,1158.64,0.57201,1.0711,0.89473,0.3989,0.04766,0.05646,0.02673,2.16879,3.90487,1.93224,0.00097426,0.00097426,0.00097426
15,1238.18,0.56803,1.02563,0.89049,0.43146,0.04842,0.05206,0.02613,2.14216,3.96813,1.94192,0.00097228,0.00097228,0.00097228
16,1317.61,0.55897,0.98363,0.8894,0.36046,0.04583,0.05548,0.02711,2.15512,3.98431,1.93523,0.0009703,0.0009703,0.0009703
17,1397.46,0.55733,0.94555,0.88688,0.33025,0.04994,0.05838,0.02935,2.13095,3.86875,1.91495,0.00096832,0.00096832,0.00096832
18,1477.29,0.54415,0.90248,0.88318,0.38489,0.04817,0.05976,0.02981,2.12406,3.89796,1.91261,0.00096634,0.00096634,0.00096634
19,1557.18,0.53869,0.8717,0.8794,0.37192,0.03621,0.04768,0.02404,2.19845,4.2001,1.96573,0.00096436,0.00096436,0.00096436
20,1636.89,0.53911,0.84702,0.87749,0.24838,0.04764,0.05132,0.02606,2.18522,4.21222,1.9751,0.00096238,0.00096238,0.00096238
21,1716.65,0.52909,0.81368,0.87557,0.40541,0.04463,0.05112,0.02672,2.18077,4.03336,1.95224,0.0009604,0.0009604,0.0009604
22,1796.61,0.52591,0.78674,0.87344,0.40779,0.04092,0.04964,0.02608,2.15766,4.19632,1.95853,0.00095842,0.00095842,0.00095842
23,1876.81,0.51659,0.76549,0.87268,0.48034,0.03967,0.05068,0.02704,2.19215,4.17745,1.96492,0.00095644,0.00095644,0.00095644
24,1956.49,0.51789,0.74376,0.87079,0.03617,0.10924,0.05288,0.02638,2.19884,4.3419,1.99629,0.00095446,0.00095446,0.00095446
25,2036.21,0.51076,0.72532,0.87012,0.03672,0.1121,0.05025,0.02634,2.184,4.29793,1.98385,0.00095248,0.00095248,0.00095248
26,2116.05,0.50788,0.70542,0.86803,0.3634,0.04467,0.05798,0.02937,2.18873,4.11817,1.94071,0.0009505,0.0009505,0.0009505
27,2196.21,0.50912,0.68494,0.86753,0.3702,0.04516,0.05059,0.02692,2.16936,4.3682,2.00813,0.00094852,0.00094852,0.00094852
28,2275.96,0.49243,0.67048,0.86452,0.0327,0.10154,0.0472,0.02427,2.21974,4.39219,2.03712,0.00094654,0.00094654,0.00094654
29,2355.54,0.49025,0.66127,0.86228,0.10819,0.0857,0.05351,0.02784,2.21411,4.25376,1.99947,0.00094456,0.00094456,0.00094456
30,2435.72,0.48959,0.6492,0.86165,0.23868,0.05542,0.05017,0.02541,2.22526,4.31079,2.00993,0.00094258,0.00094258,0.00094258
31,2515.69,0.48925,0.63351,0.86101,0.42391,0.04368,0.05246,0.02664,2.18925,4.18667,1.94768,0.0009406,0.0009406,0.0009406
