epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.1721,1.22525,4.28653,1.24271,0.43845,0.03295,0.0234,0.01523,1.65922,3.94841,1.61124,0.0670924,0.0003324,0.0003324
2,169.968,0.94435,2.74089,1.10039,0.5505,0.04666,0.04069,0.02368,1.89483,3.66672,1.75482,0.0340911,0.000664415,0.000664415
3,250.811,0.81117,2.23969,1.01954,0.54563,0.0469,0.04475,0.02496,1.96705,3.74566,1.83727,0.00108848,0.00099511,0.00099511
4,331.206,0.73827,1.97421,0.98245,0.4637,0.06416,0.05566,0.02914,2.05184,3.48742,1.87885,0.00099406,0.00099406,0.00099406
5,411.984,0.69148,1.78061,0.9614,0.44586,0.05398,0.0533,0.02771,2.04356,3.62468,1.91481,0.00099208,0.00099208,0.00099208
6,491.397,0.67135,1.64936,0.94729,0.45631,0.04777,0.04933,0.0266,2.08025,3.73419,1.89947,0.0009901,0.0009901,0.0009901
7,570.729,0.64714,1.54962,0.93853,0.39789,0.05089,0.05256,0.02677,2.11198,3.74628,1.93523,0.00098812,0.00098812,0.00098812
8,650.222,0.63306,1.44973,0.93076,0.39262,0.05194,0.05601,0.02893,2.12524,3.74657,1.95741,0.00098614,0.00098614,0.00098614
9,729.476,0.63109,1.37465,0.92765,0.4166,0.05105,0.05546,0.0274,2.14551,3.69789,1.96238,0.00098416,0.00098416,0.00098416
10,808.736,0.60763,1.28679,0.92043,0.38798,0.05308,0.06137,0.03197,2.09303,3.77056,1.92374,0.00098218,0.00098218,0.00098218
11,888.767,0.59873,1.21892,0.91379,0.4118,0.05013,0.05959,0.02841,2.13199,3.85112,1.95523,0.0009802,0.0009802,0.0009802
12,967.893,0.58711,1.16042,0.91078,0.45577,0.04076,0.0551,0.02783,2.12192,3.94978,1.95748,0.00097822,0.00097822,0.00097822
13,1047.12,0.58804,1.11237,0.90934,0.47526,0.04047,0.05673,0.02766,2.14403,4.05001,2.00671,0.00097624,0.00097624,0.00097624
14,1126.5,0.573,1.0572,0.90463,0.40567,0.03851,0.05059,0.02573,2.16587,4.10831,2.00692,0.00097426,0.00097426,0.00097426
15,1206.25,0.56923,1.01348,0.9007,0.0303,0.13326,0.04633,0.02425,2.1878,4.22843,2.02752,0.00097228,0.00097228,0.00097228
16,1285.53,0.55799,0.96845,0.89782,0.40113,0.04012,0.04926,0.02458,2.17896,4.12906,2.00787,0.0009703,0.0009703,0.0009703
17,1365.18,0.55872,0.93322,0.89698,0.38846,0.04371,0.05353,0.02735,2.18346,4.01125,1.99467,0.00096832,0.00096832,0.00096832
18,1444.3,0.5456,0.89542,0.89226,0.3938,0.04998,0.05898,0.02901,2.12563,3.94386,1.94972,0.00096634,0.00096634,0.00096634
19,1523.51,0.54152,0.86431,0.88976,0.39122,0.04347,0.05012,0.02492,2.21844,4.2845,2.05336,0.00096436,0.00096436,0.00096436
20,1602.71,0.53989,0.83414,0.88692,0.36742,0.05193,0.0532,0.02736,2.16965,4.11516,2.00125,0.00096238,0.00096238,0.00096238
21,1682,0.53157,0.80402,0.88474,0.03438,0.12486,0.05256,0.0275,2.17756,4.1741,2.02848,0.0009604,0.0009604,0.0009604
22,1761.73,0.528,0.77853,0.88234,0.44812,0.03818,0.04789,0.02473,2.19364,4.30871,2.02631,0.00095842,0.00095842,0.00095842
23,1840.96,0.51922,0.76045,0.88265,0.42411,0.04061,0.05311,0.02703,2.195,4.2155,2.03228,0.00095644,0.00095644,0.00095644
24,1920.12,0.51962,0.73588,0.87872,0.26028,0.05295,0.05306,0.02741,2.17618,4.21817,2.00259,0.00095446,0.00095446,0.00095446
25,1999.14,0.51339,0.72354,0.87873,0.0336,0.11686,0.04975,0.02564,2.19637,4.30673,2.02674,0.00095248,0.00095248,0.00095248
26,2078.27,0.51035,0.6979,0.87682,0.24925,0.05961,0.04886,0.02479,2.25422,4.29844,2.06418,0.0009505,0.0009505,0.0009505
27,2157.63,0.51135,0.68402,0.8747,0.25759,0.05322,0.04963,0.02585,2.21911,4.31864,2.08023,0.00094852,0.00094852,0.00094852
28,2236.86,0.49495,0.6682,0.87321,0.03339,0.11217,0.04705,0.02382,2.18347,4.25717,2.02374,0.00094654,0.00094654,0.00094654
