epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.9461,1.22827,4.35404,1.22003,0.42462,0.03515,0.02138,0.01338,1.66715,3.86142,1.53474,0.0670924,0.0003324,0.0003324
2,171.627,0.93315,2.727,1.07009,0.55404,0.04864,0.04014,0.02267,1.90452,3.58504,1.73197,0.0340911,0.000664415,0.000664415
3,252.011,0.79964,2.24259,0.99831,0.54135,0.04958,0.04405,0.02389,1.98747,3.58154,1.755,0.00108848,0.00099511,0.00099511
4,331.199,0.72861,1.97095,0.96359,0.50696,0.06256,0.05579,0.02746,2.06193,3.67733,1.89013,0.00099406,0.00099406,0.00099406
5,410.44,0.68275,1.78447,0.94302,0.4777,0.05117,0.05503,0.02846,2.07597,3.71723,1.88006,0.00099208,0.00099208,0.00099208
6,489.737,0.66216,1.64672,0.92957,0.42918,0.05714,0.05456,0.02754,2.12321,3.61793,1.88203,0.0009901,0.0009901,0.0009901
7,567.626,0.64081,1.55109,0.9222,0.39138,0.04913,0.05245,0.02625,2.14032,3.81159,1.92594,0.00098812,0.00098812,0.00098812
8,645.37,0.6265,1.4483,0.91588,0.42311,0.05911,0.05949,0.03031,2.11452,3.68091,1.888,0.00098614,0.00098614,0.00098614
9,723.926,0.62341,1.37452,0.91136,0.41569,0.06427,0.0669,0.032,2.09954,3.63551,1.8685,0.00098416,0.00098416,0.00098416
10,803.264,0.6016,1.28491,0.90557,0.42569,0.06387,0.06596,0.03272,2.11574,3.67065,1.8643,0.00098218,0.00098218,0.00098218
11,882.464,0.59356,1.21997,0.90083,0.40418,0.04822,0.05124,0.02555,2.15737,3.92919,1.92591,0.0009802,0.0009802,0.0009802
12,960.727,0.58067,1.16287,0.89715,0.37852,0.0568,0.05782,0.031,2.16633,3.75804,1.9128,0.00097822,0.00097822,0.00097822
13,1038.92,0.58234,1.11626,0.89648,0.41998,0.04698,0.05649,0.02766,2.18524,3.99945,1.94085,0.00097624,0.00097624,0.00097624
14,1117.37,0.56491,1.05659,0.89094,0.39802,0.04455,0.05271,0.02675,2.18916,3.97,1.96159,0.00097426,0.00097426,0.00097426
15,1195.77,0.56296,1.00942,0.88781,0.03044,0.1305,0.04928,0.02429,2.2242,4.20199,2.01455,0.00097228,0.00097228,0.00097228
16,1273.7,0.55287,0.97306,0.88613,0.40732,0.04281,0.05574,0.0283,2.16659,4.07364,1.94689,0.0009703,0.0009703,0.0009703
17,1352.06,0.55287,0.93434,0.88512,0.39537,0.04937,0.06105,0.03048,2.17428,3.91164,1.92728,0.00096832,0.00096832,0.00096832
18,1430.16,0.54082,0.89647,0.88114,0.36494,0.04129,0.05705,0.02916,2.14461,3.94242,1.91741,0.00096634,0.00096634,0.00096634
19,1508.26,0.5362,0.86306,0.87829,0.38031,0.04231,0.05229,0.02555,2.22216,4.07656,1.96707,0.00096436,0.00096436,0.00096436
20,1586.29,0.53439,0.8382,0.87532,0.34151,0.04192,0.05035,0.02596,2.20793,4.16265,1.94767,0.00096238,0.00096238,0.00096238
21,1664.36,0.5262,0.80604,0.87339,0.38683,0.0408,0.05113,0.02535,2.23954,4.0853,1.96717,0.0009604,0.0009604,0.0009604
22,1742.75,0.52338,0.77734,0.87131,0.34101,0.04465,0.05293,0.02682,2.19912,4.13315,1.9772,0.00095842,0.00095842,0.00095842
23,1820.78,0.51329,0.75737,0.87092,0.43689,0.0354,0.04579,0.0238,2.25135,4.2152,2.01585,0.00095644,0.00095644,0.00095644
24,1899.08,0.51587,0.73904,0.86979,0.40068,0.04392,0.05431,0.02671,2.20625,4.15687,1.95959,0.00095446,0.00095446,0.00095446
25,1977.49,0.50792,0.71949,0.86835,0.45271,0.04651,0.05949,0.03101,2.18098,4.2001,1.94014,0.00095248,0.00095248,0.00095248
26,2055.64,0.50515,0.6987,0.86633,0.30417,0.05222,0.05956,0.03079,2.20774,4.12894,1.94161,0.0009505,0.0009505,0.0009505
27,2133.71,0.50573,0.6777,0.86517,0.27967,0.05633,0.05646,0.02873,2.21843,4.31627,2.01078,0.00094852,0.00094852,0.00094852
28,2211.54,0.48885,0.66594,0.86306,0.03852,0.09654,0.05149,0.02768,2.21149,4.45329,2.01232,0.00094654,0.00094654,0.00094654
29,2289.56,0.48899,0.65526,0.8605,0.03644,0.1077,0.05222,0.02716,2.22718,4.34589,1.99477,0.00094456,0.00094456,0.00094456
30,2367.85,0.48641,0.64438,0.85931,0.31403,0.05575,0.0607,0.03097,2.19934,4.25444,1.98929,0.00094258,0.00094258,0.00094258
31,2445.82,0.48602,0.6287,0.85893,0.03659,0.12027,0.05553,0.03046,2.17126,4.28655,1.93447,0.0009406,0.0009406,0.0009406
32,2524.34,0.48836,0.61674,0.85568,0.04052,0.10879,0.05795,0.03013,2.24173,4.32584,1.98261,0.00093862,0.00093862,0.00093862
33,2602.55,0.47406,0.60409,0.85635,0.03781,0.09755,0.05141,0.02713,2.23057,4.4488,1.99369,0.00093664,0.00093664,0.00093664
34,2681.12,0.48179,0.5951,0.85563,0.04296,0.10161,0.05599,0.03063,2.25267,4.46723,2.02397,0.00093466,0.00093466,0.00093466
35,2759.63,0.46975,0.58281,0.85351,0.03816,0.10835,0.05617,0.02889,2.24136,4.42608,2.01342,0.00093268,0.00093268,0.00093268
36,2837.67,0.47003,0.57614,0.85355,0.04266,0.11148,0.05821,0.02977,2.22145,4.32125,1.97936,0.0009307,0.0009307,0.0009307
37,2916.23,0.47088,0.5696,0.85219,0.04068,0.10718,0.05446,0.02996,2.22019,4.41483,1.99745,0.00092872,0.00092872,0.00092872
38,2994.51,0.46578,0.56069,0.84942,0.04266,0.11196,0.05872,0.03091,2.21577,4.38506,1.9809,0.00092674,0.00092674,0.00092674
39,3072.56,0.46025,0.54848,0.85009,0.04421,0.09788,0.05598,0.03001,2.2293,4.4729,2.00174,0.00092476,0.00092476,0.00092476
40,3150.95,0.46523,0.54171,0.84819,0.40626,0.03877,0.05813,0.03017,2.25191,4.48507,2.01052,0.00092278,0.00092278,0.00092278
41,3229.12,0.45838,0.53393,0.84802,0.03914,0.0968,0.05473,0.0289,2.25586,4.52054,2.03117,0.0009208,0.0009208,0.0009208
42,3307.02,0.45631,0.5283,0.84731,0.04266,0.10473,0.05864,0.03099,2.22681,4.47148,1.98299,0.00091882,0.00091882,0.00091882
43,3385.04,0.45734,0.52315,0.84787,0.04525,0.09445,0.05679,0.0292,2.26881,4.56583,2.03363,0.00091684,0.00091684,0.00091684
44,3463.1,0.44758,0.51388,0.84515,0.04929,0.08768,0.05344,0.02723,2.28928,4.67563,2.07601,0.00091486,0.00091486,0.00091486
45,3541.15,0.44583,0.50592,0.84331,0.04447,0.10114,0.05709,0.02809,2.25579,4.49591,2.03838,0.00091288,0.00091288,0.00091288
46,3619.47,0.44596,0.50854,0.84492,0.04787,0.09243,0.05664,0.02962,2.23492,4.60848,2.0166,0.0009109,0.0009109,0.0009109
47,3697.94,0.44611,0.4974,0.84277,0.05026,0.08912,0.05733,0.03085,2.26816,4.63325,2.04169,0.00090892,0.00090892,0.00090892
48,3776.31,0.4427,0.49707,0.84309,0.04534,0.08228,0.05262,0.02967,2.255,4.66399,2.00814,0.00090694,0.00090694,0.00090694
49,3854.43,0.43965,0.48638,0.84128,0.05533,0.07999,0.0566,0.03106,2.29141,4.72921,2.06217,0.00090496,0.00090496,0.00090496
50,3932.7,0.44144,0.48221,0.84166,0.05178,0.08345,0.05785,0.03222,2.29936,4.68236,2.08245,0.00090298,0.00090298,0.00090298
51,4010.91,0.44317,0.47994,0.84302,0.05559,0.08124,0.0593,0.03131,2.2867,4.70244,2.06151,0.000901,0.000901,0.000901
52,4089.02,0.43741,0.4753,0.83935,0.04848,0.07152,0.05362,0.02887,2.33282,4.80259,2.11955,0.00089902,0.00089902,0.00089902
53,4166.73,0.43314,0.47715,0.83928,0.04924,0.06477,0.05004,0.02756,2.34046,4.88051,2.14362,0.00089704,0.00089704,0.00089704
54,4244.82,0.43368,0.46857,0.84,0.04856,0.07768,0.05291,0.02895,2.29032,4.74525,2.06178,0.00089506,0.00089506,0.00089506
55,4323.09,0.43003,0.46616,0.8383,0.05263,0.08162,0.06088,0.03231,2.27608,4.74267,2.06459,0.00089308,0.00089308,0.00089308
56,4401.55,0.4291,0.46137,0.83903,0.05504,0.08519,0.06095,0.03228,2.26197,4.7132,2.02676,0.0008911,0.0008911,0.0008911
57,4479.77,0.4353,0.45554,0.83775,0.05267,0.07784,0.05854,0.02974,2.30335,4.72713,2.0692,0.00088912,0.00088912,0.00088912
58,4557.93,0.42877,0.45323,0.83725,0.05564,0.08238,0.06153,0.03221,2.26046,4.7146,2.06009,0.00088714,0.00088714,0.00088714
59,4636,0.42658,0.44768,0.83637,0.05031,0.07758,0.05666,0.03086,2.25837,4.71082,2.04168,0.00088516,0.00088516,0.00088516
60,4714.16,0.42595,0.44542,0.83613,0.05199,0.07753,0.05718,0.0305,2.29265,4.74964,2.0782,0.00088318,0.00088318,0.00088318
61,4792.12,0.42298,0.43981,0.83379,0.04974,0.07147,0.05319,0.0299,2.27799,4.78741,2.05563,0.0008812,0.0008812,0.0008812
62,4870.21,0.42069,0.44036,0.83571,0.05126,0.0695,0.05627,0.0317,2.31236,4.86403,2.10842,0.00087922,0.00087922,0.00087922
63,4948.15,0.42038,0.43719,0.83346,0.05162,0.07011,0.05423,0.03039,2.3071,4.8275,2.07999,0.00087724,0.00087724,0.00087724
64,5026.53,0.41881,0.4335,0.83236,0.05201,0.06766,0.05472,0.03081,2.29746,4.84023,2.08271,0.00087526,0.00087526,0.00087526
65,5104.83,0.41276,0.43063,0.83256,0.04944,0.06575,0.05213,0.02823,2.29107,4.82379,2.07492,0.00087328,0.00087328,0.00087328
66,5182.89,0.41384,0.42687,0.83248,0.05131,0.07539,0.05825,0.03,2.29493,4.81126,2.09318,0.0008713,0.0008713,0.0008713
67,5261.26,0.4125,0.42235,0.83271,0.06295,0.06787,0.05834,0.03019,2.29958,4.9123,2.10125,0.00086932,0.00086932,0.00086932
68,5339.39,0.41104,0.419,0.83222,0.04977,0.06854,0.05064,0.02884,2.29905,4.8556,2.1002,0.00086734,0.00086734,0.00086734
69,5417.37,0.41406,0.42412,0.83296,0.04999,0.06941,0.05358,0.02875,2.29502,4.80468,2.08902,0.00086536,0.00086536,0.00086536
70,5495.31,0.41332,0.41999,0.83208,0.05303,0.06238,0.0528,0.02736,2.32804,4.89136,2.13511,0.00086338,0.00086338,0.00086338
71,5573.28,0.40337,0.41177,0.83003,0.05543,0.0681,0.05453,0.03018,2.2974,4.85233,2.1097,0.0008614,0.0008614,0.0008614
72,5651.2,0.40653,0.40899,0.82939,0.0548,0.0702,0.05435,0.02931,2.29711,4.831,2.10082,0.00085942,0.00085942,0.00085942
73,5729.41,0.41076,0.41128,0.82992,0.05321,0.06686,0.05461,0.02941,2.30192,4.81392,2.10927,0.00085744,0.00085744,0.00085744
74,5807.18,0.40334,0.40872,0.82948,0.05488,0.06338,0.05195,0.0281,2.3485,4.92464,2.15352,0.00085546,0.00085546,0.00085546
75,5885.3,0.40864,0.40705,0.83005,0.05308,0.06133,0.05035,0.02677,2.33663,4.97094,2.14227,0.00085348,0.00085348,0.00085348
76,5963.35,0.40583,0.40204,0.82899,0.05229,0.06017,0.05073,0.02724,2.33929,4.93627,2.13925,0.0008515,0.0008515,0.0008515
77,6041.6,0.40176,0.40355,0.82861,0.0538,0.06385,0.05206,0.02637,2.33413,4.92463,2.14305,0.00084952,0.00084952,0.00084952
78,6120.14,0.40232,0.40155,0.82802,0.05132,0.0611,0.05048,0.02648,2.31658,4.9454,2.12591,0.00084754,0.00084754,0.00084754
79,6198.09,0.39821,0.39385,0.8279,0.05625,0.06066,0.05218,0.02908,2.31345,4.96583,2.11437,0.00084556,0.00084556,0.00084556
80,6276.07,0.39293,0.38794,0.8261,0.0529,0.05805,0.05079,0.02815,2.31427,4.98117,2.13265,0.00084358,0.00084358,0.00084358
81,6354.28,0.39965,0.3914,0.82689,0.05516,0.0572,0.05232,0.02901,2.32471,5.0085,2.12909,0.0008416,0.0008416,0.0008416
82,6432.4,0.39616,0.39254,0.82651,0.05612,0.05521,0.05062,0.02713,2.34032,5.04916,2.14524,0.00083962,0.00083962,0.00083962
83,6510.69,0.39689,0.38873,0.82605,0.06092,0.0605,0.05646,0.03038,2.32043,5.02619,2.12836,0.00083764,0.00083764,0.00083764
